,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,3.8898587,Loss,Training
1,0,2,0,3.6531868,Loss,Validation
2,0,2,0,0.40920693,Accuracy,Training
3,0,2,0,0.16226916,Accuracy,Validation
4,0,2,0,3.876761,Loss Person,Training
5,0,2,0,4.0698733,Loss Person,Validation
6,0,2,0,0.45945945,Accuracy Person,Training
7,0,2,0,0.0,Accuracy Person,Validation
8,0,2,0,3.815798,Loss Bicycle,Training
9,0,2,0,3.8865283,Loss Bicycle,Validation
10,0,2,0,0.4375,Accuracy Bicycle,Training
11,0,2,0,0.114285715,Accuracy Bicycle,Validation
12,0,2,0,3.8361359,Loss Car,Training
13,0,2,0,3.9382522,Loss Car,Validation
14,0,2,0,0.4054054,Accuracy Car,Training
15,0,2,0,0.048780486,Accuracy Car,Validation
16,0,2,0,3.5700092,Loss Motorcycle,Training
17,0,2,0,3.5574262,Loss Motorcycle,Validation
18,0,2,0,0.8367347,Accuracy Motorcycle,Training
19,0,2,0,0.6756757,Accuracy Motorcycle,Validation
20,0,2,0,4.0846615,Loss Airplane,Training
21,0,2,0,3.9962468,Loss Airplane,Validation
22,0,2,0,0.18367347,Accuracy Airplane,Training
23,0,2,0,0.12820514,Accuracy Airplane,Validation
24,0,2,0,4.0678535,Loss Bus,Training
25,0,2,0,3.9804046,Loss Bus,Validation
26,0,2,0,0.3181818,Accuracy Bus,Training
27,0,2,0,0.25,Accuracy Bus,Validation
28,0,2,0,3.8606167,Loss Train,Training
29,0,2,0,3.9433465,Loss Train,Validation
30,0,2,0,0.4864865,Accuracy Train,Training
31,0,2,0,0.13953489,Accuracy Train,Validation
32,0,2,0,3.699741,Loss Truck,Training
33,0,2,0,3.8790092,Loss Truck,Validation
34,0,2,0,0.7,Accuracy Truck,Training
35,0,2,0,0.13953489,Accuracy Truck,Validation
36,0,2,0,3.9286847,Loss Boat,Training
37,0,2,0,4.068634,Loss Boat,Validation
38,0,2,0,0.45238096,Accuracy Boat,Training
39,0,2,0,0.083333336,Accuracy Boat,Validation
40,0,2,0,3.8908014,Loss Traffic Light,Training
41,0,2,0,3.960853,Loss Traffic Light,Validation
42,0,2,0,0.43243244,Accuracy Traffic Light,Training
43,0,2,0,0.044444446,Accuracy Traffic Light,Validation
44,0,2,0,3.6988804,Loss Fire Hydrant,Training
45,0,2,0,3.5412023,Loss Fire Hydrant,Validation
46,0,2,0,0.71794873,Accuracy Fire Hydrant,Training
47,0,2,0,0.37254903,Accuracy Fire Hydrant,Validation
48,0,2,0,3.8251765,Loss Stop Sign,Training
49,0,2,0,3.7532985,Loss Stop Sign,Validation
50,0,2,0,0.61904764,Accuracy Stop Sign,Training
51,0,2,0,0.41509435,Accuracy Stop Sign,Validation
52,0,2,0,3.8110857,Loss Parking Meter,Training
53,0,2,0,3.83831,Loss Parking Meter,Validation
54,0,2,0,0.47619048,Accuracy Parking Meter,Training
55,0,2,0,0.1891892,Accuracy Parking Meter,Validation
56,0,2,0,3.711424,Loss Bench,Training
57,0,2,0,3.9104364,Loss Bench,Validation
58,0,2,0,0.7222222,Accuracy Bench,Training
59,0,2,0,0.20833333,Accuracy Bench,Validation
60,0,2,0,4.243607,Loss Bird,Training
61,0,2,0,4.2160954,Loss Bird,Validation
62,0,2,0,0.0,Accuracy Bird,Training
63,0,2,0,0.0,Accuracy Bird,Validation
64,0,2,0,3.8830614,Loss Cat,Training
65,0,2,0,3.7727156,Loss Cat,Validation
66,0,2,0,0.5555556,Accuracy Cat,Training
67,0,2,0,0.24390244,Accuracy Cat,Validation
68,0,2,0,4.2197347,Loss Dog,Training
69,0,2,0,4.2256937,Loss Dog,Validation
70,0,2,0,0.035714287,Accuracy Dog,Training
71,0,2,0,0.0,Accuracy Dog,Validation
72,0,2,0,4.0483875,Loss Horse,Training
