,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,4.0794516,Loss,Training
1,0,8,0,3.6301742,Loss,Validation
2,0,8,0,0.18706748,Accuracy,Training
3,0,8,0,0.21655378,Accuracy,Validation
4,0,8,0,4.1193533,Loss Person,Training
5,0,8,0,3.9922023,Loss Person,Validation
6,0,8,0,0.032258064,Accuracy Person,Training
7,0,8,0,0.01923077,Accuracy Person,Validation
8,0,8,0,3.8543663,Loss Bicycle,Training
9,0,8,0,3.6691682,Loss Bicycle,Validation
10,0,8,0,0.44186047,Accuracy Bicycle,Training
11,0,8,0,0.4848485,Accuracy Bicycle,Validation
12,0,8,0,4.1275926,Loss Car,Training
13,0,8,0,3.8125458,Loss Car,Validation
14,0,8,0,0.07317073,Accuracy Car,Training
15,0,8,0,0.13157895,Accuracy Car,Validation
16,0,8,0,3.9404442,Loss Motorcycle,Training
17,0,8,0,3.763258,Loss Motorcycle,Validation
18,0,8,0,0.4883721,Accuracy Motorcycle,Training
19,0,8,0,0.4848485,Accuracy Motorcycle,Validation
20,0,8,0,4.48592,Loss Airplane,Training
21,0,8,0,4.3142185,Loss Airplane,Validation
22,0,8,0,0.0,Accuracy Airplane,Training
23,0,8,0,0.0,Accuracy Airplane,Validation
24,0,8,0,3.9491425,Loss Bus,Training
25,0,8,0,3.7918534,Loss Bus,Validation
26,0,8,0,0.2826087,Accuracy Bus,Training
27,0,8,0,0.58928573,Accuracy Bus,Validation
28,0,8,0,4.17651,Loss Train,Training
29,0,8,0,4.004738,Loss Train,Validation
30,0,8,0,0.05263158,Accuracy Train,Training
31,0,8,0,0.16363636,Accuracy Train,Validation
32,0,8,0,3.9533186,Loss Truck,Training
33,0,8,0,3.9054503,Loss Truck,Validation
34,0,8,0,0.2195122,Accuracy Truck,Training
35,0,8,0,0.2173913,Accuracy Truck,Validation
36,0,8,0,3.953444,Loss Boat,Training
37,0,8,0,3.8184745,Loss Boat,Validation
38,0,8,0,0.30952382,Accuracy Boat,Training
39,0,8,0,0.5208333,Accuracy Boat,Validation
40,0,8,0,4.15948,Loss Traffic Light,Training
41,0,8,0,4.0238395,Loss Traffic Light,Validation
42,0,8,0,0.071428575,Accuracy Traffic Light,Training
43,0,8,0,0.0,Accuracy Traffic Light,Validation
44,0,8,0,3.7137537,Loss Fire Hydrant,Training
45,0,8,0,3.3577056,Loss Fire Hydrant,Validation
46,0,8,0,0.5681818,Accuracy Fire Hydrant,Training
47,0,8,0,0.9230769,Accuracy Fire Hydrant,Validation
48,0,8,0,3.959796,Loss Stop Sign,Training
49,0,8,0,3.8474042,Loss Stop Sign,Validation
50,0,8,0,0.38297874,Accuracy Stop Sign,Training
51,0,8,0,0.16666667,Accuracy Stop Sign,Validation
52,0,8,0,4.156026,Loss Parking Meter,Training
53,0,8,0,4.046214,Loss Parking Meter,Validation
54,0,8,0,0.093023255,Accuracy Parking Meter,Training
55,0,8,0,0.0,Accuracy Parking Meter,Validation
56,0,8,0,4.101392,Loss Bench,Training
57,0,8,0,3.9657087,Loss Bench,Validation
58,0,8,0,0.16129032,Accuracy Bench,Training
59,0,8,0,0.03125,Accuracy Bench,Validation
60,0,8,0,4.1195307,Loss Bird,Training
61,0,8,0,4.1444387,Loss Bird,Validation
62,0,8,0,0.10526316,Accuracy Bird,Training
63,0,8,0,0.34285715,Accuracy Bird,Validation
64,0,8,0,4.0805283,Loss Cat,Training
65,0,8,0,3.7953594,Loss Cat,Validation
66,0,8,0,0.2195122,Accuracy Cat,Training
67,0,8,0,0.30952382,Accuracy Cat,Validation
68,0,8,0,4.1526747,Loss Dog,Training
69,0,8,0,3.8936934,Loss Dog,Validation
70,0,8,0,0.15,Accuracy Dog,Training
71,0,8,0,0.1904762,Accuracy Dog,Validation
72,0,8,0,4.0244493,Loss Horse,Training
73,0,8,0,3.9783125,Loss Horse,Validation
74,0,8,0,0.1627907,Accuracy Horse,Training
75,0,8,0,0.055555556,Accuracy Horse,Validation
76,0,8,0,3.9494748,Loss Sheep,Training
77,0,8,0,3.760297,Loss Sheep,Validation
78,0,8,0,0.41304347,Accuracy Sheep,Training
79,0,8,0,0.5192308,Accuracy Sheep,Validation
80,0,8,0,4.0755224,Loss Cow,Training
81,0,8,0,3.7013068,Loss Cow,Validation
82,0,8,0,0.2,Accuracy Cow,Training
83,0,8,0,0.47368422,Accuracy Cow,Validation
84,0,8,0,3.8634315,Loss Elephant,Training
85,0,8,0,3.8778403,Loss Elephant,Validation
86,0,8,0,0.7358491,Accuracy Elephant,Training
87,0,8,0,0.8,Accuracy Elephant,Validation
88,0,8,0,4.1916113,Loss Bear,Training
89,0,8,0,4.1523395,Loss Bear,Validation
90,0,8,0,0.04761905,Accuracy Bear,Training
91,0,8,0,0.19607843,Accuracy Bear,Validation
92,0,8,0,4.126721,Loss Zebra,Training
93,0,8,0,4.0977635,Loss Zebra,Validation
94,0,8,0,0.09756097,Accuracy Zebra,Training
95,0,8,0,0.14583333,Accuracy Zebra,Validation
96,0,8,0,3.8174522,Loss Giraffe,Training
97,0,8,0,3.578513,Loss Giraffe,Validation
