,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,4.0716286,Loss,Training
1,0,8,0,3.6410606,Loss,Validation
2,0,8,0,0.15717551,Accuracy,Training
3,0,8,0,0.19930884,Accuracy,Validation
4,0,8,0,3.8026388,Loss Person,Training
5,0,8,0,3.6446285,Loss Person,Validation
6,0,8,0,0.4375,Accuracy Person,Training
7,0,8,0,0.5660377,Accuracy Person,Validation
8,0,8,0,4.1625533,Loss Bicycle,Training
9,0,8,0,3.841372,Loss Bicycle,Validation
10,0,8,0,0.057142857,Accuracy Bicycle,Training
11,0,8,0,0.09090909,Accuracy Bicycle,Validation
12,0,8,0,4.2063074,Loss Car,Training
13,0,8,0,3.965069,Loss Car,Validation
14,0,8,0,0.0,Accuracy Car,Training
15,0,8,0,0.0,Accuracy Car,Validation
16,0,8,0,4.1525493,Loss Motorcycle,Training
17,0,8,0,3.9318578,Loss Motorcycle,Validation
18,0,8,0,0.0,Accuracy Motorcycle,Training
19,0,8,0,0.0,Accuracy Motorcycle,Validation
20,0,8,0,4.2921495,Loss Airplane,Training
21,0,8,0,4.1374564,Loss Airplane,Validation
22,0,8,0,0.03125,Accuracy Airplane,Training
23,0,8,0,0.08888889,Accuracy Airplane,Validation
24,0,8,0,4.0180397,Loss Bus,Training
25,0,8,0,3.701716,Loss Bus,Validation
26,0,8,0,0.12,Accuracy Bus,Training
27,0,8,0,0.5945946,Accuracy Bus,Validation
28,0,8,0,4.0726357,Loss Train,Training
29,0,8,0,3.9661925,Loss Train,Validation
30,0,8,0,0.11111111,Accuracy Train,Training
31,0,8,0,0.17021276,Accuracy Train,Validation
32,0,8,0,3.8830926,Loss Truck,Training
33,0,8,0,3.838109,Loss Truck,Validation
34,0,8,0,0.30555555,Accuracy Truck,Training
35,0,8,0,0.3939394,Accuracy Truck,Validation
36,0,8,0,4.047384,Loss Boat,Training
37,0,8,0,4.0007124,Loss Boat,Validation
38,0,8,0,0.11764706,Accuracy Boat,Training
39,0,8,0,0.13461539,Accuracy Boat,Validation
40,0,8,0,4.0172887,Loss Traffic Light,Training
41,0,8,0,3.9207962,Loss Traffic Light,Validation
42,0,8,0,0.13157895,Accuracy Traffic Light,Training
43,0,8,0,0.20930232,Accuracy Traffic Light,Validation
44,0,8,0,4.1956162,Loss Fire Hydrant,Training
45,0,8,0,3.8450265,Loss Fire Hydrant,Validation
46,0,8,0,0.027027028,Accuracy Fire Hydrant,Training
