,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.6321108,Loss,Training
1,0,2,0,2.4296155,Loss,Validation
2,0,2,0,0.63981885,Accuracy,Training
3,0,2,0,0.7657134,Accuracy,Validation
4,0,2,0,2.5576956,Loss Bench,Training
5,0,2,0,2.3630967,Loss Bench,Validation
6,0,2,0,0.6375839,Accuracy Bench,Training
7,0,2,0,0.91612905,Accuracy Bench,Validation
8,0,2,0,2.4749079,Loss Bicycle,Training
9,0,2,0,2.0083094,Loss Bicycle,Validation
10,0,2,0,0.8,Accuracy Bicycle,Training
11,0,2,0,1.0,Accuracy Bicycle,Validation
12,0,2,0,2.5907521,Loss Book,Training
13,0,2,0,2.394301,Loss Book,Validation
14,0,2,0,0.7761194,Accuracy Book,Training
15,0,2,0,0.6287879,Accuracy Book,Validation
16,0,2,0,2.4670475,Loss Bottle,Training
17,0,2,0,2.280162,Loss Bottle,Validation
18,0,2,0,0.8066667,Accuracy Bottle,Training
19,0,2,0,1.0,Accuracy Bottle,Validation
20,0,2,0,2.6343741,Loss Bowl,Training
21,0,2,0,2.5163116,Loss Bowl,Validation
22,0,2,0,0.6119403,Accuracy Bowl,Training
23,0,2,0,0.35036495,Accuracy Bowl,Validation
24,0,2,0,2.5364895,Loss Car,Training
25,0,2,0,2.3145251,Loss Car,Validation
26,0,2,0,0.71710527,Accuracy Car,Training
27,0,2,0,1.0,Accuracy Car,Validation
28,0,2,0,2.59518,Loss Cell_Phone,Training
29,0,2,0,2.4218144,Loss Cell_Phone,Validation
30,0,2,0,0.56551725,Accuracy Cell_Phone,Training
31,0,2,0,0.56643355,Accuracy Cell_Phone,Validation
32,0,2,0,2.664543,Loss Chair,Training
33,0,2,0,2.6625268,Loss Chair,Validation
34,0,2,0,0.6766917,Accuracy Chair,Training
35,0,2,0,0.54615384,Accuracy Chair,Validation
36,0,2,0,2.7705004,Loss Clock,Training
37,0,2,0,2.8536131,Loss Clock,Validation
38,0,2,0,0.52307695,Accuracy Clock,Training
39,0,2,0,0.46258503,Accuracy Clock,Validation
40,0,2,0,2.4937341,Loss Computer_Mouse,Training
41,0,2,0,2.0964153,Loss Computer_Mouse,Validation
42,0,2,0,0.7744361,Accuracy Computer_Mouse,Training
43,0,2,0,1.0,Accuracy Computer_Mouse,Validation
44,0,2,0,2.4740238,Loss Cup,Training
45,0,2,0,2.4108586,Loss Cup,Validation
46,0,2,0,0.93430656,Accuracy Cup,Training
47,0,2,0,0.9621212,Accuracy Cup,Validation
48,0,2,0,2.7367358,Loss Fork,Training
49,0,2,0,2.4854743,Loss Fork,Validation
50,0,2,0,0.51079136,Accuracy Fork,Training
51,0,2,0,0.4722222,Accuracy Fork,Validation
52,0,2,0,2.794012,Loss Keyboard,Training
53,0,2,0,2.6642394,Loss Keyboard,Validation
54,0,2,0,0.29496402,Accuracy Keyboard,Training
55,0,2,0,0.0,Accuracy Keyboard,Validation
56,0,2,0,2.7291899,Loss Knife,Training
57,0,2,0,2.498688,Loss Knife,Validation
58,0,2,0,0.5714286,Accuracy Knife,Training
59,0,2,0,0.66101694,Accuracy Knife,Validation
60,0,2,0,2.5767713,Loss Laptop,Training
61,0,2,0,2.291211,Loss Laptop,Validation
62,0,2,0,0.6241135,Accuracy Laptop,Training
63,0,2,0,1.0,Accuracy Laptop,Validation
64,0,2,0,2.703556,Loss Motorcycle,Training
65,0,2,0,2.343199,Loss Motorcycle,Validation
66,0,2,0,0.3816794,Accuracy Motorcycle,Training
67,0,2,0,0.86567163,Accuracy Motorcycle,Validation
68,0,2,0,2.521241,Loss Potted_Plant,Training
69,0,2,0,2.157109,Loss Potted_Plant,Validation
70,0,2,0,0.82608694,Accuracy Potted_Plant,Training
71,0,2,0,0.9655172,Accuracy Potted_Plant,Validation
72,0,2,0,2.6706786,Loss Spoon,Training
73,0,2,0,2.5514417,Loss Spoon,Validation
74,0,2,0,0.6935484,Accuracy Spoon,Training
75,0,2,0,0.69343066,Accuracy Spoon,Validation
76,0,2,0,2.7575297,Loss Sports_Ball,Training
77,0,2,0,2.7776783,Loss Sports_Ball,Validation
78,0,2,0,0.7037037,Accuracy Sports_Ball,Training
79,0,2,0,0.80714285,Accuracy Sports_Ball,Validation
80,0,2,0,2.5675902,Loss Tie,Training
81,0,2,0,2.2878382,Loss Tie,Validation
82,0,2,0,0.71710527,Accuracy Tie,Training
83,0,2,0,1.0,Accuracy Tie,Validation
84,0,2,0,2.6329296,Loss Traffic_Light,Training
85,0,2,0,2.4750419,Loss Traffic_Light,Validation
86,0,2,0,0.62068963,Accuracy Traffic_Light,Training
87,0,2,0,0.9932432,Accuracy Traffic_Light,Validation
88,0,2,0,2.8994443,Loss Tv_Remote,Training
89,0,2,0,2.6088235,Loss Tv_Remote,Validation
90,0,2,0,0.30882353,Accuracy Tv_Remote,Training
91,0,2,0,0.7205882,Accuracy Tv_Remote,Validation
92,0,2,0,2.6896234,Loss Wine_Glass,Training
93,0,2,0,2.41848,Loss Wine_Glass,Validation
94,0,2,0,0.6394558,Accuracy Wine_Glass,Training
95,0,2,0,1.0,Accuracy Wine_Glass,Validation
96,0,2,1,1.8201892,Loss,Training
97,0,2,1,1.8899974,Loss,Validation
98,0,2,1,0.95494056,Accuracy,Training
99,0,2,1,0.8489969,Accuracy,Validation
100,0,2,1,1.5903281,Loss Bench,Training
101,0,2,1,1.7310793,Loss Bench,Validation
102,0,2,1,0.98657715,Accuracy Bench,Training
103,0,2,1,0.9230769,Accuracy Bench,Validation
104,0,2,1,1.5580683,Loss Bicycle,Training
105,0,2,1,1.3481194,Loss Bicycle,Validation
106,0,2,1,0.9869281,Accuracy Bicycle,Training
107,0,2,1,1.0,Accuracy Bicycle,Validation
108,0,2,1,1.7639834,Loss Book,Training
109,0,2,1,1.7854674,Loss Book,Validation
110,0,2,1,0.9246575,Accuracy Book,Training
111,0,2,1,0.8724832,Accuracy Book,Validation
112,0,2,1,1.6003194,Loss Bottle,Training
113,0,2,1,1.7753179,Loss Bottle,Validation
114,0,2,1,1.0,Accuracy Bottle,Training
115,0,2,1,0.9701493,Accuracy Bottle,Validation
116,0,2,1,1.7472165,Loss Bowl,Training
117,0,2,1,1.9283794,Loss Bowl,Validation
118,0,2,1,0.986014,Accuracy Bowl,Training
119,0,2,1,0.5112782,Accuracy Bowl,Validation
120,0,2,1,1.7334739,Loss Car,Training
121,0,2,1,1.8438923,Loss Car,Validation
122,0,2,1,0.983871,Accuracy Car,Training
123,0,2,1,1.0,Accuracy Car,Validation
124,0,2,1,1.8589156,Loss Cell_Phone,Training
125,0,2,1,2.162651,Loss Cell_Phone,Validation
126,0,2,1,0.8968254,Accuracy Cell_Phone,Training
127,0,2,1,0.38356164,Accuracy Cell_Phone,Validation
128,0,2,1,2.0862381,Loss Chair,Training
129,0,2,1,2.1970615,Loss Chair,Validation
130,0,2,1,0.9296875,Accuracy Chair,Training
131,0,2,1,0.6917293,Accuracy Chair,Validation
132,0,2,1,1.9256135,Loss Clock,Training
133,0,2,1,2.3298385,Loss Clock,Validation
134,0,2,1,0.9612903,Accuracy Clock,Training
135,0,2,1,0.832,Accuracy Clock,Validation
136,0,2,1,1.4591677,Loss Computer_Mouse,Training
137,0,2,1,1.3825626,Loss Computer_Mouse,Validation
138,0,2,1,1.0,Accuracy Computer_Mouse,Training
139,0,2,1,1.0,Accuracy Computer_Mouse,Validation
140,0,2,1,1.6580446,Loss Cup,Training
141,0,2,1,1.7941387,Loss Cup,Validation
142,0,2,1,0.99319726,Accuracy Cup,Training
143,0,2,1,1.0,Accuracy Cup,Validation
144,0,2,1,1.9734759,Loss Fork,Training
145,0,2,1,1.7986406,Loss Fork,Validation
146,0,2,1,0.9072848,Accuracy Fork,Training
147,0,2,1,0.87857145,Accuracy Fork,Validation
148,0,2,1,2.009454,Loss Keyboard,Training
149,0,2,1,2.123907,Loss Keyboard,Validation
150,0,2,1,0.7785714,Accuracy Keyboard,Training
151,0,2,1,0.79562044,Accuracy Keyboard,Validation
152,0,2,1,1.9790423,Loss Knife,Training
153,0,2,1,2.0389342,Loss Knife,Validation
154,0,2,1,0.9672131,Accuracy Knife,Training
155,0,2,1,0.41304347,Accuracy Knife,Validation
156,0,2,1,1.8419904,Loss Laptop,Training
157,0,2,1,1.9965359,Loss Laptop,Validation
158,0,2,1,0.90434784,Accuracy Laptop,Training
159,0,2,1,0.94482756,Accuracy Laptop,Validation
