,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.6426394,Loss,Training
1,0,2,0,2.4375055,Loss,Validation
2,0,2,0,0.62528753,Accuracy,Training
3,0,2,0,0.7559062,Accuracy,Validation
4,0,2,0,2.5588517,Loss Bench,Training
5,0,2,0,2.3519948,Loss Bench,Validation
6,0,2,0,0.6510067,Accuracy Bench,Training
7,0,2,0,0.89032257,Accuracy Bench,Validation
8,0,2,0,2.470992,Loss Bicycle,Training
9,0,2,0,1.9964831,Loss Bicycle,Validation
10,0,2,0,0.78,Accuracy Bicycle,Training
11,0,2,0,1.0,Accuracy Bicycle,Validation
12,0,2,0,2.5747626,Loss Book,Training
13,0,2,0,2.41531,Loss Book,Validation
14,0,2,0,0.76119405,Accuracy Book,Training
15,0,2,0,0.6060606,Accuracy Book,Validation
16,0,2,0,2.4706097,Loss Bottle,Training
17,0,2,0,2.2844079,Loss Bottle,Validation
18,0,2,0,0.8466667,Accuracy Bottle,Training
19,0,2,0,1.0,Accuracy Bottle,Validation
20,0,2,0,2.6389458,Loss Bowl,Training
21,0,2,0,2.514287,Loss Bowl,Validation
22,0,2,0,0.63432837,Accuracy Bowl,Training
23,0,2,0,0.35036495,Accuracy Bowl,Validation
24,0,2,0,2.5491488,Loss Car,Training
25,0,2,0,2.348735,Loss Car,Validation
26,0,2,0,0.7302632,Accuracy Car,Training
27,0,2,0,1.0,Accuracy Car,Validation
28,0,2,0,2.616291,Loss Cell_Phone,Training
29,0,2,0,2.409104,Loss Cell_Phone,Validation
30,0,2,0,0.5862069,Accuracy Cell_Phone,Training
31,0,2,0,0.56643355,Accuracy Cell_Phone,Validation
32,0,2,0,2.656769,Loss Chair,Training
33,0,2,0,2.6441646,Loss Chair,Validation
34,0,2,0,0.69924814,Accuracy Chair,Training
35,0,2,0,0.5,Accuracy Chair,Validation
36,0,2,0,2.7814739,Loss Clock,Training
37,0,2,0,2.8492298,Loss Clock,Validation
38,0,2,0,0.44615385,Accuracy Clock,Training
39,0,2,0,0.46258503,Accuracy Clock,Validation
40,0,2,0,2.5149553,Loss Computer_Mouse,Training
41,0,2,0,2.1818051,Loss Computer_Mouse,Validation
42,0,2,0,0.7894737,Accuracy Computer_Mouse,Training
43,0,2,0,1.0,Accuracy Computer_Mouse,Validation
44,0,2,0,2.4733953,Loss Cup,Training
45,0,2,0,2.4039795,Loss Cup,Validation
46,0,2,0,0.94160587,Accuracy Cup,Training
47,0,2,0,1.0,Accuracy Cup,Validation
48,0,2,0,2.741502,Loss Fork,Training
49,0,2,0,2.4840484,Loss Fork,Validation
50,0,2,0,0.5323741,Accuracy Fork,Training
51,0,2,0,0.5208333,Accuracy Fork,Validation
52,0,2,0,2.816564,Loss Keyboard,Training
53,0,2,0,2.6687841,Loss Keyboard,Validation
54,0,2,0,0.23021583,Accuracy Keyboard,Training
55,0,2,0,0.0,Accuracy Keyboard,Validation
56,0,2,0,2.729472,Loss Knife,Training
57,0,2,0,2.476016,Loss Knife,Validation
58,0,2,0,0.5873016,Accuracy Knife,Training
59,0,2,0,0.66101694,Accuracy Knife,Validation
60,0,2,0,2.6060226,Loss Laptop,Training
