,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.662447,Loss,Training
1,0,2,0,2.4631028,Loss,Validation
2,0,2,0,0.5669634,Accuracy,Training
3,0,2,0,0.69694716,Accuracy,Validation
4,0,2,0,2.3440287,Loss Bench,Training
5,0,2,0,2.005608,Loss Bench,Validation
6,0,2,0,0.7986577,Accuracy Bench,Training
7,0,2,0,1.0,Accuracy Bench,Validation
8,0,2,0,2.5969098,Loss Bicycle,Training
9,0,2,0,2.1986904,Loss Bicycle,Validation
10,0,2,0,0.5511811,Accuracy Bicycle,Training
11,0,2,0,0.86466163,Accuracy Bicycle,Validation
12,0,2,0,2.5375445,Loss Book,Training
13,0,2,0,2.4473927,Loss Book,Validation
14,0,2,0,0.74125874,Accuracy Book,Training
15,0,2,0,0.45070422,Accuracy Book,Validation
16,0,2,0,2.7065997,Loss Bottle,Training
17,0,2,0,2.4072468,Loss Bottle,Validation
18,0,2,0,0.5611511,Accuracy Bottle,Training
19,0,2,0,0.875,Accuracy Bottle,Validation
20,0,2,0,2.544838,Loss Bowl,Training
21,0,2,0,2.4495206,Loss Bowl,Validation
22,0,2,0,0.6603774,Accuracy Bowl,Training
23,0,2,0,0.6392405,Accuracy Bowl,Validation
24,0,2,0,2.6699479,Loss Car,Training
25,0,2,0,2.5395613,Loss Car,Validation
26,0,2,0,0.688,Accuracy Car,Training
27,0,2,0,0.6791045,Accuracy Car,Validation
28,0,2,0,2.6851885,Loss Cell_Phone,Training
29,0,2,0,2.6460037,Loss Cell_Phone,Validation
30,0,2,0,0.40425533,Accuracy Cell_Phone,Training
31,0,2,0,0.12258065,Accuracy Cell_Phone,Validation
32,0,2,0,2.7371647,Loss Chair,Training
33,0,2,0,2.6364057,Loss Chair,Validation
34,0,2,0,0.5586207,Accuracy Chair,Training
35,0,2,0,0.4539007,Accuracy Chair,Validation
36,0,2,0,2.9567716,Loss Clock,Training
37,0,2,0,2.9727337,Loss Clock,Validation
38,0,2,0,0.24038461,Accuracy Clock,Training
39,0,2,0,0.15503876,Accuracy Clock,Validation
40,0,2,0,2.4668684,Loss Computer_Mouse,Training
41,0,2,0,2.029528,Loss Computer_Mouse,Validation
42,0,2,0,0.7443609,Accuracy Computer_Mouse,Training
43,0,2,0,1.0,Accuracy Computer_Mouse,Validation
44,0,2,0,2.740002,Loss Cup,Training
45,0,2,0,2.5434036,Loss Cup,Validation
46,0,2,0,0.43220338,Accuracy Cup,Training
47,0,2,0,0.8449612,Accuracy Cup,Validation
48,0,2,0,2.809001,Loss Fork,Training
49,0,2,0,2.7040653,Loss Fork,Validation
50,0,2,0,0.32,Accuracy Fork,Training
51,0,2,0,0.1716418,Accuracy Fork,Validation
52,0,2,0,2.813373,Loss Keyboard,Training
53,0,2,0,2.5394015,Loss Keyboard,Validation
54,0,2,0,0.3617021,Accuracy Keyboard,Training
55,0,2,0,0.42962962,Accuracy Keyboard,Validation
56,0,2,0,2.859165,Loss Knife,Training
57,0,2,0,2.5184822,Loss Knife,Validation
58,0,2,0,0.40875912,Accuracy Knife,Training
59,0,2,0,0.4829932,Accuracy Knife,Validation
60,0,2,0,2.5521204,Loss Laptop,Training
61,0,2,0,2.3071566,Loss Laptop,Validation
62,0,2,0,0.6168831,Accuracy Laptop,Training
63,0,2,0,1.0,Accuracy Laptop,Validation
64,0,2,0,2.489562,Loss Motorcycle,Training
65,0,2,0,2.2508264,Loss Motorcycle,Validation
66,0,2,0,0.7708333,Accuracy Motorcycle,Training
67,0,2,0,1.0,Accuracy Motorcycle,Validation
68,0,2,0,2.7479942,Loss Potted_Plant,Training
69,0,2,0,2.3059576,Loss Potted_Plant,Validation
70,0,2,0,0.53424656,Accuracy Potted_Plant,Training
71,0,2,0,0.9541985,Accuracy Potted_Plant,Validation
72,0,2,0,2.7012522,Loss Spoon,Training
73,0,2,0,2.4902306,Loss Spoon,Validation
74,0,2,0,0.62676054,Accuracy Spoon,Training
75,0,2,0,0.7583333,Accuracy Spoon,Validation
76,0,2,0,2.8878248,Loss Sports_Ball,Training
77,0,2,0,2.7676327,Loss Sports_Ball,Validation
78,0,2,0,0.38636363,Accuracy Sports_Ball,Training
79,0,2,0,0.6074074,Accuracy Sports_Ball,Validation
80,0,2,0,2.6752465,Loss Tie,Training
81,0,2,0,2.4693556,Loss Tie,Validation
82,0,2,0,0.610687,Accuracy Tie,Training
83,0,2,0,0.7867647,Accuracy Tie,Validation
84,0,2,0,2.2417529,Loss Traffic_Light,Training
85,0,2,0,2.3764892,Loss Traffic_Light,Validation
86,0,2,0,0.9299363,Accuracy Traffic_Light,Training
87,0,2,0,1.0,Accuracy Traffic_Light,Validation
88,0,2,0,2.6531587,Loss Tv_Remote,Training
89,0,2,0,2.4134173,Loss Tv_Remote,Validation
90,0,2,0,0.68,Accuracy Tv_Remote,Training
91,0,2,0,1.0,Accuracy Tv_Remote,Validation
92,0,2,0,2.8199673,Loss Wine_Glass,Training
93,0,2,0,2.632261,Loss Wine_Glass,Validation
94,0,2,0,0.41353384,Accuracy Wine_Glass,Training
95,0,2,0,0.7536232,Accuracy Wine_Glass,Validation
96,0,2,1,1.8329425,Loss,Training
97,0,2,1,1.9558758,Loss,Validation
98,0,2,1,0.9564177,Accuracy,Training
99,0,2,1,0.8464839,Accuracy,Validation
100,0,2,1,1.4233576,Loss Bench,Training
101,0,2,1,1.5030725,Loss Bench,Validation
102,0,2,1,1.0,Accuracy Bench,Training
103,0,2,1,1.0,Accuracy Bench,Validation
104,0,2,1,1.7121925,Loss Bicycle,Training
105,0,2,1,1.4197456,Loss Bicycle,Validation
106,0,2,1,0.9852941,Accuracy Bicycle,Training
107,0,2,1,1.0,Accuracy Bicycle,Validation
108,0,2,1,1.6322794,Loss Book,Training
109,0,2,1,2.1393769,Loss Book,Validation
110,0,2,1,0.99206346,Accuracy Book,Training
111,0,2,1,0.7123288,Accuracy Book,Validation
112,0,2,1,1.7254848,Loss Bottle,Training
113,0,2,1,1.6783081,Loss Bottle,Validation
114,0,2,1,1.0,Accuracy Bottle,Training
115,0,2,1,1.0,Accuracy Bottle,Validation
116,0,2,1,1.5991368,Loss Bowl,Training
117,0,2,1,1.9931514,Loss Bowl,Validation
118,0,2,1,1.0,Accuracy Bowl,Training
119,0,2,1,0.7259259,Accuracy Bowl,Validation
120,0,2,1,1.9539416,Loss Car,Training
121,0,2,1,1.8965392,Loss Car,Validation
122,0,2,1,0.8582677,Accuracy Car,Training
123,0,2,1,1.0,Accuracy Car,Validation
124,0,2,1,1.9098877,Loss Cell_Phone,Training
125,0,2,1,2.358053,Loss Cell_Phone,Validation
126,0,2,1,0.9361702,Accuracy Cell_Phone,Training
127,0,2,1,0.2421875,Accuracy Cell_Phone,Validation
128,0,2,1,2.053609,Loss Chair,Training
129,0,2,1,2.2079072,Loss Chair,Validation
130,0,2,1,0.9361702,Accuracy Chair,Training
131,0,2,1,0.86451614,Accuracy Chair,Validation
132,0,2,1,2.08853,Loss Clock,Training
133,0,2,1,2.4776335,Loss Clock,Validation
134,0,2,1,0.8881119,Accuracy Clock,Training
135,0,2,1,0.71755725,Accuracy Clock,Validation
136,0,2,1,1.5273877,Loss Computer_Mouse,Training
137,0,2,1,1.4952693,Loss Computer_Mouse,Validation
138,0,2,1,1.0,Accuracy Computer_Mouse,Training
139,0,2,1,1.0,Accuracy Computer_Mouse,Validation
140,0,2,1,1.8193204,Loss Cup,Training
141,0,2,1,1.9891586,Loss Cup,Validation
142,0,2,1,0.98540145,Accuracy Cup,Training
143,0,2,1,0.92903227,Accuracy Cup,Validation
144,0,2,1,2.0763917,Loss Fork,Training
145,0,2,1,2.1926901,Loss Fork,Validation
146,0,2,1,0.8366013,Accuracy Fork,Training
147,0,2,1,0.23870967,Accuracy Fork,Validation
148,0,2,1,2.0088913,Loss Keyboard,Training
149,0,2,1,2.0090375,Loss Keyboard,Validation
