,seed,examples_per_class,epoch,value,metric,split
0,1,2,0,2.4809515,Loss,Training
1,1,2,0,2.4158435,Loss,Validation
2,1,2,0,0.71111107,Accuracy,Training
3,1,2,0,0.66452587,Accuracy,Validation
4,1,2,0,2.4145968,Loss Bench,Training
5,1,2,0,2.3650432,Loss Bench,Validation
6,1,2,0,0.67460316,Accuracy Bench,Training
7,1,2,0,0.6183206,Accuracy Bench,Validation
8,1,2,0,2.33226,Loss Bicycle,Training
9,1,2,0,1.8866485,Loss Bicycle,Validation
10,1,2,0,0.72602737,Accuracy Bicycle,Training
11,1,2,0,1.0,Accuracy Bicycle,Validation
12,1,2,0,2.0428255,Loss Book,Training
13,1,2,0,2.4596422,Loss Book,Validation
14,1,2,0,0.91034484,Accuracy Book,Training
15,1,2,0,0.38926175,Accuracy Book,Validation
16,1,2,0,2.3686447,Loss Bottle,Training
17,1,2,0,2.2144277,Loss Bottle,Validation
18,1,2,0,0.7839506,Accuracy Bottle,Training
19,1,2,0,1.0,Accuracy Bottle,Validation
20,1,2,0,2.398124,Loss Bowl,Training
21,1,2,0,2.1460602,Loss Bowl,Validation
22,1,2,0,0.75449103,Accuracy Bowl,Training
23,1,2,0,0.9310345,Accuracy Bowl,Validation
24,1,2,0,2.676006,Loss Car,Training
25,1,2,0,2.5003855,Loss Car,Validation
26,1,2,0,0.4552239,Accuracy Car,Training
27,1,2,0,0.30215827,Accuracy Car,Validation
28,1,2,0,2.2780538,Loss Cell_Phone,Training
29,1,2,0,2.5858998,Loss Cell_Phone,Validation
30,1,2,0,0.7218045,Accuracy Cell_Phone,Training
31,1,2,0,0.33561644,Accuracy Cell_Phone,Validation
32,1,2,0,2.716535,Loss Chair,Training
33,1,2,0,2.6552677,Loss Chair,Validation
34,1,2,0,0.53968257,Accuracy Chair,Training
35,1,2,0,0.36434108,Accuracy Chair,Validation
36,1,2,0,2.6018484,Loss Clock,Training
37,1,2,0,2.7319734,Loss Clock,Validation
38,1,2,0,0.78,Accuracy Clock,Training
39,1,2,0,0.75609756,Accuracy Clock,Validation
40,1,2,0,2.3041952,Loss Computer_Mouse,Training
41,1,2,0,1.8619262,Loss Computer_Mouse,Validation
42,1,2,0,0.8345324,Accuracy Computer_Mouse,Training
43,1,2,0,1.0,Accuracy Computer_Mouse,Validation
44,1,2,0,2.5071187,Loss Cup,Training
45,1,2,0,2.4184513,Loss Cup,Validation
46,1,2,0,0.6791045,Accuracy Cup,Training
47,1,2,0,0.5241379,Accuracy Cup,Validation
48,1,2,0,2.5371532,Loss Fork,Training
49,1,2,0,2.4999816,Loss Fork,Validation
50,1,2,0,0.80714285,Accuracy Fork,Training
51,1,2,0,0.40939596,Accuracy Fork,Validation
52,1,2,0,2.7146456,Loss Keyboard,Training
53,1,2,0,2.5797174,Loss Keyboard,Validation
54,1,2,0,0.38686132,Accuracy Keyboard,Training
55,1,2,0,0.096551724,Accuracy Keyboard,Validation
56,1,2,0,2.4260604,Loss Knife,Training
57,1,2,0,2.6105735,Loss Knife,Validation
58,1,2,0,0.8296296,Accuracy Knife,Training
59,1,2,0,0.39583334,Accuracy Knife,Validation
60,1,2,0,2.411061,Loss Laptop,Training
61,1,2,0,2.1381454,Loss Laptop,Validation
62,1,2,0,0.8244275,Accuracy Laptop,Training
63,1,2,0,1.0,Accuracy Laptop,Validation
64,1,2,0,2.2638988,Loss Motorcycle,Training
65,1,2,0,2.228336,Loss Motorcycle,Validation
66,1,2,0,0.8344371,Accuracy Motorcycle,Training
67,1,2,0,0.9166667,Accuracy Motorcycle,Validation
68,1,2,0,2.2615604,Loss Potted_Plant,Training
69,1,2,0,2.1846244,Loss Potted_Plant,Validation
70,1,2,0,0.8378378,Accuracy Potted_Plant,Training
71,1,2,0,0.95652175,Accuracy Potted_Plant,Validation
72,1,2,0,2.6710563,Loss Spoon,Training
73,1,2,0,2.554599,Loss Spoon,Validation
74,1,2,0,0.61538464,Accuracy Spoon,Training
75,1,2,0,0.70149255,Accuracy Spoon,Validation
76,1,2,0,2.730076,Loss Sports_Ball,Training
77,1,2,0,2.7175357,Loss Sports_Ball,Validation
