,seed,examples_per_class,epoch,value,metric,split
0,2,2,0,2.587684,Loss,Training
1,2,2,0,2.4160433,Loss,Validation
2,2,2,0,0.68926585,Accuracy,Training
3,2,2,0,0.7487216,Accuracy,Validation
4,2,2,0,2.44995,Loss Bench,Training
5,2,2,0,2.2531896,Loss Bench,Validation
6,2,2,0,0.80714285,Accuracy Bench,Training
7,2,2,0,0.88148147,Accuracy Bench,Validation
8,2,2,0,2.538535,Loss Bicycle,Training
9,2,2,0,2.133887,Loss Bicycle,Validation
10,2,2,0,0.68345326,Accuracy Bicycle,Training
11,2,2,0,1.0,Accuracy Bicycle,Validation
12,2,2,0,2.675119,Loss Book,Training
13,2,2,0,2.499086,Loss Book,Validation
14,2,2,0,0.6333333,Accuracy Book,Training
15,2,2,0,0.41666666,Accuracy Book,Validation
16,2,2,0,2.5677838,Loss Bottle,Training
17,2,2,0,2.4959261,Loss Bottle,Validation
18,2,2,0,0.8396226,Accuracy Bottle,Training
19,2,2,0,0.8778626,Accuracy Bottle,Validation
20,2,2,0,2.721964,Loss Bowl,Training
21,2,2,0,2.5742998,Loss Bowl,Validation
22,2,2,0,0.5,Accuracy Bowl,Training
23,2,2,0,0.2932331,Accuracy Bowl,Validation
24,2,2,0,2.5251813,Loss Car,Training
25,2,2,0,2.099375,Loss Car,Validation
26,2,2,0,0.70212764,Accuracy Car,Training
27,2,2,0,1.0,Accuracy Car,Validation
28,2,2,0,2.5053113,Loss Cell_Phone,Training
29,2,2,0,2.381427,Loss Cell_Phone,Validation
30,2,2,0,0.7132353,Accuracy Cell_Phone,Training
31,2,2,0,0.33561644,Accuracy Cell_Phone,Validation
32,2,2,0,2.6043131,Loss Chair,Training
33,2,2,0,2.3736396,Loss Chair,Validation
34,2,2,0,0.739726,Accuracy Chair,Training
35,2,2,0,1.0,Accuracy Chair,Validation
36,2,2,0,2.7921193,Loss Clock,Training
37,2,2,0,2.713166,Loss Clock,Validation
38,2,2,0,0.5586207,Accuracy Clock,Training
39,2,2,0,0.6838235,Accuracy Clock,Validation
40,2,2,0,2.4484215,Loss Computer_Mouse,Training
41,2,2,0,2.288457,Loss Computer_Mouse,Validation
42,2,2,0,0.8181818,Accuracy Computer_Mouse,Training
43,2,2,0,1.0,Accuracy Computer_Mouse,Validation
44,2,2,0,2.46696,Loss Cup,Training
45,2,2,0,2.3838642,Loss Cup,Validation
46,2,2,0,0.810219,Accuracy Cup,Training
47,2,2,0,0.96428573,Accuracy Cup,Validation
48,2,2,0,2.7776327,Loss Fork,Training
49,2,2,0,2.5424042,Loss Fork,Validation
50,2,2,0,0.28225806,Accuracy Fork,Training
51,2,2,0,0.5033113,Accuracy Fork,Validation
52,2,2,0,2.8164299,Loss Keyboard,Training
53,2,2,0,2.56029,Loss Keyboard,Validation
54,2,2,0,0.25373134,Accuracy Keyboard,Training
55,2,2,0,0.16176471,Accuracy Keyboard,Validation
56,2,2,0,2.647536,Loss Knife,Training
57,2,2,0,2.4486458,Loss Knife,Validation
58,2,2,0,0.73333335,Accuracy Knife,Training
59,2,2,0,0.61702126,Accuracy Knife,Validation
60,2,2,0,2.462112,Loss Laptop,Training
61,2,2,0,2.1042914,Loss Laptop,Validation
62,2,2,0,0.8064516,Accuracy Laptop,Training
