,seed,examples_per_class,epoch,value,metric,split
0,2,2,0,2.5901995,Loss,Training
1,2,2,0,2.4226174,Loss,Validation
2,2,2,0,0.684831,Accuracy,Training
3,2,2,0,0.7462453,Accuracy,Validation
4,2,2,0,2.4134638,Loss Bench,Training
5,2,2,0,2.2586505,Loss Bench,Validation
6,2,2,0,0.8642857,Accuracy Bench,Training
7,2,2,0,0.88148147,Accuracy Bench,Validation
8,2,2,0,2.5681932,Loss Bicycle,Training
9,2,2,0,2.1537488,Loss Bicycle,Validation
10,2,2,0,0.64748204,Accuracy Bicycle,Training
11,2,2,0,1.0,Accuracy Bicycle,Validation
12,2,2,0,2.6697059,Loss Book,Training
13,2,2,0,2.5044072,Loss Book,Validation
14,2,2,0,0.65,Accuracy Book,Training
15,2,2,0,0.45833334,Accuracy Book,Validation
16,2,2,0,2.5878758,Loss Bottle,Training
17,2,2,0,2.5176148,Loss Bottle,Validation
18,2,2,0,0.7830189,Accuracy Bottle,Training
19,2,2,0,0.9236641,Accuracy Bottle,Validation
20,2,2,0,2.7224414,Loss Bowl,Training
21,2,2,0,2.5909376,Loss Bowl,Validation
22,2,2,0,0.5,Accuracy Bowl,Training
23,2,2,0,0.2932331,Accuracy Bowl,Validation
24,2,2,0,2.5224674,Loss Car,Training
25,2,2,0,2.0997791,Loss Car,Validation
26,2,2,0,0.6879433,Accuracy Car,Training
27,2,2,0,0.9402985,Accuracy Car,Validation
28,2,2,0,2.5102088,Loss Cell_Phone,Training
29,2,2,0,2.3822021,Loss Cell_Phone,Validation
30,2,2,0,0.6985294,Accuracy Cell_Phone,Training
31,2,2,0,0.34931508,Accuracy Cell_Phone,Validation
32,2,2,0,2.6031606,Loss Chair,Training
33,2,2,0,2.3338914,Loss Chair,Validation
34,2,2,0,0.70547944,Accuracy Chair,Training
35,2,2,0,1.0,Accuracy Chair,Validation
36,2,2,0,2.7877762,Loss Clock,Training
37,2,2,0,2.7053335,Loss Clock,Validation
38,2,2,0,0.62068963,Accuracy Clock,Training
39,2,2,0,0.6838235,Accuracy Clock,Validation
40,2,2,0,2.4752412,Loss Computer_Mouse,Training
41,2,2,0,2.2848747,Loss Computer_Mouse,Validation
42,2,2,0,0.7692308,Accuracy Computer_Mouse,Training
43,2,2,0,1.0,Accuracy Computer_Mouse,Validation
44,2,2,0,2.4524574,Loss Cup,Training
45,2,2,0,2.3892179,Loss Cup,Validation
46,2,2,0,0.8394161,Accuracy Cup,Training
47,2,2,0,0.96428573,Accuracy Cup,Validation
48,2,2,0,2.770922,Loss Fork,Training
49,2,2,0,2.5588574,Loss Fork,Validation
50,2,2,0,0.31451613,Accuracy Fork,Training
51,2,2,0,0.43046358,Accuracy Fork,Validation
52,2,2,0,2.8133066,Loss Keyboard,Training
53,2,2,0,2.5782561,Loss Keyboard,Validation
54,2,2,0,0.2761194,Accuracy Keyboard,Training
55,2,2,0,0.16911764,Accuracy Keyboard,Validation
56,2,2,0,2.684548,Loss Knife,Training
57,2,2,0,2.445576,Loss Knife,Validation
58,2,2,0,0.66,Accuracy Knife,Training
59,2,2,0,0.61702126,Accuracy Knife,Validation
60,2,2,0,2.4590688,Loss Laptop,Training
61,2,2,0,2.113554,Loss Laptop,Validation
62,2,2,0,0.8,Accuracy Laptop,Training
63,2,2,0,1.0,Accuracy Laptop,Validation
64,2,2,0,2.3993516,Loss Motorcycle,Training
65,2,2,0,2.222184,Loss Motorcycle,Validation
66,2,2,0,0.78417265,Accuracy Motorcycle,Training
67,2,2,0,1.0,Accuracy Motorcycle,Validation
68,2,2,0,2.5917041,Loss Potted_Plant,Training
69,2,2,0,2.3729706,Loss Potted_Plant,Validation
70,2,2,0,0.73333335,Accuracy Potted_Plant,Training
71,2,2,0,0.7925926,Accuracy Potted_Plant,Validation
72,2,2,0,2.4803553,Loss Spoon,Training
73,2,2,0,2.5324998,Loss Spoon,Validation
74,2,2,0,0.8874172,Accuracy Spoon,Training
75,2,2,0,0.6439394,Accuracy Spoon,Validation
76,2,2,0,2.8159478,Loss Sports_Ball,Training
77,2,2,0,2.8439758,Loss Sports_Ball,Validation
78,2,2,0,0.45185184,Accuracy Sports_Ball,Training
79,2,2,0,0.3046875,Accuracy Sports_Ball,Validation
80,2,2,0,2.5359232,Loss Tie,Training
81,2,2,0,2.399939,Loss Tie,Validation
82,2,2,0,0.8108108,Accuracy Tie,Training
83,2,2,0,0.89506173,Accuracy Tie,Validation
84,2,2,0,2.6234374,Loss Traffic_Light,Training
85,2,2,0,2.6026676,Loss Traffic_Light,Validation
86,2,2,0,0.7121212,Accuracy Traffic_Light,Training
87,2,2,0,0.81632656,Accuracy Traffic_Light,Validation
88,2,2,0,2.5616674,Loss Tv_Remote,Training
89,2,2,0,2.4722784,Loss Tv_Remote,Validation
90,2,2,0,0.7151899,Accuracy Tv_Remote,Training
91,2,2,0,1.0,Accuracy Tv_Remote,Validation
92,2,2,0,2.5253649,Loss Wine_Glass,Training
93,2,2,0,2.3567815,Loss Wine_Glass,Validation
94,2,2,0,0.83950615,Accuracy Wine_Glass,Training
95,2,2,0,1.0,Accuracy Wine_Glass,Validation
96,2,2,1,1.7092619,Loss,Training
97,2,2,1,1.8871257,Loss,Validation
98,2,2,1,0.96856964,Accuracy,Training
99,2,2,1,0.85691786,Accuracy,Validation
100,2,2,1,1.3279227,Loss Bench,Training
101,2,2,1,1.5764902,Loss Bench,Validation
102,2,2,1,1.0,Accuracy Bench,Training
103,2,2,1,0.93798447,Accuracy Bench,Validation
104,2,2,1,1.6445483,Loss Bicycle,Training
105,2,2,1,1.3563837,Loss Bicycle,Validation
106,2,2,1,0.9716312,Accuracy Bicycle,Training
107,2,2,1,1.0,Accuracy Bicycle,Validation
108,2,2,1,1.7080382,Loss Book,Training
109,2,2,1,1.8506213,Loss Book,Validation
110,2,2,1,0.9932432,Accuracy Book,Training
111,2,2,1,0.6791045,Accuracy Book,Validation
112,2,2,1,1.6245985,Loss Bottle,Training
113,2,2,1,1.9584183,Loss Bottle,Validation
114,2,2,1,1.0,Accuracy Bottle,Training
115,2,2,1,1.0,Accuracy Bottle,Validation
116,2,2,1,1.735637,Loss Bowl,Training
117,2,2,1,2.0176444,Loss Bowl,Validation
118,2,2,1,0.9846154,Accuracy Bowl,Training
119,2,2,1,0.8955224,Accuracy Bowl,Validation
120,2,2,1,1.4790418,Loss Car,Training
121,2,2,1,1.373582,Loss Car,Validation
122,2,2,1,1.0,Accuracy Car,Training
123,2,2,1,1.0,Accuracy Car,Validation
124,2,2,1,1.9003867,Loss Cell_Phone,Training
125,2,2,1,2.1592002,Loss Cell_Phone,Validation
126,2,2,1,0.8761905,Accuracy Cell_Phone,Training
127,2,2,1,0.32885906,Accuracy Cell_Phone,Validation
128,2,2,1,1.895219,Loss Chair,Training
129,2,2,1,1.7536695,Loss Chair,Validation
130,2,2,1,0.9612903,Accuracy Chair,Training
131,2,2,1,1.0,Accuracy Chair,Validation
132,2,2,1,2.1020122,Loss Clock,Training
133,2,2,1,2.3342042,Loss Clock,Validation
134,2,2,1,0.96899223,Accuracy Clock,Training
135,2,2,1,0.8,Accuracy Clock,Validation
136,2,2,1,1.5884401,Loss Computer_Mouse,Training
137,2,2,1,1.6692331,Loss Computer_Mouse,Validation
138,2,2,1,1.0,Accuracy Computer_Mouse,Training
139,2,2,1,1.0,Accuracy Computer_Mouse,Validation
140,2,2,1,1.4832711,Loss Cup,Training
141,2,2,1,1.8800633,Loss Cup,Validation
142,2,2,1,1.0,Accuracy Cup,Training
143,2,2,1,0.9375,Accuracy Cup,Validation
144,2,2,1,1.8835305,Loss Fork,Training
145,2,2,1,1.8469586,Loss Fork,Validation
146,2,2,1,0.9745223,Accuracy Fork,Training
147,2,2,1,0.90076333,Accuracy Fork,Validation
148,2,2,1,2.1741457,Loss Keyboard,Training
149,2,2,1,2.1334448,Loss Keyboard,Validation
150,2,2,1,0.6230769,Accuracy Keyboard,Training
151,2,2,1,0.5,Accuracy Keyboard,Validation
152,2,2,1,1.8750664,Loss Knife,Training
153,2,2,1,1.9338058,Loss Knife,Validation
154,2,2,1,0.9787234,Accuracy Knife,Training
155,2,2,1,0.8264463,Accuracy Knife,Validation
156,2,2,1,1.5456296,Loss Laptop,Training
157,2,2,1,1.6489186,Loss Laptop,Validation
158,2,2,1,1.0,Accuracy Laptop,Training
159,2,2,1,1.0,Accuracy Laptop,Validation
160,2,2,1,1.3440456,Loss Motorcycle,Training
161,2,2,1,1.7223659,Loss Motorcycle,Validation
162,2,2,1,1.0,Accuracy Motorcycle,Training
163,2,2,1,1.0,Accuracy Motorcycle,Validation
164,2,2,1,1.5664471,Loss Potted_Plant,Training
165,2,2,1,1.5527325,Loss Potted_Plant,Validation
166,2,2,1,1.0,Accuracy Potted_Plant,Training
167,2,2,1,1.0,Accuracy Potted_Plant,Validation
168,2,2,1,1.7249352,Loss Spoon,Training
169,2,2,1,2.2322009,Loss Spoon,Validation
170,2,2,1,0.9925373,Accuracy Spoon,Training
171,2,2,1,0.36601308,Accuracy Spoon,Validation
172,2,2,1,2.0864375,Loss Sports_Ball,Training
173,2,2,1,2.4762735,Loss Sports_Ball,Validation
174,2,2,1,0.96666664,Accuracy Sports_Ball,Training
175,2,2,1,0.7586207,Accuracy Sports_Ball,Validation
176,2,2,1,1.6213964,Loss Tie,Training
177,2,2,1,1.8217565,Loss Tie,Validation
178,2,2,1,1.0,Accuracy Tie,Training
179,2,2,1,0.9127517,Accuracy Tie,Validation
180,2,2,1,1.7766428,Loss Traffic_Light,Training
181,2,2,1,2.1452894,Loss Traffic_Light,Validation
182,2,2,1,0.99285716,Accuracy Traffic_Light,Training
183,2,2,1,0.8655462,Accuracy Traffic_Light,Validation
184,2,2,1,1.6198343,Loss Tv_Remote,Training
185,2,2,1,2.1223822,Loss Tv_Remote,Validation
186,2,2,1,0.9927536,Accuracy Tv_Remote,Training
187,2,2,1,1.0,Accuracy Tv_Remote,Validation
188,2,2,1,1.6057969,Loss Wine_Glass,Training
189,2,2,1,1.8382496,Loss Wine_Glass,Validation
190,2,2,1,1.0,Accuracy Wine_Glass,Training
191,2,2,1,1.0,Accuracy Wine_Glass,Validation
192,2,2,2,1.1205509,Loss,Training
193,2,2,2,1.5619608,Loss,Validation
194,2,2,2,0.9931732,Accuracy,Training
195,2,2,2,0.870341,Accuracy,Validation
196,2,2,2,0.7199173,Loss Bench,Training
197,2,2,2,1.208107,Loss Bench,Validation
198,2,2,2,1.0,Accuracy Bench,Training
199,2,2,2,0.97183096,Accuracy Bench,Validation
200,2,2,2,1.0392758,Loss Bicycle,Training
201,2,2,2,0.93120736,Loss Bicycle,Validation
202,2,2,2,1.0,Accuracy Bicycle,Training
203,2,2,2,1.0,Accuracy Bicycle,Validation
204,2,2,2,1.050239,Loss Book,Training
205,2,2,2,1.7038534,Loss Book,Validation
206,2,2,2,1.0,Accuracy Book,Training
207,2,2,2,0.6031746,Accuracy Book,Validation
208,2,2,2,1.1153979,Loss Bottle,Training
209,2,2,2,1.5437338,Loss Bottle,Validation
210,2,2,2,1.0,Accuracy Bottle,Training
211,2,2,2,1.0,Accuracy Bottle,Validation
212,2,2,2,1.020492,Loss Bowl,Training
213,2,2,2,1.5510072,Loss Bowl,Validation
214,2,2,2,1.0,Accuracy Bowl,Training
215,2,2,2,1.0,Accuracy Bowl,Validation
216,2,2,2,0.8823993,Loss Car,Training
217,2,2,2,1.0849056,Loss Car,Validation
218,2,2,2,1.0,Accuracy Car,Training
219,2,2,2,1.0,Accuracy Car,Validation
220,2,2,2,1.2837706,Loss Cell_Phone,Training
221,2,2,2,1.8817024,Loss Cell_Phone,Validation
222,2,2,2,0.9930556,Accuracy Cell_Phone,Training
223,2,2,2,0.4051724,Accuracy Cell_Phone,Validation
224,2,2,2,1.3354956,Loss Chair,Training
225,2,2,2,1.4330273,Loss Chair,Validation
226,2,2,2,0.9929078,Accuracy Chair,Training
227,2,2,2,1.0,Accuracy Chair,Validation
228,2,2,2,1.446754,Loss Clock,Training
229,2,2,2,1.9732984,Loss Clock,Validation
230,2,2,2,1.0,Accuracy Clock,Training
231,2,2,2,0.9507042,Accuracy Clock,Validation
232,2,2,2,1.0807116,Loss Computer_Mouse,Training
233,2,2,2,1.3110831,Loss Computer_Mouse,Validation
234,2,2,2,0.991453,Accuracy Computer_Mouse,Training
235,2,2,2,1.0,Accuracy Computer_Mouse,Validation
236,2,2,2,0.821559,Loss Cup,Training
237,2,2,2,1.5583382,Loss Cup,Validation
238,2,2,2,1.0,Accuracy Cup,Training
239,2,2,2,0.8333333,Accuracy Cup,Validation
240,2,2,2,1.2721056,Loss Fork,Training
241,2,2,2,1.4154767,Loss Fork,Validation
242,2,2,2,1.0,Accuracy Fork,Training
243,2,2,2,0.9640288,Accuracy Fork,Validation
244,2,2,2,1.5921402,Loss Keyboard,Training
245,2,2,2,1.7903484,Loss Keyboard,Validation
246,2,2,2,0.9007092,Accuracy Keyboard,Training
247,2,2,2,0.71428573,Accuracy Keyboard,Validation
248,2,2,2,1.2620977,Loss Knife,Training
249,2,2,2,1.6280909,Loss Knife,Validation
250,2,2,2,0.99270076,Accuracy Knife,Training
251,2,2,2,0.73913044,Accuracy Knife,Validation
252,2,2,2,1.0516521,Loss Laptop,Training
253,2,2,2,1.273244,Loss Laptop,Validation
254,2,2,2,0.98675495,Accuracy Laptop,Training
255,2,2,2,1.0,Accuracy Laptop,Validation
256,2,2,2,0.90870285,Loss Motorcycle,Training
257,2,2,2,1.4316574,Loss Motorcycle,Validation
258,2,2,2,1.0,Accuracy Motorcycle,Training
259,2,2,2,1.0,Accuracy Motorcycle,Validation
260,2,2,2,0.99217814,Loss Potted_Plant,Training
261,2,2,2,1.355732,Loss Potted_Plant,Validation
262,2,2,2,1.0,Accuracy Potted_Plant,Training
263,2,2,2,1.0,Accuracy Potted_Plant,Validation
264,2,2,2,1.1487238,Loss Spoon,Training
265,2,2,2,2.153728,Loss Spoon,Validation
266,2,2,2,1.0,Accuracy Spoon,Training
267,2,2,2,0.29508197,Accuracy Spoon,Validation
268,2,2,2,1.5017637,Loss Sports_Ball,Training
269,2,2,2,2.138426,Loss Sports_Ball,Validation
270,2,2,2,0.98540145,Accuracy Sports_Ball,Training
271,2,2,2,0.73282444,Accuracy Sports_Ball,Validation
272,2,2,2,0.95658255,Loss Tie,Training
273,2,2,2,1.4871058,Loss Tie,Validation
274,2,2,2,1.0,Accuracy Tie,Training
275,2,2,2,0.8712121,Accuracy Tie,Validation
276,2,2,2,1.13114,Loss Traffic_Light,Training
277,2,2,2,1.9154392,Loss Traffic_Light,Validation
278,2,2,2,1.0,Accuracy Traffic_Light,Training
279,2,2,2,0.9370629,Accuracy Traffic_Light,Validation
280,2,2,2,1.102958,Loss Tv_Remote,Training
