,seed,examples_per_class,epoch,value,metric,split
0,1,2,0,2.6573598,Loss,Training
1,1,2,0,2.4447308,Loss,Validation
2,1,2,0,0.5733388,Accuracy,Training
3,1,2,0,0.65631545,Accuracy,Validation
4,1,2,0,2.6200273,Loss Bench,Training
5,1,2,0,2.2389243,Loss Bench,Validation
6,1,2,0,0.515873,Accuracy Bench,Training
7,1,2,0,0.8244275,Accuracy Bench,Validation
8,1,2,0,2.5285552,Loss Bicycle,Training
9,1,2,0,1.9735652,Loss Bicycle,Validation
10,1,2,0,0.49315068,Accuracy Bicycle,Training
11,1,2,0,1.0,Accuracy Bicycle,Validation
12,1,2,0,2.337458,Loss Book,Training
13,1,2,0,2.4391062,Loss Book,Validation
14,1,2,0,0.87586206,Accuracy Book,Training
15,1,2,0,0.68456376,Accuracy Book,Validation
16,1,2,0,2.565111,Loss Bottle,Training
17,1,2,0,2.282266,Loss Bottle,Validation
18,1,2,0,0.69135803,Accuracy Bottle,Training
19,1,2,0,1.0,Accuracy Bottle,Validation
20,1,2,0,2.5679588,Loss Bowl,Training
21,1,2,0,2.2219436,Loss Bowl,Validation
22,1,2,0,0.7305389,Accuracy Bowl,Training
23,1,2,0,0.9172414,Accuracy Bowl,Validation
24,1,2,0,2.8561528,Loss Car,Training
25,1,2,0,2.5458672,Loss Car,Validation
26,1,2,0,0.21641791,Accuracy Car,Training
27,1,2,0,0.352518,Accuracy Car,Validation
28,1,2,0,2.622399,Loss Cell_Phone,Training
29,1,2,0,2.7023787,Loss Cell_Phone,Validation
30,1,2,0,0.60150373,Accuracy Cell_Phone,Training
31,1,2,0,0.11643836,Accuracy Cell_Phone,Validation
32,1,2,0,2.7745957,Loss Chair,Training
33,1,2,0,2.753361,Loss Chair,Validation
34,1,2,0,0.37301588,Accuracy Chair,Training
35,1,2,0,0.19379845,Accuracy Chair,Validation
36,1,2,0,2.7395537,Loss Clock,Training
37,1,2,0,2.7073164,Loss Clock,Validation
38,1,2,0,0.72,Accuracy Clock,Training
39,1,2,0,0.6422764,Accuracy Clock,Validation
40,1,2,0,2.4515572,Loss Computer_Mouse,Training
41,1,2,0,2.0176916,Loss Computer_Mouse,Validation
42,1,2,0,0.8201439,Accuracy Computer_Mouse,Training
43,1,2,0,1.0,Accuracy Computer_Mouse,Validation
44,1,2,0,2.652908,Loss Cup,Training
45,1,2,0,2.438171,Loss Cup,Validation
46,1,2,0,0.3432836,Accuracy Cup,Training
47,1,2,0,0.5448276,Accuracy Cup,Validation
48,1,2,0,2.7723782,Loss Fork,Training
49,1,2,0,2.5911994,Loss Fork,Validation
50,1,2,0,0.64285713,Accuracy Fork,Training
51,1,2,0,0.31543624,Accuracy Fork,Validation
52,1,2,0,2.8012626,Loss Keyboard,Training
53,1,2,0,2.5747547,Loss Keyboard,Validation
54,1,2,0,0.24817519,Accuracy Keyboard,Training
55,1,2,0,0.096551724,Accuracy Keyboard,Validation
56,1,2,0,2.6550853,Loss Knife,Training
57,1,2,0,2.553,Loss Knife,Validation
58,1,2,0,0.73333335,Accuracy Knife,Training
59,1,2,0,0.6805556,Accuracy Knife,Validation
60,1,2,0,2.5204303,Loss Laptop,Training
61,1,2,0,2.1993966,Loss Laptop,Validation
62,1,2,0,0.7557252,Accuracy Laptop,Training
63,1,2,0,1.0,Accuracy Laptop,Validation
64,1,2,0,2.4779053,Loss Motorcycle,Training
65,1,2,0,2.213681,Loss Motorcycle,Validation
66,1,2,0,0.7549669,Accuracy Motorcycle,Training
67,1,2,0,0.9166667,Accuracy Motorcycle,Validation
68,1,2,0,2.5297277,Loss Potted_Plant,Training
69,1,2,0,2.1848605,Loss Potted_Plant,Validation
70,1,2,0,0.7364865,Accuracy Potted_Plant,Training
71,1,2,0,0.95652175,Accuracy Potted_Plant,Validation
72,1,2,0,2.8355281,Loss Spoon,Training
73,1,2,0,2.5904548,Loss Spoon,Validation
74,1,2,0,0.43076923,Accuracy Spoon,Training
75,1,2,0,0.7910448,Accuracy Spoon,Validation
76,1,2,0,2.9575665,Loss Sports_Ball,Training
77,1,2,0,2.8060212,Loss Sports_Ball,Validation
78,1,2,0,0.19166666,Accuracy Sports_Ball,Training
79,1,2,0,0.36764705,Accuracy Sports_Ball,Validation
80,1,2,0,2.623069,Loss Tie,Training
81,1,2,0,2.5082345,Loss Tie,Validation
82,1,2,0,0.57042253,Accuracy Tie,Training
83,1,2,0,0.43165466,Accuracy Tie,Validation
