,seed,examples_per_class,epoch,value,metric,split
0,2,2,0,2.5859656,Loss,Training
1,2,2,0,2.413624,Loss,Validation
2,2,2,0,0.6984382,Accuracy,Training
3,2,2,0,0.7678493,Accuracy,Validation
4,2,2,0,2.4054775,Loss Bench,Training
5,2,2,0,2.242393,Loss Bench,Validation
6,2,2,0,0.8214286,Accuracy Bench,Training
7,2,2,0,0.88148147,Accuracy Bench,Validation
8,2,2,0,2.5820832,Loss Bicycle,Training
9,2,2,0,2.1295578,Loss Bicycle,Validation
10,2,2,0,0.68345326,Accuracy Bicycle,Training
11,2,2,0,1.0,Accuracy Bicycle,Validation
12,2,2,0,2.6796563,Loss Book,Training
13,2,2,0,2.498582,Loss Book,Validation
14,2,2,0,0.6166667,Accuracy Book,Training
15,2,2,0,0.35833332,Accuracy Book,Validation
16,2,2,0,2.5911796,Loss Bottle,Training
17,2,2,0,2.5058212,Loss Bottle,Validation
18,2,2,0,0.7735849,Accuracy Bottle,Training
19,2,2,0,0.8854962,Accuracy Bottle,Validation
20,2,2,0,2.717578,Loss Bowl,Training
21,2,2,0,2.5847247,Loss Bowl,Validation
22,2,2,0,0.5483871,Accuracy Bowl,Training
23,2,2,0,0.38345864,Accuracy Bowl,Validation
24,2,2,0,2.5175824,Loss Car,Training
25,2,2,0,2.10071,Loss Car,Validation
26,2,2,0,0.71631205,Accuracy Car,Training
27,2,2,0,0.9402985,Accuracy Car,Validation
28,2,2,0,2.5147023,Loss Cell_Phone,Training
29,2,2,0,2.3861902,Loss Cell_Phone,Validation
30,2,2,0,0.7058824,Accuracy Cell_Phone,Training
31,2,2,0,0.45890412,Accuracy Cell_Phone,Validation
32,2,2,0,2.6108048,Loss Chair,Training
33,2,2,0,2.3459666,Loss Chair,Validation
34,2,2,0,0.739726,Accuracy Chair,Training
35,2,2,0,1.0,Accuracy Chair,Validation
36,2,2,0,2.7635798,Loss Clock,Training
37,2,2,0,2.684474,Loss Clock,Validation
38,2,2,0,0.6275862,Accuracy Clock,Training
39,2,2,0,0.6838235,Accuracy Clock,Validation
40,2,2,0,2.4585981,Loss Computer_Mouse,Training
41,2,2,0,2.2665758,Loss Computer_Mouse,Validation
42,2,2,0,0.7972028,Accuracy Computer_Mouse,Training
43,2,2,0,1.0,Accuracy Computer_Mouse,Validation
44,2,2,0,2.471366,Loss Cup,Training
45,2,2,0,2.4079957,Loss Cup,Validation
46,2,2,0,0.8321168,Accuracy Cup,Training
47,2,2,0,0.96428573,Accuracy Cup,Validation
48,2,2,0,2.776524,Loss Fork,Training
49,2,2,0,2.5432932,Loss Fork,Validation
50,2,2,0,0.31451613,Accuracy Fork,Training
51,2,2,0,0.42384106,Accuracy Fork,Validation
52,2,2,0,2.7976913,Loss Keyboard,Training
53,2,2,0,2.554156,Loss Keyboard,Validation
54,2,2,0,0.3283582,Accuracy Keyboard,Training
55,2,2,0,0.16176471,Accuracy Keyboard,Validation
56,2,2,0,2.6297596,Loss Knife,Training
57,2,2,0,2.4166298,Loss Knife,Validation
58,2,2,0,0.73333335,Accuracy Knife,Training
59,2,2,0,0.6453901,Accuracy Knife,Validation
60,2,2,0,2.4819684,Loss Laptop,Training
61,2,2,0,2.1090918,Loss Laptop,Validation
62,2,2,0,0.7548387,Accuracy Laptop,Training
63,2,2,0,1.0,Accuracy Laptop,Validation
64,2,2,0,2.3897498,Loss Motorcycle,Training
65,2,2,0,2.2440505,Loss Motorcycle,Validation
66,2,2,0,0.82733816,Accuracy Motorcycle,Training
67,2,2,0,1.0,Accuracy Motorcycle,Validation
68,2,2,0,2.5580466,Loss Potted_Plant,Training
69,2,2,0,2.334833,Loss Potted_Plant,Validation
70,2,2,0,0.8,Accuracy Potted_Plant,Training
71,2,2,0,0.9259259,Accuracy Potted_Plant,Validation
72,2,2,0,2.4682465,Loss Spoon,Training
73,2,2,0,2.5330126,Loss Spoon,Validation
74,2,2,0,0.9072848,Accuracy Spoon,Training
75,2,2,0,0.6287879,Accuracy Spoon,Validation
76,2,2,0,2.757858,Loss Sports_Ball,Training
77,2,2,0,2.8213272,Loss Sports_Ball,Validation
78,2,2,0,0.54814816,Accuracy Sports_Ball,Training
79,2,2,0,0.59375,Accuracy Sports_Ball,Validation
80,2,2,0,2.52367,Loss Tie,Training
81,2,2,0,2.3847091,Loss Tie,Validation
82,2,2,0,0.8040541,Accuracy Tie,Training
83,2,2,0,0.89506173,Accuracy Tie,Validation
84,2,2,0,2.6602688,Loss Traffic_Light,Training
85,2,2,0,2.6070116,Loss Traffic_Light,Validation
86,2,2,0,0.65909094,Accuracy Traffic_Light,Training
87,2,2,0,0.829932,Accuracy Traffic_Light,Validation
88,2,2,0,2.5390325,Loss Tv_Remote,Training
89,2,2,0,2.4684525,Loss Tv_Remote,Validation
90,2,2,0,0.7531645,Accuracy Tv_Remote,Training
91,2,2,0,1.0,Accuracy Tv_Remote,Validation
92,2,2,0,2.5817866,Loss Wine_Glass,Training
93,2,2,0,2.3438013,Loss Wine_Glass,Validation
94,2,2,0,0.77160496,Accuracy Wine_Glass,Training
95,2,2,0,1.0,Accuracy Wine_Glass,Validation
96,2,2,1,1.6920701,Loss,Training
97,2,2,1,1.8932283,Loss,Validation
98,2,2,1,0.97557,Accuracy,Training
99,2,2,1,0.8738618,Accuracy,Validation
100,2,2,1,1.3173193,Loss Bench,Training
101,2,2,1,1.5800167,Loss Bench,Validation
102,2,2,1,1.0,Accuracy Bench,Training
103,2,2,1,0.8992248,Accuracy Bench,Validation
104,2,2,1,1.6299214,Loss Bicycle,Training
105,2,2,1,1.375353,Loss Bicycle,Validation
106,2,2,1,0.964539,Accuracy Bicycle,Training
107,2,2,1,1.0,Accuracy Bicycle,Validation
108,2,2,1,1.715126,Loss Book,Training
109,2,2,1,1.8338418,Loss Book,Validation
110,2,2,1,0.9797297,Accuracy Book,Training
111,2,2,1,0.6865672,Accuracy Book,Validation
112,2,2,1,1.6141484,Loss Bottle,Training
113,2,2,1,1.9529167,Loss Bottle,Validation
114,2,2,1,1.0,Accuracy Bottle,Training
115,2,2,1,1.0,Accuracy Bottle,Validation
116,2,2,1,1.7134911,Loss Bowl,Training
117,2,2,1,2.0341213,Loss Bowl,Validation
118,2,2,1,0.99230766,Accuracy Bowl,Training
119,2,2,1,0.8955224,Accuracy Bowl,Validation
120,2,2,1,1.4777769,Loss Car,Training
121,2,2,1,1.3852049,Loss Car,Validation
122,2,2,1,1.0,Accuracy Car,Training
123,2,2,1,1.0,Accuracy Car,Validation
124,2,2,1,1.8816037,Loss Cell_Phone,Training
125,2,2,1,2.173426,Loss Cell_Phone,Validation
126,2,2,1,0.8952381,Accuracy Cell_Phone,Training
127,2,2,1,0.37583894,Accuracy Cell_Phone,Validation
128,2,2,1,1.82621,Loss Chair,Training
129,2,2,1,1.7657716,Loss Chair,Validation
130,2,2,1,0.9806452,Accuracy Chair,Training
131,2,2,1,1.0,Accuracy Chair,Validation
132,2,2,1,2.0809586,Loss Clock,Training
133,2,2,1,2.3333614,Loss Clock,Validation
134,2,2,1,0.9844961,Accuracy Clock,Training
135,2,2,1,0.8,Accuracy Clock,Validation
136,2,2,1,1.5318207,Loss Computer_Mouse,Training
137,2,2,1,1.6965384,Loss Computer_Mouse,Validation
138,2,2,1,1.0,Accuracy Computer_Mouse,Training
139,2,2,1,1.0,Accuracy Computer_Mouse,Validation
140,2,2,1,1.482732,Loss Cup,Training
141,2,2,1,1.9107668,Loss Cup,Validation
142,2,2,1,1.0,Accuracy Cup,Training
143,2,2,1,0.90625,Accuracy Cup,Validation
144,2,2,1,1.8988216,Loss Fork,Training
145,2,2,1,1.8313308,Loss Fork,Validation
146,2,2,1,0.9681529,Accuracy Fork,Training
147,2,2,1,0.9541985,Accuracy Fork,Validation
148,2,2,1,2.1008408,Loss Keyboard,Training
149,2,2,1,2.114923,Loss Keyboard,Validation
150,2,2,1,0.7153846,Accuracy Keyboard,Training
151,2,2,1,0.775,Accuracy Keyboard,Validation
152,2,2,1,1.8176503,Loss Knife,Training
153,2,2,1,1.9236492,Loss Knife,Validation
154,2,2,1,0.9858156,Accuracy Knife,Training
155,2,2,1,0.80991733,Accuracy Knife,Validation
156,2,2,1,1.5782933,Loss Laptop,Training
157,2,2,1,1.6706258,Loss Laptop,Validation
158,2,2,1,1.0,Accuracy Laptop,Training
159,2,2,1,1.0,Accuracy Laptop,Validation
160,2,2,1,1.3312371,Loss Motorcycle,Training
161,2,2,1,1.7601517,Loss Motorcycle,Validation
162,2,2,1,1.0,Accuracy Motorcycle,Training
163,2,2,1,1.0,Accuracy Motorcycle,Validation
164,2,2,1,1.5000521,Loss Potted_Plant,Training
165,2,2,1,1.537352,Loss Potted_Plant,Validation
166,2,2,1,1.0,Accuracy Potted_Plant,Training
167,2,2,1,1.0,Accuracy Potted_Plant,Validation
168,2,2,1,1.703762,Loss Spoon,Training
169,2,2,1,2.231859,Loss Spoon,Validation
170,2,2,1,1.0,Accuracy Spoon,Training
171,2,2,1,0.4509804,Accuracy Spoon,Validation
172,2,2,1,2.0429008,Loss Sports_Ball,Training
173,2,2,1,2.4759853,Loss Sports_Ball,Validation
174,2,2,1,0.99333334,Accuracy Sports_Ball,Training
175,2,2,1,0.7586207,Accuracy Sports_Ball,Validation
176,2,2,1,1.5618513,Loss Tie,Training
177,2,2,1,1.8563644,Loss Tie,Validation
178,2,2,1,1.0,Accuracy Tie,Training
179,2,2,1,0.9127517,Accuracy Tie,Validation
180,2,2,1,1.8246237,Loss Traffic_Light,Training
181,2,2,1,2.1516373,Loss Traffic_Light,Validation
182,2,2,1,0.98571426,Accuracy Traffic_Light,Training
183,2,2,1,0.8739496,Accuracy Traffic_Light,Validation
184,2,2,1,1.5957952,Loss Tv_Remote,Training
185,2,2,1,2.111792,Loss Tv_Remote,Validation
186,2,2,1,0.9927536,Accuracy Tv_Remote,Training
187,2,2,1,1.0,Accuracy Tv_Remote,Validation
188,2,2,1,1.6906791,Loss Wine_Glass,Training
189,2,2,1,1.8372564,Loss Wine_Glass,Validation
190,2,2,1,1.0,Accuracy Wine_Glass,Training
191,2,2,1,1.0,Accuracy Wine_Glass,Validation
192,2,2,2,1.1006333,Loss,Training
193,2,2,2,1.5537825,Loss,Validation
194,2,2,2,0.99693424,Accuracy,Training
195,2,2,2,0.8686396,Accuracy,Validation
196,2,2,2,0.68246394,Loss Bench,Training
197,2,2,2,1.1941527,Loss Bench,Validation
198,2,2,2,1.0,Accuracy Bench,Training
199,2,2,2,0.97183096,Accuracy Bench,Validation
200,2,2,2,1.0420234,Loss Bicycle,Training
201,2,2,2,0.90724003,Loss Bicycle,Validation
202,2,2,2,1.0,Accuracy Bicycle,Training
203,2,2,2,1.0,Accuracy Bicycle,Validation
204,2,2,2,1.0617979,Loss Book,Training
205,2,2,2,1.6816605,Loss Book,Validation
206,2,2,2,1.0,Accuracy Book,Training
207,2,2,2,0.56349206,Accuracy Book,Validation
208,2,2,2,1.1097556,Loss Bottle,Training
209,2,2,2,1.5433371,Loss Bottle,Validation
210,2,2,2,1.0,Accuracy Bottle,Training
211,2,2,2,1.0,Accuracy Bottle,Validation
212,2,2,2,0.9905165,Loss Bowl,Training
213,2,2,2,1.571258,Loss Bowl,Validation
214,2,2,2,1.0,Accuracy Bowl,Training
215,2,2,2,0.8888889,Accuracy Bowl,Validation
216,2,2,2,0.872173,Loss Car,Training
217,2,2,2,1.093277,Loss Car,Validation
218,2,2,2,1.0,Accuracy Car,Training
219,2,2,2,1.0,Accuracy Car,Validation
220,2,2,2,1.2809454,Loss Cell_Phone,Training
221,2,2,2,1.9194722,Loss Cell_Phone,Validation
222,2,2,2,0.9930556,Accuracy Cell_Phone,Training
223,2,2,2,0.46551725,Accuracy Cell_Phone,Validation
224,2,2,2,1.253059,Loss Chair,Training
225,2,2,2,1.4344343,Loss Chair,Validation
226,2,2,2,1.0,Accuracy Chair,Training
227,2,2,2,1.0,Accuracy Chair,Validation
228,2,2,2,1.408803,Loss Clock,Training
229,2,2,2,1.9365282,Loss Clock,Validation
