,seed,examples_per_class,epoch,value,metric,split
0,1,4,0,2.6928425,Loss,Training
1,1,4,0,2.435248,Loss,Validation
2,1,4,0,0.534628,Accuracy,Training
3,1,4,0,0.6942686,Accuracy,Validation
4,1,4,0,2.5098646,Loss Bench,Training
5,1,4,0,2.2541344,Loss Bench,Validation
6,1,4,0,0.7346939,Accuracy Bench,Training
7,1,4,0,0.89928055,Accuracy Bench,Validation
8,1,4,0,2.726934,Loss Bicycle,Training
9,1,4,0,2.318,Loss Bicycle,Validation
10,1,4,0,0.19858156,Accuracy Bicycle,Training
11,1,4,0,0.5944056,Accuracy Bicycle,Validation
12,1,4,0,2.6332662,Loss Book,Training
13,1,4,0,2.3511589,Loss Book,Validation
14,1,4,0,0.530303,Accuracy Book,Training
15,1,4,0,0.5692308,Accuracy Book,Validation
16,1,4,0,2.6789374,Loss Bottle,Training
17,1,4,0,2.3545933,Loss Bottle,Validation
18,1,4,0,0.67320263,Accuracy Bottle,Training
19,1,4,0,0.9512195,Accuracy Bottle,Validation
20,1,4,0,2.708001,Loss Bowl,Training
21,1,4,0,2.3295548,Loss Bowl,Validation
22,1,4,0,0.47826087,Accuracy Bowl,Training
23,1,4,0,0.89403975,Accuracy Bowl,Validation
24,1,4,0,2.567643,Loss Car,Training
25,1,4,0,2.274032,Loss Car,Validation
26,1,4,0,0.77931035,Accuracy Car,Training
27,1,4,0,0.9264706,Accuracy Car,Validation
28,1,4,0,2.5495641,Loss Cell_Phone,Training
29,1,4,0,2.3591702,Loss Cell_Phone,Validation
30,1,4,0,0.67346936,Accuracy Cell_Phone,Training
31,1,4,0,0.28082192,Accuracy Cell_Phone,Validation
32,1,4,0,2.9926722,Loss Chair,Training
33,1,4,0,2.6459844,Loss Chair,Validation
34,1,4,0,0.19090909,Accuracy Chair,Training
35,1,4,0,0.4964029,Accuracy Chair,Validation
36,1,4,0,2.7681131,Loss Clock,Training
37,1,4,0,2.6790695,Loss Clock,Validation
38,1,4,0,0.4489796,Accuracy Clock,Training
39,1,4,0,0.527027,Accuracy Clock,Validation
40,1,4,0,2.558111,Loss Computer_Mouse,Training
41,1,4,0,2.2333755,Loss Computer_Mouse,Validation
42,1,4,0,0.6259542,Accuracy Computer_Mouse,Training
43,1,4,0,0.88721806,Accuracy Computer_Mouse,Validation
44,1,4,0,2.6582108,Loss Cup,Training
45,1,4,0,2.4405503,Loss Cup,Validation
46,1,4,0,0.56164384,Accuracy Cup,Training
47,1,4,0,0.79432625,Accuracy Cup,Validation
48,1,4,0,2.7597692,Loss Fork,Training
49,1,4,0,2.4540305,Loss Fork,Validation
50,1,4,0,0.62992126,Accuracy Fork,Training
51,1,4,0,0.8811189,Accuracy Fork,Validation
52,1,4,0,2.7922268,Loss Keyboard,Training
53,1,4,0,2.741816,Loss Keyboard,Validation
54,1,4,0,0.32352942,Accuracy Keyboard,Training
55,1,4,0,0.0,Accuracy Keyboard,Validation
56,1,4,0,2.7986417,Loss Knife,Training
57,1,4,0,2.5442667,Loss Knife,Validation
58,1,4,0,0.4125874,Accuracy Knife,Training
59,1,4,0,0.3312102,Accuracy Knife,Validation
60,1,4,0,2.50017,Loss Laptop,Training
61,1,4,0,2.14679,Loss Laptop,Validation
62,1,4,0,0.6484848,Accuracy Laptop,Training
63,1,4,0,1.0,Accuracy Laptop,Validation
64,1,4,0,2.4664214,Loss Motorcycle,Training
65,1,4,0,2.1386616,Loss Motorcycle,Validation
66,1,4,0,0.75524473,Accuracy Motorcycle,Training
67,1,4,0,1.0,Accuracy Motorcycle,Validation
