,seed,examples_per_class,epoch,value,metric,split
0,2,4,0,2.6503067,Loss,Training
1,2,4,0,2.3980744,Loss,Validation
2,2,4,0,0.5808736,Accuracy,Training
3,2,4,0,0.791043,Accuracy,Validation
4,2,4,0,2.4596143,Loss Bench,Training
5,2,4,0,2.265712,Loss Bench,Validation
6,2,4,0,0.7785714,Accuracy Bench,Training
7,2,4,0,0.94074076,Accuracy Bench,Validation
8,2,4,0,2.561954,Loss Bicycle,Training
9,2,4,0,2.1445897,Loss Bicycle,Validation
10,2,4,0,0.7338129,Accuracy Bicycle,Training
11,2,4,0,1.0,Accuracy Bicycle,Validation
12,2,4,0,2.7591913,Loss Book,Training
13,2,4,0,2.3722227,Loss Book,Validation
14,2,4,0,0.30833334,Accuracy Book,Training
15,2,4,0,0.7916667,Accuracy Book,Validation
16,2,4,0,2.6068175,Loss Bottle,Training
17,2,4,0,2.409472,Loss Bottle,Validation
18,2,4,0,0.6886792,Accuracy Bottle,Training
19,2,4,0,0.9465649,Accuracy Bottle,Validation
20,2,4,0,2.837656,Loss Bowl,Training
21,2,4,0,2.4909713,Loss Bowl,Validation
22,2,4,0,0.3467742,Accuracy Bowl,Training
23,2,4,0,0.44360903,Accuracy Bowl,Validation
24,2,4,0,2.631806,Loss Car,Training
25,2,4,0,2.1369388,Loss Car,Validation
26,2,4,0,0.56028366,Accuracy Car,Training
27,2,4,0,1.0,Accuracy Car,Validation
28,2,4,0,2.5875444,Loss Cell_Phone,Training
29,2,4,0,2.3942723,Loss Cell_Phone,Validation
30,2,4,0,0.5735294,Accuracy Cell_Phone,Training
31,2,4,0,0.42465752,Accuracy Cell_Phone,Validation
32,2,4,0,2.5396593,Loss Chair,Training
33,2,4,0,2.4497707,Loss Chair,Validation
34,2,4,0,0.74657536,Accuracy Chair,Training
35,2,4,0,0.9558824,Accuracy Chair,Validation
36,2,4,0,2.704374,Loss Clock,Training
37,2,4,0,2.6882396,Loss Clock,Validation
38,2,4,0,0.6068966,Accuracy Clock,Training
39,2,4,0,0.64705884,Accuracy Clock,Validation
40,2,4,0,2.4285524,Loss Computer_Mouse,Training
41,2,4,0,2.320398,Loss Computer_Mouse,Validation
42,2,4,0,0.75524473,Accuracy Computer_Mouse,Training
43,2,4,0,1.0,Accuracy Computer_Mouse,Validation
44,2,4,0,2.6337423,Loss Cup,Training
45,2,4,0,2.3813074,Loss Cup,Validation
46,2,4,0,0.72262776,Accuracy Cup,Training
47,2,4,0,1.0,Accuracy Cup,Validation
48,2,4,0,2.8348286,Loss Fork,Training
49,2,4,0,2.532084,Loss Fork,Validation
50,2,4,0,0.22580644,Accuracy Fork,Training
51,2,4,0,0.1986755,Accuracy Fork,Validation
52,2,4,0,2.727036,Loss Keyboard,Training
53,2,4,0,2.5564332,Loss Keyboard,Validation
54,2,4,0,0.36567163,Accuracy Keyboard,Training
55,2,4,0,0.3970588,Accuracy Keyboard,Validation
56,2,4,0,2.7003634,Loss Knife,Training
57,2,4,0,2.4340675,Loss Knife,Validation
58,2,4,0,0.55333334,Accuracy Knife,Training
59,2,4,0,0.59574467,Accuracy Knife,Validation
60,2,4,0,2.4831326,Loss Laptop,Training
61,2,4,0,2.1780667,Loss Laptop,Validation
62,2,4,0,0.6903226,Accuracy Laptop,Training
63,2,4,0,0.90510947,Accuracy Laptop,Validation
64,2,4,0,2.5813015,Loss Motorcycle,Training
65,2,4,0,2.226954,Loss Motorcycle,Validation
66,2,4,0,0.6115108,Accuracy Motorcycle,Training
67,2,4,0,1.0,Accuracy Motorcycle,Validation
68,2,4,0,2.6316283,Loss Potted_Plant,Training
69,2,4,0,2.2785976,Loss Potted_Plant,Validation
70,2,4,0,0.67407405,Accuracy Potted_Plant,Training
71,2,4,0,0.8666667,Accuracy Potted_Plant,Validation
72,2,4,0,2.6716468,Loss Spoon,Training
73,2,4,0,2.3349714,Loss Spoon,Validation
74,2,4,0,0.6225166,Accuracy Spoon,Training
75,2,4,0,0.97727275,Accuracy Spoon,Validation
76,2,4,0,2.9069564,Loss Sports_Ball,Training
77,2,4,0,2.9097562,Loss Sports_Ball,Validation
78,2,4,0,0.32592592,Accuracy Sports_Ball,Training
79,2,4,0,0.4140625,Accuracy Sports_Ball,Validation
80,2,4,0,2.5597813,Loss Tie,Training
81,2,4,0,2.451635,Loss Tie,Validation
82,2,4,0,0.7297297,Accuracy Tie,Training
83,2,4,0,0.845679,Accuracy Tie,Validation
84,2,4,0,2.7378726,Loss Traffic_Light,Training
85,2,4,0,2.605198,Loss Traffic_Light,Validation
86,2,4,0,0.5151515,Accuracy Traffic_Light,Training
87,2,4,0,0.8435374,Accuracy Traffic_Light,Validation
88,2,4,0,2.6887388,Loss Tv_Remote,Training
89,2,4,0,2.244595,Loss Tv_Remote,Validation
90,2,4,0,0.60126585,Accuracy Tv_Remote,Training
91,2,4,0,1.0,Accuracy Tv_Remote,Validation
92,2,4,0,2.682855,Loss Wine_Glass,Training
93,2,4,0,2.3494596,Loss Wine_Glass,Validation
94,2,4,0,0.6234568,Accuracy Wine_Glass,Training
95,2,4,0,1.0,Accuracy Wine_Glass,Validation
96,2,4,1,1.8510607,Loss,Training
97,2,4,1,1.8429062,Loss,Validation
98,2,4,1,0.93471396,Accuracy,Training
99,2,4,1,0.894105,Accuracy,Validation
100,2,4,1,1.6099237,Loss Bench,Training
101,2,4,1,1.5925325,Loss Bench,Validation
102,2,4,1,0.9716312,Accuracy Bench,Training
103,2,4,1,0.9612403,Accuracy Bench,Validation
104,2,4,1,1.6969987,Loss Bicycle,Training
105,2,4,1,1.3775674,Loss Bicycle,Validation
106,2,4,1,0.964539,Accuracy Bicycle,Training
107,2,4,1,1.0,Accuracy Bicycle,Validation
108,2,4,1,1.7749634,Loss Book,Training
109,2,4,1,1.8014894,Loss Book,Validation
110,2,4,1,0.9256757,Accuracy Book,Training
111,2,4,1,0.79850745,Accuracy Book,Validation
112,2,4,1,1.6136513,Loss Bottle,Training
113,2,4,1,1.7319558,Loss Bottle,Validation
114,2,4,1,1.0,Accuracy Bottle,Training
115,2,4,1,0.95652175,Accuracy Bottle,Validation
116,2,4,1,2.0315068,Loss Bowl,Training
117,2,4,1,1.8153834,Loss Bowl,Validation
118,2,4,1,0.88461536,Accuracy Bowl,Training
119,2,4,1,0.82835823,Accuracy Bowl,Validation
120,2,4,1,1.7184463,Loss Car,Training
121,2,4,1,1.3697639,Loss Car,Validation
122,2,4,1,0.9741936,Accuracy Car,Training
123,2,4,1,1.0,Accuracy Car,Validation
124,2,4,1,2.1333375,Loss Cell_Phone,Training
125,2,4,1,2.1628354,Loss Cell_Phone,Validation
126,2,4,1,0.5619048,Accuracy Cell_Phone,Training
127,2,4,1,0.42281878,Accuracy Cell_Phone,Validation
128,2,4,1,1.8464533,Loss Chair,Training
129,2,4,1,2.0116756,Loss Chair,Validation
130,2,4,1,0.9741936,Accuracy Chair,Training
131,2,4,1,1.0,Accuracy Chair,Validation
132,2,4,1,2.0920186,Loss Clock,Training
133,2,4,1,2.3496716,Loss Clock,Validation
134,2,4,1,0.9612403,Accuracy Clock,Training
135,2,4,1,0.86206895,Accuracy Clock,Validation
136,2,4,1,1.4390258,Loss Computer_Mouse,Training
137,2,4,1,1.6565536,Loss Computer_Mouse,Validation
138,2,4,1,1.0,Accuracy Computer_Mouse,Training
139,2,4,1,1.0,Accuracy Computer_Mouse,Validation
140,2,4,1,1.8644749,Loss Cup,Training
141,2,4,1,1.831595,Loss Cup,Validation
142,2,4,1,0.9929078,Accuracy Cup,Training
143,2,4,1,1.0,Accuracy Cup,Validation
144,2,4,1,2.0637496,Loss Fork,Training
145,2,4,1,1.819346,Loss Fork,Validation
146,2,4,1,0.84713376,Accuracy Fork,Training
147,2,4,1,0.96183205,Accuracy Fork,Validation
148,2,4,1,1.9356632,Loss Keyboard,Training
149,2,4,1,2.1115842,Loss Keyboard,Validation
150,2,4,1,0.95384616,Accuracy Keyboard,Training
151,2,4,1,0.73125,Accuracy Keyboard,Validation
152,2,4,1,1.9994221,Loss Knife,Training
153,2,4,1,1.9226137,Loss Knife,Validation
154,2,4,1,0.858156,Accuracy Knife,Training
155,2,4,1,0.661157,Accuracy Knife,Validation
156,2,4,1,1.6990616,Loss Laptop,Training
157,2,4,1,1.7467561,Loss Laptop,Validation
158,2,4,1,0.9516129,Accuracy Laptop,Training
159,2,4,1,1.0,Accuracy Laptop,Validation
160,2,4,1,1.575366,Loss Motorcycle,Training
161,2,4,1,1.7088277,Loss Motorcycle,Validation
162,2,4,1,1.0,Accuracy Motorcycle,Training
163,2,4,1,1.0,Accuracy Motorcycle,Validation
164,2,4,1,1.708287,Loss Potted_Plant,Training
165,2,4,1,1.4382603,Loss Potted_Plant,Validation
166,2,4,1,0.98136646,Accuracy Potted_Plant,Training
167,2,4,1,1.0,Accuracy Potted_Plant,Validation
168,2,4,1,2.0348332,Loss Spoon,Training
