,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.685724,Loss,Training
1,0,4,0,2.4046817,Loss,Validation
2,0,4,0,0.5528252,Accuracy,Training
3,0,4,0,0.8059234,Accuracy,Validation
4,0,4,0,2.6914032,Loss Bench,Training
5,0,4,0,2.4556794,Loss Bench,Validation
6,0,4,0,0.503937,Accuracy Bench,Training
7,0,4,0,0.8384615,Accuracy Bench,Validation
8,0,4,0,2.4067647,Loss Bicycle,Training
9,0,4,0,2.2097273,Loss Bicycle,Validation
10,0,4,0,0.8896552,Accuracy Bicycle,Training
11,0,4,0,1.0,Accuracy Bicycle,Validation
12,0,4,0,2.5938265,Loss Book,Training
13,0,4,0,2.2899668,Loss Book,Validation
14,0,4,0,0.5958904,Accuracy Book,Training
15,0,4,0,0.8560606,Accuracy Book,Validation
16,0,4,0,2.5938833,Loss Bottle,Training
17,0,4,0,2.3481493,Loss Bottle,Validation
18,0,4,0,0.7122302,Accuracy Bottle,Training
19,0,4,0,0.9558824,Accuracy Bottle,Validation
20,0,4,0,2.761626,Loss Bowl,Training
21,0,4,0,2.450009,Loss Bowl,Validation
22,0,4,0,0.29850745,Accuracy Bowl,Training
23,0,4,0,0.36585367,Accuracy Bowl,Validation
24,0,4,0,2.609438,Loss Car,Training
25,0,4,0,2.2217712,Loss Car,Validation
26,0,4,0,0.51592356,Accuracy Car,Training
27,0,4,0,0.92248064,Accuracy Car,Validation
28,0,4,0,2.6444874,Loss Cell_Phone,Training
29,0,4,0,2.4172134,Loss Cell_Phone,Validation
30,0,4,0,0.6197183,Accuracy Cell_Phone,Training
31,0,4,0,0.553719,Accuracy Cell_Phone,Validation
32,0,4,0,2.7374358,Loss Chair,Training
33,0,4,0,2.495834,Loss Chair,Validation
34,0,4,0,0.42335767,Accuracy Chair,Training
35,0,4,0,0.87333333,Accuracy Chair,Validation
36,0,4,0,3.0263689,Loss Clock,Training
37,0,4,0,2.752829,Loss Clock,Validation
38,0,4,0,0.18243243,Accuracy Clock,Training
39,0,4,0,0.6165413,Accuracy Clock,Validation
40,0,4,0,2.4260633,Loss Computer_Mouse,Training
41,0,4,0,2.1268682,Loss Computer_Mouse,Validation
42,0,4,0,0.87903225,Accuracy Computer_Mouse,Training
43,0,4,0,1.0,Accuracy Computer_Mouse,Validation
44,0,4,0,2.5254974,Loss Cup,Training
45,0,4,0,2.290919,Loss Cup,Validation
