,seed,examples_per_class,epoch,value,metric,split
0,2,4,0,2.6030705,Loss,Training
1,2,4,0,2.3817124,Loss,Validation
2,2,4,0,0.67436534,Accuracy,Training
3,2,4,0,0.8158567,Accuracy,Validation
4,2,4,0,2.4925864,Loss Bench,Training
5,2,4,0,2.236971,Loss Bench,Validation
6,2,4,0,0.76428574,Accuracy Bench,Training
7,2,4,0,0.91851854,Accuracy Bench,Validation
8,2,4,0,2.5075905,Loss Bicycle,Training
9,2,4,0,2.1316707,Loss Bicycle,Validation
10,2,4,0,0.79136693,Accuracy Bicycle,Training
11,2,4,0,1.0,Accuracy Bicycle,Validation
12,2,4,0,2.7137876,Loss Book,Training
13,2,4,0,2.4261696,Loss Book,Validation
14,2,4,0,0.43333334,Accuracy Book,Training
15,2,4,0,0.7,Accuracy Book,Validation
16,2,4,0,2.6998384,Loss Bottle,Training
17,2,4,0,2.4136508,Loss Bottle,Validation
18,2,4,0,0.6981132,Accuracy Bottle,Training
19,2,4,0,0.9847328,Accuracy Bottle,Validation
20,2,4,0,2.8246562,Loss Bowl,Training
21,2,4,0,2.6036868,Loss Bowl,Validation
22,2,4,0,0.3951613,Accuracy Bowl,Training
23,2,4,0,0.30827066,Accuracy Bowl,Validation
24,2,4,0,2.5337887,Loss Car,Training
25,2,4,0,2.0783603,Loss Car,Validation
26,2,4,0,0.68085104,Accuracy Car,Training
27,2,4,0,1.0,Accuracy Car,Validation
28,2,4,0,2.4701521,Loss Cell_Phone,Training
29,2,4,0,2.2866497,Loss Cell_Phone,Validation
30,2,4,0,0.77205884,Accuracy Cell_Phone,Training
31,2,4,0,0.7191781,Accuracy Cell_Phone,Validation
32,2,4,0,2.6397371,Loss Chair,Training
33,2,4,0,2.2986143,Loss Chair,Validation
34,2,4,0,0.70547944,Accuracy Chair,Training
35,2,4,0,1.0,Accuracy Chair,Validation
36,2,4,0,2.6415572,Loss Clock,Training
37,2,4,0,2.6846569,Loss Clock,Validation
38,2,4,0,0.76551723,Accuracy Clock,Training
39,2,4,0,0.8161765,Accuracy Clock,Validation
40,2,4,0,2.4626973,Loss Computer_Mouse,Training
41,2,4,0,2.1609962,Loss Computer_Mouse,Validation
42,2,4,0,0.7902098,Accuracy Computer_Mouse,Training
43,2,4,0,1.0,Accuracy Computer_Mouse,Validation
44,2,4,0,2.5202646,Loss Cup,Training
45,2,4,0,2.3857358,Loss Cup,Validation
46,2,4,0,0.7518248,Accuracy Cup,Training
47,2,4,0,1.0,Accuracy Cup,Validation
48,2,4,0,2.7108245,Loss Fork,Training
49,2,4,0,2.5121934,Loss Fork,Validation
50,2,4,0,0.47580644,Accuracy Fork,Training
51,2,4,0,0.39072847,Accuracy Fork,Validation
52,2,4,0,2.7065732,Loss Keyboard,Training
53,2,4,0,2.53927,Loss Keyboard,Validation
54,2,4,0,0.47761193,Accuracy Keyboard,Training
55,2,4,0,0.5514706,Accuracy Keyboard,Validation
56,2,4,0,2.682508,Loss Knife,Training
57,2,4,0,2.4536161,Loss Knife,Validation
58,2,4,0,0.73333335,Accuracy Knife,Training
59,2,4,0,0.6312057,Accuracy Knife,Validation
60,2,4,0,2.4154067,Loss Laptop,Training
61,2,4,0,2.204863,Loss Laptop,Validation
62,2,4,0,0.7677419,Accuracy Laptop,Training
63,2,4,0,0.94160587,Accuracy Laptop,Validation
64,2,4,0,2.444655,Loss Motorcycle,Training
65,2,4,0,2.2102816,Loss Motorcycle,Validation
66,2,4,0,0.7553957,Accuracy Motorcycle,Training
67,2,4,0,1.0,Accuracy Motorcycle,Validation
68,2,4,0,2.5333319,Loss Potted_Plant,Training
69,2,4,0,2.2888532,Loss Potted_Plant,Validation
70,2,4,0,0.78518516,Accuracy Potted_Plant,Training
71,2,4,0,1.0,Accuracy Potted_Plant,Validation
72,2,4,0,2.649492,Loss Spoon,Training
73,2,4,0,2.468504,Loss Spoon,Validation
74,2,4,0,0.7350993,Accuracy Spoon,Training
75,2,4,0,0.70454544,Accuracy Spoon,Validation
76,2,4,0,2.857009,Loss Sports_Ball,Training
77,2,4,0,2.8866851,Loss Sports_Ball,Validation
78,2,4,0,0.42222223,Accuracy Sports_Ball,Training
79,2,4,0,0.390625,Accuracy Sports_Ball,Validation
80,2,4,0,2.5577524,Loss Tie,Training
81,2,4,0,2.3450751,Loss Tie,Validation
82,2,4,0,0.7432432,Accuracy Tie,Training
83,2,4,0,0.89506173,Accuracy Tie,Validation
84,2,4,0,2.6400912,Loss Traffic_Light,Training
85,2,4,0,2.5748022,Loss Traffic_Light,Validation
86,2,4,0,0.68939394,Accuracy Traffic_Light,Training
87,2,4,0,0.89115644,Accuracy Traffic_Light,Validation
88,2,4,0,2.6430078,Loss Tv_Remote,Training
89,2,4,0,2.3631856,Loss Tv_Remote,Validation
90,2,4,0,0.5253165,Accuracy Tv_Remote,Training
91,2,4,0,0.92142856,Accuracy Tv_Remote,Validation
92,2,4,0,2.5233166,Loss Wine_Glass,Training
93,2,4,0,2.2248986,Loss Wine_Glass,Validation
94,2,4,0,0.8518519,Accuracy Wine_Glass,Training
95,2,4,0,1.0,Accuracy Wine_Glass,Validation
96,2,4,1,1.7407603,Loss,Training
97,2,4,1,1.8336152,Loss,Validation
98,2,4,1,0.9730626,Accuracy,Training
99,2,4,1,0.893845,Accuracy,Validation
100,2,4,1,1.4395407,Loss Bench,Training
101,2,4,1,1.5218942,Loss Bench,Validation
102,2,4,1,1.0,Accuracy Bench,Training
103,2,4,1,0.8992248,Accuracy Bench,Validation
104,2,4,1,1.640987,Loss Bicycle,Training
105,2,4,1,1.4169714,Loss Bicycle,Validation
106,2,4,1,0.964539,Accuracy Bicycle,Training
107,2,4,1,1.0,Accuracy Bicycle,Validation
108,2,4,1,1.7495044,Loss Book,Training
109,2,4,1,1.7434955,Loss Book,Validation
110,2,4,1,0.9391892,Accuracy Book,Training
111,2,4,1,0.880597,Accuracy Book,Validation
112,2,4,1,1.8020307,Loss Bottle,Training
113,2,4,1,1.7404068,Loss Bottle,Validation
114,2,4,1,0.99264705,Accuracy Bottle,Training
115,2,4,1,1.0,Accuracy Bottle,Validation
116,2,4,1,1.972998,Loss Bowl,Training
117,2,4,1,2.0899224,Loss Bowl,Validation
118,2,4,1,0.9230769,Accuracy Bowl,Training
119,2,4,1,0.70149255,Accuracy Bowl,Validation
120,2,4,1,1.498841,Loss Car,Training
121,2,4,1,1.2898043,Loss Car,Validation
122,2,4,1,0.9935484,Accuracy Car,Training
123,2,4,1,1.0,Accuracy Car,Validation
124,2,4,1,1.8355876,Loss Cell_Phone,Training
125,2,4,1,1.9708169,Loss Cell_Phone,Validation
126,2,4,1,0.94285715,Accuracy Cell_Phone,Training
127,2,4,1,0.6308725,Accuracy Cell_Phone,Validation
128,2,4,1,1.8975742,Loss Chair,Training
129,2,4,1,1.7007376,Loss Chair,Validation
130,2,4,1,0.9548387,Accuracy Chair,Training
131,2,4,1,1.0,Accuracy Chair,Validation
132,2,4,1,2.0469933,Loss Clock,Training
133,2,4,1,2.4502907,Loss Clock,Validation
134,2,4,1,0.9457364,Accuracy Clock,Training
135,2,4,1,0.92413795,Accuracy Clock,Validation
136,2,4,1,1.4213474,Loss Computer_Mouse,Training
137,2,4,1,1.4785216,Loss Computer_Mouse,Validation
138,2,4,1,1.0,Accuracy Computer_Mouse,Training
139,2,4,1,1.0,Accuracy Computer_Mouse,Validation
140,2,4,1,1.5720853,Loss Cup,Training
141,2,4,1,1.8448558,Loss Cup,Validation
142,2,4,1,0.9929078,Accuracy Cup,Training
143,2,4,1,1.0,Accuracy Cup,Validation
144,2,4,1,1.7945533,Loss Fork,Training
145,2,4,1,1.7994661,Loss Fork,Validation
146,2,4,1,0.9872612,Accuracy Fork,Training
147,2,4,1,0.9465649,Accuracy Fork,Validation
148,2,4,1,1.9505979,Loss Keyboard,Training
149,2,4,1,2.0846024,Loss Keyboard,Validation
150,2,4,1,0.9461538,Accuracy Keyboard,Training
151,2,4,1,0.90625,Accuracy Keyboard,Validation
152,2,4,1,1.9177251,Loss Knife,Training
153,2,4,1,1.9303821,Loss Knife,Validation
154,2,4,1,0.9787234,Accuracy Knife,Training
155,2,4,1,0.76033056,Accuracy Knife,Validation
156,2,4,1,1.6271075,Loss Laptop,Training
157,2,4,1,1.8218945,Loss Laptop,Validation
158,2,4,1,1.0,Accuracy Laptop,Training
159,2,4,1,0.9305556,Accuracy Laptop,Validation
160,2,4,1,1.4153807,Loss Motorcycle,Training
161,2,4,1,1.6941928,Loss Motorcycle,Validation
162,2,4,1,1.0,Accuracy Motorcycle,Training
163,2,4,1,1.0,Accuracy Motorcycle,Validation
164,2,4,1,1.5375361,Loss Potted_Plant,Training
165,2,4,1,1.4608177,Loss Potted_Plant,Validation
166,2,4,1,1.0,Accuracy Potted_Plant,Training
167,2,4,1,1.0,Accuracy Potted_Plant,Validation
168,2,4,1,1.8884425,Loss Spoon,Training
169,2,4,1,2.1359344,Loss Spoon,Validation
170,2,4,1,0.91791046,Accuracy Spoon,Training
171,2,4,1,0.39215687,Accuracy Spoon,Validation
172,2,4,1,2.115206,Loss Sports_Ball,Training
173,2,4,1,2.4785578,Loss Sports_Ball,Validation
174,2,4,1,0.96,Accuracy Sports_Ball,Training
175,2,4,1,0.7155172,Accuracy Sports_Ball,Validation
176,2,4,1,1.6155889,Loss Tie,Training
177,2,4,1,1.7561035,Loss Tie,Validation
178,2,4,1,0.9928058,Accuracy Tie,Training
179,2,4,1,0.9127517,Accuracy Tie,Validation
180,2,4,1,1.7635758,Loss Traffic_Light,Training
181,2,4,1,2.0732517,Loss Traffic_Light,Validation
182,2,4,1,0.99285716,Accuracy Traffic_Light,Training
183,2,4,1,0.9579832,Accuracy Traffic_Light,Validation
184,2,4,1,1.8786156,Loss Tv_Remote,Training
185,2,4,1,1.9900742,Loss Tv_Remote,Validation
186,2,4,1,0.9710145,Accuracy Tv_Remote,Training
187,2,4,1,1.0,Accuracy Tv_Remote,Validation
188,2,4,1,1.6556623,Loss Wine_Glass,Training
189,2,4,1,1.7001578,Loss Wine_Glass,Validation
190,2,4,1,0.984375,Accuracy Wine_Glass,Training
191,2,4,1,1.0,Accuracy Wine_Glass,Validation
192,2,4,2,1.1646026,Loss,Training
193,2,4,2,1.4744232,Loss,Validation
194,2,4,2,0.9933777,Accuracy,Training
195,2,4,2,0.8990055,Accuracy,Validation
196,2,4,2,0.7887705,Loss Bench,Training
197,2,4,2,1.2239054,Loss Bench,Validation
198,2,4,2,1.0,Accuracy Bench,Training
199,2,4,2,0.9084507,Accuracy Bench,Validation
200,2,4,2,1.0708954,Loss Bicycle,Training
201,2,4,2,1.0078696,Loss Bicycle,Validation
202,2,4,2,1.0,Accuracy Bicycle,Training
203,2,4,2,1.0,Accuracy Bicycle,Validation
204,2,4,2,1.1720638,Loss Book,Training
205,2,4,2,1.5852512,Loss Book,Validation
206,2,4,2,0.9925926,Accuracy Book,Training
207,2,4,2,0.74603176,Accuracy Book,Validation
208,2,4,2,1.1796411,Loss Bottle,Training
209,2,4,2,1.2306952,Loss Bottle,Validation
210,2,4,2,1.0,Accuracy Bottle,Training
211,2,4,2,1.0,Accuracy Bottle,Validation
212,2,4,2,1.2893238,Loss Bowl,Training
213,2,4,2,1.5885878,Loss Bowl,Validation
214,2,4,2,1.0,Accuracy Bowl,Training
215,2,4,2,0.9236111,Accuracy Bowl,Validation
216,2,4,2,0.8919862,Loss Car,Training
217,2,4,2,0.9848622,Loss Car,Validation
218,2,4,2,1.0,Accuracy Car,Training
219,2,4,2,1.0,Accuracy Car,Validation
220,2,4,2,1.2882867,Loss Cell_Phone,Training
221,2,4,2,1.5359367,Loss Cell_Phone,Validation
222,2,4,2,0.9930556,Accuracy Cell_Phone,Training
223,2,4,2,0.76724136,Accuracy Cell_Phone,Validation
224,2,4,2,1.3252175,Loss Chair,Training
225,2,4,2,1.3574573,Loss Chair,Validation
226,2,4,2,1.0,Accuracy Chair,Training
227,2,4,2,1.0,Accuracy Chair,Validation
228,2,4,2,1.444341,Loss Clock,Training
229,2,4,2,2.1933649,Loss Clock,Validation
230,2,4,2,0.95620435,Accuracy Clock,Training
231,2,4,2,0.87323946,Accuracy Clock,Validation
232,2,4,2,0.95025283,Loss Computer_Mouse,Training
233,2,4,2,1.1344585,Loss Computer_Mouse,Validation
234,2,4,2,0.991453,Accuracy Computer_Mouse,Training
235,2,4,2,1.0,Accuracy Computer_Mouse,Validation
236,2,4,2,0.9495769,Loss Cup,Training
237,2,4,2,1.4619212,Loss Cup,Validation
238,2,4,2,1.0,Accuracy Cup,Training
239,2,4,2,0.884058,Accuracy Cup,Validation
240,2,4,2,1.2205437,Loss Fork,Training
241,2,4,2,1.4109491,Loss Fork,Validation
242,2,4,2,1.0,Accuracy Fork,Training
243,2,4,2,0.9640288,Accuracy Fork,Validation
244,2,4,2,1.4046896,Loss Keyboard,Training
245,2,4,2,1.7555013,Loss Keyboard,Validation
246,2,4,2,0.9929078,Accuracy Keyboard,Training
247,2,4,2,0.88435376,Accuracy Keyboard,Validation
248,2,4,2,1.3608785,Loss Knife,Training
249,2,4,2,1.5260304,Loss Knife,Validation
250,2,4,2,0.99270076,Accuracy Knife,Training
251,2,4,2,0.8509317,Accuracy Knife,Validation
252,2,4,2,1.1736648,Loss Laptop,Training
253,2,4,2,1.4618264,Loss Laptop,Validation
254,2,4,2,0.9735099,Accuracy Laptop,Training
255,2,4,2,0.92086333,Accuracy Laptop,Validation
256,2,4,2,0.96597,Loss Motorcycle,Training
257,2,4,2,1.3564899,Loss Motorcycle,Validation
258,2,4,2,1.0,Accuracy Motorcycle,Training
259,2,4,2,1.0,Accuracy Motorcycle,Validation
260,2,4,2,0.9621997,Loss Potted_Plant,Training
261,2,4,2,1.2283009,Loss Potted_Plant,Validation
262,2,4,2,1.0,Accuracy Potted_Plant,Training
263,2,4,2,1.0,Accuracy Potted_Plant,Validation
264,2,4,2,1.4164972,Loss Spoon,Training
265,2,4,2,1.87578,Loss Spoon,Validation
266,2,4,2,0.96240604,Accuracy Spoon,Training
267,2,4,2,0.3852459,Accuracy Spoon,Validation
268,2,4,2,1.4520535,Loss Sports_Ball,Training
269,2,4,2,2.1247978,Loss Sports_Ball,Validation
270,2,4,2,1.0,Accuracy Sports_Ball,Training
271,2,4,2,0.73282444,Accuracy Sports_Ball,Validation
272,2,4,2,1.0048648,Loss Tie,Training
273,2,4,2,1.343836,Loss Tie,Validation
274,2,4,2,1.0,Accuracy Tie,Training
275,2,4,2,0.8712121,Accuracy Tie,Validation
276,2,4,2,1.1050925,Loss Traffic_Light,Training
277,2,4,2,1.7435446,Loss Traffic_Light,Validation
278,2,4,2,0.99285716,Accuracy Traffic_Light,Training
279,2,4,2,0.96503496,Accuracy Traffic_Light,Validation
280,2,4,2,1.2912862,Loss Tv_Remote,Training
281,2,4,2,1.5444499,Loss Tv_Remote,Validation
282,2,4,2,1.0,Accuracy Tv_Remote,Training
283,2,4,2,1.0,Accuracy Tv_Remote,Validation
284,2,4,2,1.077765,Loss Wine_Glass,Training
285,2,4,2,1.2359157,Loss Wine_Glass,Validation
286,2,4,2,1.0,Accuracy Wine_Glass,Training
287,2,4,2,1.0,Accuracy Wine_Glass,Validation
288,2,4,3,0.81831294,Loss,Training
289,2,4,3,1.2448719,Loss,Validation
290,2,4,3,0.99786264,Accuracy,Training
291,2,4,3,0.9044802,Accuracy,Validation
292,2,4,3,0.49628156,Loss Bench,Training
293,2,4,3,0.9550669,Loss Bench,Validation
294,2,4,3,1.0,Accuracy Bench,Training
295,2,4,3,0.91366905,Accuracy Bench,Validation
296,2,4,3,0.7647408,Loss Bicycle,Training
297,2,4,3,0.802408,Loss Bicycle,Validation
298,2,4,3,1.0,Accuracy Bicycle,Training
299,2,4,3,1.0,Accuracy Bicycle,Validation
300,2,4,3,0.8223803,Loss Book,Training
301,2,4,3,1.3357208,Loss Book,Validation
302,2,4,3,1.0,Accuracy Book,Training
303,2,4,3,0.73049647,Accuracy Book,Validation
304,2,4,3,0.78420025,Loss Bottle,Training
305,2,4,3,0.90791506,Loss Bottle,Validation
306,2,4,3,0.98630136,Accuracy Bottle,Training
307,2,4,3,1.0,Accuracy Bottle,Validation
308,2,4,3,0.84844637,Loss Bowl,Training
309,2,4,3,1.3677987,Loss Bowl,Validation
310,2,4,3,1.0,Accuracy Bowl,Training
311,2,4,3,0.9059829,Accuracy Bowl,Validation
312,2,4,3,0.56467736,Loss Car,Training
313,2,4,3,0.7209059,Loss Car,Validation
314,2,4,3,1.0,Accuracy Car,Training
315,2,4,3,1.0,Accuracy Car,Validation
316,2,4,3,0.89860946,Loss Cell_Phone,Training
317,2,4,3,1.3826665,Loss Cell_Phone,Validation
318,2,4,3,1.0,Accuracy Cell_Phone,Training
319,2,4,3,0.7355372,Accuracy Cell_Phone,Validation
320,2,4,3,0.95385814,Loss Chair,Training
321,2,4,3,1.0773746,Loss Chair,Validation
322,2,4,3,0.99310344,Accuracy Chair,Training
323,2,4,3,1.0,Accuracy Chair,Validation
324,2,4,3,1.0957657,Loss Clock,Training
325,2,4,3,1.90973,Loss Clock,Validation
326,2,4,3,0.9858156,Accuracy Clock,Training
327,2,4,3,0.9236641,Accuracy Clock,Validation
328,2,4,3,0.6290265,Loss Computer_Mouse,Training
329,2,4,3,0.90976614,Loss Computer_Mouse,Validation
330,2,4,3,1.0,Accuracy Computer_Mouse,Training
331,2,4,3,1.0,Accuracy Computer_Mouse,Validation
332,2,4,3,0.6880684,Loss Cup,Training
333,2,4,3,1.4147797,Loss Cup,Validation
334,2,4,3,1.0,Accuracy Cup,Training
335,2,4,3,0.84246576,Accuracy Cup,Validation
336,2,4,3,0.9755717,Loss Fork,Training
337,2,4,3,1.3241189,Loss Fork,Validation
338,2,4,3,1.0,Accuracy Fork,Training
339,2,4,3,0.8731343,Accuracy Fork,Validation
340,2,4,3,0.9936045,Loss Keyboard,Training
341,2,4,3,1.4673167,Loss Keyboard,Validation
342,2,4,3,1.0,Accuracy Keyboard,Training
343,2,4,3,0.9,Accuracy Keyboard,Validation
344,2,4,3,0.94186413,Loss Knife,Training
345,2,4,3,1.3289738,Loss Knife,Validation
346,2,4,3,1.0,Accuracy Knife,Training
347,2,4,3,0.8783784,Accuracy Knife,Validation
348,2,4,3,0.8877639,Loss Laptop,Training
349,2,4,3,1.3200858,Loss Laptop,Validation
350,2,4,3,0.9918699,Accuracy Laptop,Training
351,2,4,3,0.9044118,Accuracy Laptop,Validation
352,2,4,3,0.6621975,Loss Motorcycle,Training
353,2,4,3,1.1452471,Loss Motorcycle,Validation
354,2,4,3,1.0,Accuracy Motorcycle,Training
355,2,4,3,1.0,Accuracy Motorcycle,Validation
356,2,4,3,0.6330494,Loss Potted_Plant,Training
357,2,4,3,0.98911625,Loss Potted_Plant,Validation
358,2,4,3,1.0,Accuracy Potted_Plant,Training
359,2,4,3,1.0,Accuracy Potted_Plant,Validation
360,2,4,3,1.0064399,Loss Spoon,Training
361,2,4,3,1.5254301,Loss Spoon,Validation
362,2,4,3,0.99375,Accuracy Spoon,Training
363,2,4,3,0.5933333,Accuracy Spoon,Validation
364,2,4,3,1.0637391,Loss Sports_Ball,Training
365,2,4,3,1.9511647,Loss Sports_Ball,Validation
366,2,4,3,1.0,Accuracy Sports_Ball,Training
367,2,4,3,0.76551723,Accuracy Sports_Ball,Validation
368,2,4,3,0.69724125,Loss Tie,Training
369,2,4,3,1.1676093,Loss Tie,Validation
370,2,4,3,1.0,Accuracy Tie,Training
371,2,4,3,0.85714287,Accuracy Tie,Validation
372,2,4,3,0.8044313,Loss Traffic_Light,Training
373,2,4,3,1.4935275,Loss Traffic_Light,Validation
374,2,4,3,1.0,Accuracy Traffic_Light,Training
375,2,4,3,0.97931033,Accuracy Traffic_Light,Validation
376,2,4,3,0.884731,Loss Tv_Remote,Training
377,2,4,3,1.1908926,Loss Tv_Remote,Validation
378,2,4,3,1.0,Accuracy Tv_Remote,Training
379,2,4,3,1.0,Accuracy Tv_Remote,Validation
380,2,4,3,0.7245074,Loss Wine_Glass,Training
381,2,4,3,0.94443494,Loss Wine_Glass,Validation
382,2,4,3,1.0,Accuracy Wine_Glass,Training
383,2,4,3,1.0,Accuracy Wine_Glass,Validation
384,2,4,4,0.587117,Loss,Training
385,2,4,4,1.0431471,Loss,Validation
386,2,4,4,0.9968013,Accuracy,Training
387,2,4,4,0.9174055,Accuracy,Validation
388,2,4,4,0.38141653,Loss Bench,Training
389,2,4,4,0.9221408,Loss Bench,Validation
390,2,4,4,0.992,Accuracy Bench,Training
391,2,4,4,0.90225565,Accuracy Bench,Validation
392,2,4,4,0.5828653,Loss Bicycle,Training
393,2,4,4,0.5581816,Loss Bicycle,Validation
394,2,4,4,1.0,Accuracy Bicycle,Training
395,2,4,4,1.0,Accuracy Bicycle,Validation
396,2,4,4,0.619579,Loss Book,Training
397,2,4,4,1.1672779,Loss Book,Validation
398,2,4,4,1.0,Accuracy Book,Training
399,2,4,4,0.75722545,Accuracy Book,Validation
400,2,4,4,0.50502914,Loss Bottle,Training
401,2,4,4,0.7541457,Loss Bottle,Validation
402,2,4,4,1.0,Accuracy Bottle,Training
403,2,4,4,1.0,Accuracy Bottle,Validation
404,2,4,4,0.6268839,Loss Bowl,Training
405,2,4,4,1.159108,Loss Bowl,Validation
406,2,4,4,1.0,Accuracy Bowl,Training
407,2,4,4,0.9044118,Accuracy Bowl,Validation
408,2,4,4,0.37694043,Loss Car,Training
409,2,4,4,0.56636214,Loss Car,Validation
410,2,4,4,1.0,Accuracy Car,Training
411,2,4,4,1.0,Accuracy Car,Validation
412,2,4,4,0.68004256,Loss Cell_Phone,Training
413,2,4,4,1.1998563,Loss Cell_Phone,Validation
414,2,4,4,0.99264705,Accuracy Cell_Phone,Training
415,2,4,4,0.7724138,Accuracy Cell_Phone,Validation
416,2,4,4,0.6824651,Loss Chair,Training
417,2,4,4,0.8861231,Loss Chair,Validation
418,2,4,4,1.0,Accuracy Chair,Training
419,2,4,4,1.0,Accuracy Chair,Validation
420,2,4,4,0.7914285,Loss Clock,Training
421,2,4,4,1.6947439,Loss Clock,Validation
422,2,4,4,0.9935484,Accuracy Clock,Training
423,2,4,4,0.9509202,Accuracy Clock,Validation
424,2,4,4,0.39947507,Loss Computer_Mouse,Training
425,2,4,4,0.65567553,Loss Computer_Mouse,Validation
426,2,4,4,1.0,Accuracy Computer_Mouse,Training
427,2,4,4,1.0,Accuracy Computer_Mouse,Validation
428,2,4,4,0.4975529,Loss Cup,Training
429,2,4,4,1.1516088,Loss Cup,Validation
430,2,4,4,0.9931507,Accuracy Cup,Training
431,2,4,4,0.875,Accuracy Cup,Validation
432,2,4,4,0.72269803,Loss Fork,Training
433,2,4,4,1.1348233,Loss Fork,Validation
434,2,4,4,0.99230766,Accuracy Fork,Training
435,2,4,4,0.8618421,Accuracy Fork,Validation
