,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.712795,Loss,Training
1,0,8,0,2.3952937,Loss,Validation
2,0,8,0,0.53344023,Accuracy,Training
3,0,8,0,0.7976812,Accuracy,Validation
4,0,8,0,2.564976,Loss Bench,Training
5,0,8,0,2.2331471,Loss Bench,Validation
6,0,8,0,0.6573427,Accuracy Bench,Training
7,0,8,0,1.0,Accuracy Bench,Validation
8,0,8,0,2.6666565,Loss Bicycle,Training
9,0,8,0,2.2939496,Loss Bicycle,Validation
10,0,8,0,0.4695652,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.6772048,Loss Book,Training
13,0,8,0,2.4386966,Loss Book,Validation
14,0,8,0,0.46721312,Accuracy Book,Training
15,0,8,0,0.44444445,Accuracy Book,Validation
16,0,8,0,2.6909194,Loss Bottle,Training
17,0,8,0,2.3552327,Loss Bottle,Validation
18,0,8,0,0.6119403,Accuracy Bottle,Training
19,0,8,0,0.99310344,Accuracy Bottle,Validation
20,0,8,0,2.6779711,Loss Bowl,Training
21,0,8,0,2.333945,Loss Bowl,Validation
22,0,8,0,0.58598727,Accuracy Bowl,Training
23,0,8,0,0.9141104,Accuracy Bowl,Validation
24,0,8,0,2.529894,Loss Car,Training
25,0,8,0,2.1777346,Loss Car,Validation
26,0,8,0,0.73239434,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.6837852,Loss Cell_Phone,Training
29,0,8,0,2.4678504,Loss Cell_Phone,Validation
30,0,8,0,0.5971223,Accuracy Cell_Phone,Training
31,0,8,0,0.35074627,Accuracy Cell_Phone,Validation
32,0,8,0,2.7541223,Loss Chair,Training
33,0,8,0,2.5410228,Loss Chair,Validation
34,0,8,0,0.42857143,Accuracy Chair,Training
35,0,8,0,0.6985294,Accuracy Chair,Validation
36,0,8,0,2.8453455,Loss Clock,Training
37,0,8,0,2.7707071,Loss Clock,Validation
38,0,8,0,0.52866244,Accuracy Clock,Training
39,0,8,0,0.52592593,Accuracy Clock,Validation
40,0,8,0,2.5820491,Loss Computer_Mouse,Training
41,0,8,0,2.0612679,Loss Computer_Mouse,Validation
42,0,8,0,0.5972222,Accuracy Computer_Mouse,Training
43,0,8,0,1.0,Accuracy Computer_Mouse,Validation
44,0,8,0,2.7189515,Loss Cup,Training
45,0,8,0,2.4567134,Loss Cup,Validation
46,0,8,0,0.42281878,Accuracy Cup,Training
47,0,8,0,0.70454544,Accuracy Cup,Validation
48,0,8,0,2.85041,Loss Fork,Training
49,0,8,0,2.3659785,Loss Fork,Validation
50,0,8,0,0.39130434,Accuracy Fork,Training
51,0,8,0,0.9166667,Accuracy Fork,Validation
52,0,8,0,2.7577364,Loss Keyboard,Training
53,0,8,0,2.5881307,Loss Keyboard,Validation
54,0,8,0,0.4496124,Accuracy Keyboard,Training
55,0,8,0,0.25714287,Accuracy Keyboard,Validation
56,0,8,0,2.8602684,Loss Knife,Training
57,0,8,0,2.5354295,Loss Knife,Validation
58,0,8,0,0.36090225,Accuracy Knife,Training
59,0,8,0,0.6721311,Accuracy Knife,Validation
60,0,8,0,2.5313413,Loss Laptop,Training
61,0,8,0,2.1201935,Loss Laptop,Validation
62,0,8,0,0.7708333,Accuracy Laptop,Training
63,0,8,0,1.0,Accuracy Laptop,Validation
64,0,8,0,2.5666747,Loss Motorcycle,Training
65,0,8,0,2.2107122,Loss Motorcycle,Validation
66,0,8,0,0.71014494,Accuracy Motorcycle,Training
67,0,8,0,1.0,Accuracy Motorcycle,Validation
68,0,8,0,2.5843863,Loss Potted_Plant,Training
69,0,8,0,2.0928388,Loss Potted_Plant,Validation
70,0,8,0,0.7532467,Accuracy Potted_Plant,Training
71,0,8,0,0.9324324,Accuracy Potted_Plant,Validation
72,0,8,0,2.8663645,Loss Spoon,Training
73,0,8,0,2.6257422,Loss Spoon,Validation
74,0,8,0,0.36363637,Accuracy Spoon,Training
75,0,8,0,0.23239437,Accuracy Spoon,Validation
76,0,8,0,2.909121,Loss Sports_Ball,Training
77,0,8,0,2.63521,Loss Sports_Ball,Validation
78,0,8,0,0.4097222,Accuracy Sports_Ball,Training
79,0,8,0,0.88957053,Accuracy Sports_Ball,Validation
80,0,8,0,2.7310286,Loss Tie,Training
81,0,8,0,2.3445773,Loss Tie,Validation
82,0,8,0,0.5671642,Accuracy Tie,Training
83,0,8,0,0.9084507,Accuracy Tie,Validation
84,0,8,0,2.6752295,Loss Traffic_Light,Training
85,0,8,0,2.4811068,Loss Traffic_Light,Validation
86,0,8,0,0.5675676,Accuracy Traffic_Light,Training
87,0,8,0,1.0,Accuracy Traffic_Light,Validation
88,0,8,0,2.776768,Loss Tv_Remote,Training
89,0,8,0,2.4346273,Loss Tv_Remote,Validation
90,0,8,0,0.45578232,Accuracy Tv_Remote,Training
91,0,8,0,1.0,Accuracy Tv_Remote,Validation
92,0,8,0,2.893085,Loss Wine_Glass,Training
93,0,8,0,2.5269408,Loss Wine_Glass,Validation
94,0,8,0,0.37037036,Accuracy Wine_Glass,Training
95,0,8,0,0.9064748,Accuracy Wine_Glass,Validation
96,0,8,1,1.9902674,Loss,Training
97,0,8,1,1.849854,Loss,Validation
98,0,8,1,0.9203556,Accuracy,Training
99,0,8,1,0.9066025,Accuracy,Validation
100,0,8,1,1.785998,Loss Bench,Training
101,0,8,1,1.7421088,Loss Bench,Validation
102,0,8,1,0.98550725,Accuracy Bench,Training
103,0,8,1,0.98507464,Accuracy Bench,Validation
104,0,8,1,1.8573738,Loss Bicycle,Training
105,0,8,1,1.5692414,Loss Bicycle,Validation
106,0,8,1,0.94160587,Accuracy Bicycle,Training
107,0,8,1,1.0,Accuracy Bicycle,Validation
108,0,8,1,1.9441768,Loss Book,Training
109,0,8,1,1.7491632,Loss Book,Validation
110,0,8,1,0.9597315,Accuracy Book,Training
111,0,8,1,1.0,Accuracy Book,Validation
112,0,8,1,1.9844542,Loss Bottle,Training
113,0,8,1,1.6438866,Loss Bottle,Validation
114,0,8,1,0.9517241,Accuracy Bottle,Training
115,0,8,1,1.0,Accuracy Bottle,Validation
116,0,8,1,1.9513333,Loss Bowl,Training
117,0,8,1,1.8086454,Loss Bowl,Validation
118,0,8,1,0.8783784,Accuracy Bowl,Training
119,0,8,1,1.0,Accuracy Bowl,Validation
120,0,8,1,1.846475,Loss Car,Training
121,0,8,1,1.5900875,Loss Car,Validation
122,0,8,1,0.9389313,Accuracy Car,Training
123,0,8,1,1.0,Accuracy Car,Validation
124,0,8,1,2.1381013,Loss Cell_Phone,Training
125,0,8,1,1.9842461,Loss Cell_Phone,Validation
126,0,8,1,0.7430556,Accuracy Cell_Phone,Training
127,0,8,1,0.5170068,Accuracy Cell_Phone,Validation
128,0,8,1,2.052023,Loss Chair,Training
129,0,8,1,2.0174305,Loss Chair,Validation
130,0,8,1,0.8881119,Accuracy Chair,Training
131,0,8,1,0.7887324,Accuracy Chair,Validation
132,0,8,1,2.3092048,Loss Clock,Training
133,0,8,1,2.4622228,Loss Clock,Validation
134,0,8,1,0.90625,Accuracy Clock,Training
135,0,8,1,0.75816995,Accuracy Clock,Validation
136,0,8,1,1.575813,Loss Computer_Mouse,Training
137,0,8,1,1.4067831,Loss Computer_Mouse,Validation
138,0,8,1,1.0,Accuracy Computer_Mouse,Training
139,0,8,1,1.0,Accuracy Computer_Mouse,Validation
140,0,8,1,1.9052701,Loss Cup,Training
141,0,8,1,1.9110858,Loss Cup,Validation
142,0,8,1,0.94520545,Accuracy Cup,Training
143,0,8,1,0.8684211,Accuracy Cup,Validation
144,0,8,1,2.2468827,Loss Fork,Training
145,0,8,1,1.8664707,Loss Fork,Validation
146,0,8,1,0.76744187,Accuracy Fork,Training
147,0,8,1,0.96710527,Accuracy Fork,Validation
148,0,8,1,2.054635,Loss Keyboard,Training
149,0,8,1,2.015353,Loss Keyboard,Validation
150,0,8,1,0.87333333,Accuracy Keyboard,Training
151,0,8,1,0.8333333,Accuracy Keyboard,Validation
152,0,8,1,2.1273663,Loss Knife,Training
153,0,8,1,2.054719,Loss Knife,Validation
154,0,8,1,0.9461538,Accuracy Knife,Training
155,0,8,1,0.6923077,Accuracy Knife,Validation
156,0,8,1,1.8464276,Loss Laptop,Training
157,0,8,1,1.6824021,Loss Laptop,Validation
158,0,8,1,1.0,Accuracy Laptop,Training
159,0,8,1,1.0,Accuracy Laptop,Validation
160,0,8,1,1.7376082,Loss Motorcycle,Training
161,0,8,1,1.5751644,Loss Motorcycle,Validation
162,0,8,1,0.9932886,Accuracy Motorcycle,Training
163,0,8,1,1.0,Accuracy Motorcycle,Validation
164,0,8,1,1.7967317,Loss Potted_Plant,Training
165,0,8,1,1.6071321,Loss Potted_Plant,Validation
166,0,8,1,1.0,Accuracy Potted_Plant,Training
167,0,8,1,1.0,Accuracy Potted_Plant,Validation
168,0,8,1,2.1955218,Loss Spoon,Training
169,0,8,1,2.0624518,Loss Spoon,Validation
170,0,8,1,0.7777778,Accuracy Spoon,Training
171,0,8,1,0.5928571,Accuracy Spoon,Validation
172,0,8,1,2.292478,Loss Sports_Ball,Training
173,0,8,1,2.165568,Loss Sports_Ball,Validation
174,0,8,1,0.8670886,Accuracy Sports_Ball,Training
175,0,8,1,1.0,Accuracy Sports_Ball,Validation
176,0,8,1,1.9383384,Loss Tie,Training
177,0,8,1,1.8700318,Loss Tie,Validation
178,0,8,1,0.953125,Accuracy Tie,Training
179,0,8,1,0.8776978,Accuracy Tie,Validation
180,0,8,1,1.9759198,Loss Traffic_Light,Training
181,0,8,1,2.1700494,Loss Traffic_Light,Validation
182,0,8,1,0.97744364,Accuracy Traffic_Light,Training
183,0,8,1,0.97115386,Accuracy Traffic_Light,Validation
184,0,8,1,2.1085684,Loss Tv_Remote,Training
185,0,8,1,1.8089899,Loss Tv_Remote,Validation
186,0,8,1,0.9637681,Accuracy Tv_Remote,Training
187,0,8,1,1.0,Accuracy Tv_Remote,Validation
188,0,8,1,2.1054442,Loss Wine_Glass,Training
189,0,8,1,1.78341,Loss Wine_Glass,Validation
190,0,8,1,0.9102564,Accuracy Wine_Glass,Training
191,0,8,1,1.0,Accuracy Wine_Glass,Validation
192,0,8,2,1.468979,Loss,Training
193,0,8,2,1.4512769,Loss,Validation
194,0,8,2,0.95125365,Accuracy,Training
195,0,8,2,0.9074896,Accuracy,Validation
196,0,8,2,1.2337781,Loss Bench,Training
197,0,8,2,1.3936205,Loss Bench,Validation
198,0,8,2,1.0,Accuracy Bench,Training
199,0,8,2,0.9147287,Accuracy Bench,Validation
200,0,8,2,1.2895231,Loss Bicycle,Training
201,0,8,2,1.2395326,Loss Bicycle,Validation
202,0,8,2,0.9834711,Accuracy Bicycle,Training
203,0,8,2,1.0,Accuracy Bicycle,Validation
204,0,8,2,1.3413658,Loss Book,Training
205,0,8,2,1.2999731,Loss Book,Validation
206,0,8,2,0.9870968,Accuracy Book,Training
207,0,8,2,0.942029,Accuracy Book,Validation
208,0,8,2,1.3953944,Loss Bottle,Training
209,0,8,2,1.2335407,Loss Bottle,Validation
210,0,8,2,0.9722222,Accuracy Bottle,Training
211,0,8,2,1.0,Accuracy Bottle,Validation
212,0,8,2,1.4648203,Loss Bowl,Training
213,0,8,2,1.4487088,Loss Bowl,Validation
214,0,8,2,0.8769231,Accuracy Bowl,Training
215,0,8,2,1.0,Accuracy Bowl,Validation
216,0,8,2,1.3149967,Loss Car,Training
217,0,8,2,1.1756271,Loss Car,Validation
218,0,8,2,0.9609375,Accuracy Car,Training
219,0,8,2,1.0,Accuracy Car,Validation
220,0,8,2,1.8558435,Loss Cell_Phone,Training
221,0,8,2,1.7253454,Loss Cell_Phone,Validation
222,0,8,2,0.6935484,Accuracy Cell_Phone,Training
223,0,8,2,0.49342105,Accuracy Cell_Phone,Validation
224,0,8,2,1.5838751,Loss Chair,Training
225,0,8,2,1.7278064,Loss Chair,Validation
226,0,8,2,0.9714286,Accuracy Chair,Training
227,0,8,2,0.832,Accuracy Chair,Validation
228,0,8,2,1.7208581,Loss Clock,Training
229,0,8,2,2.168086,Loss Clock,Validation
230,0,8,2,0.9692308,Accuracy Clock,Training
231,0,8,2,0.8,Accuracy Clock,Validation
232,0,8,2,1.0313219,Loss Computer_Mouse,Training
233,0,8,2,0.993062,Loss Computer_Mouse,Validation
234,0,8,2,1.0,Accuracy Computer_Mouse,Training
235,0,8,2,1.0,Accuracy Computer_Mouse,Validation
236,0,8,2,1.3758937,Loss Cup,Training
237,0,8,2,1.5429709,Loss Cup,Validation
238,0,8,2,0.9798658,Accuracy Cup,Training
239,0,8,2,0.8731343,Accuracy Cup,Validation
240,0,8,2,1.6988661,Loss Fork,Training
241,0,8,2,1.4348707,Loss Fork,Validation
242,0,8,2,0.8873239,Accuracy Fork,Training
243,0,8,2,1.0,Accuracy Fork,Validation
244,0,8,2,1.4435734,Loss Keyboard,Training
245,0,8,2,1.6104298,Loss Keyboard,Validation
246,0,8,2,0.96710527,Accuracy Keyboard,Training
247,0,8,2,0.9071429,Accuracy Keyboard,Validation
248,0,8,2,1.6824626,Loss Knife,Training
249,0,8,2,1.6577473,Loss Knife,Validation
250,0,8,2,0.9492754,Accuracy Knife,Training
251,0,8,2,0.74657536,Accuracy Knife,Validation
252,0,8,2,1.3462996,Loss Laptop,Training
253,0,8,2,1.137883,Loss Laptop,Validation
254,0,8,2,0.962963,Accuracy Laptop,Training
255,0,8,2,1.0,Accuracy Laptop,Validation
256,0,8,2,1.2941754,Loss Motorcycle,Training
257,0,8,2,1.1488582,Loss Motorcycle,Validation
258,0,8,2,0.97727275,Accuracy Motorcycle,Training
259,0,8,2,1.0,Accuracy Motorcycle,Validation
260,0,8,2,1.3740567,Loss Potted_Plant,Training
261,0,8,2,1.0883029,Loss Potted_Plant,Validation
262,0,8,2,0.9767442,Accuracy Potted_Plant,Training
263,0,8,2,1.0,Accuracy Potted_Plant,Validation
264,0,8,2,1.7371987,Loss Spoon,Training
265,0,8,2,1.7499324,Loss Spoon,Validation
266,0,8,2,0.875,Accuracy Spoon,Training
267,0,8,2,0.5194805,Accuracy Spoon,Validation
268,0,8,2,1.6807241,Loss Sports_Ball,Training
269,0,8,2,1.9022276,Loss Sports_Ball,Validation
270,0,8,2,0.96350366,Accuracy Sports_Ball,Training
271,0,8,2,1.0,Accuracy Sports_Ball,Validation
272,0,8,2,1.4233109,Loss Tie,Training
273,0,8,2,1.3792362,Loss Tie,Validation
274,0,8,2,0.97202796,Accuracy Tie,Training
275,0,8,2,0.875,Accuracy Tie,Validation
276,0,8,2,1.456753,Loss Traffic_Light,Training
277,0,8,2,1.7145185,Loss Traffic_Light,Validation
278,0,8,2,0.9727891,Accuracy Traffic_Light,Training
279,0,8,2,0.96875,Accuracy Traffic_Light,Validation
280,0,8,2,1.5017351,Loss Tv_Remote,Training
281,0,8,2,1.2367277,Loss Tv_Remote,Validation
282,0,8,2,0.99418604,Accuracy Tv_Remote,Training
283,0,8,2,1.0,Accuracy Tv_Remote,Validation
284,0,8,2,1.5396961,Loss Wine_Glass,Training
285,0,8,2,1.3703592,Loss Wine_Glass,Validation
286,0,8,2,0.9859155,Accuracy Wine_Glass,Training
287,0,8,2,1.0,Accuracy Wine_Glass,Validation
288,0,8,3,1.1034938,Loss,Training
289,0,8,3,1.2002885,Loss,Validation
290,0,8,3,0.9618289,Accuracy,Training
291,0,8,3,0.9215898,Accuracy,Validation
292,0,8,3,0.9796989,Loss Bench,Training
293,0,8,3,1.1802179,Loss Bench,Validation
294,0,8,3,0.9848485,Accuracy Bench,Training
295,0,8,3,0.9027778,Accuracy Bench,Validation
296,0,8,3,0.9607843,Loss Bicycle,Training
297,0,8,3,0.88910615,Loss Bicycle,Validation
298,0,8,3,1.0,Accuracy Bicycle,Training
299,0,8,3,1.0,Accuracy Bicycle,Validation
300,0,8,3,1.0521971,Loss Book,Training
301,0,8,3,1.1802139,Loss Book,Validation
302,0,8,3,0.9851852,Accuracy Book,Training
303,0,8,3,0.94152045,Accuracy Book,Validation
304,0,8,3,1.046445,Loss Bottle,Training
305,0,8,3,1.0338182,Loss Bottle,Validation
306,0,8,3,0.9767442,Accuracy Bottle,Training
307,0,8,3,1.0,Accuracy Bottle,Validation
308,0,8,3,1.1224298,Loss Bowl,Training
309,0,8,3,1.2019782,Loss Bowl,Validation
310,0,8,3,0.90604025,Accuracy Bowl,Training
311,0,8,3,1.0,Accuracy Bowl,Validation
312,0,8,3,0.91454387,Loss Car,Training
313,0,8,3,0.8539522,Loss Car,Validation
