,seed,examples_per_class,epoch,value,metric,split
0,1,8,0,2.6723008,Loss,Training
1,1,8,0,2.3940017,Loss,Validation
2,1,8,0,0.5453317,Accuracy,Training
3,1,8,0,0.7401104,Accuracy,Validation
4,1,8,0,2.6387596,Loss Bench,Training
5,1,8,0,2.2368598,Loss Bench,Validation
6,1,8,0,0.48412699,Accuracy Bench,Training
7,1,8,0,0.79389316,Accuracy Bench,Validation
8,1,8,0,2.4339464,Loss Bicycle,Training
9,1,8,0,1.8850077,Loss Bicycle,Validation
10,1,8,0,0.5273973,Accuracy Bicycle,Training
11,1,8,0,1.0,Accuracy Bicycle,Validation
12,1,8,0,2.3662174,Loss Book,Training
13,1,8,0,2.342157,Loss Book,Validation
14,1,8,0,0.94482756,Accuracy Book,Training
15,1,8,0,0.8187919,Accuracy Book,Validation
16,1,8,0,2.5451868,Loss Bottle,Training
17,1,8,0,2.2562642,Loss Bottle,Validation
18,1,8,0,0.72839504,Accuracy Bottle,Training
19,1,8,0,1.0,Accuracy Bottle,Validation
20,1,8,0,2.6124372,Loss Bowl,Training
21,1,8,0,2.1989424,Loss Bowl,Validation
22,1,8,0,0.6946108,Accuracy Bowl,Training
23,1,8,0,1.0,Accuracy Bowl,Validation
24,1,8,0,2.8286154,Loss Car,Training
25,1,8,0,2.5264566,Loss Car,Validation
26,1,8,0,0.25373134,Accuracy Car,Training
27,1,8,0,0.30935252,Accuracy Car,Validation
28,1,8,0,2.7032332,Loss Cell_Phone,Training
29,1,8,0,2.556689,Loss Cell_Phone,Validation
30,1,8,0,0.47368422,Accuracy Cell_Phone,Training
31,1,8,0,0.37671232,Accuracy Cell_Phone,Validation
32,1,8,0,2.8725657,Loss Chair,Training
33,1,8,0,2.5495415,Loss Chair,Validation
34,1,8,0,0.23015873,Accuracy Chair,Training
35,1,8,0,0.74418604,Accuracy Chair,Validation
36,1,8,0,2.7912717,Loss Clock,Training
37,1,8,0,2.6698725,Loss Clock,Validation
38,1,8,0,0.6066667,Accuracy Clock,Training
39,1,8,0,0.80487806,Accuracy Clock,Validation
40,1,8,0,2.4165637,Loss Computer_Mouse,Training
41,1,8,0,2.1132352,Loss Computer_Mouse,Validation
42,1,8,0,0.8201439,Accuracy Computer_Mouse,Training
43,1,8,0,1.0,Accuracy Computer_Mouse,Validation
44,1,8,0,2.6867208,Loss Cup,Training
45,1,8,0,2.4103494,Loss Cup,Validation
46,1,8,0,0.23880596,Accuracy Cup,Training
47,1,8,0,0.42068964,Accuracy Cup,Validation
48,1,8,0,2.7629251,Loss Fork,Training
49,1,8,0,2.5193706,Loss Fork,Validation
50,1,8,0,0.4857143,Accuracy Fork,Training
51,1,8,0,0.34228188,Accuracy Fork,Validation
52,1,8,0,2.7925372,Loss Keyboard,Training
53,1,8,0,2.5169897,Loss Keyboard,Validation
54,1,8,0,0.24817519,Accuracy Keyboard,Training
55,1,8,0,0.096551724,Accuracy Keyboard,Validation
56,1,8,0,2.706725,Loss Knife,Training
57,1,8,0,2.4744003,Loss Knife,Validation
58,1,8,0,0.6148148,Accuracy Knife,Training
59,1,8,0,0.9236111,Accuracy Knife,Validation
60,1,8,0,2.5053644,Loss Laptop,Training
61,1,8,0,2.1761475,Loss Laptop,Validation
