,seed,examples_per_class,epoch,value,metric,split
0,2,8,0,2.7036731,Loss,Training
1,2,8,0,2.4139767,Loss,Validation
2,2,8,0,0.53874475,Accuracy,Training
3,2,8,0,0.8056115,Accuracy,Validation
4,2,8,0,2.5979965,Loss Bench,Training
5,2,8,0,2.3165786,Loss Bench,Validation
6,2,8,0,0.6857143,Accuracy Bench,Training
7,2,8,0,0.9037037,Accuracy Bench,Validation
8,2,8,0,2.6228542,Loss Bicycle,Training
9,2,8,0,2.1842425,Loss Bicycle,Validation
10,2,8,0,0.705036,Accuracy Bicycle,Training
11,2,8,0,1.0,Accuracy Bicycle,Validation
12,2,8,0,2.7995558,Loss Book,Training
13,2,8,0,2.4250612,Loss Book,Validation
14,2,8,0,0.26666668,Accuracy Book,Training
15,2,8,0,0.68333334,Accuracy Book,Validation
16,2,8,0,2.6593347,Loss Bottle,Training
17,2,8,0,2.4776356,Loss Bottle,Validation
18,2,8,0,0.745283,Accuracy Bottle,Training
19,2,8,0,0.96183205,Accuracy Bottle,Validation
20,2,8,0,2.873213,Loss Bowl,Training
21,2,8,0,2.532061,Loss Bowl,Validation
22,2,8,0,0.27419356,Accuracy Bowl,Training
23,2,8,0,0.44360903,Accuracy Bowl,Validation
24,2,8,0,2.6931705,Loss Car,Training
25,2,8,0,2.1793585,Loss Car,Validation
26,2,8,0,0.5248227,Accuracy Car,Training
27,2,8,0,1.0,Accuracy Car,Validation
28,2,8,0,2.6386504,Loss Cell_Phone,Training
29,2,8,0,2.298619,Loss Cell_Phone,Validation
30,2,8,0,0.4852941,Accuracy Cell_Phone,Training
31,2,8,0,0.69863015,Accuracy Cell_Phone,Validation
32,2,8,0,2.6176968,Loss Chair,Training
33,2,8,0,2.436172,Loss Chair,Validation
34,2,8,0,0.69863015,Accuracy Chair,Training
35,2,8,0,1.0,Accuracy Chair,Validation
36,2,8,0,2.7107594,Loss Clock,Training
37,2,8,0,2.6636457,Loss Clock,Validation
38,2,8,0,0.57931036,Accuracy Clock,Training
39,2,8,0,0.7132353,Accuracy Clock,Validation
40,2,8,0,2.52784,Loss Computer_Mouse,Training
41,2,8,0,2.3928885,Loss Computer_Mouse,Validation
42,2,8,0,0.74825174,Accuracy Computer_Mouse,Training
43,2,8,0,1.0,Accuracy Computer_Mouse,Validation
44,2,8,0,2.7333186,Loss Cup,Training
45,2,8,0,2.3919897,Loss Cup,Validation
46,2,8,0,0.5985401,Accuracy Cup,Training
47,2,8,0,1.0,Accuracy Cup,Validation
48,2,8,0,2.787897,Loss Fork,Training
49,2,8,0,2.5459661,Loss Fork,Validation
50,2,8,0,0.31451613,Accuracy Fork,Training
51,2,8,0,0.35099337,Accuracy Fork,Validation
52,2,8,0,2.7858047,Loss Keyboard,Training
53,2,8,0,2.5810056,Loss Keyboard,Validation
54,2,8,0,0.24626866,Accuracy Keyboard,Training
55,2,8,0,0.2867647,Accuracy Keyboard,Validation
56,2,8,0,2.7936943,Loss Knife,Training
57,2,8,0,2.436501,Loss Knife,Validation
