,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,1.733552,Loss,Training
1,0,2,0,1.6922897,Loss,Validation
2,0,2,0,0.7933949,Accuracy,Training
3,0,2,0,0.74566734,Accuracy,Validation
4,0,2,0,1.8124223,Loss Bird,Training
5,0,2,0,1.8115613,Loss Bird,Validation
6,0,2,0,0.79141104,Accuracy Bird,Training
7,0,2,0,0.7969697,Accuracy Bird,Validation
8,0,2,0,1.6537483,Loss Car,Training
9,0,2,0,1.5225488,Loss Car,Validation
10,0,2,0,0.7848485,Accuracy Car,Training
11,0,2,0,0.6910828,Accuracy Car,Validation
12,0,2,0,1.5346018,Loss Cat,Training
13,0,2,0,1.6746999,Loss Cat,Validation
14,0,2,0,0.84821427,Accuracy Cat,Training
15,0,2,0,0.7934426,Accuracy Cat,Validation
16,0,2,0,1.7724419,Loss Deer,Training
17,0,2,0,1.5392898,Loss Deer,Validation
18,0,2,0,0.78635013,Accuracy Deer,Training
19,0,2,0,0.92236024,Accuracy Deer,Validation
20,0,2,0,1.8054488,Loss Dog,Training
21,0,2,0,1.7570072,Loss Dog,Validation
22,0,2,0,0.74482757,Accuracy Dog,Training
23,0,2,0,0.6105919,Accuracy Dog,Validation
24,0,2,0,1.8417605,Loss Frog,Training
25,0,2,0,1.7171956,Loss Frog,Validation
26,0,2,0,0.8125,Accuracy Frog,Training
27,0,2,0,0.94736844,Accuracy Frog,Validation
28,0,2,0,1.7475041,Loss Horse,Training
29,0,2,0,1.6921027,Loss Horse,Validation
30,0,2,0,0.79530203,Accuracy Horse,Training
31,0,2,0,0.7797619,Accuracy Horse,Validation
32,0,2,0,1.6804911,Loss Plane,Training
33,0,2,0,1.7622106,Loss Plane,Validation
34,0,2,0,0.7357357,Accuracy Plane,Training
35,0,2,0,0.63190186,Accuracy Plane,Validation
36,0,2,0,1.8354944,Loss Ship,Training
37,0,2,0,1.8531773,Loss Ship,Validation
38,0,2,0,0.76094276,Accuracy Ship,Training
39,0,2,0,0.6574074,Accuracy Ship,Validation
40,0,2,0,1.6516063,Loss Truck,Training
41,0,2,0,1.5931035,Loss Truck,Validation
42,0,2,0,0.873817,Accuracy Truck,Training
43,0,2,0,0.6257862,Accuracy Truck,Validation
44,0,2,1,0.97051466,Loss,Training
45,0,2,1,1.3590564,Loss,Validation
46,0,2,1,0.98925936,Accuracy,Training
47,0,2,1,0.7835765,Accuracy,Validation
48,0,2,1,1.0683895,Loss Bird,Training
49,0,2,1,1.4516732,Loss Bird,Validation
50,0,2,1,0.99717516,Accuracy Bird,Training
51,0,2,1,0.875,Accuracy Bird,Validation
52,0,2,1,0.9416578,Loss Car,Training
53,0,2,1,1.2317222,Loss Car,Validation
54,0,2,1,0.9748428,Accuracy Car,Training
55,0,2,1,0.72205436,Accuracy Car,Validation
56,0,2,1,0.6476424,Loss Cat,Training
57,0,2,1,1.5104953,Loss Cat,Validation
58,0,2,1,0.993994,Accuracy Cat,Training
59,0,2,1,0.6944444,Accuracy Cat,Validation
60,0,2,1,1.0491399,Loss Deer,Training
61,0,2,1,1.2089443,Loss Deer,Validation
62,0,2,1,0.99674267,Accuracy Deer,Training
63,0,2,1,0.9248366,Accuracy Deer,Validation
64,0,2,1,0.9890948,Loss Dog,Training
65,0,2,1,1.4072517,Loss Dog,Validation
66,0,2,1,0.97952217,Accuracy Dog,Training
67,0,2,1,0.6611842,Accuracy Dog,Validation
68,0,2,1,1.1086589,Loss Frog,Training
69,0,2,1,1.306003,Loss Frog,Validation
70,0,2,1,0.99312717,Accuracy Frog,Training
71,0,2,1,0.956229,Accuracy Frog,Validation
72,0,2,1,0.96003824,Loss Horse,Training
73,0,2,1,1.2393664,Loss Horse,Validation
74,0,2,1,0.99698794,Accuracy Horse,Training
75,0,2,1,0.8566879,Accuracy Horse,Validation
76,0,2,1,0.9553752,Loss Plane,Training
77,0,2,1,1.4880313,Loss Plane,Validation
78,0,2,1,0.9660494,Accuracy Plane,Training
79,0,2,1,0.66106445,Accuracy Plane,Validation
80,0,2,1,1.0592062,Loss Ship,Training
81,0,2,1,1.3717289,Loss Ship,Validation
82,0,2,1,0.99415207,Accuracy Ship,Training
83,0,2,1,0.85250735,Accuracy Ship,Validation
84,0,2,1,0.92594373,Loss Truck,Training
85,0,2,1,1.3753477,Loss Truck,Validation
86,0,2,1,1.0,Accuracy Truck,Training
87,0,2,1,0.6317568,Accuracy Truck,Validation
88,0,2,2,0.5725756,Loss,Training
89,0,2,2,1.1283133,Loss,Validation
90,0,2,2,0.9934392,Accuracy,Training
91,0,2,2,0.83017033,Accuracy,Validation
92,0,2,2,0.60805917,Loss Bird,Training
93,0,2,2,1.2998058,Loss Bird,Validation
94,0,2,2,0.99676377,Accuracy Bird,Training
95,0,2,2,0.88372093,Accuracy Bird,Validation
96,0,2,2,0.59639955,Loss Car,Training
97,0,2,2,1.0959612,Loss Car,Validation
98,0,2,2,0.9872612,Accuracy Car,Training
99,0,2,2,0.6951567,Accuracy Car,Validation
100,0,2,2,0.3696739,Loss Cat,Training
101,0,2,2,1.2448345,Loss Cat,Validation
102,0,2,2,0.99706745,Accuracy Cat,Training
103,0,2,2,0.75914633,Accuracy Cat,Validation
104,0,2,2,0.6435615,Loss Deer,Training
105,0,2,2,0.91592276,Loss Deer,Validation
106,0,2,2,0.9966443,Accuracy Deer,Training
107,0,2,2,0.9186747,Accuracy Deer,Validation
108,0,2,2,0.54753286,Loss Dog,Training
109,0,2,2,1.0608208,Loss Dog,Validation
110,0,2,2,0.9971014,Accuracy Dog,Training
111,0,2,2,0.8358663,Accuracy Dog,Validation
112,0,2,2,0.63834256,Loss Frog,Training
113,0,2,2,0.9676649,Loss Frog,Validation
114,0,2,2,1.0,Accuracy Frog,Training
115,0,2,2,0.9968355,Accuracy Frog,Validation
116,0,2,2,0.55691785,Loss Horse,Training
117,0,2,2,1.083007,Loss Horse,Validation
118,0,2,2,0.9941176,Accuracy Horse,Training
119,0,2,2,0.83828384,Accuracy Horse,Validation
120,0,2,2,0.5852971,Loss Plane,Training
121,0,2,2,1.2800715,Loss Plane,Validation
122,0,2,2,0.968652,Accuracy Plane,Training
123,0,2,2,0.7307692,Accuracy Plane,Validation
124,0,2,2,0.6288121,Loss Ship,Training
125,0,2,2,1.186096,Loss Ship,Validation
126,0,2,2,0.99678457,Accuracy Ship,Training
127,0,2,2,0.8962264,Accuracy Ship,Validation
128,0,2,2,0.55115944,Loss Truck,Training
129,0,2,2,1.148948,Loss Truck,Validation
130,0,2,2,1.0,Accuracy Truck,Training
131,0,2,2,0.7470238,Accuracy Truck,Validation
132,0,2,3,0.3863011,Loss,Training
133,0,2,3,1.0166782,Loss,Validation
134,0,2,3,0.9939922,Accuracy,Training
135,0,2,3,0.8136039,Accuracy,Validation
136,0,2,3,0.44582668,Loss Bird,Training
137,0,2,3,1.1461633,Loss Bird,Validation
138,0,2,3,1.0,Accuracy Bird,Training
139,0,2,3,0.88509315,Accuracy Bird,Validation
