,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,1.6332171,Loss,Training
1,0,2,0,1.6931425,Loss,Validation
2,0,2,0,0.83835685,Accuracy,Training
3,0,2,0,0.6728412,Accuracy,Validation
4,0,2,0,1.8135228,Loss Bird,Training
5,0,2,0,1.9286965,Loss Bird,Validation
6,0,2,0,0.8786885,Accuracy Bird,Training
7,0,2,0,0.58116883,Accuracy Bird,Validation
8,0,2,0,1.554912,Loss Car,Training
9,0,2,0,1.4854819,Loss Car,Validation
10,0,2,0,0.9262537,Accuracy Car,Training
11,0,2,0,0.7388724,Accuracy Car,Validation
12,0,2,0,1.3368294,Loss Cat,Training
13,0,2,0,1.6408535,Loss Cat,Validation
14,0,2,0,0.9382353,Accuracy Cat,Training
15,0,2,0,0.76065576,Accuracy Cat,Validation
16,0,2,0,1.8291298,Loss Deer,Training
17,0,2,0,1.7751495,Loss Deer,Validation
18,0,2,0,0.77003485,Accuracy Deer,Training
19,0,2,0,0.64935064,Accuracy Deer,Validation
20,0,2,0,1.5477947,Loss Dog,Training
21,0,2,0,1.6882433,Loss Dog,Validation
22,0,2,0,0.8495298,Accuracy Dog,Training
23,0,2,0,0.6483871,Accuracy Dog,Validation
24,0,2,0,1.8498291,Loss Frog,Training
25,0,2,0,1.7461196,Loss Frog,Validation
26,0,2,0,0.85240966,Accuracy Frog,Training
27,0,2,0,0.9287926,Accuracy Frog,Validation
28,0,2,0,1.7743276,Loss Horse,Training
29,0,2,0,1.6499776,Loss Horse,Validation
30,0,2,0,0.7916667,Accuracy Horse,Training
31,0,2,0,0.6961652,Accuracy Horse,Validation
32,0,2,0,1.4126983,Loss Plane,Training
33,0,2,0,1.5900314,Loss Plane,Validation
34,0,2,0,0.896875,Accuracy Plane,Training
35,0,2,0,0.71202534,Accuracy Plane,Validation
36,0,2,0,1.5898848,Loss Ship,Training
37,0,2,0,1.7216704,Loss Ship,Validation
38,0,2,0,0.70897835,Accuracy Ship,Training
39,0,2,0,0.7357357,Accuracy Ship,Validation
40,0,2,0,1.6232406,Loss Truck,Training
41,0,2,0,1.7052014,Loss Truck,Validation
42,0,2,0,0.7708978,Accuracy Truck,Training
43,0,2,0,0.27725857,Accuracy Truck,Validation
44,0,2,1,0.83423823,Loss,Training
45,0,2,1,1.4006598,Loss,Validation
46,0,2,1,0.99341315,Accuracy,Training
47,0,2,1,0.73471975,Accuracy,Validation
48,0,2,1,1.0375826,Loss Bird,Training
49,0,2,1,1.5888882,Loss Bird,Validation
50,0,2,1,1.0,Accuracy Bird,Training
51,0,2,1,0.7968254,Accuracy Bird,Validation
52,0,2,1,0.89942837,Loss Car,Training
53,0,2,1,1.2622181,Loss Car,Validation
54,0,2,1,0.99104476,Accuracy Car,Training
55,0,2,1,0.67058825,Accuracy Car,Validation
56,0,2,1,0.55760026,Loss Cat,Training
57,0,2,1,1.6334949,Loss Cat,Validation
58,0,2,1,1.0,Accuracy Cat,Training
59,0,2,1,0.6454849,Accuracy Cat,Validation
60,0,2,1,1.008145,Loss Deer,Training
61,0,2,1,1.2037067,Loss Deer,Validation
62,0,2,1,0.9782609,Accuracy Deer,Training
63,0,2,1,0.8938907,Accuracy Deer,Validation
64,0,2,1,0.565779,Loss Dog,Training
65,0,2,1,1.346003,Loss Dog,Validation
66,0,2,1,1.0,Accuracy Dog,Training
67,0,2,1,0.752443,Accuracy Dog,Validation
68,0,2,1,1.0467896,Loss Frog,Training
69,0,2,1,1.2522752,Loss Frog,Validation
70,0,2,1,0.9969512,Accuracy Frog,Training
71,0,2,1,0.9968553,Accuracy Frog,Validation
72,0,2,1,1.0090607,Loss Horse,Training
73,0,2,1,1.3475044,Loss Horse,Validation
74,0,2,1,0.98293513,Accuracy Horse,Training
75,0,2,1,0.712963,Accuracy Horse,Validation
76,0,2,1,0.63221186,Loss Plane,Training
77,0,2,1,1.4775513,Loss Plane,Validation
78,0,2,1,1.0,Accuracy Plane,Training
79,0,2,1,0.6279762,Accuracy Plane,Validation
