,seed,examples_per_class,epoch,value,metric,split
0,2,2,0,1.7298968,Loss,Training
1,2,2,0,1.6558679,Loss,Validation
2,2,2,0,0.7682445,Accuracy,Training
3,2,2,0,0.7369215,Accuracy,Validation
4,2,2,0,1.9827604,Loss Bird,Training
5,2,2,0,1.775973,Loss Bird,Validation
6,2,2,0,0.56369424,Accuracy Bird,Training
7,2,2,0,0.8189911,Accuracy Bird,Validation
8,2,2,0,1.7037878,Loss Car,Training
9,2,2,0,1.5681988,Loss Car,Validation
10,2,2,0,0.7033639,Accuracy Car,Training
11,2,2,0,0.6865204,Accuracy Car,Validation
12,2,2,0,1.4887912,Loss Cat,Training
13,2,2,0,1.4050573,Loss Cat,Validation
14,2,2,0,0.8668639,Accuracy Cat,Training
15,2,2,0,0.884984,Accuracy Cat,Validation
16,2,2,0,1.7489793,Loss Deer,Training
17,2,2,0,1.4446983,Loss Deer,Validation
18,2,2,0,0.7875,Accuracy Deer,Training
19,2,2,0,0.93037975,Accuracy Deer,Validation
20,2,2,0,1.8529618,Loss Dog,Training
21,2,2,0,1.8648787,Loss Dog,Validation
22,2,2,0,0.6588629,Accuracy Dog,Training
23,2,2,0,0.47936508,Accuracy Dog,Validation
24,2,2,0,1.9009696,Loss Frog,Training
25,2,2,0,1.743092,Loss Frog,Validation
26,2,2,0,0.8485804,Accuracy Frog,Training
27,2,2,0,0.96615386,Accuracy Frog,Validation
28,2,2,0,1.7520401,Loss Horse,Training
29,2,2,0,1.6180423,Loss Horse,Validation
30,2,2,0,0.7404844,Accuracy Horse,Training
31,2,2,0,0.8137255,Accuracy Horse,Validation
32,2,2,0,1.653298,Loss Plane,Training
33,2,2,0,1.5847903,Loss Plane,Validation
34,2,2,0,0.8518519,Accuracy Plane,Training
35,2,2,0,0.8668731,Accuracy Plane,Validation
36,2,2,0,1.5542115,Loss Ship,Training
37,2,2,0,1.7204243,Loss Ship,Validation
38,2,2,0,0.9067524,Accuracy Ship,Training
39,2,2,0,0.64117646,Accuracy Ship,Validation
40,2,2,0,1.6611668,Loss Truck,Training
41,2,2,0,1.8335234,Loss Truck,Validation
42,2,2,0,0.75449103,Accuracy Truck,Training
43,2,2,0,0.28104576,Accuracy Truck,Validation
44,2,2,1,0.9595954,Loss,Training
45,2,2,1,1.2813227,Loss,Validation
46,2,2,1,0.97818106,Accuracy,Training
47,2,2,1,0.8055191,Accuracy,Validation
48,2,2,1,1.2130449,Loss Bird,Training
49,2,2,1,1.3672929,Loss Bird,Validation
50,2,2,1,0.9161491,Accuracy Bird,Training
51,2,2,1,0.94752187,Accuracy Bird,Validation
52,2,2,1,0.9728279,Loss Car,Training
53,2,2,1,1.1869448,Loss Car,Validation
54,2,2,1,0.9658703,Accuracy Car,Training
55,2,2,1,0.83908045,Accuracy Car,Validation
56,2,2,1,0.72164464,Loss Cat,Training
57,2,2,1,1.1368691,Loss Cat,Validation
58,2,2,1,0.9937107,Accuracy Cat,Training
59,2,2,1,0.8738462,Accuracy Cat,Validation
60,2,2,1,0.9444348,Loss Deer,Training
61,2,2,1,1.0710355,Loss Deer,Validation
62,2,2,1,0.99696046,Accuracy Deer,Training
63,2,2,1,0.9183006,Accuracy Deer,Validation
64,2,2,1,0.88512486,Loss Dog,Training
65,2,2,1,1.4293873,Loss Dog,Validation
66,2,2,1,0.99375,Accuracy Dog,Training
67,2,2,1,0.7275449,Accuracy Dog,Validation
68,2,2,1,1.1892072,Loss Frog,Training
69,2,2,1,1.2472917,Loss Frog,Validation
70,2,2,1,1.0,Accuracy Frog,Training
71,2,2,1,0.96997,Accuracy Frog,Validation
72,2,2,1,0.88759303,Loss Horse,Training
73,2,2,1,1.1004685,Loss Horse,Validation
