,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,1.5388182,Loss,Training
1,0,2,0,1.7178684,Loss,Validation
2,0,2,0,0.8790329,Accuracy,Training
3,0,2,0,0.73353237,Accuracy,Validation
4,0,2,0,1.5498585,Loss Bird,Training
5,0,2,0,1.5963053,Loss Bird,Validation
6,0,2,0,0.91501415,Accuracy Bird,Training
7,0,2,0,0.9442971,Accuracy Bird,Validation
8,0,2,0,1.5014507,Loss Car,Training
9,0,2,0,1.7225981,Loss Car,Validation
10,0,2,0,0.8901099,Accuracy Car,Training
11,0,2,0,0.5986394,Accuracy Car,Validation
12,0,2,0,1.4019698,Loss Cat,Training
13,0,2,0,1.6578052,Loss Cat,Validation
14,0,2,0,0.8820059,Accuracy Cat,Training
15,0,2,0,0.764526,Accuracy Cat,Validation
16,0,2,0,1.5987129,Loss Deer,Training
17,0,2,0,1.8240467,Loss Deer,Validation
18,0,2,0,0.90819675,Accuracy Deer,Training
19,0,2,0,0.61488676,Accuracy Deer,Validation
20,0,2,0,1.4911411,Loss Dog,Training
21,0,2,0,1.8322266,Loss Dog,Validation
22,0,2,0,0.9362416,Accuracy Dog,Training
23,0,2,0,0.5744681,Accuracy Dog,Validation
24,0,2,0,1.6199683,Loss Frog,Training
25,0,2,0,1.7493944,Loss Frog,Validation
26,0,2,0,0.8553846,Accuracy Frog,Training
27,0,2,0,0.89589906,Accuracy Frog,Validation
28,0,2,0,1.3369677,Loss Horse,Training
29,0,2,0,1.6211435,Loss Horse,Validation
30,0,2,0,0.9071856,Accuracy Horse,Training
31,0,2,0,0.8381877,Accuracy Horse,Validation
32,0,2,0,1.5655493,Loss Plane,Training
33,0,2,0,1.7906333,Loss Plane,Validation
34,0,2,0,0.8452381,Accuracy Plane,Training
35,0,2,0,0.5123675,Accuracy Plane,Validation
36,0,2,0,1.7240981,Loss Ship,Training
37,0,2,0,1.7101341,Loss Ship,Validation
38,0,2,0,0.79113925,Accuracy Ship,Training
39,0,2,0,0.7787611,Accuracy Ship,Validation
40,0,2,0,1.5984663,Loss Truck,Training
41,0,2,0,1.6743958,Loss Truck,Validation
42,0,2,0,0.8598131,Accuracy Truck,Training
43,0,2,0,0.81329113,Accuracy Truck,Validation
44,0,2,1,0.6206907,Loss,Training
45,0,2,1,1.4167626,Loss,Validation
46,0,2,1,0.9996904,Accuracy,Training
47,0,2,1,0.76373607,Accuracy,Validation
48,0,2,1,0.6691007,Loss Bird,Training
49,0,2,1,1.2430475,Loss Bird,Validation
50,0,2,1,1.0,Accuracy Bird,Training
51,0,2,1,0.9438944,Accuracy Bird,Validation
52,0,2,1,0.55196136,Loss Car,Training
53,0,2,1,1.3186998,Loss Car,Validation
54,0,2,1,1.0,Accuracy Car,Training
55,0,2,1,0.7037037,Accuracy Car,Validation
56,0,2,1,0.4425329,Loss Cat,Training
57,0,2,1,1.4408255,Loss Cat,Validation
58,0,2,1,1.0,Accuracy Cat,Training
