,seed,examples_per_class,epoch,value,metric,split
0,1,2,0,1.7361187,Loss,Training
1,1,2,0,1.6559595,Loss,Validation
2,1,2,0,0.75963914,Accuracy,Training
3,1,2,0,0.79264987,Accuracy,Validation
4,1,2,0,1.8296133,Loss Bird,Training
5,1,2,0,1.709619,Loss Bird,Validation
6,1,2,0,0.78208953,Accuracy Bird,Training
7,1,2,0,0.89028215,Accuracy Bird,Validation
8,1,2,0,1.68815,Loss Car,Training
9,1,2,0,1.5651577,Loss Car,Validation
10,1,2,0,0.66765577,Accuracy Car,Training
11,1,2,0,0.68421054,Accuracy Car,Validation
12,1,2,0,1.8809391,Loss Cat,Training
13,1,2,0,1.6797097,Loss Cat,Validation
14,1,2,0,0.5925926,Accuracy Cat,Training
15,1,2,0,0.7762238,Accuracy Cat,Validation
16,1,2,0,1.7249768,Loss Deer,Training
17,1,2,0,1.5088835,Loss Deer,Validation
18,1,2,0,0.84639496,Accuracy Deer,Training
19,1,2,0,0.8879552,Accuracy Deer,Validation
20,1,2,0,1.7027957,Loss Dog,Training
21,1,2,0,1.6588494,Loss Dog,Validation
22,1,2,0,0.8056426,Accuracy Dog,Training
23,1,2,0,0.768546,Accuracy Dog,Validation
24,1,2,0,1.8206536,Loss Frog,Training
25,1,2,0,1.745078,Loss Frog,Validation
26,1,2,0,0.82461536,Accuracy Frog,Training
27,1,2,0,0.962963,Accuracy Frog,Validation
28,1,2,0,1.6227597,Loss Horse,Training
29,1,2,0,1.668123,Loss Horse,Validation
30,1,2,0,0.8369906,Accuracy Horse,Training
31,1,2,0,0.70422536,Accuracy Horse,Validation
32,1,2,0,1.6896205,Loss Plane,Training
33,1,2,0,1.7024593,Loss Plane,Validation
34,1,2,0,0.7395498,Accuracy Plane,Training
35,1,2,0,0.7836257,Accuracy Plane,Validation
36,1,2,0,1.7326381,Loss Ship,Training
37,1,2,0,1.6792643,Loss Ship,Validation
38,1,2,0,0.7363344,Accuracy Ship,Training
39,1,2,0,0.8056426,Accuracy Ship,Validation
40,1,2,0,1.6690403,Loss Truck,Training
41,1,2,0,1.6424531,Loss Truck,Validation
42,1,2,0,0.764526,Accuracy Truck,Training
43,1,2,0,0.6628242,Accuracy Truck,Validation
44,1,2,1,0.9632212,Loss,Training
45,1,2,1,1.2876201,Loss,Validation
46,1,2,1,0.97943306,Accuracy,Training
47,1,2,1,0.82945144,Accuracy,Validation
48,1,2,1,1.1190063,Loss Bird,Training
49,1,2,1,1.298113,Loss Bird,Validation
50,1,2,1,0.9798271,Accuracy Bird,Training
51,1,2,1,0.93,Accuracy Bird,Validation
52,1,2,1,0.9269815,Loss Car,Training
53,1,2,1,1.2107666,Loss Car,Validation
54,1,2,1,0.99722993,Accuracy Car,Training
55,1,2,1,0.8557377,Accuracy Car,Validation
56,1,2,1,1.0583024,Loss Cat,Training
57,1,2,1,1.257674,Loss Cat,Validation
58,1,2,1,0.93645483,Accuracy Cat,Training
59,1,2,1,0.81570995,Accuracy Cat,Validation
60,1,2,1,0.94350415,Loss Deer,Training
61,1,2,1,1.0599374,Loss Deer,Validation
62,1,2,1,0.9909366,Accuracy Deer,Training
63,1,2,1,0.93714285,Accuracy Deer,Validation
64,1,2,1,0.8711642,Loss Dog,Training
