,seed,examples_per_class,epoch,value,metric,split
0,1,4,0,1.7463176,Loss,Training
1,1,4,0,1.6645397,Loss,Validation
2,1,4,0,0.7441981,Accuracy,Training
3,1,4,0,0.7615055,Accuracy,Validation
4,1,4,0,1.8533307,Loss Bird,Training
5,1,4,0,1.7381626,Loss Bird,Validation
6,1,4,0,0.7522388,Accuracy Bird,Training
7,1,4,0,0.8840125,Accuracy Bird,Validation
8,1,4,0,1.6910614,Loss Car,Training
9,1,4,0,1.5790241,Loss Car,Validation
10,1,4,0,0.6646884,Accuracy Car,Training
11,1,4,0,0.6982456,Accuracy Car,Validation
12,1,4,0,1.7938812,Loss Cat,Training
13,1,4,0,1.7051508,Loss Cat,Validation
14,1,4,0,0.5959596,Accuracy Cat,Training
15,1,4,0,0.5874126,Accuracy Cat,Validation
16,1,4,0,1.7614645,Loss Deer,Training
17,1,4,0,1.6075622,Loss Deer,Validation
18,1,4,0,0.89341694,Accuracy Deer,Training
19,1,4,0,0.8235294,Accuracy Deer,Validation
20,1,4,0,1.6711271,Loss Dog,Training
21,1,4,0,1.6287686,Loss Dog,Validation
22,1,4,0,0.815047,Accuracy Dog,Training
23,1,4,0,0.7537092,Accuracy Dog,Validation
24,1,4,0,1.8360785,Loss Frog,Training
25,1,4,0,1.721168,Loss Frog,Validation
26,1,4,0,0.8123077,Accuracy Frog,Training
27,1,4,0,0.97530866,Accuracy Frog,Validation
28,1,4,0,1.7069345,Loss Horse,Training
29,1,4,0,1.62765,Loss Horse,Validation
30,1,4,0,0.8338558,Accuracy Horse,Training
31,1,4,0,0.79577464,Accuracy Horse,Validation
32,1,4,0,1.7220632,Loss Plane,Training
33,1,4,0,1.6070198,Loss Plane,Validation
34,1,4,0,0.6366559,Accuracy Plane,Training
35,1,4,0,0.8947368,Accuracy Plane,Validation
36,1,4,0,1.7289933,Loss Ship,Training
37,1,4,0,1.7127422,Loss Ship,Validation
38,1,4,0,0.6977492,Accuracy Ship,Training
39,1,4,0,0.79310346,Accuracy Ship,Validation
40,1,4,0,1.6982437,Loss Truck,Training
41,1,4,0,1.7181497,Loss Truck,Validation
