,seed,examples_per_class,epoch,value,metric,split
0,2,4,0,1.7172273,Loss,Training
1,2,4,0,1.6646366,Loss,Validation
2,2,4,0,0.7520684,Accuracy,Training
3,2,4,0,0.75962436,Accuracy,Validation
4,2,4,0,1.9566838,Loss Bird,Training
5,2,4,0,1.853126,Loss Bird,Validation
6,2,4,0,0.64012736,Accuracy Bird,Training
7,2,4,0,0.72997034,Accuracy Bird,Validation
8,2,4,0,1.656666,Loss Car,Training
9,2,4,0,1.5757279,Loss Car,Validation
10,2,4,0,0.72477067,Accuracy Car,Training
11,2,4,0,0.7742947,Accuracy Car,Validation
12,2,4,0,1.448561,Loss Cat,Training
13,2,4,0,1.6538604,Loss Cat,Validation
14,2,4,0,0.92899406,Accuracy Cat,Training
15,2,4,0,0.7859425,Accuracy Cat,Validation
16,2,4,0,1.7790838,Loss Deer,Training
17,2,4,0,1.5179594,Loss Deer,Validation
18,2,4,0,0.753125,Accuracy Deer,Training
19,2,4,0,0.90822786,Accuracy Deer,Validation
20,2,4,0,1.6901653,Loss Dog,Training
21,2,4,0,1.6245031,Loss Dog,Validation
22,2,4,0,0.7190635,Accuracy Dog,Training
23,2,4,0,0.74285716,Accuracy Dog,Validation
24,2,4,0,1.8866007,Loss Frog,Training
25,2,4,0,1.7933543,Loss Frog,Validation
26,2,4,0,0.80126184,Accuracy Frog,Training
27,2,4,0,0.94769233,Accuracy Frog,Validation
28,2,4,0,1.7333882,Loss Horse,Training
29,2,4,0,1.598267,Loss Horse,Validation
30,2,4,0,0.76124567,Accuracy Horse,Training
31,2,4,0,0.748366,Accuracy Horse,Validation
32,2,4,0,1.5185021,Loss Plane,Training
33,2,4,0,1.5524713,Loss Plane,Validation
34,2,4,0,0.9173789,Accuracy Plane,Training
35,2,4,0,0.91640866,Accuracy Plane,Validation
36,2,4,0,1.7755655,Loss Ship,Training
37,2,4,0,1.6884854,Loss Ship,Validation
38,2,4,0,0.59807074,Accuracy Ship,Training
39,2,4,0,0.7058824,Accuracy Ship,Validation
40,2,4,0,1.727057,Loss Truck,Training
41,2,4,0,1.7886115,Loss Truck,Validation
42,2,4,0,0.6766467,Accuracy Truck,Training
43,2,4,0,0.33660132,Accuracy Truck,Validation
44,2,4,1,0.93207866,Loss,Training
45,2,4,1,1.3057836,Loss,Validation
46,2,4,1,0.9920214,Accuracy,Training
47,2,4,1,0.8300487,Accuracy,Validation
48,2,4,1,1.157301,Loss Bird,Training
49,2,4,1,1.4717952,Loss Bird,Validation
50,2,4,1,0.99378884,Accuracy Bird,Training
51,2,4,1,0.877551,Accuracy Bird,Validation
52,2,4,1,0.9710862,Loss Car,Training
53,2,4,1,1.3057468,Loss Car,Validation
54,2,4,1,0.97952217,Accuracy Car,Training
55,2,4,1,0.7270115,Accuracy Car,Validation
56,2,4,1,0.6876355,Loss Cat,Training
57,2,4,1,1.3336153,Loss Cat,Validation
58,2,4,1,0.9968553,Accuracy Cat,Training
59,2,4,1,0.7846154,Accuracy Cat,Validation
60,2,4,1,0.9419858,Loss Deer,Training
61,2,4,1,1.1444802,Loss Deer,Validation
62,2,4,1,0.993921,Accuracy Deer,Training
63,2,4,1,0.88235295,Accuracy Deer,Validation
64,2,4,1,0.71544063,Loss Dog,Training
65,2,4,1,1.2741753,Loss Dog,Validation
66,2,4,1,0.996875,Accuracy Dog,Training
67,2,4,1,0.84431136,Accuracy Dog,Validation
68,2,4,1,1.135278,Loss Frog,Training
69,2,4,1,1.3594356,Loss Frog,Validation
70,2,4,1,1.0,Accuracy Frog,Training
71,2,4,1,0.972973,Accuracy Frog,Validation
72,2,4,1,0.8106588,Loss Horse,Training
73,2,4,1,1.0794958,Loss Horse,Validation
74,2,4,1,0.9942363,Accuracy Horse,Training
75,2,4,1,0.83219177,Accuracy Horse,Validation
76,2,4,1,0.88905805,Loss Plane,Training
77,2,4,1,1.3587773,Loss Plane,Validation
78,2,4,1,0.9969419,Accuracy Plane,Training
79,2,4,1,0.88064516,Accuracy Plane,Validation
80,2,4,1,1.0054775,Loss Ship,Training
81,2,4,1,1.2737138,Loss Ship,Validation
82,2,4,1,0.9876161,Accuracy Ship,Training
83,2,4,1,0.8811881,Accuracy Ship,Validation
84,2,4,1,1.0068648,Loss Truck,Training
85,2,4,1,1.4566007,Loss Truck,Validation
86,2,4,1,0.98045605,Accuracy Truck,Training
87,2,4,1,0.61764705,Accuracy Truck,Validation
88,2,4,2,0.57648796,Loss,Training
89,2,4,2,1.0959479,Loss,Validation
90,2,4,2,0.9921856,Accuracy,Training
91,2,4,2,0.8286351,Accuracy,Validation
92,2,4,2,0.674851,Loss Bird,Training
93,2,4,2,1.1639917,Loss Bird,Validation
94,2,4,2,1.0,Accuracy Bird,Training
