,seed,examples_per_class,epoch,value,metric,split
0,1,4,0,1.6865934,Loss,Training
1,1,4,0,1.6239245,Loss,Validation
2,1,4,0,0.78426564,Accuracy,Training
3,1,4,0,0.79445904,Accuracy,Validation
4,1,4,0,1.7743942,Loss Bird,Training
5,1,4,0,1.6923085,Loss Bird,Validation
6,1,4,0,0.8507463,Accuracy Bird,Training
7,1,4,0,0.8871473,Accuracy Bird,Validation
8,1,4,0,1.591809,Loss Car,Training
9,1,4,0,1.4060401,Loss Car,Validation
10,1,4,0,0.69436204,Accuracy Car,Training
11,1,4,0,0.8666667,Accuracy Car,Validation
12,1,4,0,1.5523108,Loss Cat,Training
13,1,4,0,1.5534096,Loss Cat,Validation
14,1,4,0,0.83501685,Accuracy Cat,Training
15,1,4,0,0.8636364,Accuracy Cat,Validation
16,1,4,0,1.8224686,Loss Deer,Training
17,1,4,0,1.5712022,Loss Deer,Validation
18,1,4,0,0.830721,Accuracy Deer,Training
19,1,4,0,0.9047619,Accuracy Deer,Validation
20,1,4,0,1.6790382,Loss Dog,Training
21,1,4,0,1.8272332,Loss Dog,Validation
22,1,4,0,0.8369906,Accuracy Dog,Training
23,1,4,0,0.51632047,Accuracy Dog,Validation
24,1,4,0,1.8628345,Loss Frog,Training
25,1,4,0,1.8112007,Loss Frog,Validation
26,1,4,0,0.71076924,Accuracy Frog,Training
27,1,4,0,0.8765432,Accuracy Frog,Validation
28,1,4,0,1.5177547,Loss Horse,Training
29,1,4,0,1.5423077,Loss Horse,Validation
30,1,4,0,0.8338558,Accuracy Horse,Training
31,1,4,0,0.806338,Accuracy Horse,Validation
32,1,4,0,1.7428753,Loss Plane,Training
33,1,4,0,1.7145163,Loss Plane,Validation
34,1,4,0,0.65273315,Accuracy Plane,Training
35,1,4,0,0.60818714,Accuracy Plane,Validation
36,1,4,0,1.6688951,Loss Ship,Training
37,1,4,0,1.564714,Loss Ship,Validation
38,1,4,0,0.7106109,Accuracy Ship,Training
39,1,4,0,0.8714734,Accuracy Ship,Validation
40,1,4,0,1.6535535,Loss Truck,Training
41,1,4,0,1.5563126,Loss Truck,Validation
42,1,4,0,0.8868502,Accuracy Truck,Training
43,1,4,0,0.74351585,Accuracy Truck,Validation
44,1,4,1,0.89273155,Loss,Training
45,1,4,1,1.2809036,Loss,Validation
46,1,4,1,0.99002904,Accuracy,Training
47,1,4,1,0.8172746,Accuracy,Validation
48,1,4,1,0.97247475,Loss Bird,Training
49,1,4,1,1.2445098,Loss Bird,Validation
50,1,4,1,0.9971182,Accuracy Bird,Training
51,1,4,1,0.9433333,Accuracy Bird,Validation
52,1,4,1,0.78593516,Loss Car,Training
53,1,4,1,0.9802132,Loss Car,Validation
54,1,4,1,0.99722993,Accuracy Car,Training
