,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,1.8043239,Loss,Training
1,0,8,0,1.6458393,Loss,Validation
2,0,8,0,0.6604309,Accuracy,Training
3,0,8,0,0.7848159,Accuracy,Validation
4,0,8,0,1.9711496,Loss Bird,Training
5,0,8,0,1.8010483,Loss Bird,Validation
6,0,8,0,0.57615894,Accuracy Bird,Training
7,0,8,0,0.8060606,Accuracy Bird,Validation
8,0,8,0,1.7259532,Loss Car,Training
9,0,8,0,1.6657815,Loss Car,Validation
10,0,8,0,0.7753846,Accuracy Car,Training
11,0,8,0,0.5608974,Accuracy Car,Validation
12,0,8,0,1.5424391,Loss Cat,Training
13,0,8,0,1.5575259,Loss Cat,Validation
14,0,8,0,0.9047619,Accuracy Cat,Training
15,0,8,0,0.8831169,Accuracy Cat,Validation
16,0,8,0,1.8150884,Loss Deer,Training
17,0,8,0,1.4923584,Loss Deer,Validation
18,0,8,0,0.6038961,Accuracy Deer,Training
19,0,8,0,0.8447205,Accuracy Deer,Validation
20,0,8,0,1.8150468,Loss Dog,Training
21,0,8,0,1.6666296,Loss Dog,Validation
22,0,8,0,0.5840456,Accuracy Dog,Training
23,0,8,0,0.59938836,Accuracy Dog,Validation
24,0,8,0,2.0068712,Loss Frog,Training
25,0,8,0,1.8136072,Loss Frog,Validation
26,0,8,0,0.7048611,Accuracy Frog,Training
27,0,8,0,0.9775641,Accuracy Frog,Validation
28,0,8,0,1.6921524,Loss Horse,Training
29,0,8,0,1.4462502,Loss Horse,Validation
30,0,8,0,0.7791798,Accuracy Horse,Training
31,0,8,0,0.8974359,Accuracy Horse,Validation
32,0,8,0,1.7331167,Loss Plane,Training
33,0,8,0,1.6364733,Loss Plane,Validation
34,0,8,0,0.70897835,Accuracy Plane,Training
35,0,8,0,0.79141104,Accuracy Plane,Validation
36,0,8,0,1.9007826,Loss Ship,Training
37,0,8,0,1.722363,Loss Ship,Validation
38,0,8,0,0.50157726,Accuracy Ship,Training
39,0,8,0,0.8108974,Accuracy Ship,Validation
40,0,8,0,1.8406402,Loss Truck,Training
41,0,8,0,1.6563544,Loss Truck,Validation
42,0,8,0,0.46546546,Accuracy Truck,Training
43,0,8,0,0.6766667,Accuracy Truck,Validation
44,0,8,1,1.091057,Loss,Training
45,0,8,1,1.2291958,Loss,Validation
46,0,8,1,0.9542141,Accuracy,Training
47,0,8,1,0.84793633,Accuracy,Validation
48,0,8,1,1.2100624,Loss Bird,Training
49,0,8,1,1.3442554,Loss Bird,Validation
50,0,8,1,0.9651899,Accuracy Bird,Training
51,0,8,1,0.8965517,Accuracy Bird,Validation
52,0,8,1,1.1165828,Loss Car,Training
53,0,8,1,1.2063736,Loss Car,Validation
54,0,8,1,0.9285714,Accuracy Car,Training
55,0,8,1,0.73619634,Accuracy Car,Validation
56,0,8,1,0.86406744,Loss Cat,Training
57,0,8,1,1.2126794,Loss Cat,Validation
58,0,8,1,0.96091205,Accuracy Cat,Training
59,0,8,1,0.8493976,Accuracy Cat,Validation
60,0,8,1,1.034288,Loss Deer,Training
61,0,8,1,1.094462,Loss Deer,Validation
62,0,8,1,0.97965115,Accuracy Deer,Training
63,0,8,1,0.86915886,Accuracy Deer,Validation
64,0,8,1,1.0739046,Loss Dog,Training
65,0,8,1,1.2740805,Loss Dog,Validation
66,0,8,1,0.9427711,Accuracy Dog,Training
67,0,8,1,0.82831323,Accuracy Dog,Validation
68,0,8,1,1.266355,Loss Frog,Training
69,0,8,1,1.2125866,Loss Frog,Validation
70,0,8,1,0.9907692,Accuracy Frog,Training
71,0,8,1,0.96357614,Accuracy Frog,Validation
72,0,8,1,0.96671844,Loss Horse,Training
73,0,8,1,1.0359706,Loss Horse,Validation
74,0,8,1,0.97865856,Accuracy Horse,Training
75,0,8,1,0.8924051,Accuracy Horse,Validation
76,0,8,1,1.0871812,Loss Plane,Training
77,0,8,1,1.3263718,Loss Plane,Validation
78,0,8,1,0.9377049,Accuracy Plane,Training
79,0,8,1,0.8170347,Accuracy Plane,Validation
80,0,8,1,1.239493,Loss Ship,Training
81,0,8,1,1.3401487,Loss Ship,Validation
82,0,8,1,0.9223301,Accuracy Ship,Training
83,0,8,1,0.8435583,Accuracy Ship,Validation
84,0,8,1,1.0519164,Loss Truck,Training
85,0,8,1,1.2450306,Loss Truck,Validation
86,0,8,1,0.9355828,Accuracy Truck,Training
87,0,8,1,0.78317153,Accuracy Truck,Validation
88,0,8,2,0.7317303,Loss,Training
89,0,8,2,0.9988386,Loss,Validation
90,0,8,2,0.9712955,Accuracy,Training
91,0,8,2,0.8693147,Accuracy,Validation
92,0,8,2,0.7730866,Loss Bird,Training
93,0,8,2,1.0015384,Loss Bird,Validation
94,0,8,2,0.9701493,Accuracy Bird,Training
95,0,8,2,0.96463025,Accuracy Bird,Validation
96,0,8,2,0.8467857,Loss Car,Training
97,0,8,2,1.042654,Loss Car,Validation
98,0,8,2,0.9402516,Accuracy Car,Training
99,0,8,2,0.7638889,Accuracy Car,Validation
100,0,8,2,0.5469876,Loss Cat,Training
101,0,8,2,1.0370469,Loss Cat,Validation
102,0,8,2,0.9852071,Accuracy Cat,Training
103,0,8,2,0.8649518,Accuracy Cat,Validation
104,0,8,2,0.67794985,Loss Deer,Training
105,0,8,2,0.79208016,Loss Deer,Validation
106,0,8,2,0.9970414,Accuracy Deer,Training
107,0,8,2,0.9012739,Accuracy Deer,Validation
108,0,8,2,0.65939593,Loss Dog,Training
109,0,8,2,1.0759193,Loss Dog,Validation
110,0,8,2,0.96496814,Accuracy Dog,Training
111,0,8,2,0.8627451,Accuracy Dog,Validation
112,0,8,2,0.77177227,Loss Frog,Training
113,0,8,2,0.9584858,Loss Frog,Validation
114,0,8,2,1.0,Accuracy Frog,Training
115,0,8,2,0.98125,Accuracy Frog,Validation
116,0,8,2,0.6390765,Loss Horse,Training
117,0,8,2,0.8367864,Loss Horse,Validation
118,0,8,2,0.9883041,Accuracy Horse,Training
119,0,8,2,0.8557692,Accuracy Horse,Validation
120,0,8,2,0.83217573,Loss Plane,Training
121,0,8,2,1.2032309,Loss Plane,Validation
122,0,8,2,0.9285714,Accuracy Plane,Training
123,0,8,2,0.751634,Accuracy Plane,Validation
124,0,8,2,0.82836,Loss Ship,Training
125,0,8,2,1.0082078,Loss Ship,Validation
126,0,8,2,0.9753846,Accuracy Ship,Training
127,0,8,2,0.92329544,Accuracy Ship,Validation
128,0,8,2,0.74171233,Loss Truck,Training
129,0,8,2,1.0324367,Loss Truck,Validation
130,0,8,2,0.96307695,Accuracy Truck,Training
131,0,8,2,0.82370824,Accuracy Truck,Validation
132,0,8,3,0.525148,Loss,Training
133,0,8,3,0.8910645,Loss,Validation
134,0,8,3,0.9733607,Accuracy,Training
135,0,8,3,0.8731926,Accuracy,Validation
136,0,8,3,0.5421136,Loss Bird,Training
137,0,8,3,0.9536571,Loss Bird,Validation
138,0,8,3,0.99050635,Accuracy Bird,Training
139,0,8,3,0.9216301,Accuracy Bird,Validation
140,0,8,3,0.5994211,Loss Car,Training
141,0,8,3,0.8919126,Loss Car,Validation
142,0,8,3,0.9591837,Accuracy Car,Training
143,0,8,3,0.7923323,Accuracy Car,Validation
144,0,8,3,0.42223105,Loss Cat,Training
145,0,8,3,0.87931305,Loss Cat,Validation
146,0,8,3,0.9677419,Accuracy Cat,Training
147,0,8,3,0.91333336,Accuracy Cat,Validation
148,0,8,3,0.47033608,Loss Deer,Training
149,0,8,3,0.68051946,Loss Deer,Validation
150,0,8,3,0.9846154,Accuracy Deer,Training
151,0,8,3,0.9113924,Accuracy Deer,Validation
152,0,8,3,0.48103738,Loss Dog,Training
153,0,8,3,0.9776288,Loss Dog,Validation
154,0,8,3,0.9597523,Accuracy Dog,Training
155,0,8,3,0.8632219,Accuracy Dog,Validation
156,0,8,3,0.54457814,Loss Frog,Training
157,0,8,3,0.8132026,Loss Frog,Validation
158,0,8,3,0.9965035,Accuracy Frog,Training
159,0,8,3,0.9730539,Accuracy Frog,Validation
160,0,8,3,0.43060154,Loss Horse,Training
161,0,8,3,0.7929095,Loss Horse,Validation
162,0,8,3,0.9905363,Accuracy Horse,Training
163,0,8,3,0.86419755,Accuracy Horse,Validation
164,0,8,3,0.6049786,Loss Plane,Training
165,0,8,3,1.0360694,Loss Plane,Validation
166,0,8,3,0.9463722,Accuracy Plane,Training
167,0,8,3,0.8,Accuracy Plane,Validation
168,0,8,3,0.58545107,Loss Ship,Training
169,0,8,3,0.8846795,Loss Ship,Validation
170,0,8,3,0.97935104,Accuracy Ship,Training
171,0,8,3,0.9015873,Accuracy Ship,Validation
172,0,8,3,0.57073057,Loss Truck,Training
173,0,8,3,1.0007536,Loss Truck,Validation
174,0,8,3,0.9590444,Accuracy Truck,Training
175,0,8,3,0.7911765,Accuracy Truck,Validation
176,0,8,4,0.39011052,Loss,Training
177,0,8,4,0.76631993,Loss,Validation
178,0,8,4,0.97436523,Accuracy,Training
179,0,8,4,0.8611886,Accuracy,Validation
180,0,8,4,0.4069772,Loss Bird,Training
181,0,8,4,0.8504325,Loss Bird,Validation
182,0,8,4,0.98203593,Accuracy Bird,Training
183,0,8,4,0.90712076,Accuracy Bird,Validation
184,0,8,4,0.45744616,Loss Car,Training
185,0,8,4,0.8201579,Loss Car,Validation
186,0,8,4,0.9628483,Accuracy Car,Training
187,0,8,4,0.78125,Accuracy Car,Validation
188,0,8,4,0.25805214,Loss Cat,Training
189,0,8,4,0.75040585,Loss Cat,Validation
190,0,8,4,0.98734176,Accuracy Cat,Training
191,0,8,4,0.9157609,Accuracy Cat,Validation
192,0,8,4,0.3446595,Loss Deer,Training
193,0,8,4,0.545243,Loss Deer,Validation
194,0,8,4,0.9941003,Accuracy Deer,Training
195,0,8,4,0.908805,Accuracy Deer,Validation
196,0,8,4,0.35139784,Loss Dog,Training
197,0,8,4,0.91507274,Loss Dog,Validation
198,0,8,4,0.97133756,Accuracy Dog,Training
199,0,8,4,0.7986577,Accuracy Dog,Validation
200,0,8,4,0.3443713,Loss Frog,Training
201,0,8,4,0.5683433,Loss Frog,Validation
202,0,8,4,0.9941349,Accuracy Frog,Training
203,0,8,4,0.9669967,Accuracy Frog,Validation
204,0,8,4,0.32989013,Loss Horse,Training
205,0,8,4,0.6474796,Loss Horse,Validation
206,0,8,4,0.9744409,Accuracy Horse,Training
207,0,8,4,0.86996907,Accuracy Horse,Validation
208,0,8,4,0.486939,Loss Plane,Training
209,0,8,4,0.8793963,Loss Plane,Validation
210,0,8,4,0.9517685,Accuracy Plane,Training
211,0,8,4,0.7941176,Accuracy Plane,Validation
212,0,8,4,0.47323027,Loss Ship,Training
213,0,8,4,0.6992652,Loss Ship,Validation
214,0,8,4,0.97846156,Accuracy Ship,Training
215,0,8,4,0.9238095,Accuracy Ship,Validation
216,0,8,4,0.4481414,Loss Truck,Training
217,0,8,4,0.9874036,Loss Truck,Validation
218,0,8,4,0.9471831,Accuracy Truck,Training
219,0,8,4,0.74539876,Accuracy Truck,Validation
220,0,8,5,0.31792095,Loss,Training
221,0,8,5,0.6851839,Loss,Validation
222,0,8,5,0.98024404,Accuracy,Training
223,0,8,5,0.8712109,Accuracy,Validation
224,0,8,5,0.3115953,Loss Bird,Training
225,0,8,5,0.7971801,Loss Bird,Validation
226,0,8,5,0.9905363,Accuracy Bird,Training
227,0,8,5,0.91909385,Accuracy Bird,Validation
228,0,8,5,0.40598997,Loss Car,Training
229,0,8,5,0.7583451,Loss Car,Validation
230,0,8,5,0.95873016,Accuracy Car,Training
231,0,8,5,0.79141104,Accuracy Car,Validation
232,0,8,5,0.22770533,Loss Cat,Training
233,0,8,5,0.6935086,Loss Cat,Validation
234,0,8,5,0.9854651,Accuracy Cat,Training
235,0,8,5,0.8993902,Accuracy Cat,Validation
236,0,8,5,0.2690377,Loss Deer,Training
237,0,8,5,0.45304072,Loss Deer,Validation
238,0,8,5,0.9943343,Accuracy Deer,Training
239,0,8,5,0.92523366,Accuracy Deer,Validation
240,0,8,5,0.27276763,Loss Dog,Training
241,0,8,5,0.8544029,Loss Dog,Validation
242,0,8,5,0.98316497,Accuracy Dog,Training
243,0,8,5,0.7734628,Accuracy Dog,Validation
244,0,8,5,0.2520422,Loss Frog,Training
245,0,8,5,0.46401137,Loss Frog,Validation
246,0,8,5,1.0,Accuracy Frog,Training
247,0,8,5,0.98142415,Accuracy Frog,Validation
248,0,8,5,0.28137606,Loss Horse,Training
249,0,8,5,0.5827474,Loss Horse,Validation
250,0,8,5,0.9876543,Accuracy Horse,Training
251,0,8,5,0.8737201,Accuracy Horse,Validation
252,0,8,5,0.4134326,Loss Plane,Training
253,0,8,5,0.7815284,Loss Plane,Validation
254,0,8,5,0.96103895,Accuracy Plane,Training
255,0,8,5,0.8518519,Accuracy Plane,Validation
256,0,8,5,0.3611145,Loss Ship,Training
257,0,8,5,0.63641536,Loss Ship,Validation
258,0,8,5,0.9905363,Accuracy Ship,Training
259,0,8,5,0.92655367,Accuracy Ship,Validation
260,0,8,5,0.38414812,Loss Truck,Training
261,0,8,5,0.83065915,Loss Truck,Validation
262,0,8,5,0.95098037,Accuracy Truck,Training
263,0,8,5,0.76996803,Accuracy Truck,Validation
264,0,8,6,0.25493172,Loss,Training
265,0,8,6,0.64900595,Loss,Validation
266,0,8,6,0.98147523,Accuracy,Training
267,0,8,6,0.8764404,Accuracy,Validation
268,0,8,6,0.24127805,Loss Bird,Training
269,0,8,6,0.7425691,Loss Bird,Validation
270,0,8,6,0.9846154,Accuracy Bird,Training
271,0,8,6,0.92424244,Accuracy Bird,Validation
272,0,8,6,0.33723444,Loss Car,Training
273,0,8,6,0.78566194,Loss Car,Validation
274,0,8,6,0.9690403,Accuracy Car,Training
275,0,8,6,0.7861842,Accuracy Car,Validation
276,0,8,6,0.15817475,Loss Cat,Training
277,0,8,6,0.6821144,Loss Cat,Validation
278,0,8,6,0.9909091,Accuracy Cat,Training
279,0,8,6,0.8899371,Accuracy Cat,Validation
280,0,8,6,0.20702998,Loss Deer,Training
281,0,8,6,0.41376424,Loss Deer,Validation
282,0,8,6,0.9971347,Accuracy Deer,Training
283,0,8,6,0.914557,Accuracy Deer,Validation
284,0,8,6,0.2545258,Loss Dog,Training
285,0,8,6,0.7582068,Loss Dog,Validation
286,0,8,6,0.96369636,Accuracy Dog,Training
287,0,8,6,0.84415585,Accuracy Dog,Validation
288,0,8,6,0.18920878,Loss Frog,Training
289,0,8,6,0.44113663,Loss Frog,Validation
290,0,8,6,1.0,Accuracy Frog,Training
291,0,8,6,0.9909091,Accuracy Frog,Validation
292,0,8,6,0.20893152,Loss Horse,Training
293,0,8,6,0.5651179,Loss Horse,Validation
294,0,8,6,0.99,Accuracy Horse,Training
295,0,8,6,0.85294116,Accuracy Horse,Validation
296,0,8,6,0.3308098,Loss Plane,Training
297,0,8,6,0.7647284,Loss Plane,Validation
298,0,8,6,0.9723077,Accuracy Plane,Training
299,0,8,6,0.8203593,Accuracy Plane,Validation
300,0,8,6,0.30403465,Loss Ship,Training
301,0,8,6,0.5831666,Loss Ship,Validation
302,0,8,6,0.98142415,Accuracy Ship,Training
303,0,8,6,0.91721857,Accuracy Ship,Validation
