,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,1.7796961,Loss,Training
1,0,8,0,1.6357479,Loss,Validation
2,0,8,0,0.69279796,Accuracy,Training
3,0,8,0,0.79103553,Accuracy,Validation
4,0,8,0,1.9228021,Loss Bird,Training
5,0,8,0,1.7825294,Loss Bird,Validation
6,0,8,0,0.6192053,Accuracy Bird,Training
7,0,8,0,0.8393939,Accuracy Bird,Validation
8,0,8,0,1.7285331,Loss Car,Training
9,0,8,0,1.6937823,Loss Car,Validation
10,0,8,0,0.7723077,Accuracy Car,Training
11,0,8,0,0.5480769,Accuracy Car,Validation
12,0,8,0,1.5296506,Loss Cat,Training
13,0,8,0,1.5122448,Loss Cat,Validation
14,0,8,0,0.9166667,Accuracy Cat,Training
15,0,8,0,0.8863636,Accuracy Cat,Validation
16,0,8,0,1.788234,Loss Deer,Training
17,0,8,0,1.4570726,Loss Deer,Validation
18,0,8,0,0.6363636,Accuracy Deer,Training
19,0,8,0,0.8447205,Accuracy Deer,Validation
20,0,8,0,1.7701886,Loss Dog,Training
21,0,8,0,1.6456847,Loss Dog,Validation
22,0,8,0,0.63532764,Accuracy Dog,Training
23,0,8,0,0.6788991,Accuracy Dog,Validation
24,0,8,0,1.9875327,Loss Frog,Training
25,0,8,0,1.8143277,Loss Frog,Validation
26,0,8,0,0.7326389,Accuracy Frog,Training
27,0,8,0,0.9583333,Accuracy Frog,Validation
28,0,8,0,1.6487683,Loss Horse,Training
29,0,8,0,1.4446706,Loss Horse,Validation
30,0,8,0,0.7917981,Accuracy Horse,Training
31,0,8,0,0.84900284,Accuracy Horse,Validation
32,0,8,0,1.7171937,Loss Plane,Training
33,0,8,0,1.6585948,Loss Plane,Validation
34,0,8,0,0.7399381,Accuracy Plane,Training
35,0,8,0,0.73312885,Accuracy Plane,Validation
36,0,8,0,1.8681872,Loss Ship,Training
37,0,8,0,1.6866547,Loss Ship,Validation
38,0,8,0,0.55520505,Accuracy Ship,Training
39,0,8,0,0.8557692,Accuracy Ship,Validation
40,0,8,0,1.835871,Loss Truck,Training
41,0,8,0,1.6619163,Loss Truck,Validation
42,0,8,0,0.5285285,Accuracy Truck,Training
43,0,8,0,0.71666664,Accuracy Truck,Validation
44,0,8,1,1.051319,Loss,Training
45,0,8,1,1.2226461,Loss,Validation
46,0,8,1,0.96846694,Accuracy,Training
47,0,8,1,0.85105306,Accuracy,Validation
48,0,8,1,1.1526402,Loss Bird,Training
49,0,8,1,1.3573204,Loss Bird,Validation
50,0,8,1,0.9683544,Accuracy Bird,Training
51,0,8,1,0.90909094,Accuracy Bird,Validation
52,0,8,1,1.0785534,Loss Car,Training
53,0,8,1,1.2049212,Loss Car,Validation
54,0,8,1,0.9383117,Accuracy Car,Training
55,0,8,1,0.797546,Accuracy Car,Validation
56,0,8,1,0.8362369,Loss Cat,Training
57,0,8,1,1.1575106,Loss Cat,Validation
58,0,8,1,0.98045605,Accuracy Cat,Training
59,0,8,1,0.8584337,Accuracy Cat,Validation
60,0,8,1,0.99534774,Loss Deer,Training
61,0,8,1,1.0481979,Loss Deer,Validation
62,0,8,1,0.9767442,Accuracy Deer,Training
63,0,8,1,0.88161993,Accuracy Deer,Validation
64,0,8,1,1.0273082,Loss Dog,Training
65,0,8,1,1.2641045,Loss Dog,Validation
66,0,8,1,0.9608434,Accuracy Dog,Training
67,0,8,1,0.82228917,Accuracy Dog,Validation
68,0,8,1,1.2178047,Loss Frog,Training
69,0,8,1,1.2427362,Loss Frog,Validation
70,0,8,1,0.9938462,Accuracy Frog,Training
71,0,8,1,0.96357614,Accuracy Frog,Validation
72,0,8,1,0.8909156,Loss Horse,Training
73,0,8,1,1.0546577,Loss Horse,Validation
74,0,8,1,0.99085367,Accuracy Horse,Training
75,0,8,1,0.8259494,Accuracy Horse,Validation
76,0,8,1,1.0688834,Loss Plane,Training
77,0,8,1,1.3521633,Loss Plane,Validation
78,0,8,1,0.9573771,Accuracy Plane,Training
79,0,8,1,0.80126184,Accuracy Plane,Validation
80,0,8,1,1.1769657,Loss Ship,Training
81,0,8,1,1.2907794,Loss Ship,Validation
82,0,8,1,0.95469254,Accuracy Ship,Training
83,0,8,1,0.8773006,Accuracy Ship,Validation
84,0,8,1,1.0685339,Loss Truck,Training
85,0,8,1,1.2540699,Loss Truck,Validation
86,0,8,1,0.9631902,Accuracy Truck,Training
87,0,8,1,0.7734628,Accuracy Truck,Validation
88,0,8,2,0.6979977,Loss,Training
89,0,8,2,0.99774534,Loss,Validation
90,0,8,2,0.98463935,Accuracy,Training
91,0,8,2,0.8662869,Accuracy,Validation
92,0,8,2,0.74235886,Loss Bird,Training
93,0,8,2,1.007891,Loss Bird,Validation
94,0,8,2,0.98507464,Accuracy Bird,Training
95,0,8,2,0.9614148,Accuracy Bird,Validation
96,0,8,2,0.7619352,Loss Car,Training
97,0,8,2,1.0673022,Loss Car,Validation
98,0,8,2,0.9654088,Accuracy Car,Training
99,0,8,2,0.7118056,Accuracy Car,Validation
100,0,8,2,0.52409893,Loss Cat,Training
101,0,8,2,0.98368293,Loss Cat,Validation
102,0,8,2,0.9911243,Accuracy Cat,Training
103,0,8,2,0.8938907,Accuracy Cat,Validation
104,0,8,2,0.65715003,Loss Deer,Training
105,0,8,2,0.7925071,Loss Deer,Validation
106,0,8,2,0.9911243,Accuracy Deer,Training
107,0,8,2,0.91082805,Accuracy Deer,Validation
108,0,8,2,0.6346988,Loss Dog,Training
109,0,8,2,1.0663327,Loss Dog,Validation
110,0,8,2,0.99044585,Accuracy Dog,Training
111,0,8,2,0.84033614,Accuracy Dog,Validation
112,0,8,2,0.7595022,Loss Frog,Training
113,0,8,2,0.9827468,Loss Frog,Validation
114,0,8,2,1.0,Accuracy Frog,Training
115,0,8,2,0.98125,Accuracy Frog,Validation
116,0,8,2,0.5834685,Loss Horse,Training
117,0,8,2,0.90375394,Loss Horse,Validation
118,0,8,2,0.99415207,Accuracy Horse,Training
119,0,8,2,0.8301282,Accuracy Horse,Validation
120,0,8,2,0.8178408,Loss Plane,Training
121,0,8,2,1.2036374,Loss Plane,Validation
122,0,8,2,0.9659864,Accuracy Plane,Training
123,0,8,2,0.76797384,Accuracy Plane,Validation
124,0,8,2,0.7852866,Loss Ship,Training
125,0,8,2,0.9778719,Loss Ship,Validation
126,0,8,2,0.9876923,Accuracy Ship,Training
127,0,8,2,0.92329544,Accuracy Ship,Validation
128,0,8,2,0.7136367,Loss Truck,Training
129,0,8,2,0.99172705,Loss Truck,Validation
130,0,8,2,0.9753846,Accuracy Truck,Training
131,0,8,2,0.8419453,Accuracy Truck,Validation
132,0,8,3,0.48133597,Loss,Training
133,0,8,3,0.90316725,Loss,Validation
134,0,8,3,0.98725796,Accuracy,Training
135,0,8,3,0.8637635,Accuracy,Validation
136,0,8,3,0.518448,Loss Bird,Training
137,0,8,3,0.96774626,Loss Bird,Validation
138,0,8,3,0.9936709,Accuracy Bird,Training
139,0,8,3,0.9216301,Accuracy Bird,Validation
140,0,8,3,0.52367663,Loss Car,Training
141,0,8,3,0.9738677,Loss Car,Validation
142,0,8,3,0.9766764,Accuracy Car,Training
143,0,8,3,0.74121404,Accuracy Car,Validation
144,0,8,3,0.365523,Loss Cat,Training
145,0,8,3,0.86644757,Loss Cat,Validation
146,0,8,3,0.9882698,Accuracy Cat,Training
147,0,8,3,0.89666665,Accuracy Cat,Validation
148,0,8,3,0.4456185,Loss Deer,Training
149,0,8,3,0.6836775,Loss Deer,Validation
150,0,8,3,0.9846154,Accuracy Deer,Training
151,0,8,3,0.90189874,Accuracy Deer,Validation
152,0,8,3,0.43068734,Loss Dog,Training
153,0,8,3,1.0060613,Loss Dog,Validation
154,0,8,3,0.98142415,Accuracy Dog,Training
155,0,8,3,0.83890575,Accuracy Dog,Validation
156,0,8,3,0.5245579,Loss Frog,Training
157,0,8,3,0.87401104,Loss Frog,Validation
158,0,8,3,1.0,Accuracy Frog,Training
159,0,8,3,0.9670659,Accuracy Frog,Validation
160,0,8,3,0.38999382,Loss Horse,Training
161,0,8,3,0.83710265,Loss Horse,Validation
162,0,8,3,0.99369085,Accuracy Horse,Training
163,0,8,3,0.84876543,Accuracy Horse,Validation
164,0,8,3,0.55837077,Loss Plane,Training
165,0,8,3,1.0119941,Loss Plane,Validation
166,0,8,3,0.98107255,Accuracy Plane,Training
167,0,8,3,0.8096774,Accuracy Plane,Validation
168,0,8,3,0.53611505,Loss Ship,Training
169,0,8,3,0.8421617,Loss Ship,Validation
