,seed,examples_per_class,epoch,value,metric,split
0,2,8,0,1.8140198,Loss,Training
1,2,8,0,1.6483631,Loss,Validation
2,2,8,0,0.6868839,Accuracy,Training
3,2,8,0,0.8028881,Accuracy,Validation
4,2,8,0,2.023653,Loss Bird,Training
5,2,8,0,1.8116779,Loss Bird,Validation
6,2,8,0,0.4745223,Accuracy Bird,Training
7,2,8,0,0.8753709,Accuracy Bird,Validation
8,2,8,0,1.8165286,Loss Car,Training
9,2,8,0,1.5645509,Loss Car,Validation
10,2,8,0,0.6238532,Accuracy Car,Training
11,2,8,0,0.7680251,Accuracy Car,Validation
12,2,8,0,1.5787652,Loss Cat,Training
13,2,8,0,1.4811914,Loss Cat,Validation
14,2,8,0,0.8816568,Accuracy Cat,Training
15,2,8,0,0.9201278,Accuracy Cat,Validation
16,2,8,0,1.86476,Loss Deer,Training
17,2,8,0,1.5710199,Loss Deer,Validation
18,2,8,0,0.73125,Accuracy Deer,Training
19,2,8,0,0.8892405,Accuracy Deer,Validation
20,2,8,0,1.856805,Loss Dog,Training
21,2,8,0,1.6619807,Loss Dog,Validation
22,2,8,0,0.57525086,Accuracy Dog,Training
23,2,8,0,0.8031746,Accuracy Dog,Validation
24,2,8,0,1.9106888,Loss Frog,Training
25,2,8,0,1.7385114,Loss Frog,Validation
26,2,8,0,0.8044164,Accuracy Frog,Training
27,2,8,0,0.9753846,Accuracy Frog,Validation
28,2,8,0,1.8266995,Loss Horse,Training
29,2,8,0,1.6443957,Loss Horse,Validation
30,2,8,0,0.650519,Accuracy Horse,Training
31,2,8,0,0.83986926,Accuracy Horse,Validation
32,2,8,0,1.69114,Loss Plane,Training
33,2,8,0,1.5454869,Loss Plane,Validation
34,2,8,0,0.84045583,Accuracy Plane,Training
35,2,8,0,0.9380805,Accuracy Plane,Validation
36,2,8,0,1.8214818,Loss Ship,Training
37,2,8,0,1.7282698,Loss Ship,Validation
38,2,8,0,0.6012862,Accuracy Ship,Training
39,2,8,0,0.5882353,Accuracy Ship,Validation
40,2,8,0,1.7496763,Loss Truck,Training
41,2,8,0,1.7365462,Loss Truck,Validation
42,2,8,0,0.6856288,Accuracy Truck,Training
43,2,8,0,0.43137255,Accuracy Truck,Validation
44,2,8,1,1.1316143,Loss,Training
45,2,8,1,1.2609353,Loss,Validation
46,2,8,1,0.9466249,Accuracy,Training
47,2,8,1,0.8624466,Accuracy,Validation
48,2,8,1,1.3716191,Loss Bird,Training
49,2,8,1,1.3893273,Loss Bird,Validation
50,2,8,1,0.9161491,Accuracy Bird,Training
51,2,8,1,0.9650146,Accuracy Bird,Validation
52,2,8,1,1.2653487,Loss Car,Training
53,2,8,1,1.2328079,Loss Car,Validation
54,2,8,1,0.84641635,Accuracy Car,Training
55,2,8,1,0.86494255,Accuracy Car,Validation
56,2,8,1,0.87106854,Loss Cat,Training
57,2,8,1,1.1538327,Loss Cat,Validation
58,2,8,1,0.9748428,Accuracy Cat,Training
59,2,8,1,0.8738462,Accuracy Cat,Validation
60,2,8,1,1.1786929,Loss Deer,Training
61,2,8,1,1.1656115,Loss Deer,Validation
62,2,8,1,0.98176295,Accuracy Deer,Training
63,2,8,1,0.8496732,Accuracy Deer,Validation
64,2,8,1,1.0277251,Loss Dog,Training
65,2,8,1,1.2112329,Loss Dog,Validation
66,2,8,1,0.975,Accuracy Dog,Training
67,2,8,1,0.8532934,Accuracy Dog,Validation
68,2,8,1,1.2250766,Loss Frog,Training
69,2,8,1,1.2395623,Loss Frog,Validation
70,2,8,1,0.9681529,Accuracy Frog,Training
71,2,8,1,0.981982,Accuracy Frog,Validation
72,2,8,1,1.0632854,Loss Horse,Training
73,2,8,1,1.1187646,Loss Horse,Validation
74,2,8,1,0.93948126,Accuracy Horse,Training
75,2,8,1,0.8732877,Accuracy Horse,Validation
76,2,8,1,1.0794649,Loss Plane,Training
77,2,8,1,1.2837518,Loss Plane,Validation
78,2,8,1,0.9877676,Accuracy Plane,Training
79,2,8,1,0.9451613,Accuracy Plane,Validation
80,2,8,1,1.18245,Loss Ship,Training
81,2,8,1,1.3156016,Loss Ship,Validation
82,2,8,1,0.9287926,Accuracy Ship,Training
83,2,8,1,0.89438945,Accuracy Ship,Validation
84,2,8,1,1.051412,Loss Truck,Training
85,2,8,1,1.4988601,Loss Truck,Validation
86,2,8,1,0.9478827,Accuracy Truck,Training
87,2,8,1,0.52287585,Accuracy Truck,Validation
88,2,8,2,0.77144563,Loss,Training
89,2,8,2,0.99547404,Loss,Validation
90,2,8,2,0.9675725,Accuracy,Training
91,2,8,2,0.88207495,Accuracy,Validation
92,2,8,2,0.93240976,Loss Bird,Training
93,2,8,2,1.0528975,Loss Bird,Validation
94,2,8,2,0.9647059,Accuracy Bird,Training
95,2,8,2,0.9742857,Accuracy Bird,Validation
96,2,8,2,0.9401263,Loss Car,Training
97,2,8,2,0.9491615,Loss Car,Validation
98,2,8,2,0.9197531,Accuracy Car,Training
99,2,8,2,0.9035714,Accuracy Car,Validation
100,2,8,2,0.53460985,Loss Cat,Training
101,2,8,2,0.9184677,Loss Cat,Validation
102,2,8,2,0.99019605,Accuracy Cat,Training
103,2,8,2,0.8712575,Accuracy Cat,Validation
104,2,8,2,0.84965485,Loss Deer,Training
105,2,8,2,0.8086758,Loss Deer,Validation
106,2,8,2,0.963964,Accuracy Deer,Training
107,2,8,2,0.9521127,Accuracy Deer,Validation
108,2,8,2,0.6325262,Loss Dog,Training
109,2,8,2,1.0402375,Loss Dog,Validation
110,2,8,2,0.99041533,Accuracy Dog,Training
111,2,8,2,0.8338658,Accuracy Dog,Validation
112,2,8,2,0.77765536,Loss Frog,Training
113,2,8,2,0.9244193,Loss Frog,Validation
114,2,8,2,0.9872612,Accuracy Frog,Training
115,2,8,2,0.9896907,Accuracy Frog,Validation
116,2,8,2,0.7020263,Loss Horse,Training
117,2,8,2,0.8094648,Loss Horse,Validation
118,2,8,2,0.9601227,Accuracy Horse,Training
119,2,8,2,0.9129129,Accuracy Horse,Validation
120,2,8,2,0.8185471,Loss Plane,Training
121,2,8,2,1.0513735,Loss Plane,Validation
122,2,8,2,0.9647436,Accuracy Plane,Training
123,2,8,2,0.93630576,Accuracy Plane,Validation
124,2,8,2,0.7582513,Loss Ship,Training
125,2,8,2,1.138429,Loss Ship,Validation
126,2,8,2,0.99029124,Accuracy Ship,Training
127,2,8,2,0.8607595,Accuracy Ship,Validation
128,2,8,2,0.7686501,Loss Truck,Training
129,2,8,2,1.2616137,Loss Truck,Validation
130,2,8,2,0.94427246,Accuracy Truck,Training
131,2,8,2,0.58598727,Accuracy Truck,Validation
132,2,8,3,0.5624075,Loss,Training
133,2,8,3,0.86342657,Loss,Validation
134,2,8,3,0.96914816,Accuracy,Training
135,2,8,3,0.8911928,Accuracy,Validation
136,2,8,3,0.694118,Loss Bird,Training
137,2,8,3,0.983599,Loss Bird,Validation
138,2,8,3,0.9480519,Accuracy Bird,Training
139,2,8,3,0.9481707,Accuracy Bird,Validation
