,seed,examples_per_class,epoch,value,metric,split
0,1,4,0,2.7658496,Loss,Training
1,1,4,0,2.6615474,Loss,Validation
2,1,4,0,0.3839541,Accuracy,Training
3,1,4,0,0.36805004,Accuracy,Validation
4,1,4,0,2.7425213,Loss Attention_Zone_Sign,Training
5,1,4,0,2.8481576,Loss Attention_Zone_Sign,Validation
6,1,4,0,0.48387095,Accuracy Attention_Zone_Sign,Training
7,1,4,0,0.17105263,Accuracy Attention_Zone_Sign,Validation
8,1,4,0,2.8744102,Loss End_Of_Restriction_Sign,Training
9,1,4,0,2.7502167,Loss End_Of_Restriction_Sign,Validation
10,1,4,0,0.22535211,Accuracy End_Of_Restriction_Sign,Training
11,1,4,0,0.3693182,Accuracy End_Of_Restriction_Sign,Validation
12,1,4,0,2.8480294,Loss Give_Way_Sign,Training
13,1,4,0,2.8850722,Loss Give_Way_Sign,Validation
14,1,4,0,0.22142857,Accuracy Give_Way_Sign,Training
15,1,4,0,0.1595092,Accuracy Give_Way_Sign,Validation
16,1,4,0,2.7771862,Loss Highway_Exit_In_100M_Sign,Training
17,1,4,0,2.6721156,Loss Highway_Exit_In_100M_Sign,Validation
18,1,4,0,0.2792208,Accuracy Highway_Exit_In_100M_Sign,Training
19,1,4,0,0.16312057,Accuracy Highway_Exit_In_100M_Sign,Validation
20,1,4,0,2.7266665,Loss Highway_Exit_In_200M_Sign,Training
21,1,4,0,2.6259525,Loss Highway_Exit_In_200M_Sign,Validation
22,1,4,0,0.35064936,Accuracy Highway_Exit_In_200M_Sign,Training
23,1,4,0,0.2320442,Accuracy Highway_Exit_In_200M_Sign,Validation
24,1,4,0,2.6940567,Loss Highway_Exit_In_300M_Sign,Training
25,1,4,0,2.6467357,Loss Highway_Exit_In_300M_Sign,Validation
26,1,4,0,0.5116279,Accuracy Highway_Exit_In_300M_Sign,Training
27,1,4,0,0.19760479,Accuracy Highway_Exit_In_300M_Sign,Validation
28,1,4,0,2.6699827,Loss Highway_Exit_Sign,Training
29,1,4,0,2.3913574,Loss Highway_Exit_Sign,Validation
30,1,4,0,0.4673913,Accuracy Highway_Exit_Sign,Training
31,1,4,0,0.91907513,Accuracy Highway_Exit_Sign,Validation
32,1,4,0,2.839561,Loss Mandatory_Direction_Sign,Training
33,1,4,0,2.7522843,Loss Mandatory_Direction_Sign,Validation
34,1,4,0,0.34302327,Accuracy Mandatory_Direction_Sign,Training
35,1,4,0,0.23030303,Accuracy Mandatory_Direction_Sign,Validation
36,1,4,0,2.7335064,Loss No_Entry_Sign,Training
37,1,4,0,2.776943,Loss No_Entry_Sign,Validation
38,1,4,0,0.50574714,Accuracy No_Entry_Sign,Training
39,1,4,0,0.1118421,Accuracy No_Entry_Sign,Validation
40,1,4,0,2.891375,Loss No_Overtaking_Sign,Training
41,1,4,0,2.756131,Loss No_Overtaking_Sign,Validation
42,1,4,0,0.18421052,Accuracy No_Overtaking_Sign,Training
43,1,4,0,0.2781457,Accuracy No_Overtaking_Sign,Validation
44,1,4,0,2.71259,Loss No_Parking_Sign,Training
45,1,4,0,2.534331,Loss No_Parking_Sign,Validation
46,1,4,0,0.45454547,Accuracy No_Parking_Sign,Training
47,1,4,0,0.63265306,Accuracy No_Parking_Sign,Validation
48,1,4,0,2.7869697,Loss Parking_Sign,Training
49,1,4,0,2.7140205,Loss Parking_Sign,Validation
50,1,4,0,0.25333333,Accuracy Parking_Sign,Training
51,1,4,0,0.3125,Accuracy Parking_Sign,Validation
52,1,4,0,2.5724478,Loss Pedestrian_Zone_Sign,Training
53,1,4,0,2.4344826,Loss Pedestrian_Zone_Sign,Validation
54,1,4,0,0.7717391,Accuracy Pedestrian_Zone_Sign,Training
55,1,4,0,0.42331287,Accuracy Pedestrian_Zone_Sign,Validation
56,1,4,0,2.8536816,Loss Priority_Road_Sign,Training
57,1,4,0,2.6805925,Loss Priority_Road_Sign,Validation
58,1,4,0,0.28,Accuracy Priority_Road_Sign,Training
59,1,4,0,0.36813188,Accuracy Priority_Road_Sign,Validation
60,1,4,0,2.689121,Loss Speed_Limit_30_Sign,Training
61,1,4,0,2.5988333,Loss Speed_Limit_30_Sign,Validation
62,1,4,0,0.53205127,Accuracy Speed_Limit_30_Sign,Training
63,1,4,0,0.26506025,Accuracy Speed_Limit_30_Sign,Validation
64,1,4,0,2.8364468,Loss Speed_Limit_80_Sign,Training
65,1,4,0,2.673317,Loss Speed_Limit_80_Sign,Validation
66,1,4,0,0.22292994,Accuracy Speed_Limit_80_Sign,Training
67,1,4,0,0.3560606,Accuracy Speed_Limit_80_Sign,Validation
68,1,4,0,2.8144774,Loss Speed_Limit_100_Sign,Training
69,1,4,0,2.7053084,Loss Speed_Limit_100_Sign,Validation
70,1,4,0,0.39285713,Accuracy Speed_Limit_100_Sign,Training
71,1,4,0,0.443038,Accuracy Speed_Limit_100_Sign,Validation
72,1,4,0,2.8576343,Loss Speed_Limit_120_Sign,Training
73,1,4,0,2.5287707,Loss Speed_Limit_120_Sign,Validation
74,1,4,0,0.25,Accuracy Speed_Limit_120_Sign,Training
75,1,4,0,0.85714287,Accuracy Speed_Limit_120_Sign,Validation
76,1,4,0,2.7128484,Loss Traffic_Banned_Sign,Training
77,1,4,0,2.6918564,Loss Traffic_Banned_Sign,Validation
78,1,4,0,0.4551282,Accuracy Traffic_Banned_Sign,Training
79,1,4,0,0.28873238,Accuracy Traffic_Banned_Sign,Validation
80,1,4,0,2.6834805,Loss Work_Zone_Sign,Training
81,1,4,0,2.564474,Loss Work_Zone_Sign,Validation
82,1,4,0,0.4939759,Accuracy Work_Zone_Sign,Training
83,1,4,0,0.58235294,Accuracy Work_Zone_Sign,Validation
84,1,4,1,2.3289607,Loss,Training
85,1,4,1,2.4165452,Loss,Validation
86,1,4,1,0.7428743,Accuracy,Training
87,1,4,1,0.42985216,Accuracy,Validation
88,1,4,1,2.2681022,Loss Attention_Zone_Sign,Training
89,1,4,1,2.5803037,Loss Attention_Zone_Sign,Validation
90,1,4,1,0.92814374,Accuracy Attention_Zone_Sign,Training
91,1,4,1,0.30857143,Accuracy Attention_Zone_Sign,Validation
92,1,4,1,2.4541178,Loss End_Of_Restriction_Sign,Training
93,1,4,1,2.3722427,Loss End_Of_Restriction_Sign,Validation
94,1,4,1,0.6725146,Accuracy End_Of_Restriction_Sign,Training
95,1,4,1,0.64705884,Accuracy End_Of_Restriction_Sign,Validation
96,1,4,1,2.3729448,Loss Give_Way_Sign,Training
97,1,4,1,2.6408684,Loss Give_Way_Sign,Validation
98,1,4,1,0.7882353,Accuracy Give_Way_Sign,Training
99,1,4,1,0.378882,Accuracy Give_Way_Sign,Validation
100,1,4,1,2.3803396,Loss Highway_Exit_In_100M_Sign,Training
101,1,4,1,2.371018,Loss Highway_Exit_In_100M_Sign,Validation
102,1,4,1,0.64117646,Accuracy Highway_Exit_In_100M_Sign,Training
103,1,4,1,0.54320985,Accuracy Highway_Exit_In_100M_Sign,Validation
104,1,4,1,2.3995936,Loss Highway_Exit_In_200M_Sign,Training
105,1,4,1,2.323339,Loss Highway_Exit_In_200M_Sign,Validation
106,1,4,1,0.4189189,Accuracy Highway_Exit_In_200M_Sign,Training
107,1,4,1,0.27741936,Accuracy Highway_Exit_In_200M_Sign,Validation
108,1,4,1,2.2168877,Loss Highway_Exit_In_300M_Sign,Training
109,1,4,1,2.410888,Loss Highway_Exit_In_300M_Sign,Validation
110,1,4,1,0.85955054,Accuracy Highway_Exit_In_300M_Sign,Training
111,1,4,1,0.23489933,Accuracy Highway_Exit_In_300M_Sign,Validation
112,1,4,1,2.0424347,Loss Highway_Exit_Sign,Training
113,1,4,1,2.0996995,Loss Highway_Exit_Sign,Validation
114,1,4,1,0.9830508,Accuracy Highway_Exit_Sign,Training
115,1,4,1,1.0,Accuracy Highway_Exit_Sign,Validation
116,1,4,1,2.522937,Loss Mandatory_Direction_Sign,Training
117,1,4,1,2.6988542,Loss Mandatory_Direction_Sign,Validation
118,1,4,1,0.7133758,Accuracy Mandatory_Direction_Sign,Training
119,1,4,1,0.13907285,Accuracy Mandatory_Direction_Sign,Validation
120,1,4,1,2.35892,Loss No_Entry_Sign,Training
121,1,4,1,2.798603,Loss No_Entry_Sign,Validation
122,1,4,1,0.79617834,Accuracy No_Entry_Sign,Training
123,1,4,1,0.10795455,Accuracy No_Entry_Sign,Validation
124,1,4,1,2.557309,Loss No_Overtaking_Sign,Training
125,1,4,1,2.4689221,Loss No_Overtaking_Sign,Validation
126,1,4,1,0.627451,Accuracy No_Overtaking_Sign,Training
127,1,4,1,0.4385965,Accuracy No_Overtaking_Sign,Validation
128,1,4,1,2.1848874,Loss No_Parking_Sign,Training
129,1,4,1,2.3660085,Loss No_Parking_Sign,Validation
130,1,4,1,0.95,Accuracy No_Parking_Sign,Training
131,1,4,1,0.49285713,Accuracy No_Parking_Sign,Validation
132,1,4,1,2.5829973,Loss Parking_Sign,Training
133,1,4,1,2.528093,Loss Parking_Sign,Validation
134,1,4,1,0.292517,Accuracy Parking_Sign,Training
135,1,4,1,0.17283951,Accuracy Parking_Sign,Validation
136,1,4,1,2.0784733,Loss Pedestrian_Zone_Sign,Training
137,1,4,1,2.2929378,Loss Pedestrian_Zone_Sign,Validation
138,1,4,1,0.97619045,Accuracy Pedestrian_Zone_Sign,Training
139,1,4,1,0.36942676,Accuracy Pedestrian_Zone_Sign,Validation
140,1,4,1,2.1135502,Loss Priority_Road_Sign,Training
141,1,4,1,2.123588,Loss Priority_Road_Sign,Validation
142,1,4,1,0.92432433,Accuracy Priority_Road_Sign,Training
143,1,4,1,0.7202381,Accuracy Priority_Road_Sign,Validation
144,1,4,1,1.9502604,Loss Speed_Limit_30_Sign,Training
145,1,4,1,2.18454,Loss Speed_Limit_30_Sign,Validation
146,1,4,1,1.0,Accuracy Speed_Limit_30_Sign,Training
147,1,4,1,0.71428573,Accuracy Speed_Limit_30_Sign,Validation
148,1,4,1,2.5035236,Loss Speed_Limit_80_Sign,Training
149,1,4,1,2.377589,Loss Speed_Limit_80_Sign,Validation
150,1,4,1,0.5633803,Accuracy Speed_Limit_80_Sign,Training
151,1,4,1,0.5345912,Accuracy Speed_Limit_80_Sign,Validation
152,1,4,1,2.5635817,Loss Speed_Limit_100_Sign,Training
153,1,4,1,2.4080925,Loss Speed_Limit_100_Sign,Validation
154,1,4,1,0.522293,Accuracy Speed_Limit_100_Sign,Training
155,1,4,1,0.38418078,Accuracy Speed_Limit_100_Sign,Validation
156,1,4,1,2.398948,Loss Speed_Limit_120_Sign,Training
157,1,4,1,2.33341,Loss Speed_Limit_120_Sign,Validation
158,1,4,1,0.73913044,Accuracy Speed_Limit_120_Sign,Training
159,1,4,1,0.28402367,Accuracy Speed_Limit_120_Sign,Validation
160,1,4,1,2.3318176,Loss Traffic_Banned_Sign,Training
161,1,4,1,2.5206304,Loss Traffic_Banned_Sign,Validation
162,1,4,1,0.6056338,Accuracy Traffic_Banned_Sign,Training
163,1,4,1,0.1736111,Accuracy Traffic_Banned_Sign,Validation
164,1,4,1,2.297586,Loss Work_Zone_Sign,Training
165,1,4,1,2.4312754,Loss Work_Zone_Sign,Validation
166,1,4,1,0.85542166,Accuracy Work_Zone_Sign,Training
167,1,4,1,0.6753247,Accuracy Work_Zone_Sign,Validation
168,1,4,2,1.9831842,Loss,Training
169,1,4,2,2.2216897,Loss,Validation
170,1,4,2,0.85124016,Accuracy,Training
171,1,4,2,0.44132963,Accuracy,Validation
172,1,4,2,1.8700132,Loss Attention_Zone_Sign,Training
173,1,4,2,2.4937613,Loss Attention_Zone_Sign,Validation
174,1,4,2,0.9818182,Accuracy Attention_Zone_Sign,Training
175,1,4,2,0.32317072,Accuracy Attention_Zone_Sign,Validation
176,1,4,2,2.2218668,Loss End_Of_Restriction_Sign,Training
177,1,4,2,2.1392343,Loss End_Of_Restriction_Sign,Validation
178,1,4,2,0.66451615,Accuracy End_Of_Restriction_Sign,Training
179,1,4,2,0.67901236,Accuracy End_Of_Restriction_Sign,Validation
180,1,4,2,1.9138905,Loss Give_Way_Sign,Training
181,1,4,2,2.6094418,Loss Give_Way_Sign,Validation
182,1,4,2,0.97530866,Accuracy Give_Way_Sign,Training
183,1,4,2,0.292517,Accuracy Give_Way_Sign,Validation
184,1,4,2,1.94299,Loss Highway_Exit_In_100M_Sign,Training
185,1,4,2,2.1710372,Loss Highway_Exit_In_100M_Sign,Validation
186,1,4,2,0.8994083,Accuracy Highway_Exit_In_100M_Sign,Training
187,1,4,2,0.62025315,Accuracy Highway_Exit_In_100M_Sign,Validation
188,1,4,2,2.00185,Loss Highway_Exit_In_200M_Sign,Training
189,1,4,2,2.093496,Loss Highway_Exit_In_200M_Sign,Validation
190,1,4,2,0.77124184,Accuracy Highway_Exit_In_200M_Sign,Training
191,1,4,2,0.5421687,Accuracy Highway_Exit_In_200M_Sign,Validation
192,1,4,2,1.9613547,Loss Highway_Exit_In_300M_Sign,Training
193,1,4,2,2.3172915,Loss Highway_Exit_In_300M_Sign,Validation
194,1,4,2,0.8805031,Accuracy Highway_Exit_In_300M_Sign,Training
195,1,4,2,0.11891892,Accuracy Highway_Exit_In_300M_Sign,Validation
196,1,4,2,1.8075292,Loss Highway_Exit_Sign,Training
197,1,4,2,1.8104591,Loss Highway_Exit_Sign,Validation
198,1,4,2,0.9202454,Accuracy Highway_Exit_Sign,Training
199,1,4,2,1.0,Accuracy Highway_Exit_Sign,Validation
200,1,4,2,2.1852841,Loss Mandatory_Direction_Sign,Training
201,1,4,2,2.5117211,Loss Mandatory_Direction_Sign,Validation
202,1,4,2,0.82954544,Accuracy Mandatory_Direction_Sign,Training
203,1,4,2,0.18238993,Accuracy Mandatory_Direction_Sign,Validation
204,1,4,2,1.9961753,Loss No_Entry_Sign,Training
205,1,4,2,2.645836,Loss No_Entry_Sign,Validation
206,1,4,2,0.9177215,Accuracy No_Entry_Sign,Training
207,1,4,2,0.093406595,Accuracy No_Entry_Sign,Validation
208,1,4,2,2.2619274,Loss No_Overtaking_Sign,Training
209,1,4,2,2.0887117,Loss No_Overtaking_Sign,Validation
210,1,4,2,0.7816092,Accuracy No_Overtaking_Sign,Training
211,1,4,2,0.6405229,Accuracy No_Overtaking_Sign,Validation
212,1,4,2,1.8245871,Loss No_Parking_Sign,Training
