,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.777452,Loss,Training
1,0,8,0,2.653994,Loss,Validation
2,0,8,0,0.3783316,Accuracy,Training
3,0,8,0,0.44254407,Accuracy,Validation
4,0,8,0,2.892522,Loss Attention_Zone_Sign,Training
5,0,8,0,2.887301,Loss Attention_Zone_Sign,Validation
6,0,8,0,0.086330935,Accuracy Attention_Zone_Sign,Training
7,0,8,0,0.0,Accuracy Attention_Zone_Sign,Validation
8,0,8,0,2.8277512,Loss End_Of_Restriction_Sign,Training
9,0,8,0,2.691797,Loss End_Of_Restriction_Sign,Validation
10,0,8,0,0.36419752,Accuracy End_Of_Restriction_Sign,Training
11,0,8,0,0.4269006,Accuracy End_Of_Restriction_Sign,Validation
12,0,8,0,2.7410696,Loss Give_Way_Sign,Training
13,0,8,0,2.8737712,Loss Give_Way_Sign,Validation
14,0,8,0,0.5460993,Accuracy Give_Way_Sign,Training
15,0,8,0,0.1904762,Accuracy Give_Way_Sign,Validation
16,0,8,0,2.7720191,Loss Highway_Exit_In_100M_Sign,Training
17,0,8,0,2.5889277,Loss Highway_Exit_In_100M_Sign,Validation
18,0,8,0,0.2654321,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,8,0,0.4090909,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,8,0,2.8636847,Loss Highway_Exit_In_200M_Sign,Training
21,0,8,0,2.7079666,Loss Highway_Exit_In_200M_Sign,Validation
22,0,8,0,0.052980132,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,8,0,0.15730338,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,8,0,2.6664062,Loss Highway_Exit_In_300M_Sign,Training
25,0,8,0,2.4671023,Loss Highway_Exit_In_300M_Sign,Validation
26,0,8,0,0.55494505,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,8,0,0.80662984,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,8,0,2.6345315,Loss Highway_Exit_Sign,Training
29,0,8,0,2.424181,Loss Highway_Exit_Sign,Validation
30,0,8,0,0.7616279,Accuracy Highway_Exit_Sign,Training
31,0,8,0,0.85882354,Accuracy Highway_Exit_Sign,Validation
32,0,8,0,2.8865352,Loss Mandatory_Direction_Sign,Training
33,0,8,0,2.874477,Loss Mandatory_Direction_Sign,Validation
34,0,8,0,0.20121951,Accuracy Mandatory_Direction_Sign,Training
35,0,8,0,0.0738255,Accuracy Mandatory_Direction_Sign,Validation
36,0,8,0,2.8639135,Loss No_Entry_Sign,Training
37,0,8,0,2.7107806,Loss No_Entry_Sign,Validation
38,0,8,0,0.21656051,Accuracy No_Entry_Sign,Training
39,0,8,0,0.41566265,Accuracy No_Entry_Sign,Validation
40,0,8,0,2.7559404,Loss No_Overtaking_Sign,Training
41,0,8,0,2.5885139,Loss No_Overtaking_Sign,Validation
42,0,8,0,0.5617284,Accuracy No_Overtaking_Sign,Training
43,0,8,0,0.69655174,Accuracy No_Overtaking_Sign,Validation
44,0,8,0,2.7184043,Loss No_Parking_Sign,Training
45,0,8,0,2.7039676,Loss No_Parking_Sign,Validation
46,0,8,0,0.5889571,Accuracy No_Parking_Sign,Training
47,0,8,0,0.36842105,Accuracy No_Parking_Sign,Validation
48,0,8,0,2.809129,Loss Parking_Sign,Training
49,0,8,0,2.69512,Loss Parking_Sign,Validation
50,0,8,0,0.31736526,Accuracy Parking_Sign,Training
51,0,8,0,0.21794872,Accuracy Parking_Sign,Validation
52,0,8,0,2.6203334,Loss Pedestrian_Zone_Sign,Training
53,0,8,0,2.5049467,Loss Pedestrian_Zone_Sign,Validation
54,0,8,0,0.61849713,Accuracy Pedestrian_Zone_Sign,Training
55,0,8,0,0.75706214,Accuracy Pedestrian_Zone_Sign,Validation
56,0,8,0,2.884503,Loss Priority_Road_Sign,Training
57,0,8,0,2.6862988,Loss Priority_Road_Sign,Validation
58,0,8,0,0.15384616,Accuracy Priority_Road_Sign,Training
59,0,8,0,0.50282484,Accuracy Priority_Road_Sign,Validation
60,0,8,0,2.7267237,Loss Speed_Limit_30_Sign,Training
61,0,8,0,2.4850225,Loss Speed_Limit_30_Sign,Validation
62,0,8,0,0.3576159,Accuracy Speed_Limit_30_Sign,Training
63,0,8,0,0.8287671,Accuracy Speed_Limit_30_Sign,Validation
64,0,8,0,2.7936413,Loss Speed_Limit_80_Sign,Training
65,0,8,0,2.6657572,Loss Speed_Limit_80_Sign,Validation
66,0,8,0,0.41477272,Accuracy Speed_Limit_80_Sign,Training
67,0,8,0,0.36942676,Accuracy Speed_Limit_80_Sign,Validation
68,0,8,0,2.8615596,Loss Speed_Limit_100_Sign,Training
69,0,8,0,2.7298038,Loss Speed_Limit_100_Sign,Validation
70,0,8,0,0.16993465,Accuracy Speed_Limit_100_Sign,Training
71,0,8,0,0.18181819,Accuracy Speed_Limit_100_Sign,Validation
