,seed,examples_per_class,epoch,value,metric,split
0,2,8,0,2.7434714,Loss,Training
1,2,8,0,2.6454096,Loss,Validation
2,2,8,0,0.39321494,Accuracy,Training
3,2,8,0,0.4299337,Accuracy,Validation
4,2,8,0,2.710138,Loss Attention_Zone_Sign,Training
5,2,8,0,2.488284,Loss Attention_Zone_Sign,Validation
6,2,8,0,0.5052083,Accuracy Attention_Zone_Sign,Training
7,2,8,0,0.6706587,Accuracy Attention_Zone_Sign,Validation
8,2,8,0,2.8121865,Loss End_Of_Restriction_Sign,Training
9,2,8,0,2.6744218,Loss End_Of_Restriction_Sign,Validation
10,2,8,0,0.3313253,Accuracy End_Of_Restriction_Sign,Training
11,2,8,0,0.6606061,Accuracy End_Of_Restriction_Sign,Validation
12,2,8,0,2.637254,Loss Give_Way_Sign,Training
13,2,8,0,2.8251839,Loss Give_Way_Sign,Validation
14,2,8,0,0.7247191,Accuracy Give_Way_Sign,Training
15,2,8,0,0.101265825,Accuracy Give_Way_Sign,Validation
16,2,8,0,2.6335516,Loss Highway_Exit_In_100M_Sign,Training
17,2,8,0,2.4545724,Loss Highway_Exit_In_100M_Sign,Validation
18,2,8,0,0.6502732,Accuracy Highway_Exit_In_100M_Sign,Training
19,2,8,0,0.41290322,Accuracy Highway_Exit_In_100M_Sign,Validation
20,2,8,0,2.7944884,Loss Highway_Exit_In_200M_Sign,Training
21,2,8,0,2.6181278,Loss Highway_Exit_In_200M_Sign,Validation
22,2,8,0,0.14666666,Accuracy Highway_Exit_In_200M_Sign,Training
23,2,8,0,0.10691824,Accuracy Highway_Exit_In_200M_Sign,Validation
24,2,8,0,2.700799,Loss Highway_Exit_In_300M_Sign,Training
25,2,8,0,2.520764,Loss Highway_Exit_In_300M_Sign,Validation
26,2,8,0,0.32911393,Accuracy Highway_Exit_In_300M_Sign,Training
27,2,8,0,0.22839506,Accuracy Highway_Exit_In_300M_Sign,Validation
28,2,8,0,2.6675408,Loss Highway_Exit_Sign,Training
29,2,8,0,2.3629265,Loss Highway_Exit_Sign,Validation
30,2,8,0,0.49382716,Accuracy Highway_Exit_Sign,Training
31,2,8,0,1.0,Accuracy Highway_Exit_Sign,Validation
32,2,8,0,2.8498013,Loss Mandatory_Direction_Sign,Training
33,2,8,0,2.8057272,Loss Mandatory_Direction_Sign,Validation
34,2,8,0,0.24844721,Accuracy Mandatory_Direction_Sign,Training
35,2,8,0,0.11875,Accuracy Mandatory_Direction_Sign,Validation
36,2,8,0,2.6004007,Loss No_Entry_Sign,Training
37,2,8,0,2.6166697,Loss No_Entry_Sign,Validation
38,2,8,0,0.7664671,Accuracy No_Entry_Sign,Training
39,2,8,0,0.7094595,Accuracy No_Entry_Sign,Validation
40,2,8,0,2.8167467,Loss No_Overtaking_Sign,Training
41,2,8,0,2.6226852,Loss No_Overtaking_Sign,Validation
42,2,8,0,0.32258064,Accuracy No_Overtaking_Sign,Training
43,2,8,0,0.7839506,Accuracy No_Overtaking_Sign,Validation
44,2,8,0,2.6403377,Loss No_Parking_Sign,Training
45,2,8,0,2.575252,Loss No_Parking_Sign,Validation
46,2,8,0,0.6348315,Accuracy No_Parking_Sign,Training
47,2,8,0,0.60273975,Accuracy No_Parking_Sign,Validation
48,2,8,0,2.802088,Loss Parking_Sign,Training
49,2,8,0,2.7958512,Loss Parking_Sign,Validation
50,2,8,0,0.2580645,Accuracy Parking_Sign,Training
51,2,8,0,0.22360249,Accuracy Parking_Sign,Validation
52,2,8,0,2.6744325,Loss Pedestrian_Zone_Sign,Training
53,2,8,0,2.6249719,Loss Pedestrian_Zone_Sign,Validation
54,2,8,0,0.44217688,Accuracy Pedestrian_Zone_Sign,Training
55,2,8,0,0.537037,Accuracy Pedestrian_Zone_Sign,Validation
56,2,8,0,2.8240032,Loss Priority_Road_Sign,Training
57,2,8,0,2.6852126,Loss Priority_Road_Sign,Validation
58,2,8,0,0.14482759,Accuracy Priority_Road_Sign,Training
59,2,8,0,0.43678162,Accuracy Priority_Road_Sign,Validation
60,2,8,0,2.6787357,Loss Speed_Limit_30_Sign,Training
61,2,8,0,2.4225712,Loss Speed_Limit_30_Sign,Validation
62,2,8,0,0.42068964,Accuracy Speed_Limit_30_Sign,Training
63,2,8,0,0.88554215,Accuracy Speed_Limit_30_Sign,Validation
64,2,8,0,2.8550854,Loss Speed_Limit_80_Sign,Training
65,2,8,0,2.8171601,Loss Speed_Limit_80_Sign,Validation
66,2,8,0,0.21088435,Accuracy Speed_Limit_80_Sign,Training
67,2,8,0,0.064935066,Accuracy Speed_Limit_80_Sign,Validation
68,2,8,0,2.8732865,Loss Speed_Limit_100_Sign,Training
69,2,8,0,2.8018157,Loss Speed_Limit_100_Sign,Validation
70,2,8,0,0.19444445,Accuracy Speed_Limit_100_Sign,Training
71,2,8,0,0.1513158,Accuracy Speed_Limit_100_Sign,Validation
72,2,8,0,2.7476463,Loss Speed_Limit_120_Sign,Training
73,2,8,0,2.7059252,Loss Speed_Limit_120_Sign,Validation
74,2,8,0,0.4520548,Accuracy Speed_Limit_120_Sign,Training
75,2,8,0,0.630303,Accuracy Speed_Limit_120_Sign,Validation
76,2,8,0,2.8330686,Loss Traffic_Banned_Sign,Training
77,2,8,0,2.8480325,Loss Traffic_Banned_Sign,Validation
78,2,8,0,0.19745223,Accuracy Traffic_Banned_Sign,Training
79,2,8,0,0.116883114,Accuracy Traffic_Banned_Sign,Validation
80,2,8,0,2.7178378,Loss Work_Zone_Sign,Training
81,2,8,0,2.6420364,Loss Work_Zone_Sign,Validation
82,2,8,0,0.3902439,Accuracy Work_Zone_Sign,Training
83,2,8,0,0.15662651,Accuracy Work_Zone_Sign,Validation
84,2,8,1,2.3118303,Loss,Training
85,2,8,1,2.3681016,Loss,Validation
86,2,8,1,0.7594763,Accuracy,Training
87,2,8,1,0.45236927,Accuracy,Validation
88,2,8,1,2.300329,Loss Attention_Zone_Sign,Training
89,2,8,1,2.5544536,Loss Attention_Zone_Sign,Validation
90,2,8,1,0.8807947,Accuracy Attention_Zone_Sign,Training
91,2,8,1,0.09248555,Accuracy Attention_Zone_Sign,Validation
92,2,8,1,2.2798364,Loss End_Of_Restriction_Sign,Training
93,2,8,1,2.2770462,Loss End_Of_Restriction_Sign,Validation
94,2,8,1,0.75977653,Accuracy End_Of_Restriction_Sign,Training
95,2,8,1,0.68,Accuracy End_Of_Restriction_Sign,Validation
96,2,8,1,2.3095033,Loss Give_Way_Sign,Training
97,2,8,1,2.796755,Loss Give_Way_Sign,Validation
98,2,8,1,0.8095238,Accuracy Give_Way_Sign,Training
99,2,8,1,0.25308642,Accuracy Give_Way_Sign,Validation
100,2,8,1,2.4018795,Loss Highway_Exit_In_100M_Sign,Training
101,2,8,1,2.40368,Loss Highway_Exit_In_100M_Sign,Validation
102,2,8,1,0.57246375,Accuracy Highway_Exit_In_100M_Sign,Training
103,2,8,1,0.0,Accuracy Highway_Exit_In_100M_Sign,Validation
104,2,8,1,2.3417666,Loss Highway_Exit_In_200M_Sign,Training
105,2,8,1,2.0957646,Loss Highway_Exit_In_200M_Sign,Validation
106,2,8,1,0.64772725,Accuracy Highway_Exit_In_200M_Sign,Training
107,2,8,1,0.9415584,Accuracy Highway_Exit_In_200M_Sign,Validation
108,2,8,1,2.186822,Loss Highway_Exit_In_300M_Sign,Training
109,2,8,1,2.3037977,Loss Highway_Exit_In_300M_Sign,Validation
110,2,8,1,0.86549705,Accuracy Highway_Exit_In_300M_Sign,Training
111,2,8,1,0.118644066,Accuracy Highway_Exit_In_300M_Sign,Validation
112,2,8,1,2.1001277,Loss Highway_Exit_Sign,Training
113,2,8,1,2.0075521,Loss Highway_Exit_Sign,Validation
114,2,8,1,0.9627329,Accuracy Highway_Exit_Sign,Training
115,2,8,1,1.0,Accuracy Highway_Exit_Sign,Validation
116,2,8,1,2.4076762,Loss Mandatory_Direction_Sign,Training
117,2,8,1,2.5967617,Loss Mandatory_Direction_Sign,Validation
118,2,8,1,0.7668394,Accuracy Mandatory_Direction_Sign,Training
119,2,8,1,0.22651933,Accuracy Mandatory_Direction_Sign,Validation
120,2,8,1,2.2896705,Loss No_Entry_Sign,Training
121,2,8,1,2.4590204,Loss No_Entry_Sign,Validation
122,2,8,1,0.7987013,Accuracy No_Entry_Sign,Training
123,2,8,1,0.513089,Accuracy No_Entry_Sign,Validation
124,2,8,1,2.383606,Loss No_Overtaking_Sign,Training
125,2,8,1,2.2345083,Loss No_Overtaking_Sign,Validation
126,2,8,1,0.82802546,Accuracy No_Overtaking_Sign,Training
127,2,8,1,0.8186813,Accuracy No_Overtaking_Sign,Validation
128,2,8,1,2.1273887,Loss No_Parking_Sign,Training
129,2,8,1,2.3105452,Loss No_Parking_Sign,Validation
130,2,8,1,0.94078946,Accuracy No_Parking_Sign,Training
131,2,8,1,0.53741497,Accuracy No_Parking_Sign,Validation
132,2,8,1,2.5511887,Loss Parking_Sign,Training
133,2,8,1,2.490159,Loss Parking_Sign,Validation
134,2,8,1,0.47096774,Accuracy Parking_Sign,Training
135,2,8,1,0.3164557,Accuracy Parking_Sign,Validation
136,2,8,1,2.1668835,Loss Pedestrian_Zone_Sign,Training
137,2,8,1,2.30558,Loss Pedestrian_Zone_Sign,Validation
138,2,8,1,0.7837838,Accuracy Pedestrian_Zone_Sign,Training
139,2,8,1,0.32876712,Accuracy Pedestrian_Zone_Sign,Validation
140,2,8,1,2.2391844,Loss Priority_Road_Sign,Training
141,2,8,1,2.2143786,Loss Priority_Road_Sign,Validation
142,2,8,1,0.91715974,Accuracy Priority_Road_Sign,Training
143,2,8,1,0.8689655,Accuracy Priority_Road_Sign,Validation
144,2,8,1,2.0938768,Loss Speed_Limit_30_Sign,Training
145,2,8,1,1.7247971,Loss Speed_Limit_30_Sign,Validation
146,2,8,1,0.92941177,Accuracy Speed_Limit_30_Sign,Training
147,2,8,1,1.0,Accuracy Speed_Limit_30_Sign,Validation
148,2,8,1,2.5546584,Loss Speed_Limit_80_Sign,Training
149,2,8,1,2.547825,Loss Speed_Limit_80_Sign,Validation
150,2,8,1,0.47435898,Accuracy Speed_Limit_80_Sign,Training
151,2,8,1,0.27096775,Accuracy Speed_Limit_80_Sign,Validation
152,2,8,1,2.5569608,Loss Speed_Limit_100_Sign,Training
153,2,8,1,2.496289,Loss Speed_Limit_100_Sign,Validation
154,2,8,1,0.57051283,Accuracy Speed_Limit_100_Sign,Training
155,2,8,1,0.11494253,Accuracy Speed_Limit_100_Sign,Validation
156,2,8,1,2.1738832,Loss Speed_Limit_120_Sign,Training
157,2,8,1,2.2661884,Loss Speed_Limit_120_Sign,Validation
158,2,8,1,0.93333334,Accuracy Speed_Limit_120_Sign,Training
159,2,8,1,0.60144925,Accuracy Speed_Limit_120_Sign,Validation
160,2,8,1,2.3963013,Loss Traffic_Banned_Sign,Training
161,2,8,1,2.7895808,Loss Traffic_Banned_Sign,Validation
162,2,8,1,0.7106918,Accuracy Traffic_Banned_Sign,Training
163,2,8,1,0.08387097,Accuracy Traffic_Banned_Sign,Validation
164,2,8,1,2.3750648,Loss Work_Zone_Sign,Training
165,2,8,1,2.48735,Loss Work_Zone_Sign,Validation
166,2,8,1,0.56643355,Accuracy Work_Zone_Sign,Training
167,2,8,1,0.2804878,Accuracy Work_Zone_Sign,Validation
168,2,8,2,1.982239,Loss,Training
169,2,8,2,2.1903596,Loss,Validation
170,2,8,2,0.83160436,Accuracy,Training
171,2,8,2,0.4918592,Accuracy,Validation
172,2,8,2,2.1958177,Loss Attention_Zone_Sign,Training
173,2,8,2,2.4493606,Loss Attention_Zone_Sign,Validation
174,2,8,2,0.7032258,Accuracy Attention_Zone_Sign,Training
175,2,8,2,0.18120806,Accuracy Attention_Zone_Sign,Validation
176,2,8,2,1.9815449,Loss End_Of_Restriction_Sign,Training
177,2,8,2,2.0899367,Loss End_Of_Restriction_Sign,Validation
178,2,8,2,0.7906977,Accuracy End_Of_Restriction_Sign,Training
179,2,8,2,0.59782606,Accuracy End_Of_Restriction_Sign,Validation
180,2,8,2,1.962559,Loss Give_Way_Sign,Training
181,2,8,2,2.6245918,Loss Give_Way_Sign,Validation
182,2,8,2,0.9306358,Accuracy Give_Way_Sign,Training
183,2,8,2,0.34911242,Accuracy Give_Way_Sign,Validation
184,2,8,2,2.1145804,Loss Highway_Exit_In_100M_Sign,Training
185,2,8,2,2.0950942,Loss Highway_Exit_In_100M_Sign,Validation
186,2,8,2,0.6287425,Accuracy Highway_Exit_In_100M_Sign,Training
187,2,8,2,0.1497006,Accuracy Highway_Exit_In_100M_Sign,Validation
188,2,8,2,1.913377,Loss Highway_Exit_In_200M_Sign,Training
189,2,8,2,1.8414406,Loss Highway_Exit_In_200M_Sign,Validation
190,2,8,2,0.9119497,Accuracy Highway_Exit_In_200M_Sign,Training
191,2,8,2,0.86627907,Accuracy Highway_Exit_In_200M_Sign,Validation
192,2,8,2,1.8482687,Loss Highway_Exit_In_300M_Sign,Training
193,2,8,2,2.1853306,Loss Highway_Exit_In_300M_Sign,Validation
194,2,8,2,0.8630952,Accuracy Highway_Exit_In_300M_Sign,Training
195,2,8,2,0.10843374,Accuracy Highway_Exit_In_300M_Sign,Validation
196,2,8,2,1.7505165,Loss Highway_Exit_Sign,Training
197,2,8,2,1.8072859,Loss Highway_Exit_Sign,Validation
198,2,8,2,0.9861111,Accuracy Highway_Exit_Sign,Training
199,2,8,2,1.0,Accuracy Highway_Exit_Sign,Validation
200,2,8,2,2.2063763,Loss Mandatory_Direction_Sign,Training
201,2,8,2,2.574656,Loss Mandatory_Direction_Sign,Validation
202,2,8,2,0.7724551,Accuracy Mandatory_Direction_Sign,Training
203,2,8,2,0.12337662,Accuracy Mandatory_Direction_Sign,Validation
204,2,8,2,1.9334385,Loss No_Entry_Sign,Training
205,2,8,2,2.2478755,Loss No_Entry_Sign,Validation
206,2,8,2,0.8192771,Accuracy No_Entry_Sign,Training
207,2,8,2,0.62666667,Accuracy No_Entry_Sign,Validation
208,2,8,2,2.1248522,Loss No_Overtaking_Sign,Training
209,2,8,2,2.032292,Loss No_Overtaking_Sign,Validation
210,2,8,2,0.9150327,Accuracy No_Overtaking_Sign,Training
211,2,8,2,0.82080925,Accuracy No_Overtaking_Sign,Validation
212,2,8,2,1.7699078,Loss No_Parking_Sign,Training
213,2,8,2,2.1698675,Loss No_Parking_Sign,Validation
214,2,8,2,0.9607843,Accuracy No_Parking_Sign,Training
215,2,8,2,0.67114097,Accuracy No_Parking_Sign,Validation
216,2,8,2,2.2516203,Loss Parking_Sign,Training
217,2,8,2,2.397645,Loss Parking_Sign,Validation
218,2,8,2,0.5443787,Accuracy Parking_Sign,Training
219,2,8,2,0.38414633,Accuracy Parking_Sign,Validation
220,2,8,2,1.7617295,Loss Pedestrian_Zone_Sign,Training
221,2,8,2,2.1914968,Loss Pedestrian_Zone_Sign,Validation
222,2,8,2,0.85897434,Accuracy Pedestrian_Zone_Sign,Training
223,2,8,2,0.38285714,Accuracy Pedestrian_Zone_Sign,Validation
224,2,8,2,1.9073857,Loss Priority_Road_Sign,Training
225,2,8,2,1.9782884,Loss Priority_Road_Sign,Validation
226,2,8,2,0.9328859,Accuracy Priority_Road_Sign,Training
227,2,8,2,0.919708,Accuracy Priority_Road_Sign,Validation
228,2,8,2,1.5264271,Loss Speed_Limit_30_Sign,Training
229,2,8,2,1.3657078,Loss Speed_Limit_30_Sign,Validation
230,2,8,2,1.0,Accuracy Speed_Limit_30_Sign,Training
231,2,8,2,1.0,Accuracy Speed_Limit_30_Sign,Validation
232,2,8,2,2.208416,Loss Speed_Limit_80_Sign,Training
233,2,8,2,2.2621531,Loss Speed_Limit_80_Sign,Validation
234,2,8,2,0.75757575,Accuracy Speed_Limit_80_Sign,Training
235,2,8,2,0.3419355,Accuracy Speed_Limit_80_Sign,Validation
236,2,8,2,2.2235267,Loss Speed_Limit_100_Sign,Training
237,2,8,2,2.3123486,Loss Speed_Limit_100_Sign,Validation
238,2,8,2,0.7452229,Accuracy Speed_Limit_100_Sign,Training
239,2,8,2,0.3245033,Accuracy Speed_Limit_100_Sign,Validation
240,2,8,2,1.6846374,Loss Speed_Limit_120_Sign,Training
