,seed,examples_per_class,epoch,value,metric,split
0,2,8,0,2.7279937,Loss,Training
1,2,8,0,2.5823998,Loss,Validation
2,2,8,0,0.41868633,Accuracy,Training
3,2,8,0,0.4926691,Accuracy,Validation
4,2,8,0,2.6786013,Loss Attention_Zone_Sign,Training
5,2,8,0,2.4355159,Loss Attention_Zone_Sign,Validation
6,2,8,0,0.5416667,Accuracy Attention_Zone_Sign,Training
7,2,8,0,0.56886226,Accuracy Attention_Zone_Sign,Validation
8,2,8,0,2.781761,Loss End_Of_Restriction_Sign,Training
9,2,8,0,2.7163646,Loss End_Of_Restriction_Sign,Validation
10,2,8,0,0.33734939,Accuracy End_Of_Restriction_Sign,Training
11,2,8,0,0.3212121,Accuracy End_Of_Restriction_Sign,Validation
12,2,8,0,2.6455154,Loss Give_Way_Sign,Training
13,2,8,0,2.7013042,Loss Give_Way_Sign,Validation
14,2,8,0,0.64606744,Accuracy Give_Way_Sign,Training
15,2,8,0,0.21518987,Accuracy Give_Way_Sign,Validation
16,2,8,0,2.6657832,Loss Highway_Exit_In_100M_Sign,Training
17,2,8,0,2.5075374,Loss Highway_Exit_In_100M_Sign,Validation
18,2,8,0,0.5081967,Accuracy Highway_Exit_In_100M_Sign,Training
19,2,8,0,0.62580645,Accuracy Highway_Exit_In_100M_Sign,Validation
20,2,8,0,2.7857907,Loss Highway_Exit_In_200M_Sign,Training
21,2,8,0,2.5959861,Loss Highway_Exit_In_200M_Sign,Validation
22,2,8,0,0.13333334,Accuracy Highway_Exit_In_200M_Sign,Training
23,2,8,0,0.11949685,Accuracy Highway_Exit_In_200M_Sign,Validation
24,2,8,0,2.6789064,Loss Highway_Exit_In_300M_Sign,Training
25,2,8,0,2.3760712,Loss Highway_Exit_In_300M_Sign,Validation
26,2,8,0,0.4177215,Accuracy Highway_Exit_In_300M_Sign,Training
27,2,8,0,0.83950615,Accuracy Highway_Exit_In_300M_Sign,Validation
28,2,8,0,2.6127145,Loss Highway_Exit_Sign,Training
29,2,8,0,2.3127377,Loss Highway_Exit_Sign,Validation
30,2,8,0,0.58641976,Accuracy Highway_Exit_Sign,Training
31,2,8,0,0.902439,Accuracy Highway_Exit_Sign,Validation
32,2,8,0,2.7887552,Loss Mandatory_Direction_Sign,Training
33,2,8,0,2.6379204,Loss Mandatory_Direction_Sign,Validation
34,2,8,0,0.3167702,Accuracy Mandatory_Direction_Sign,Training
35,2,8,0,0.48125,Accuracy Mandatory_Direction_Sign,Validation
36,2,8,0,2.614149,Loss No_Entry_Sign,Training
37,2,8,0,2.6806834,Loss No_Entry_Sign,Validation
38,2,8,0,0.8263473,Accuracy No_Entry_Sign,Training
39,2,8,0,0.22972973,Accuracy No_Entry_Sign,Validation
40,2,8,0,2.8737864,Loss No_Overtaking_Sign,Training
41,2,8,0,2.6158376,Loss No_Overtaking_Sign,Validation
42,2,8,0,0.21290323,Accuracy No_Overtaking_Sign,Training
43,2,8,0,0.5802469,Accuracy No_Overtaking_Sign,Validation
44,2,8,0,2.6595247,Loss No_Parking_Sign,Training
45,2,8,0,2.3779058,Loss No_Parking_Sign,Validation
46,2,8,0,0.51123595,Accuracy No_Parking_Sign,Training
47,2,8,0,0.79452056,Accuracy No_Parking_Sign,Validation
48,2,8,0,2.7271998,Loss Parking_Sign,Training
49,2,8,0,2.69262,Loss Parking_Sign,Validation
50,2,8,0,0.4064516,Accuracy Parking_Sign,Training
51,2,8,0,0.3726708,Accuracy Parking_Sign,Validation
