,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.6678805,Loss,Training
1,0,4,0,2.4487371,Loss,Validation
2,0,4,0,0.5684622,Accuracy,Training
3,0,4,0,0.7923327,Accuracy,Validation
4,0,4,0,2.472599,Loss Bench,Training
5,0,4,0,2.2441607,Loss Bench,Validation
6,0,4,0,0.7986577,Accuracy Bench,Training
7,0,4,0,0.9324324,Accuracy Bench,Validation
8,0,4,0,2.7255044,Loss Bicycle,Training
9,0,4,0,2.0061116,Loss Bicycle,Validation
10,0,4,0,0.5151515,Accuracy Bicycle,Training
11,0,4,0,1.0,Accuracy Bicycle,Validation
12,0,4,0,2.6342993,Loss Book,Training
13,0,4,0,2.4580712,Loss Book,Validation
14,0,4,0,0.6142857,Accuracy Book,Training
15,0,4,0,0.8194444,Accuracy Book,Validation
16,0,4,0,2.6361852,Loss Bottle,Training
17,0,4,0,2.3179593,Loss Bottle,Validation
18,0,4,0,0.69863015,Accuracy Bottle,Training
19,0,4,0,0.94482756,Accuracy Bottle,Validation
20,0,4,0,2.6683586,Loss Bowl,Training
21,0,4,0,2.5793192,Loss Bowl,Validation
22,0,4,0,0.44,Accuracy Bowl,Training
23,0,4,0,0.3006993,Accuracy Bowl,Validation
24,0,4,0,2.7089593,Loss Car,Training
25,0,4,0,2.487476,Loss Car,Validation
26,0,4,0,0.475,Accuracy Car,Training
27,0,4,0,0.8962963,Accuracy Car,Validation
28,0,4,0,2.7130823,Loss Cellphone,Training
29,0,4,0,2.5364938,Loss Cellphone,Validation
30,0,4,0,0.36290324,Accuracy Cellphone,Training
31,0,4,0,0.5,Accuracy Cellphone,Validation
32,0,4,0,2.5962396,Loss Chair,Training
33,0,4,0,2.7703376,Loss Chair,Validation
34,0,4,0,0.75555557,Accuracy Chair,Training
35,0,4,0,0.30215827,Accuracy Chair,Validation
36,0,4,0,2.7394288,Loss Clock,Training
37,0,4,0,2.6264732,Loss Clock,Validation
38,0,4,0,0.5037594,Accuracy Clock,Training
39,0,4,0,0.7735849,Accuracy Clock,Validation
40,0,4,0,2.6403198,Loss Cup,Training
41,0,4,0,2.3199995,Loss Cup,Validation
42,0,4,0,0.74657536,Accuracy Cup,Training
43,0,4,0,0.96875,Accuracy Cup,Validation
44,0,4,0,2.7170713,Loss Fork,Training
45,0,4,0,2.38914,Loss Fork,Validation
46,0,4,0,0.41958043,Accuracy Fork,Training
47,0,4,0,0.86259544,Accuracy Fork,Validation
48,0,4,0,2.7136073,Loss Keyboard,Training
49,0,4,0,2.563151,Loss Keyboard,Validation
50,0,4,0,0.45695364,Accuracy Keyboard,Training
51,0,4,0,0.65254235,Accuracy Keyboard,Validation
52,0,4,0,2.6699584,Loss Knife,Training
53,0,4,0,2.441151,Loss Knife,Validation
54,0,4,0,0.5248227,Accuracy Knife,Training
55,0,4,0,0.5390625,Accuracy Knife,Validation
56,0,4,0,2.701506,Loss Laptop,Training
57,0,4,0,2.403884,Loss Laptop,Validation
58,0,4,0,0.49635038,Accuracy Laptop,Training
59,0,4,0,0.8827586,Accuracy Laptop,Validation
60,0,4,0,2.6124187,Loss Motorcycle,Training
61,0,4,0,2.3353002,Loss Motorcycle,Validation
62,0,4,0,0.64,Accuracy Motorcycle,Training
63,0,4,0,1.0,Accuracy Motorcycle,Validation
64,0,4,0,2.5297086,Loss Mouse,Training
65,0,4,0,2.2742476,Loss Mouse,Validation
66,0,4,0,0.716763,Accuracy Mouse,Training
67,0,4,0,1.0,Accuracy Mouse,Validation
68,0,4,0,2.6019619,Loss Potted_Plant,Training
69,0,4,0,2.3368134,Loss Potted_Plant,Validation
70,0,4,0,0.76296294,Accuracy Potted_Plant,Training
71,0,4,0,1.0,Accuracy Potted_Plant,Validation
72,0,4,0,2.7898557,Loss Remote,Training
73,0,4,0,2.53262,Loss Remote,Validation
74,0,4,0,0.3,Accuracy Remote,Training
75,0,4,0,0.8741259,Accuracy Remote,Validation
76,0,4,0,2.6681964,Loss Spoon,Training
77,0,4,0,2.5888057,Loss Spoon,Validation
78,0,4,0,0.6621622,Accuracy Spoon,Training
79,0,4,0,0.5208333,Accuracy Spoon,Validation
80,0,4,0,2.6747735,Loss Sportsball,Training
81,0,4,0,2.7011003,Loss Sportsball,Validation
82,0,4,0,0.6308725,Accuracy Sportsball,Training
83,0,4,0,0.67375886,Accuracy Sportsball,Validation
84,0,4,0,2.6590676,Loss Tie,Training
85,0,4,0,2.4004326,Loss Tie,Validation
86,0,4,0,0.590604,Accuracy Tie,Training
87,0,4,0,0.84827584,Accuracy Tie,Validation
88,0,4,0,2.679495,Loss Trafficlight,Training
89,0,4,0,2.5765624,Loss Trafficlight,Validation
