,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6895914,Loss,Training
1,0,8,0,2.437254,Loss,Validation
2,0,8,0,0.56142855,Accuracy,Training
3,0,8,0,0.7827767,Accuracy,Validation
4,0,8,0,2.5920153,Loss Bench,Training
5,0,8,0,2.366857,Loss Bench,Validation
6,0,8,0,0.64444447,Accuracy Bench,Training
7,0,8,0,0.7578125,Accuracy Bench,Validation
8,0,8,0,2.5293493,Loss Bicycle,Training
9,0,8,0,2.0410125,Loss Bicycle,Validation
10,0,8,0,0.67105263,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.775856,Loss Book,Training
13,0,8,0,2.5247502,Loss Book,Validation
14,0,8,0,0.456,Accuracy Book,Training
15,0,8,0,0.45038167,Accuracy Book,Validation
16,0,8,0,2.6913285,Loss Bottle,Training
17,0,8,0,2.3596666,Loss Bottle,Validation
18,0,8,0,0.5652174,Accuracy Bottle,Training
19,0,8,0,0.9300699,Accuracy Bottle,Validation
20,0,8,0,2.8448784,Loss Bowl,Training
21,0,8,0,2.5175424,Loss Bowl,Validation
22,0,8,0,0.292517,Accuracy Bowl,Training
23,0,8,0,0.31578946,Accuracy Bowl,Validation
24,0,8,0,2.6176748,Loss Car,Training
25,0,8,0,2.3627362,Loss Car,Validation
26,0,8,0,0.5037594,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.7537258,Loss Cellphone,Training
29,0,8,0,2.4815114,Loss Cellphone,Validation
30,0,8,0,0.54471546,Accuracy Cellphone,Training
31,0,8,0,0.8389262,Accuracy Cellphone,Validation
32,0,8,0,2.5396435,Loss Chair,Training
33,0,8,0,2.342552,Loss Chair,Validation
34,0,8,0,0.79640716,Accuracy Chair,Training
35,0,8,0,0.8449612,Accuracy Chair,Validation
36,0,8,0,2.7514217,Loss Clock,Training
37,0,8,0,2.5846121,Loss Clock,Validation
38,0,8,0,0.5163399,Accuracy Clock,Training
39,0,8,0,0.82835823,Accuracy Clock,Validation
40,0,8,0,2.8085265,Loss Cup,Training
41,0,8,0,2.427593,Loss Cup,Validation
42,0,8,0,0.45112783,Accuracy Cup,Training
43,0,8,0,0.96581197,Accuracy Cup,Validation
44,0,8,0,2.7355833,Loss Fork,Training
45,0,8,0,2.411492,Loss Fork,Validation
46,0,8,0,0.3602941,Accuracy Fork,Training
47,0,8,0,0.57894737,Accuracy Fork,Validation
48,0,8,0,2.721064,Loss Keyboard,Training
49,0,8,0,2.668453,Loss Keyboard,Validation
50,0,8,0,0.5846154,Accuracy Keyboard,Training
51,0,8,0,0.43283582,Accuracy Keyboard,Validation
52,0,8,0,2.6043086,Loss Knife,Training
53,0,8,0,2.5193694,Loss Knife,Validation
54,0,8,0,0.754717,Accuracy Knife,Training
55,0,8,0,0.61333334,Accuracy Knife,Validation
56,0,8,0,2.6511312,Loss Laptop,Training
57,0,8,0,2.3553076,Loss Laptop,Validation
58,0,8,0,0.5625,Accuracy Laptop,Training
59,0,8,0,1.0,Accuracy Laptop,Validation
