,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.6931372,Loss,Training
1,0,4,0,2.448947,Loss,Validation
2,0,4,0,0.5342873,Accuracy,Training
3,0,4,0,0.786363,Accuracy,Validation
4,0,4,0,2.5537467,Loss Bench,Training
5,0,4,0,2.295224,Loss Bench,Validation
6,0,4,0,0.6979866,Accuracy Bench,Training
7,0,4,0,0.9459459,Accuracy Bench,Validation
8,0,4,0,2.7349758,Loss Bicycle,Training
9,0,4,0,2.1743531,Loss Bicycle,Validation
10,0,4,0,0.4318182,Accuracy Bicycle,Training
11,0,4,0,1.0,Accuracy Bicycle,Validation
12,0,4,0,2.652551,Loss Book,Training
13,0,4,0,2.5312676,Loss Book,Validation
14,0,4,0,0.55714285,Accuracy Book,Training
15,0,4,0,0.5902778,Accuracy Book,Validation
16,0,4,0,2.5635767,Loss Bottle,Training
17,0,4,0,2.3617325,Loss Bottle,Validation
18,0,4,0,0.739726,Accuracy Bottle,Training
19,0,4,0,0.91034484,Accuracy Bottle,Validation
20,0,4,0,2.7501662,Loss Bowl,Training
21,0,4,0,2.535384,Loss Bowl,Validation
22,0,4,0,0.208,Accuracy Bowl,Training
23,0,4,0,0.34965035,Accuracy Bowl,Validation
24,0,4,0,2.7457802,Loss Car,Training
25,0,4,0,2.5050619,Loss Car,Validation
26,0,4,0,0.53333336,Accuracy Car,Training
27,0,4,0,0.84444445,Accuracy Car,Validation
28,0,4,0,2.7077398,Loss Cellphone,Training
29,0,4,0,2.4339209,Loss Cellphone,Validation
30,0,4,0,0.48387095,Accuracy Cellphone,Training
31,0,4,0,0.6753247,Accuracy Cellphone,Validation
32,0,4,0,2.7147126,Loss Chair,Training
33,0,4,0,2.7644384,Loss Chair,Validation
34,0,4,0,0.54814816,Accuracy Chair,Training
35,0,4,0,0.5179856,Accuracy Chair,Validation
36,0,4,0,2.7689786,Loss Clock,Training
37,0,4,0,2.65482,Loss Clock,Validation
38,0,4,0,0.45864663,Accuracy Clock,Training
39,0,4,0,0.8207547,Accuracy Clock,Validation
40,0,4,0,2.638983,Loss Cup,Training
41,0,4,0,2.4193978,Loss Cup,Validation
42,0,4,0,0.6369863,Accuracy Cup,Training
43,0,4,0,0.671875,Accuracy Cup,Validation
44,0,4,0,2.763893,Loss Fork,Training
45,0,4,0,2.3981028,Loss Fork,Validation
46,0,4,0,0.4055944,Accuracy Fork,Training
47,0,4,0,0.9312977,Accuracy Fork,Validation
48,0,4,0,2.704154,Loss Keyboard,Training
49,0,4,0,2.5249333,Loss Keyboard,Validation
50,0,4,0,0.37748346,Accuracy Keyboard,Training
51,0,4,0,0.5169492,Accuracy Keyboard,Validation
52,0,4,0,2.6835706,Loss Knife,Training
53,0,4,0,2.4057112,Loss Knife,Validation
54,0,4,0,0.5106383,Accuracy Knife,Training
55,0,4,0,0.609375,Accuracy Knife,Validation
56,0,4,0,2.7608457,Loss Laptop,Training
57,0,4,0,2.3125782,Loss Laptop,Validation
58,0,4,0,0.42335767,Accuracy Laptop,Training
59,0,4,0,1.0,Accuracy Laptop,Validation
60,0,4,0,2.5925348,Loss Motorcycle,Training
61,0,4,0,2.4203384,Loss Motorcycle,Validation
62,0,4,0,0.688,Accuracy Motorcycle,Training
63,0,4,0,0.9310345,Accuracy Motorcycle,Validation
64,0,4,0,2.546166,Loss Mouse,Training
65,0,4,0,2.11291,Loss Mouse,Validation
66,0,4,0,0.72254336,Accuracy Mouse,Training
67,0,4,0,1.0,Accuracy Mouse,Validation
68,0,4,0,2.612976,Loss Potted_Plant,Training
69,0,4,0,2.4170494,Loss Potted_Plant,Validation
70,0,4,0,0.74814814,Accuracy Potted_Plant,Training
71,0,4,0,1.0,Accuracy Potted_Plant,Validation
72,0,4,0,2.8138452,Loss Remote,Training
73,0,4,0,2.547776,Loss Remote,Validation
74,0,4,0,0.30666667,Accuracy Remote,Training
75,0,4,0,1.0,Accuracy Remote,Validation
76,0,4,0,2.6954815,Loss Spoon,Training
77,0,4,0,2.471829,Loss Spoon,Validation
78,0,4,0,0.6756757,Accuracy Spoon,Training
79,0,4,0,0.5,Accuracy Spoon,Validation
80,0,4,0,2.7724729,Loss Sportsball,Training
81,0,4,0,2.57146,Loss Sportsball,Validation
82,0,4,0,0.58389264,Accuracy Sportsball,Training
83,0,4,0,0.59574467,Accuracy Sportsball,Validation
84,0,4,0,2.6845129,Loss Tie,Training
85,0,4,0,2.456424,Loss Tie,Validation
86,0,4,0,0.61744964,Accuracy Tie,Training
87,0,4,0,0.84827584,Accuracy Tie,Validation
88,0,4,0,2.6963594,Loss Trafficlight,Training
89,0,4,0,2.5226173,Loss Trafficlight,Validation
90,0,4,0,0.5441176,Accuracy Trafficlight,Training
91,0,4,0,1.0,Accuracy Trafficlight,Validation
92,0,4,0,2.7841284,Loss Wineglas,Training
93,0,4,0,2.4884484,Loss Wineglas,Validation
94,0,4,0,0.38938054,Accuracy Wineglas,Training
95,0,4,0,0.8270677,Accuracy Wineglas,Validation
96,0,4,1,1.9403266,Loss,Training
97,0,4,1,1.903261,Loss,Validation
98,0,4,1,0.9111194,Accuracy,Training
99,0,4,1,0.8617054,Accuracy,Validation
100,0,4,1,1.6513687,Loss Bench,Training
101,0,4,1,1.5785555,Loss Bench,Validation
102,0,4,1,0.9934211,Accuracy Bench,Training
103,0,4,1,0.9230769,Accuracy Bench,Validation
104,0,4,1,1.8140538,Loss Bicycle,Training
105,0,4,1,1.5027387,Loss Bicycle,Validation
106,0,4,1,0.9527559,Accuracy Bicycle,Training
107,0,4,1,1.0,Accuracy Bicycle,Validation
108,0,4,1,1.8903123,Loss Book,Training
109,0,4,1,1.9571363,Loss Book,Validation
110,0,4,1,0.9419355,Accuracy Book,Training
111,0,4,1,0.8308824,Accuracy Book,Validation
112,0,4,1,1.7552121,Loss Bottle,Training
113,0,4,1,1.8716123,Loss Bottle,Validation
114,0,4,1,0.9849624,Accuracy Bottle,Training
115,0,4,1,0.8630137,Accuracy Bottle,Validation
116,0,4,1,1.9975036,Loss Bowl,Training
117,0,4,1,1.9624867,Loss Bowl,Validation
118,0,4,1,0.63779527,Accuracy Bowl,Training
119,0,4,1,0.6666667,Accuracy Bowl,Validation
120,0,4,1,2.0529492,Loss Car,Training
121,0,4,1,1.8966525,Loss Car,Validation
122,0,4,1,0.7297297,Accuracy Car,Training
123,0,4,1,0.9144737,Accuracy Car,Validation
124,0,4,1,1.9341213,Loss Cellphone,Training
125,0,4,1,1.8248909,Loss Cellphone,Validation
126,0,4,1,0.8513514,Accuracy Cellphone,Training
127,0,4,1,0.86206895,Accuracy Cellphone,Validation
128,0,4,1,2.049166,Loss Chair,Training
129,0,4,1,2.311703,Loss Chair,Validation
130,0,4,1,0.90604025,Accuracy Chair,Training
131,0,4,1,0.7785714,Accuracy Chair,Validation
132,0,4,1,2.2478313,Loss Clock,Training
133,0,4,1,2.3557239,Loss Clock,Validation
134,0,4,1,0.87969923,Accuracy Clock,Training
135,0,4,1,0.8125,Accuracy Clock,Validation
136,0,4,1,1.879851,Loss Cup,Training
137,0,4,1,1.9233512,Loss Cup,Validation
138,0,4,1,0.962963,Accuracy Cup,Training
139,0,4,1,1.0,Accuracy Cup,Validation
140,0,4,1,1.9777128,Loss Fork,Training
141,0,4,1,1.7303869,Loss Fork,Validation
142,0,4,1,0.9423077,Accuracy Fork,Training
143,0,4,1,1.0,Accuracy Fork,Validation
144,0,4,1,1.9224516,Loss Keyboard,Training
145,0,4,1,2.0710788,Loss Keyboard,Validation
146,0,4,1,0.9375,Accuracy Keyboard,Training
147,0,4,1,0.61870503,Accuracy Keyboard,Validation
148,0,4,1,1.963059,Loss Knife,Training
149,0,4,1,1.8715636,Loss Knife,Validation
150,0,4,1,0.90909094,Accuracy Knife,Training
151,0,4,1,0.45,Accuracy Knife,Validation
152,0,4,1,1.8715669,Loss Laptop,Training
153,0,4,1,1.7729145,Loss Laptop,Validation
154,0,4,1,0.91366905,Accuracy Laptop,Training
155,0,4,1,1.0,Accuracy Laptop,Validation
156,0,4,1,1.6206303,Loss Motorcycle,Training
157,0,4,1,1.6585542,Loss Motorcycle,Validation
158,0,4,1,0.9875,Accuracy Motorcycle,Training
159,0,4,1,1.0,Accuracy Motorcycle,Validation
160,0,4,1,1.6687121,Loss Mouse,Training
161,0,4,1,1.4572033,Loss Mouse,Validation
162,0,4,1,0.9929078,Accuracy Mouse,Training
163,0,4,1,1.0,Accuracy Mouse,Validation
164,0,4,1,1.8795867,Loss Potted_Plant,Training
165,0,4,1,1.8371868,Loss Potted_Plant,Validation
166,0,4,1,0.9856115,Accuracy Potted_Plant,Training
167,0,4,1,1.0,Accuracy Potted_Plant,Validation
168,0,4,1,2.167294,Loss Remote,Training
169,0,4,1,2.0177827,Loss Remote,Validation
170,0,4,1,0.8309859,Accuracy Remote,Training
171,0,4,1,1.0,Accuracy Remote,Validation
172,0,4,1,2.2156336,Loss Spoon,Training
173,0,4,1,1.9944736,Loss Spoon,Validation
174,0,4,1,0.75555557,Accuracy Spoon,Training
175,0,4,1,0.5034965,Accuracy Spoon,Validation
176,0,4,1,2.1833246,Loss Sportsball,Training
177,0,4,1,2.225895,Loss Sportsball,Validation
178,0,4,1,0.953125,Accuracy Sportsball,Training
179,0,4,1,0.8783784,Accuracy Sportsball,Validation
180,0,4,1,2.0914936,Loss Tie,Training
181,0,4,1,2.1583114,Loss Tie,Validation
182,0,4,1,0.94174755,Accuracy Tie,Training
183,0,4,1,0.7173913,Accuracy Tie,Validation
184,0,4,1,1.9036424,Loss Trafficlight,Training
185,0,4,1,2.0315914,Loss Trafficlight,Validation
186,0,4,1,0.9919355,Accuracy Trafficlight,Training
187,0,4,1,1.0,Accuracy Trafficlight,Validation
188,0,4,1,1.890038,Loss Wineglas,Training
189,0,4,1,1.763216,Loss Wineglas,Validation
190,0,4,1,0.97315437,Accuracy Wineglas,Training
191,0,4,1,1.0,Accuracy Wineglas,Validation
192,0,4,2,1.4187368,Loss,Training
193,0,4,2,1.5791193,Loss,Validation
194,0,4,2,0.9517804,Accuracy,Training
195,0,4,2,0.89816576,Accuracy,Validation
196,0,4,2,1.0995727,Loss Bench,Training
197,0,4,2,1.4877869,Loss Bench,Validation
198,0,4,2,0.99224806,Accuracy Bench,Training
199,0,4,2,0.7214286,Accuracy Bench,Validation
200,0,4,2,1.1374992,Loss Bicycle,Training
201,0,4,2,1.003671,Loss Bicycle,Validation
202,0,4,2,0.9927536,Accuracy Bicycle,Training
203,0,4,2,1.0,Accuracy Bicycle,Validation
204,0,4,2,1.4429185,Loss Book,Training
205,0,4,2,1.7049929,Loss Book,Validation
206,0,4,2,0.97202796,Accuracy Book,Training
207,0,4,2,0.85271317,Accuracy Book,Validation
208,0,4,2,1.1847198,Loss Bottle,Training
209,0,4,2,1.503689,Loss Bottle,Validation
210,0,4,2,1.0,Accuracy Bottle,Training
211,0,4,2,0.8119658,Accuracy Bottle,Validation
212,0,4,2,1.3796481,Loss Bowl,Training
213,0,4,2,1.6582357,Loss Bowl,Validation
214,0,4,2,0.951049,Accuracy Bowl,Training
215,0,4,2,1.0,Accuracy Bowl,Validation
216,0,4,2,1.3792439,Loss Car,Training
217,0,4,2,1.2907944,Loss Car,Validation
218,0,4,2,0.8896552,Accuracy Car,Training
219,0,4,2,1.0,Accuracy Car,Validation
220,0,4,2,1.4074724,Loss Cellphone,Training
221,0,4,2,1.553954,Loss Cellphone,Validation
