,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.6704814,Loss,Training
1,0,4,0,2.4216235,Loss,Validation
2,0,4,0,0.5744539,Accuracy,Training
3,0,4,0,0.7640349,Accuracy,Validation
4,0,4,0,2.5365214,Loss Bench,Training
5,0,4,0,2.2238119,Loss Bench,Validation
6,0,4,0,0.6888889,Accuracy Bench,Training
7,0,4,0,0.8046875,Accuracy Bench,Validation
8,0,4,0,2.623335,Loss Bicycle,Training
9,0,4,0,2.2805467,Loss Bicycle,Validation
10,0,4,0,0.55244756,Accuracy Bicycle,Training
11,0,4,0,1.0,Accuracy Bicycle,Validation
12,0,4,0,2.718771,Loss Book,Training
13,0,4,0,2.6167994,Loss Book,Validation
14,0,4,0,0.5,Accuracy Book,Training
15,0,4,0,0.44827586,Accuracy Book,Validation
16,0,4,0,2.6863563,Loss Bottle,Training
17,0,4,0,2.538773,Loss Bottle,Validation
18,0,4,0,0.64615387,Accuracy Bottle,Training
19,0,4,0,0.8604651,Accuracy Bottle,Validation
20,0,4,0,2.6092114,Loss Bowl,Training
21,0,4,0,2.3597684,Loss Bowl,Validation
22,0,4,0,0.7416667,Accuracy Bowl,Training
23,0,4,0,0.9130435,Accuracy Bowl,Validation
24,0,4,0,2.6205435,Loss Car,Training
25,0,4,0,2.3088832,Loss Car,Validation
26,0,4,0,0.62222224,Accuracy Car,Training
27,0,4,0,0.8525641,Accuracy Car,Validation
28,0,4,0,2.5709503,Loss Cellphone,Training
29,0,4,0,2.1478293,Loss Cellphone,Validation
30,0,4,0,0.7278481,Accuracy Cellphone,Training
31,0,4,0,1.0,Accuracy Cellphone,Validation
32,0,4,0,2.7603152,Loss Chair,Training
33,0,4,0,2.6721451,Loss Chair,Validation
34,0,4,0,0.4427481,Accuracy Chair,Training
35,0,4,0,0.56296295,Accuracy Chair,Validation
36,0,4,0,2.7377834,Loss Clock,Training
37,0,4,0,2.5738711,Loss Clock,Validation
38,0,4,0,0.57058823,Accuracy Clock,Training
39,0,4,0,0.6298701,Accuracy Clock,Validation
40,0,4,0,2.7650547,Loss Cup,Training
41,0,4,0,2.5762272,Loss Cup,Validation
42,0,4,0,0.4318182,Accuracy Cup,Training
43,0,4,0,0.36507937,Accuracy Cup,Validation
44,0,4,0,2.7868857,Loss Fork,Training
45,0,4,0,2.4481246,Loss Fork,Validation
46,0,4,0,0.3951613,Accuracy Fork,Training
47,0,4,0,0.71014494,Accuracy Fork,Validation
48,0,4,0,2.7492075,Loss Keyboard,Training
49,0,4,0,2.5867221,Loss Keyboard,Validation
50,0,4,0,0.4822695,Accuracy Keyboard,Training
51,0,4,0,0.1764706,Accuracy Keyboard,Validation
52,0,4,0,2.722997,Loss Knife,Training
53,0,4,0,2.5324345,Loss Knife,Validation
54,0,4,0,0.47761193,Accuracy Knife,Training
55,0,4,0,0.5886076,Accuracy Knife,Validation
56,0,4,0,2.5654047,Loss Laptop,Training
57,0,4,0,2.3575487,Loss Laptop,Validation
58,0,4,0,0.47368422,Accuracy Laptop,Training
59,0,4,0,0.5597015,Accuracy Laptop,Validation
60,0,4,0,2.3956275,Loss Motorcycle,Training
61,0,4,0,2.296073,Loss Motorcycle,Validation
62,0,4,0,0.9044118,Accuracy Motorcycle,Training
63,0,4,0,1.0,Accuracy Motorcycle,Validation
64,0,4,0,2.4260142,Loss Mouse,Training
65,0,4,0,1.9566566,Loss Mouse,Validation
66,0,4,0,0.75524473,Accuracy Mouse,Training
67,0,4,0,1.0,Accuracy Mouse,Validation
68,0,4,0,2.49109,Loss Potted_Plant,Training
69,0,4,0,2.149285,Loss Potted_Plant,Validation
70,0,4,0,0.81578946,Accuracy Potted_Plant,Training
71,0,4,0,1.0,Accuracy Potted_Plant,Validation
72,0,4,0,2.904078,Loss Remote,Training
73,0,4,0,2.6327915,Loss Remote,Validation
74,0,4,0,0.232,Accuracy Remote,Training
75,0,4,0,0.5314685,Accuracy Remote,Validation
76,0,4,0,2.8217092,Loss Spoon,Training
77,0,4,0,2.4713287,Loss Spoon,Validation
78,0,4,0,0.5234375,Accuracy Spoon,Training
79,0,4,0,0.9194631,Accuracy Spoon,Validation
80,0,4,0,3.0181274,Loss Sportsball,Training
81,0,4,0,2.8246284,Loss Sportsball,Validation
82,0,4,0,0.27941176,Accuracy Sportsball,Training
83,0,4,0,0.65,Accuracy Sportsball,Validation
84,0,4,0,2.5927262,Loss Tie,Training
85,0,4,0,2.229035,Loss Tie,Validation
86,0,4,0,0.7432432,Accuracy Tie,Training
87,0,4,0,1.0,Accuracy Tie,Validation
88,0,4,0,2.5979886,Loss Trafficlight,Training
89,0,4,0,2.5406966,Loss Trafficlight,Validation
90,0,4,0,0.60305345,Accuracy Trafficlight,Training
91,0,4,0,1.0,Accuracy Trafficlight,Validation
92,0,4,0,2.7203765,Loss Wineglas,Training
93,0,4,0,2.373361,Loss Wineglas,Validation
94,0,4,0,0.60273975,Accuracy Wineglas,Training
95,0,4,0,1.0,Accuracy Wineglas,Validation
96,0,4,1,1.8915342,Loss,Training
97,0,4,1,1.8866218,Loss,Validation
98,0,4,1,0.927046,Accuracy,Training
99,0,4,1,0.85534483,Accuracy,Validation
100,0,4,1,1.5749403,Loss Bench,Training
101,0,4,1,1.6338651,Loss Bench,Validation
102,0,4,1,1.0,Accuracy Bench,Training
103,0,4,1,0.92086333,Accuracy Bench,Validation
104,0,4,1,1.7175602,Loss Bicycle,Training
105,0,4,1,1.4720784,Loss Bicycle,Validation
106,0,4,1,0.993007,Accuracy Bicycle,Training
107,0,4,1,1.0,Accuracy Bicycle,Validation
108,0,4,1,2.0279198,Loss Book,Training
109,0,4,1,2.2529352,Loss Book,Validation
110,0,4,1,0.90076333,Accuracy Book,Training
111,0,4,1,0.6335878,Accuracy Book,Validation
112,0,4,1,1.841921,Loss Bottle,Training
113,0,4,1,1.9976683,Loss Bottle,Validation
114,0,4,1,0.97761196,Accuracy Bottle,Training
115,0,4,1,0.8015267,Accuracy Bottle,Validation
116,0,4,1,1.7903532,Loss Bowl,Training
117,0,4,1,1.7312843,Loss Bowl,Validation
118,0,4,1,0.9866667,Accuracy Bowl,Training
119,0,4,1,1.0,Accuracy Bowl,Validation
120,0,4,1,1.833769,Loss Car,Training
121,0,4,1,1.754593,Loss Car,Validation
122,0,4,1,0.94814813,Accuracy Car,Training
123,0,4,1,0.8541667,Accuracy Car,Validation
124,0,4,1,1.9218138,Loss Cellphone,Training
125,0,4,1,1.8042912,Loss Cellphone,Validation
126,0,4,1,0.8730159,Accuracy Cellphone,Training
127,0,4,1,0.8712121,Accuracy Cellphone,Validation
128,0,4,1,2.10209,Loss Chair,Training
