,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.5050933,Loss,Training
1,0,8,0,2.166641,Loss,Validation
2,0,8,0,0.66737133,Accuracy,Training
3,0,8,0,0.7724798,Accuracy,Validation
4,0,8,0,2.2985935,Loss Bench,Training
5,0,8,0,1.8686585,Loss Bench,Validation
6,0,8,0,0.83164984,Accuracy Bench,Training
7,0,8,0,0.91821563,Accuracy Bench,Validation
8,0,8,0,2.4823546,Loss Bicycle,Training
9,0,8,0,1.7999946,Loss Bicycle,Validation
10,0,8,0,0.6691176,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.4702146,Loss Book,Training
13,0,8,0,2.1255896,Loss Book,Validation
14,0,8,0,0.72183096,Accuracy Book,Training
15,0,8,0,0.8178694,Accuracy Book,Validation
16,0,8,0,2.4474401,Loss Bottle,Training
17,0,8,0,2.0941043,Loss Bottle,Validation
18,0,8,0,0.8041237,Accuracy Bottle,Training
19,0,8,0,1.0,Accuracy Bottle,Validation
20,0,8,0,2.4608886,Loss Bowl,Training
21,0,8,0,2.2757423,Loss Bowl,Validation
22,0,8,0,0.51119405,Accuracy Bowl,Training
23,0,8,0,0.38059703,Accuracy Bowl,Validation
24,0,8,0,2.4760954,Loss Car,Training
25,0,8,0,2.0154517,Loss Car,Validation
26,0,8,0,0.73333335,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.483291,Loss Cellphone,Training
29,0,8,0,1.8961518,Loss Cellphone,Validation
30,0,8,0,0.58633095,Accuracy Cellphone,Training
31,0,8,0,1.0,Accuracy Cellphone,Validation
32,0,8,0,2.5704453,Loss Chair,Training
33,0,8,0,2.3433578,Loss Chair,Validation
34,0,8,0,0.580292,Accuracy Chair,Training
35,0,8,0,0.7750865,Accuracy Chair,Validation
36,0,8,0,2.6706002,Loss Clock,Training
37,0,8,0,2.6076794,Loss Clock,Validation
38,0,8,0,0.6903766,Accuracy Clock,Training
39,0,8,0,0.6173285,Accuracy Clock,Validation
40,0,8,0,2.4693534,Loss Cup,Training
41,0,8,0,2.2398946,Loss Cup,Validation
42,0,8,0,0.7490909,Accuracy Cup,Training
43,0,8,0,0.73417723,Accuracy Cup,Validation
44,0,8,0,2.5485575,Loss Fork,Training
45,0,8,0,2.1920922,Loss Fork,Validation
46,0,8,0,0.64102566,Accuracy Fork,Training
47,0,8,0,1.0,Accuracy Fork,Validation
48,0,8,0,2.5886512,Loss Keyboard,Training
49,0,8,0,2.3970199,Loss Keyboard,Validation
50,0,8,0,0.51301116,Accuracy Keyboard,Training
51,0,8,0,0.0,Accuracy Keyboard,Validation
52,0,8,0,2.519676,Loss Knife,Training
53,0,8,0,2.1928437,Loss Knife,Validation
54,0,8,0,0.6542751,Accuracy Knife,Training
55,0,8,0,0.6019737,Accuracy Knife,Validation
56,0,8,0,2.456678,Loss Laptop,Training
57,0,8,0,2.0235345,Loss Laptop,Validation
58,0,8,0,0.6134752,Accuracy Laptop,Training
59,0,8,0,1.0,Accuracy Laptop,Validation
60,0,8,0,2.3840559,Loss Motorcycle,Training
61,0,8,0,2.0657647,Loss Motorcycle,Validation
62,0,8,0,0.7925926,Accuracy Motorcycle,Training
63,0,8,0,1.0,Accuracy Motorcycle,Validation
64,0,8,0,2.2956185,Loss Mouse,Training
65,0,8,0,1.8441068,Loss Mouse,Validation
66,0,8,0,0.7680251,Accuracy Mouse,Training
67,0,8,0,0.86738354,Accuracy Mouse,Validation
68,0,8,0,2.2374134,Loss Potted_Plant,Training
69,0,8,0,1.8671649,Loss Potted_Plant,Validation
70,0,8,0,0.8715278,Accuracy Potted_Plant,Training
71,0,8,0,1.0,Accuracy Potted_Plant,Validation
72,0,8,0,2.6592243,Loss Remote,Training
73,0,8,0,2.3483248,Loss Remote,Validation
74,0,8,0,0.49146757,Accuracy Remote,Training
75,0,8,0,0.3816794,Accuracy Remote,Validation
76,0,8,0,2.617961,Loss Spoon,Training
77,0,8,0,2.2682388,Loss Spoon,Validation
78,0,8,0,0.5890411,Accuracy Spoon,Training
79,0,8,0,0.60431653,Accuracy Spoon,Validation
80,0,8,0,2.7515538,Loss Sportsball,Training
81,0,8,0,2.7959247,Loss Sportsball,Validation
82,0,8,0,0.63448274,Accuracy Sportsball,Training
83,0,8,0,0.37906137,Accuracy Sportsball,Validation
84,0,8,0,2.493106,Loss Tie,Training
85,0,8,0,2.069659,Loss Tie,Validation
86,0,8,0,0.6530612,Accuracy Tie,Training
87,0,8,0,0.84647304,Accuracy Tie,Validation
88,0,8,0,2.6299715,Loss Trafficlight,Training
89,0,8,0,2.300107,Loss Trafficlight,Validation
90,0,8,0,0.59574467,Accuracy Trafficlight,Training
91,0,8,0,0.9411765,Accuracy Trafficlight,Validation
92,0,8,0,2.6054034,Loss Wineglas,Training
93,0,8,0,2.2013361,Loss Wineglas,Validation
94,0,8,0,0.6544715,Accuracy Wineglas,Training
95,0,8,0,0.9016949,Accuracy Wineglas,Validation
96,0,8,1,1.5350639,Loss,Training
97,0,8,1,1.5159196,Loss,Validation
98,0,8,1,0.9633069,Accuracy,Training
99,0,8,1,0.8769792,Accuracy,Validation
100,0,8,1,1.2039869,Loss Bench,Training
101,0,8,1,1.2421077,Loss Bench,Validation
102,0,8,1,1.0,Accuracy Bench,Training
103,0,8,1,0.924812,Accuracy Bench,Validation
104,0,8,1,1.2829616,Loss Bicycle,Training
105,0,8,1,0.8974859,Loss Bicycle,Validation
106,0,8,1,0.99293286,Accuracy Bicycle,Training
107,0,8,1,1.0,Accuracy Bicycle,Validation
108,0,8,1,1.5192494,Loss Book,Training
109,0,8,1,1.5497823,Loss Book,Validation
110,0,8,1,0.9852941,Accuracy Book,Training
111,0,8,1,0.83450705,Accuracy Book,Validation
112,0,8,1,1.4705236,Loss Bottle,Training
113,0,8,1,1.4989321,Loss Bottle,Validation
114,0,8,1,0.94676805,Accuracy Bottle,Training
115,0,8,1,1.0,Accuracy Bottle,Validation
116,0,8,1,1.3651761,Loss Bowl,Training
117,0,8,1,1.6348988,Loss Bowl,Validation
118,0,8,1,0.9899329,Accuracy Bowl,Training
119,0,8,1,0.8098859,Accuracy Bowl,Validation
120,0,8,1,1.2912265,Loss Car,Training
121,0,8,1,1.1638902,Loss Car,Validation
122,0,8,1,0.9859649,Accuracy Car,Training
123,0,8,1,1.0,Accuracy Car,Validation
124,0,8,1,1.581195,Loss Cellphone,Training
125,0,8,1,1.3059036,Loss Cellphone,Validation
126,0,8,1,0.94520545,Accuracy Cellphone,Training
127,0,8,1,1.0,Accuracy Cellphone,Validation
128,0,8,1,1.609846,Loss Chair,Training
129,0,8,1,1.7383679,Loss Chair,Validation
130,0,8,1,0.98233217,Accuracy Chair,Training
131,0,8,1,0.76567656,Accuracy Chair,Validation
132,0,8,1,1.8765569,Loss Clock,Training
133,0,8,1,1.8620095,Loss Clock,Validation
134,0,8,1,0.9236111,Accuracy Clock,Training
135,0,8,1,1.0,Accuracy Clock,Validation
136,0,8,1,1.6001995,Loss Cup,Training
137,0,8,1,1.7315043,Loss Cup,Validation
138,0,8,1,0.97154474,Accuracy Cup,Training
139,0,8,1,0.5156794,Accuracy Cup,Validation
140,0,8,1,1.6257465,Loss Fork,Training
141,0,8,1,1.5066087,Loss Fork,Validation
142,0,8,1,0.9745455,Accuracy Fork,Training
143,0,8,1,1.0,Accuracy Fork,Validation
144,0,8,1,1.7621454,Loss Keyboard,Training
145,0,8,1,1.835118,Loss Keyboard,Validation
146,0,8,1,0.8888889,Accuracy Keyboard,Training
147,0,8,1,0.72727275,Accuracy Keyboard,Validation
148,0,8,1,1.5625001,Loss Knife,Training
149,0,8,1,1.6600599,Loss Knife,Validation
150,0,8,1,0.971223,Accuracy Knife,Training
151,0,8,1,0.60299623,Accuracy Knife,Validation
152,0,8,1,1.339019,Loss Laptop,Training
153,0,8,1,1.3044152,Loss Laptop,Validation
154,0,8,1,0.9728814,Accuracy Laptop,Training
155,0,8,1,1.0,Accuracy Laptop,Validation
156,0,8,1,1.3045474,Loss Motorcycle,Training
157,0,8,1,1.4345659,Loss Motorcycle,Validation
158,0,8,1,0.99646646,Accuracy Motorcycle,Training
159,0,8,1,1.0,Accuracy Motorcycle,Validation
160,0,8,1,1.209994,Loss Mouse,Training
161,0,8,1,1.164745,Loss Mouse,Validation
162,0,8,1,0.9890511,Accuracy Mouse,Training
163,0,8,1,0.89615387,Accuracy Mouse,Validation
164,0,8,1,1.222685,Loss Potted_Plant,Training
165,0,8,1,1.3299453,Loss Potted_Plant,Validation
166,0,8,1,1.0,Accuracy Potted_Plant,Training
167,0,8,1,1.0,Accuracy Potted_Plant,Validation
168,0,8,1,1.8850716,Loss Remote,Training
169,0,8,1,1.8008718,Loss Remote,Validation
170,0,8,1,0.8561151,Accuracy Remote,Training
171,0,8,1,0.7593985,Accuracy Remote,Validation
172,0,8,1,1.8592316,Loss Spoon,Training
173,0,8,1,1.6522267,Loss Spoon,Validation
174,0,8,1,0.8523985,Accuracy Spoon,Training
175,0,8,1,0.8597786,Accuracy Spoon,Validation
176,0,8,1,1.9871706,Loss Sportsball,Training
177,0,8,1,2.3239796,Loss Sportsball,Validation
178,0,8,1,0.97619045,Accuracy Sportsball,Training
179,0,8,1,0.5949821,Accuracy Sportsball,Validation
180,0,8,1,1.52136,Loss Tie,Training
181,0,8,1,1.305446,Loss Tie,Validation
182,0,8,1,0.97276264,Accuracy Tie,Training
183,0,8,1,0.8793774,Accuracy Tie,Validation
184,0,8,1,1.6002703,Loss Trafficlight,Training
185,0,8,1,1.5853852,Loss Trafficlight,Validation
186,0,8,1,1.0,Accuracy Trafficlight,Training
187,0,8,1,1.0,Accuracy Trafficlight,Validation
188,0,8,1,1.625809,Loss Wineglas,Training
189,0,8,1,1.3378963,Loss Wineglas,Validation
190,0,8,1,0.98194945,Accuracy Wineglas,Training
191,0,8,1,1.0,Accuracy Wineglas,Validation
192,0,8,2,0.96151197,Loss,Training
193,0,8,2,1.1371025,Loss,Validation
194,0,8,2,0.9821453,Accuracy,Training
195,0,8,2,0.89155304,Accuracy,Validation
196,0,8,2,0.63993424,Loss Bench,Training
197,0,8,2,0.97565585,Loss Bench,Validation
198,0,8,2,1.0,Accuracy Bench,Training
199,0,8,2,0.9388489,Accuracy Bench,Validation
200,0,8,2,0.7261992,Loss Bicycle,Training
201,0,8,2,0.52456844,Loss Bicycle,Validation
202,0,8,2,1.0,Accuracy Bicycle,Training
203,0,8,2,1.0,Accuracy Bicycle,Validation
204,0,8,2,0.9707939,Loss Book,Training
205,0,8,2,1.196218,Loss Book,Validation
206,0,8,2,0.9928058,Accuracy Book,Training
207,0,8,2,1.0,Accuracy Book,Validation
208,0,8,2,0.8991026,Loss Bottle,Training
209,0,8,2,1.0374298,Loss Bottle,Validation
210,0,8,2,0.9616725,Accuracy Bottle,Training
211,0,8,2,1.0,Accuracy Bottle,Validation
212,0,8,2,0.8013993,Loss Bowl,Training
213,0,8,2,1.4202313,Loss Bowl,Validation
214,0,8,2,1.0,Accuracy Bowl,Training
215,0,8,2,0.76258993,Accuracy Bowl,Validation
216,0,8,2,0.6614433,Loss Car,Training
217,0,8,2,0.7397093,Loss Car,Validation
218,0,8,2,0.982699,Accuracy Car,Training
219,0,8,2,1.0,Accuracy Car,Validation
220,0,8,2,1.0388335,Loss Cellphone,Training
221,0,8,2,0.90631884,Loss Cellphone,Validation
222,0,8,2,0.99068326,Accuracy Cellphone,Training
223,0,8,2,1.0,Accuracy Cellphone,Validation
224,0,8,2,0.95666516,Loss Chair,Training
225,0,8,2,1.2807055,Loss Chair,Validation
226,0,8,2,1.0,Accuracy Chair,Training
227,0,8,2,0.7938144,Accuracy Chair,Validation
228,0,8,2,1.238729,Loss Clock,Training
229,0,8,2,1.4049691,Loss Clock,Validation
230,0,8,2,0.9859649,Accuracy Clock,Training
231,0,8,2,1.0,Accuracy Clock,Validation
232,0,8,2,1.0266634,Loss Cup,Training
233,0,8,2,1.3432585,Loss Cup,Validation
234,0,8,2,0.98507464,Accuracy Cup,Training
235,0,8,2,0.6710098,Accuracy Cup,Validation
236,0,8,2,1.1110818,Loss Fork,Training
237,0,8,2,1.144919,Loss Fork,Validation
238,0,8,2,0.9925373,Accuracy Fork,Training
239,0,8,2,0.828125,Accuracy Fork,Validation
240,0,8,2,1.2037361,Loss Keyboard,Training
241,0,8,2,1.487669,Loss Keyboard,Validation
242,0,8,2,0.9527559,Accuracy Keyboard,Training
243,0,8,2,0.74131274,Accuracy Keyboard,Validation
244,0,8,2,1.0419114,Loss Knife,Training
245,0,8,2,1.4590073,Loss Knife,Validation
246,0,8,2,0.9694657,Accuracy Knife,Training
247,0,8,2,0.6,Accuracy Knife,Validation
248,0,8,2,0.87039894,Loss Laptop,Training
249,0,8,2,0.89447045,Loss Laptop,Validation
250,0,8,2,0.9368771,Accuracy Laptop,Training
251,0,8,2,1.0,Accuracy Laptop,Validation
252,0,8,2,0.71311444,Loss Motorcycle,Training
253,0,8,2,1.1207427,Loss Motorcycle,Validation
254,0,8,2,1.0,Accuracy Motorcycle,Training
255,0,8,2,1.0,Accuracy Motorcycle,Validation
256,0,8,2,0.6919965,Loss Mouse,Training
257,0,8,2,0.8631083,Loss Mouse,Validation
258,0,8,2,0.9925373,Accuracy Mouse,Training
259,0,8,2,1.0,Accuracy Mouse,Validation
260,0,8,2,0.80505514,Loss Potted_Plant,Training
261,0,8,2,0.96373737,Loss Potted_Plant,Validation
262,0,8,2,1.0,Accuracy Potted_Plant,Training
263,0,8,2,1.0,Accuracy Potted_Plant,Validation
264,0,8,2,1.3664746,Loss Remote,Training
265,0,8,2,1.4681385,Loss Remote,Validation
266,0,8,2,0.8968254,Accuracy Remote,Training
267,0,8,2,0.63957596,Accuracy Remote,Validation
268,0,8,2,1.2699583,Loss Spoon,Training
269,0,8,2,1.2127857,Loss Spoon,Validation
270,0,8,2,0.9598662,Accuracy Spoon,Training
271,0,8,2,0.8712871,Accuracy Spoon,Validation
272,0,8,2,1.3383452,Loss Sportsball,Training
273,0,8,2,1.8085173,Loss Sportsball,Validation
274,0,8,2,0.9931741,Accuracy Sportsball,Training
275,0,8,2,0.75874126,Accuracy Sportsball,Validation
276,0,8,2,0.8812065,Loss Tie,Training
277,0,8,2,0.9861479,Loss Tie,Validation
278,0,8,2,0.99640286,Accuracy Tie,Training
279,0,8,2,0.90041494,Accuracy Tie,Validation
280,0,8,2,0.918362,Loss Trafficlight,Training
281,0,8,2,1.0423282,Loss Trafficlight,Validation
282,0,8,2,1.0,Accuracy Trafficlight,Training
283,0,8,2,1.0,Accuracy Trafficlight,Validation
284,0,8,2,0.94337124,Loss Wineglas,Training
285,0,8,2,0.87272173,Loss Wineglas,Validation
286,0,8,2,1.0,Accuracy Wineglas,Training
287,0,8,2,1.0,Accuracy Wineglas,Validation
288,0,8,3,0.6419785,Loss,Training
289,0,8,3,0.9340592,Loss,Validation
290,0,8,3,0.9902592,Accuracy,Training
291,0,8,3,0.91068244,Accuracy,Validation
292,0,8,3,0.4159609,Loss Bench,Training
293,0,8,3,0.79291797,Loss Bench,Validation
294,0,8,3,1.0,Accuracy Bench,Training
