,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6673446,Loss,Training
1,0,8,0,2.3737552,Loss,Validation
2,0,8,0,0.5433916,Accuracy,Training
3,0,8,0,0.8132549,Accuracy,Validation
4,0,8,0,2.4873478,Loss Bench,Training
5,0,8,0,2.082927,Loss Bench,Validation
6,0,8,0,0.76510066,Accuracy Bench,Training
7,0,8,0,0.9324324,Accuracy Bench,Validation
8,0,8,0,2.7139647,Loss Bicycle,Training
9,0,8,0,2.0140018,Loss Bicycle,Validation
10,0,8,0,0.49242425,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.5708964,Loss Book,Training
13,0,8,0,2.3194978,Loss Book,Validation
14,0,8,0,0.6357143,Accuracy Book,Training
15,0,8,0,0.8611111,Accuracy Book,Validation
16,0,8,0,2.5791333,Loss Bottle,Training
17,0,8,0,2.1940515,Loss Bottle,Validation
18,0,8,0,0.739726,Accuracy Bottle,Training
19,0,8,0,1.0,Accuracy Bottle,Validation
20,0,8,0,2.6495888,Loss Bowl,Training
21,0,8,0,2.5492177,Loss Bowl,Validation
22,0,8,0,0.28,Accuracy Bowl,Training
23,0,8,0,0.34965035,Accuracy Bowl,Validation
24,0,8,0,2.6417131,Loss Car,Training
25,0,8,0,2.2816489,Loss Car,Validation
26,0,8,0,0.6666667,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.724431,Loss Cellphone,Training
29,0,8,0,2.3401742,Loss Cellphone,Validation
30,0,8,0,0.23387097,Accuracy Cellphone,Training
31,0,8,0,0.73376626,Accuracy Cellphone,Validation
32,0,8,0,2.744231,Loss Chair,Training
33,0,8,0,2.7388701,Loss Chair,Validation
34,0,8,0,0.5037037,Accuracy Chair,Training
35,0,8,0,0.62589926,Accuracy Chair,Validation
36,0,8,0,2.7236235,Loss Clock,Training
37,0,8,0,2.516166,Loss Clock,Validation
38,0,8,0,0.5488722,Accuracy Clock,Training
39,0,8,0,0.8867925,Accuracy Clock,Validation
40,0,8,0,2.652555,Loss Cup,Training
41,0,8,0,2.3317301,Loss Cup,Validation
42,0,8,0,0.69863015,Accuracy Cup,Training
43,0,8,0,0.71875,Accuracy Cup,Validation
44,0,8,0,2.6902547,Loss Fork,Training
45,0,8,0,2.3874698,Loss Fork,Validation
46,0,8,0,0.5314685,Accuracy Fork,Training
47,0,8,0,0.9312977,Accuracy Fork,Validation
48,0,8,0,2.6607645,Loss Keyboard,Training
49,0,8,0,2.4547303,Loss Keyboard,Validation
50,0,8,0,0.4834437,Accuracy Keyboard,Training
51,0,8,0,0.89830506,Accuracy Keyboard,Validation
52,0,8,0,2.7018957,Loss Knife,Training
53,0,8,0,2.3530695,Loss Knife,Validation
54,0,8,0,0.44680852,Accuracy Knife,Training
55,0,8,0,0.6484375,Accuracy Knife,Validation
56,0,8,0,2.6670601,Loss Laptop,Training
57,0,8,0,2.241334,Loss Laptop,Validation
58,0,8,0,0.4379562,Accuracy Laptop,Training
59,0,8,0,1.0,Accuracy Laptop,Validation
60,0,8,0,2.627958,Loss Motorcycle,Training
61,0,8,0,2.3349187,Loss Motorcycle,Validation
62,0,8,0,0.64,Accuracy Motorcycle,Training
63,0,8,0,0.7724138,Accuracy Motorcycle,Validation
64,0,8,0,2.4484642,Loss Mouse,Training
65,0,8,0,2.0235934,Loss Mouse,Validation
66,0,8,0,0.7398844,Accuracy Mouse,Training
67,0,8,0,1.0,Accuracy Mouse,Validation
68,0,8,0,2.5148592,Loss Potted_Plant,Training
69,0,8,0,2.2827544,Loss Potted_Plant,Validation
70,0,8,0,0.78518516,Accuracy Potted_Plant,Training
71,0,8,0,1.0,Accuracy Potted_Plant,Validation
72,0,8,0,2.7379115,Loss Remote,Training
73,0,8,0,2.4575043,Loss Remote,Validation
74,0,8,0,0.41333333,Accuracy Remote,Training
75,0,8,0,0.7972028,Accuracy Remote,Validation
76,0,8,0,2.7389705,Loss Spoon,Training
77,0,8,0,2.4335423,Loss Spoon,Validation
78,0,8,0,0.5135135,Accuracy Spoon,Training
79,0,8,0,0.6111111,Accuracy Spoon,Validation
80,0,8,0,2.7691236,Loss Sportsball,Training
81,0,8,0,2.8204944,Loss Sportsball,Validation
82,0,8,0,0.59731543,Accuracy Sportsball,Training
83,0,8,0,0.5460993,Accuracy Sportsball,Validation
84,0,8,0,2.6656923,Loss Tie,Training
85,0,8,0,2.2931192,Loss Tie,Validation
86,0,8,0,0.5503356,Accuracy Tie,Training
87,0,8,0,0.8344827,Accuracy Tie,Validation
88,0,8,0,2.8433175,Loss Trafficlight,Training
89,0,8,0,2.6317651,Loss Trafficlight,Validation
90,0,8,0,0.31617647,Accuracy Trafficlight,Training
91,0,8,0,0.6849315,Accuracy Trafficlight,Validation
92,0,8,0,2.7951646,Loss Wineglas,Training
93,0,8,0,2.513799,Loss Wineglas,Validation
94,0,8,0,0.4778761,Accuracy Wineglas,Training
95,0,8,0,0.87218046,Accuracy Wineglas,Validation
96,0,8,1,1.8890978,Loss,Training
97,0,8,1,1.8335543,Loss,Validation
98,0,8,1,0.92442787,Accuracy,Training
99,0,8,1,0.8810393,Accuracy,Validation
100,0,8,1,1.4741564,Loss Bench,Training
101,0,8,1,1.4231898,Loss Bench,Validation
102,0,8,1,1.0,Accuracy Bench,Training
103,0,8,1,0.9059829,Accuracy Bench,Validation
104,0,8,1,1.7644917,Loss Bicycle,Training
105,0,8,1,1.2892994,Loss Bicycle,Validation
106,0,8,1,0.96850395,Accuracy Bicycle,Training
107,0,8,1,1.0,Accuracy Bicycle,Validation
108,0,8,1,1.8234987,Loss Book,Training
109,0,8,1,1.8483354,Loss Book,Validation
110,0,8,1,0.9935484,Accuracy Book,Training
111,0,8,1,0.9117647,Accuracy Book,Validation
112,0,8,1,1.7841883,Loss Bottle,Training
113,0,8,1,1.7693384,Loss Bottle,Validation
114,0,8,1,0.924812,Accuracy Bottle,Training
115,0,8,1,1.0,Accuracy Bottle,Validation
116,0,8,1,1.8249694,Loss Bowl,Training
117,0,8,1,2.0760646,Loss Bowl,Validation
118,0,8,1,0.87401575,Accuracy Bowl,Training
119,0,8,1,0.38297874,Accuracy Bowl,Validation
120,0,8,1,1.8303415,Loss Car,Training
121,0,8,1,1.5996686,Loss Car,Validation
122,0,8,1,0.9459459,Accuracy Car,Training
123,0,8,1,1.0,Accuracy Car,Validation
124,0,8,1,2.0769267,Loss Cellphone,Training
125,0,8,1,1.6601133,Loss Cellphone,Validation
126,0,8,1,0.6959459,Accuracy Cellphone,Training
127,0,8,1,1.0,Accuracy Cellphone,Validation
128,0,8,1,2.0320601,Loss Chair,Training
129,0,8,1,2.2256913,Loss Chair,Validation
130,0,8,1,0.9127517,Accuracy Chair,Training
131,0,8,1,0.7285714,Accuracy Chair,Validation
132,0,8,1,2.2047396,Loss Clock,Training
133,0,8,1,2.1224542,Loss Clock,Validation
134,0,8,1,0.80451125,Accuracy Clock,Training
135,0,8,1,1.0,Accuracy Clock,Validation
136,0,8,1,1.8496474,Loss Cup,Training
137,0,8,1,1.7685738,Loss Cup,Validation
138,0,8,1,0.97530866,Accuracy Cup,Training
139,0,8,1,0.95454544,Accuracy Cup,Validation
140,0,8,1,1.8997097,Loss Fork,Training
141,0,8,1,1.7929597,Loss Fork,Validation
142,0,8,1,0.96794873,Accuracy Fork,Training
143,0,8,1,1.0,Accuracy Fork,Validation
144,0,8,1,1.8935852,Loss Keyboard,Training
145,0,8,1,2.081838,Loss Keyboard,Validation
146,0,8,1,0.9513889,Accuracy Keyboard,Training
