,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.0039735,Loss,Training
1,0,8,0,3.5647922,Loss,Validation
2,0,8,0,0.22002749,Accuracy,Training
3,0,8,0,0.42765334,Accuracy,Validation
4,0,8,0,2.892725,Loss Bench,Training
5,0,8,0,2.7904494,Loss Bench,Validation
6,0,8,0,0.37373737,Accuracy Bench,Training
7,0,8,0,0.7992565,Accuracy Bench,Validation
8,0,8,0,2.9460042,Loss Bicycle,Training
9,0,8,0,2.795762,Loss Bicycle,Validation
10,0,8,0,0.26838234,Accuracy Bicycle,Training
11,0,8,0,0.9465649,Accuracy Bicycle,Validation
12,0,8,0,2.9492633,Loss Book,Training
13,0,8,0,4.3187275,Loss Book,Validation
14,0,8,0,0.22183098,Accuracy Book,Training
15,0,8,0,0.47766322,Accuracy Book,Validation
16,0,8,0,2.951873,Loss Bottle,Training
17,0,8,0,3.5870564,Loss Bottle,Validation
18,0,8,0,0.2371134,Accuracy Bottle,Training
19,0,8,0,0.3655914,Accuracy Bottle,Validation
20,0,8,0,3.1270263,Loss Bowl,Training
21,0,8,0,3.166349,Loss Bowl,Validation
22,0,8,0,0.026119404,Accuracy Bowl,Training
23,0,8,0,0.26865673,Accuracy Bowl,Validation
24,0,8,0,3.0024092,Loss Car,Training
25,0,8,0,2.7570593,Loss Car,Validation
26,0,8,0,0.21568628,Accuracy Car,Training
27,0,8,0,0.6806084,Accuracy Car,Validation
28,0,8,0,2.9257083,Loss Cellphone,Training
29,0,8,0,2.8390796,Loss Cellphone,Validation
30,0,8,0,0.37410071,Accuracy Cellphone,Training
31,0,8,0,0.95075756,Accuracy Cellphone,Validation
32,0,8,0,2.9621465,Loss Chair,Training
33,0,8,0,3.7042139,Loss Chair,Validation
34,0,8,0,0.229927,Accuracy Chair,Training
35,0,8,0,0.121107265,Accuracy Chair,Validation
36,0,8,0,3.0511458,Loss Clock,Training
37,0,8,0,4.3024898,Loss Clock,Validation
38,0,8,0,0.23430963,Accuracy Clock,Training
39,0,8,0,0.16606498,Accuracy Clock,Validation
40,0,8,0,2.96517,Loss Cup,Training
41,0,8,0,3.8692055,Loss Cup,Validation
42,0,8,0,0.2581818,Accuracy Cup,Training
43,0,8,0,0.62025315,Accuracy Cup,Validation
44,0,8,0,3.041604,Loss Fork,Training
45,0,8,0,2.8897095,Loss Fork,Validation
46,0,8,0,0.16117217,Accuracy Fork,Training
47,0,8,0,0.8815789,Accuracy Fork,Validation
48,0,8,0,2.9783924,Loss Keyboard,Training
49,0,8,0,2.72034,Loss Keyboard,Validation
50,0,8,0,0.21933086,Accuracy Keyboard,Training
51,0,8,0,0.18374558,Accuracy Keyboard,Validation
52,0,8,0,3.0756192,Loss Knife,Training
53,0,8,0,9.233518,Loss Knife,Validation
54,0,8,0,0.12639405,Accuracy Knife,Training
55,0,8,0,0.14802632,Accuracy Knife,Validation
56,0,8,0,2.9963481,Loss Laptop,Training
57,0,8,0,3.1941974,Loss Laptop,Validation
58,0,8,0,0.20567375,Accuracy Laptop,Training
59,0,8,0,0.08846154,Accuracy Laptop,Validation
60,0,8,0,3.0682635,Loss Motorcycle,Training
61,0,8,0,2.8280268,Loss Motorcycle,Validation
62,0,8,0,0.14444445,Accuracy Motorcycle,Training
63,0,8,0,0.20065789,Accuracy Motorcycle,Validation
64,0,8,0,3.0008545,Loss Mouse,Training
65,0,8,0,2.825577,Loss Mouse,Validation
66,0,8,0,0.24451411,Accuracy Mouse,Training
67,0,8,0,0.5842294,Accuracy Mouse,Validation
68,0,8,0,2.9366853,Loss Potted_Plant,Training
69,0,8,0,2.8910139,Loss Potted_Plant,Validation
70,0,8,0,0.2638889,Accuracy Potted_Plant,Training
71,0,8,0,0.675,Accuracy Potted_Plant,Validation
72,0,8,0,2.9753046,Loss Remote,Training
73,0,8,0,3.491107,Loss Remote,Validation
74,0,8,0,0.22525597,Accuracy Remote,Training
75,0,8,0,0.003816794,Accuracy Remote,Validation
76,0,8,0,3.0314238,Loss Spoon,Training
77,0,8,0,3.3232362,Loss Spoon,Validation
78,0,8,0,0.25342464,Accuracy Spoon,Training
79,0,8,0,0.13309352,Accuracy Spoon,Validation
80,0,8,0,3.0749211,Loss Sportsball,Training
81,0,8,0,3.9036045,Loss Sportsball,Validation
82,0,8,0,0.089655176,Accuracy Sportsball,Training
83,0,8,0,0.14801444,Accuracy Sportsball,Validation
84,0,8,0,2.9636576,Loss Tie,Training
85,0,8,0,2.87187,Loss Tie,Validation
86,0,8,0,0.28911564,Accuracy Tie,Training
87,0,8,0,0.55186725,Accuracy Tie,Validation
