,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.5190704,Loss,Training
1,0,8,0,2.1628473,Loss,Validation
2,0,8,0,0.65667903,Accuracy,Training
3,0,8,0,0.77825415,Accuracy,Validation
4,0,8,0,2.3560648,Loss Bench,Training
5,0,8,0,1.8869306,Loss Bench,Validation
6,0,8,0,0.76430976,Accuracy Bench,Training
7,0,8,0,0.91821563,Accuracy Bench,Validation
8,0,8,0,2.5140736,Loss Bicycle,Training
9,0,8,0,1.8161349,Loss Bicycle,Validation
10,0,8,0,0.66544116,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.4487257,Loss Book,Training
13,0,8,0,2.09999,Loss Book,Validation
14,0,8,0,0.7253521,Accuracy Book,Training
15,0,8,0,0.8178694,Accuracy Book,Validation
16,0,8,0,2.426253,Loss Bottle,Training
17,0,8,0,2.0625927,Loss Bottle,Validation
18,0,8,0,0.79037803,Accuracy Bottle,Training
19,0,8,0,1.0,Accuracy Bottle,Validation
20,0,8,0,2.4871688,Loss Bowl,Training
21,0,8,0,2.2511673,Loss Bowl,Validation
22,0,8,0,0.48507464,Accuracy Bowl,Training
23,0,8,0,0.38059703,Accuracy Bowl,Validation
24,0,8,0,2.5040715,Loss Car,Training
25,0,8,0,2.0455477,Loss Car,Validation
26,0,8,0,0.7137255,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.486472,Loss Cellphone,Training
29,0,8,0,1.8936429,Loss Cellphone,Validation
30,0,8,0,0.5647482,Accuracy Cellphone,Training
31,0,8,0,1.0,Accuracy Cellphone,Validation
32,0,8,0,2.546674,Loss Chair,Training
33,0,8,0,2.2970047,Loss Chair,Validation
34,0,8,0,0.5985401,Accuracy Chair,Training
35,0,8,0,0.7750865,Accuracy Chair,Validation
36,0,8,0,2.6900787,Loss Clock,Training
37,0,8,0,2.5986917,Loss Clock,Validation
38,0,8,0,0.66945606,Accuracy Clock,Training
39,0,8,0,0.6173285,Accuracy Clock,Validation
40,0,8,0,2.4686575,Loss Cup,Training
41,0,8,0,2.2282355,Loss Cup,Validation
42,0,8,0,0.74545455,Accuracy Cup,Training
43,0,8,0,0.73417723,Accuracy Cup,Validation
44,0,8,0,2.5897174,Loss Fork,Training
45,0,8,0,2.1793032,Loss Fork,Validation
46,0,8,0,0.5677656,Accuracy Fork,Training
47,0,8,0,1.0,Accuracy Fork,Validation
48,0,8,0,2.6207244,Loss Keyboard,Training
49,0,8,0,2.40553,Loss Keyboard,Validation
50,0,8,0,0.5055762,Accuracy Keyboard,Training
51,0,8,0,0.0,Accuracy Keyboard,Validation
52,0,8,0,2.5448303,Loss Knife,Training
53,0,8,0,2.1626256,Loss Knife,Validation
