,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6852589,Loss,Training
1,0,8,0,2.3910792,Loss,Validation
2,0,8,0,0.54124445,Accuracy,Training
3,0,8,0,0.84545875,Accuracy,Validation
4,0,8,0,2.5617902,Loss Bench,Training
5,0,8,0,2.1619422,Loss Bench,Validation
6,0,8,0,0.6375839,Accuracy Bench,Training
7,0,8,0,0.9324324,Accuracy Bench,Validation
8,0,8,0,2.7128155,Loss Bicycle,Training
9,0,8,0,2.0305297,Loss Bicycle,Validation
10,0,8,0,0.530303,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.5973618,Loss Book,Training
13,0,8,0,2.329549,Loss Book,Validation
14,0,8,0,0.60714287,Accuracy Book,Training
15,0,8,0,0.8611111,Accuracy Book,Validation
16,0,8,0,2.6212897,Loss Bottle,Training
17,0,8,0,2.2334847,Loss Bottle,Validation
18,0,8,0,0.739726,Accuracy Bottle,Training
19,0,8,0,1.0,Accuracy Bottle,Validation
20,0,8,0,2.7176712,Loss Bowl,Training
21,0,8,0,2.5635781,Loss Bowl,Validation
22,0,8,0,0.248,Accuracy Bowl,Training
23,0,8,0,0.34965035,Accuracy Bowl,Validation
24,0,8,0,2.680313,Loss Car,Training
25,0,8,0,2.3244767,Loss Car,Validation
26,0,8,0,0.65833336,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.7393327,Loss Cellphone,Training
29,0,8,0,2.3406162,Loss Cellphone,Validation
30,0,8,0,0.24193548,Accuracy Cellphone,Training
31,0,8,0,0.73376626,Accuracy Cellphone,Validation
32,0,8,0,2.7230918,Loss Chair,Training
33,0,8,0,2.718507,Loss Chair,Validation
34,0,8,0,0.5185185,Accuracy Chair,Training
35,0,8,0,0.62589926,Accuracy Chair,Validation
36,0,8,0,2.7477264,Loss Clock,Training
37,0,8,0,2.5331976,Loss Clock,Validation
38,0,8,0,0.5864662,Accuracy Clock,Training
39,0,8,0,0.8867925,Accuracy Clock,Validation
40,0,8,0,2.6573935,Loss Cup,Training
41,0,8,0,2.3313205,Loss Cup,Validation
42,0,8,0,0.65068495,Accuracy Cup,Training
43,0,8,0,0.890625,Accuracy Cup,Validation
44,0,8,0,2.7723038,Loss Fork,Training
45,0,8,0,2.3824832,Loss Fork,Validation
46,0,8,0,0.44055945,Accuracy Fork,Training
47,0,8,0,0.9312977,Accuracy Fork,Validation
48,0,8,0,2.660265,Loss Keyboard,Training
49,0,8,0,2.4798985,Loss Keyboard,Validation
50,0,8,0,0.4834437,Accuracy Keyboard,Training
51,0,8,0,0.89830506,Accuracy Keyboard,Validation
52,0,8,0,2.6961915,Loss Knife,Training
53,0,8,0,2.3203604,Loss Knife,Validation
54,0,8,0,0.4964539,Accuracy Knife,Training
55,0,8,0,0.8515625,Accuracy Knife,Validation
56,0,8,0,2.6674998,Loss Laptop,Training
57,0,8,0,2.253276,Loss Laptop,Validation
58,0,8,0,0.48175183,Accuracy Laptop,Training
59,0,8,0,1.0,Accuracy Laptop,Validation
60,0,8,0,2.6441739,Loss Motorcycle,Training
61,0,8,0,2.399783,Loss Motorcycle,Validation
62,0,8,0,0.688,Accuracy Motorcycle,Training
63,0,8,0,0.8965517,Accuracy Motorcycle,Validation
64,0,8,0,2.448135,Loss Mouse,Training
65,0,8,0,2.0564075,Loss Mouse,Validation
66,0,8,0,0.7456647,Accuracy Mouse,Training
67,0,8,0,1.0,Accuracy Mouse,Validation
68,0,8,0,2.5354743,Loss Potted_Plant,Training
69,0,8,0,2.273967,Loss Potted_Plant,Validation
70,0,8,0,0.7407407,Accuracy Potted_Plant,Training
71,0,8,0,1.0,Accuracy Potted_Plant,Validation
72,0,8,0,2.736459,Loss Remote,Training
73,0,8,0,2.4680417,Loss Remote,Validation
74,0,8,0,0.41333333,Accuracy Remote,Training
75,0,8,0,0.90909094,Accuracy Remote,Validation
76,0,8,0,2.710644,Loss Spoon,Training
77,0,8,0,2.44608,Loss Spoon,Validation
78,0,8,0,0.6013514,Accuracy Spoon,Training
79,0,8,0,0.5763889,Accuracy Spoon,Validation
80,0,8,0,2.8033502,Loss Sportsball,Training
81,0,8,0,2.8500874,Loss Sportsball,Validation
82,0,8,0,0.5704698,Accuracy Sportsball,Training
83,0,8,0,0.5460993,Accuracy Sportsball,Validation
