,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.67477,Loss,Training
1,0,2,0,2.738129,Loss,Validation
2,0,2,0,0.53606904,Accuracy,Training
3,0,2,0,0.3088023,Accuracy,Validation
4,0,2,0,2.6572564,Loss Attention_Zone_Sign,Training
5,0,2,0,2.9211404,Loss Attention_Zone_Sign,Validation
6,0,2,0,0.5694444,Accuracy Attention_Zone_Sign,Training
7,0,2,0,0.23809524,Accuracy Attention_Zone_Sign,Validation
8,0,2,0,2.7139022,Loss End_Of_Restriction_Sign,Training
9,0,2,0,2.676426,Loss End_Of_Restriction_Sign,Validation
10,0,2,0,0.525641,Accuracy End_Of_Restriction_Sign,Training
11,0,2,0,0.5869565,Accuracy End_Of_Restriction_Sign,Validation
12,0,2,0,2.876248,Loss Give_Way_Sign,Training
13,0,2,0,3.0434785,Loss Give_Way_Sign,Validation
14,0,2,0,0.18699187,Accuracy Give_Way_Sign,Training
15,0,2,0,0.0,Accuracy Give_Way_Sign,Validation
16,0,2,0,2.6824274,Loss Highway_Exit_In_100M_Sign,Training
17,0,2,0,2.5084279,Loss Highway_Exit_In_100M_Sign,Validation
18,0,2,0,0.5,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,2,0,0.50666666,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,2,0,2.7283802,Loss Highway_Exit_In_200M_Sign,Training
21,0,2,0,2.810603,Loss Highway_Exit_In_200M_Sign,Validation
22,0,2,0,0.3642857,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,2,0,0.19871795,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,2,0,2.5250385,Loss Highway_Exit_In_300M_Sign,Training
25,0,2,0,2.5294633,Loss Highway_Exit_In_300M_Sign,Validation
26,0,2,0,0.863354,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,2,0,0.6126761,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,2,0,2.556364,Loss Highway_Exit_Sign,Training
29,0,2,0,2.4093468,Loss Highway_Exit_Sign,Validation
30,0,2,0,0.5779221,Accuracy Highway_Exit_Sign,Training
31,0,2,0,1.0,Accuracy Highway_Exit_Sign,Validation
32,0,2,0,2.7778053,Loss Mandatory_Direction_Sign,Training
33,0,2,0,2.8169825,Loss Mandatory_Direction_Sign,Validation
34,0,2,0,0.4275862,Accuracy Mandatory_Direction_Sign,Training
35,0,2,0,0.09219858,Accuracy Mandatory_Direction_Sign,Validation
36,0,2,0,2.5424185,Loss No_Entry_Sign,Training
37,0,2,0,2.5507593,Loss No_Entry_Sign,Validation
38,0,2,0,0.6923077,Accuracy No_Entry_Sign,Training
39,0,2,0,0.18705036,Accuracy No_Entry_Sign,Validation
40,0,2,0,2.6458828,Loss No_Overtaking_Sign,Training
41,0,2,0,2.4668317,Loss No_Overtaking_Sign,Validation
42,0,2,0,0.67261904,Accuracy No_Overtaking_Sign,Training
43,0,2,0,1.0,Accuracy No_Overtaking_Sign,Validation
44,0,2,0,2.7361877,Loss No_Parking_Sign,Training
45,0,2,0,2.8235054,Loss No_Parking_Sign,Validation
46,0,2,0,0.54658383,Accuracy No_Parking_Sign,Training
47,0,2,0,0.0,Accuracy No_Parking_Sign,Validation
48,0,2,0,2.5872114,Loss Parking_Sign,Training
49,0,2,0,2.831866,Loss Parking_Sign,Validation
50,0,2,0,0.6597222,Accuracy Parking_Sign,Training
51,0,2,0,0.08974359,Accuracy Parking_Sign,Validation
52,0,2,0,2.4912238,Loss Pedestrian_Zone_Sign,Training
53,0,2,0,2.176147,Loss Pedestrian_Zone_Sign,Validation
54,0,2,0,0.6904762,Accuracy Pedestrian_Zone_Sign,Training
55,0,2,0,0.88125,Accuracy Pedestrian_Zone_Sign,Validation
56,0,2,0,2.6075923,Loss Priority_Road_Sign,Training
57,0,2,0,2.8185034,Loss Priority_Road_Sign,Validation
58,0,2,0,0.71153843,Accuracy Priority_Road_Sign,Training
59,0,2,0,0.3112583,Accuracy Priority_Road_Sign,Validation
60,0,2,0,2.7916338,Loss Slippery_Road_Sign,Training
61,0,2,0,3.0292718,Loss Slippery_Road_Sign,Validation
62,0,2,0,0.36129034,Accuracy Slippery_Road_Sign,Training
63,0,2,0,0.0,Accuracy Slippery_Road_Sign,Validation
64,0,2,0,2.8205118,Loss Speed_Limit_30_Sign,Training
65,0,2,0,2.7421052,Loss Speed_Limit_30_Sign,Validation
66,0,2,0,0.25531915,Accuracy Speed_Limit_30_Sign,Training
67,0,2,0,0.114503816,Accuracy Speed_Limit_30_Sign,Validation
68,0,2,0,2.8203464,Loss Speed_Limit_80_Sign,Training
69,0,2,0,2.7543907,Loss Speed_Limit_80_Sign,Validation
70,0,2,0,0.23841059,Accuracy Speed_Limit_80_Sign,Training
71,0,2,0,0.10285714,Accuracy Speed_Limit_80_Sign,Validation
72,0,2,0,2.7286685,Loss Speed_Limit_100_Sign,Training
73,0,2,0,3.0625253,Loss Speed_Limit_100_Sign,Validation
74,0,2,0,0.48591548,Accuracy Speed_Limit_100_Sign,Training
75,0,2,0,0.0,Accuracy Speed_Limit_100_Sign,Validation
76,0,2,0,2.610288,Loss Speed_Limit_120_Sign,Training
77,0,2,0,2.8527558,Loss Speed_Limit_120_Sign,Validation
78,0,2,0,0.67597765,Accuracy Speed_Limit_120_Sign,Training
79,0,2,0,0.21556886,Accuracy Speed_Limit_120_Sign,Validation
80,0,2,0,2.7354681,Loss Traffic_Banned_Sign,Training
81,0,2,0,2.9702513,Loss Traffic_Banned_Sign,Validation
82,0,2,0,0.50359714,Accuracy Traffic_Banned_Sign,Training
83,0,2,0,0.0,Accuracy Traffic_Banned_Sign,Validation
84,0,2,0,2.5353189,Loss Work_Zone_Sign,Training
85,0,2,0,2.7059166,Loss Work_Zone_Sign,Validation
86,0,2,0,0.74846625,Accuracy Work_Zone_Sign,Training
87,0,2,0,0.3473054,Accuracy Work_Zone_Sign,Validation
88,0,2,1,2.01602,Loss,Training
89,0,2,1,2.4714403,Loss,Validation
90,0,2,1,0.9496349,Accuracy,Training
91,0,2,1,0.38709205,Accuracy,Validation
92,0,2,1,2.0214546,Loss Attention_Zone_Sign,Training
93,0,2,1,2.812062,Loss Attention_Zone_Sign,Validation
94,0,2,1,0.99319726,Accuracy Attention_Zone_Sign,Training
95,0,2,1,0.4178082,Accuracy Attention_Zone_Sign,Validation
96,0,2,1,2.0094373,Loss End_Of_Restriction_Sign,Training
97,0,2,1,2.5915139,Loss End_Of_Restriction_Sign,Validation
98,0,2,1,0.9848485,Accuracy End_Of_Restriction_Sign,Training
99,0,2,1,0.47530866,Accuracy End_Of_Restriction_Sign,Validation
100,0,2,1,2.2389095,Loss Give_Way_Sign,Training
101,0,2,1,2.694298,Loss Give_Way_Sign,Validation
102,0,2,1,0.9150327,Accuracy Give_Way_Sign,Training
103,0,2,1,0.22929937,Accuracy Give_Way_Sign,Validation
104,0,2,1,2.0517075,Loss Highway_Exit_In_100M_Sign,Training
105,0,2,1,2.267507,Loss Highway_Exit_In_100M_Sign,Validation
106,0,2,1,0.94736844,Accuracy Highway_Exit_In_100M_Sign,Training
107,0,2,1,0.43283582,Accuracy Highway_Exit_In_100M_Sign,Validation
108,0,2,1,1.9802889,Loss Highway_Exit_In_200M_Sign,Training
109,0,2,1,2.443167,Loss Highway_Exit_In_200M_Sign,Validation
110,0,2,1,0.9480519,Accuracy Highway_Exit_In_200M_Sign,Training
111,0,2,1,0.24698795,Accuracy Highway_Exit_In_200M_Sign,Validation
112,0,2,1,1.9670049,Loss Highway_Exit_In_300M_Sign,Training
113,0,2,1,2.3013034,Loss Highway_Exit_In_300M_Sign,Validation
114,0,2,1,0.99264705,Accuracy Highway_Exit_In_300M_Sign,Training
115,0,2,1,0.33540374,Accuracy Highway_Exit_In_300M_Sign,Validation
116,0,2,1,1.8821818,Loss Highway_Exit_Sign,Training
117,0,2,1,1.9673171,Loss Highway_Exit_Sign,Validation
118,0,2,1,1.0,Accuracy Highway_Exit_Sign,Training
119,0,2,1,1.0,Accuracy Highway_Exit_Sign,Validation
120,0,2,1,2.1276066,Loss Mandatory_Direction_Sign,Training
121,0,2,1,2.454179,Loss Mandatory_Direction_Sign,Validation
122,0,2,1,0.94512194,Accuracy Mandatory_Direction_Sign,Training
123,0,2,1,0.5802469,Accuracy Mandatory_Direction_Sign,Validation
124,0,2,1,1.5572791,Loss No_Entry_Sign,Training
125,0,2,1,2.1427748,Loss No_Entry_Sign,Validation
126,0,2,1,0.99390244,Accuracy No_Entry_Sign,Training
127,0,2,1,0.5411765,Accuracy No_Entry_Sign,Validation
128,0,2,1,2.0845678,Loss No_Overtaking_Sign,Training
129,0,2,1,2.154794,Loss No_Overtaking_Sign,Validation
130,0,2,1,1.0,Accuracy No_Overtaking_Sign,Training
131,0,2,1,1.0,Accuracy No_Overtaking_Sign,Validation
132,0,2,1,2.1301441,Loss No_Parking_Sign,Training
133,0,2,1,2.6937547,Loss No_Parking_Sign,Validation
134,0,2,1,1.0,Accuracy No_Parking_Sign,Training
135,0,2,1,0.0,Accuracy No_Parking_Sign,Validation
136,0,2,1,1.932671,Loss Parking_Sign,Training
137,0,2,1,2.598045,Loss Parking_Sign,Validation
138,0,2,1,0.98717946,Accuracy Parking_Sign,Training
139,0,2,1,0.06716418,Accuracy Parking_Sign,Validation
140,0,2,1,1.6527177,Loss Pedestrian_Zone_Sign,Training
141,0,2,1,1.8065614,Loss Pedestrian_Zone_Sign,Validation
142,0,2,1,1.0,Accuracy Pedestrian_Zone_Sign,Training
143,0,2,1,0.875,Accuracy Pedestrian_Zone_Sign,Validation
144,0,2,1,1.8050339,Loss Priority_Road_Sign,Training
145,0,2,1,2.5387375,Loss Priority_Road_Sign,Validation
146,0,2,1,1.0,Accuracy Priority_Road_Sign,Training
147,0,2,1,0.52380955,Accuracy Priority_Road_Sign,Validation
148,0,2,1,2.2138195,Loss Slippery_Road_Sign,Training
149,0,2,1,2.7364292,Loss Slippery_Road_Sign,Validation
150,0,2,1,0.95862067,Accuracy Slippery_Road_Sign,Training
151,0,2,1,0.0,Accuracy Slippery_Road_Sign,Validation
152,0,2,1,2.2155936,Loss Speed_Limit_30_Sign,Training
153,0,2,1,2.3423872,Loss Speed_Limit_30_Sign,Validation
154,0,2,1,0.8719512,Accuracy Speed_Limit_30_Sign,Training
155,0,2,1,0.39455783,Accuracy Speed_Limit_30_Sign,Validation
156,0,2,1,2.2237206,Loss Speed_Limit_80_Sign,Training
157,0,2,1,2.437284,Loss Speed_Limit_80_Sign,Validation
158,0,2,1,0.78145695,Accuracy Speed_Limit_80_Sign,Training
159,0,2,1,0.32214764,Accuracy Speed_Limit_80_Sign,Validation
160,0,2,1,2.0813103,Loss Speed_Limit_100_Sign,Training
161,0,2,1,2.9478695,Loss Speed_Limit_100_Sign,Validation
162,0,2,1,0.91333336,Accuracy Speed_Limit_100_Sign,Training
163,0,2,1,0.0,Accuracy Speed_Limit_100_Sign,Validation
164,0,2,1,2.0008218,Loss Speed_Limit_120_Sign,Training
165,0,2,1,2.8339856,Loss Speed_Limit_120_Sign,Validation
