,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.7302318,Loss,Training
1,0,2,0,2.761336,Loss,Validation
2,0,2,0,0.4822054,Accuracy,Training
3,0,2,0,0.26686883,Accuracy,Validation
4,0,2,0,2.7462204,Loss Attention_Zone_Sign,Training
5,0,2,0,2.8911297,Loss Attention_Zone_Sign,Validation
6,0,2,0,0.51111114,Accuracy Attention_Zone_Sign,Training
7,0,2,0,0.25342464,Accuracy Attention_Zone_Sign,Validation
8,0,2,0,2.5479572,Loss End_Of_Restriction_Sign,Training
9,0,2,0,2.6626737,Loss End_Of_Restriction_Sign,Validation
10,0,2,0,0.7379679,Accuracy End_Of_Restriction_Sign,Training
11,0,2,0,0.5133333,Accuracy End_Of_Restriction_Sign,Validation
12,0,2,0,2.876263,Loss Give_Way_Sign,Training
13,0,2,0,2.980474,Loss Give_Way_Sign,Validation
14,0,2,0,0.27972028,Accuracy Give_Way_Sign,Training
15,0,2,0,0.0,Accuracy Give_Way_Sign,Validation
16,0,2,0,2.6363797,Loss Highway_Exit_In_100M_Sign,Training
17,0,2,0,2.5544953,Loss Highway_Exit_In_100M_Sign,Validation
18,0,2,0,0.6981132,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,2,0,0.33136094,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,2,0,2.608784,Loss Highway_Exit_In_200M_Sign,Training
21,0,2,0,2.7068737,Loss Highway_Exit_In_200M_Sign,Validation
22,0,2,0,0.6168831,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,2,0,0.2012987,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,2,0,2.6354997,Loss Highway_Exit_In_300M_Sign,Training
25,0,2,0,2.4481473,Loss Highway_Exit_In_300M_Sign,Validation
26,0,2,0,0.5433526,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,2,0,0.4878049,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,2,0,2.8334901,Loss Highway_Exit_Sign,Training
29,0,2,0,2.6423252,Loss Highway_Exit_Sign,Validation
30,0,2,0,0.33576643,Accuracy Highway_Exit_Sign,Training
31,0,2,0,0.58278143,Accuracy Highway_Exit_Sign,Validation
32,0,2,0,2.8414404,Loss Mandatory_Direction_Sign,Training
33,0,2,0,2.850026,Loss Mandatory_Direction_Sign,Validation
34,0,2,0,0.2837838,Accuracy Mandatory_Direction_Sign,Training
35,0,2,0,0.07092199,Accuracy Mandatory_Direction_Sign,Validation
36,0,2,0,2.3562217,Loss No_Entry_Sign,Training
37,0,2,0,2.4522092,Loss No_Entry_Sign,Validation
38,0,2,0,0.94409937,Accuracy No_Entry_Sign,Training
39,0,2,0,0.8255814,Accuracy No_Entry_Sign,Validation
40,0,2,0,2.7483625,Loss No_Overtaking_Sign,Training
41,0,2,0,2.5048206,Loss No_Overtaking_Sign,Validation
42,0,2,0,0.4620253,Accuracy No_Overtaking_Sign,Training
43,0,2,0,0.84827584,Accuracy No_Overtaking_Sign,Validation
44,0,2,0,2.900121,Loss No_Parking_Sign,Training
45,0,2,0,2.9971638,Loss No_Parking_Sign,Validation
46,0,2,0,0.25949368,Accuracy No_Parking_Sign,Training
47,0,2,0,0.0,Accuracy No_Parking_Sign,Validation
48,0,2,0,2.6946943,Loss Parking_Sign,Training
49,0,2,0,2.8689685,Loss Parking_Sign,Validation
50,0,2,0,0.48502994,Accuracy Parking_Sign,Training
51,0,2,0,0.05479452,Accuracy Parking_Sign,Validation
52,0,2,0,2.6043317,Loss Pedestrian_Zone_Sign,Training
53,0,2,0,2.51338,Loss Pedestrian_Zone_Sign,Validation
54,0,2,0,0.57251906,Accuracy Pedestrian_Zone_Sign,Training
55,0,2,0,0.19148937,Accuracy Pedestrian_Zone_Sign,Validation
56,0,2,0,2.8917084,Loss Priority_Road_Sign,Training
57,0,2,0,2.9884212,Loss Priority_Road_Sign,Validation
58,0,2,0,0.2857143,Accuracy Priority_Road_Sign,Training
59,0,2,0,0.105960265,Accuracy Priority_Road_Sign,Validation
60,0,2,0,2.740906,Loss Slippery_Road_Sign,Training
61,0,2,0,2.83671,Loss Slippery_Road_Sign,Validation
62,0,2,0,0.53205127,Accuracy Slippery_Road_Sign,Training
63,0,2,0,0.0,Accuracy Slippery_Road_Sign,Validation
64,0,2,0,2.8383124,Loss Speed_Limit_30_Sign,Training
65,0,2,0,2.7412715,Loss Speed_Limit_30_Sign,Validation
66,0,2,0,0.30718955,Accuracy Speed_Limit_30_Sign,Training
67,0,2,0,0.4097222,Accuracy Speed_Limit_30_Sign,Validation
68,0,2,0,2.7999575,Loss Speed_Limit_80_Sign,Training
69,0,2,0,2.7192905,Loss Speed_Limit_80_Sign,Validation
70,0,2,0,0.41875,Accuracy Speed_Limit_80_Sign,Training
71,0,2,0,0.0890411,Accuracy Speed_Limit_80_Sign,Validation
72,0,2,0,2.81804,Loss Speed_Limit_100_Sign,Training
73,0,2,0,3.106665,Loss Speed_Limit_100_Sign,Validation
74,0,2,0,0.38405797,Accuracy Speed_Limit_100_Sign,Training
75,0,2,0,0.0,Accuracy Speed_Limit_100_Sign,Validation
76,0,2,0,2.70201,Loss Speed_Limit_120_Sign,Training
77,0,2,0,2.741768,Loss Speed_Limit_120_Sign,Validation
78,0,2,0,0.52873564,Accuracy Speed_Limit_120_Sign,Training
79,0,2,0,0.23178808,Accuracy Speed_Limit_120_Sign,Validation
80,0,2,0,2.8221946,Loss Traffic_Banned_Sign,Training
81,0,2,0,3.078332,Loss Traffic_Banned_Sign,Validation
82,0,2,0,0.31578946,Accuracy Traffic_Banned_Sign,Training
83,0,2,0,0.0,Accuracy Traffic_Banned_Sign,Validation
84,0,2,0,2.6919708,Loss Work_Zone_Sign,Training
85,0,2,0,2.7029066,Loss Work_Zone_Sign,Validation
86,0,2,0,0.62416106,Accuracy Work_Zone_Sign,Training
87,0,2,0,0.40666667,Accuracy Work_Zone_Sign,Validation
88,0,2,1,2.1350071,Loss,Training
89,0,2,1,2.4940994,Loss,Validation
90,0,2,1,0.91352344,Accuracy,Training
91,0,2,1,0.37181014,Accuracy,Validation
92,0,2,1,2.2036228,Loss Attention_Zone_Sign,Training
93,0,2,1,2.6306412,Loss Attention_Zone_Sign,Validation
94,0,2,1,0.9261745,Accuracy Attention_Zone_Sign,Training
95,0,2,1,0.48125,Accuracy Attention_Zone_Sign,Validation
96,0,2,1,1.9663997,Loss End_Of_Restriction_Sign,Training
97,0,2,1,2.4825766,Loss End_Of_Restriction_Sign,Validation
98,0,2,1,0.9444444,Accuracy End_Of_Restriction_Sign,Training
99,0,2,1,0.62666667,Accuracy End_Of_Restriction_Sign,Validation
100,0,2,1,2.2858164,Loss Give_Way_Sign,Training
101,0,2,1,2.6717803,Loss Give_Way_Sign,Validation
102,0,2,1,0.94630873,Accuracy Give_Way_Sign,Training
103,0,2,1,0.54814816,Accuracy Give_Way_Sign,Validation
104,0,2,1,2.1119866,Loss Highway_Exit_In_100M_Sign,Training
105,0,2,1,2.1605656,Loss Highway_Exit_In_100M_Sign,Validation
106,0,2,1,0.93125,Accuracy Highway_Exit_In_100M_Sign,Training
107,0,2,1,0.5,Accuracy Highway_Exit_In_100M_Sign,Validation
108,0,2,1,2.0957274,Loss Highway_Exit_In_200M_Sign,Training
109,0,2,1,2.4760864,Loss Highway_Exit_In_200M_Sign,Validation
110,0,2,1,0.880597,Accuracy Highway_Exit_In_200M_Sign,Training
111,0,2,1,0.2616279,Accuracy Highway_Exit_In_200M_Sign,Validation
112,0,2,1,2.028184,Loss Highway_Exit_In_300M_Sign,Training
113,0,2,1,2.237169,Loss Highway_Exit_In_300M_Sign,Validation
114,0,2,1,0.94482756,Accuracy Highway_Exit_In_300M_Sign,Training
115,0,2,1,0.26506025,Accuracy Highway_Exit_In_300M_Sign,Validation
116,0,2,1,2.125995,Loss Highway_Exit_Sign,Training
117,0,2,1,2.0317006,Loss Highway_Exit_Sign,Validation
118,0,2,1,0.9745223,Accuracy Highway_Exit_Sign,Training
