,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.6755626,Loss,Training
1,0,4,0,2.6645863,Loss,Validation
2,0,4,0,0.5893162,Accuracy,Training
3,0,4,0,0.37933528,Accuracy,Validation
4,0,4,0,2.73933,Loss Attention_Zone_Sign,Training
5,0,4,0,2.8980138,Loss Attention_Zone_Sign,Validation
6,0,4,0,0.4074074,Accuracy Attention_Zone_Sign,Training
7,0,4,0,0.13013698,Accuracy Attention_Zone_Sign,Validation
8,0,4,0,2.4701405,Loss End_Of_Restriction_Sign,Training
9,0,4,0,2.5017164,Loss End_Of_Restriction_Sign,Validation
10,0,4,0,0.8449198,Accuracy End_Of_Restriction_Sign,Training
11,0,4,0,0.66,Accuracy End_Of_Restriction_Sign,Validation
12,0,4,0,2.7186756,Loss Give_Way_Sign,Training
13,0,4,0,2.7870746,Loss Give_Way_Sign,Validation
14,0,4,0,0.5314685,Accuracy Give_Way_Sign,Training
15,0,4,0,0.09090909,Accuracy Give_Way_Sign,Validation
16,0,4,0,2.598147,Loss Highway_Exit_In_100M_Sign,Training
17,0,4,0,2.629776,Loss Highway_Exit_In_100M_Sign,Validation
18,0,4,0,0.7735849,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,4,0,0.3668639,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,4,0,2.6159043,Loss Highway_Exit_In_200M_Sign,Training
21,0,4,0,2.4358618,Loss Highway_Exit_In_200M_Sign,Validation
22,0,4,0,0.53246754,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,4,0,0.48051947,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,4,0,2.5153384,Loss Highway_Exit_In_300M_Sign,Training
25,0,4,0,2.4908538,Loss Highway_Exit_In_300M_Sign,Validation
26,0,4,0,0.75722545,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,4,0,0.34756097,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,4,0,2.7328115,Loss Highway_Exit_Sign,Training
29,0,4,0,2.5024648,Loss Highway_Exit_Sign,Validation
30,0,4,0,0.42335767,Accuracy Highway_Exit_Sign,Training
31,0,4,0,0.5960265,Accuracy Highway_Exit_Sign,Validation
32,0,4,0,2.7641656,Loss Mandatory_Direction_Sign,Training
33,0,4,0,2.9022937,Loss Mandatory_Direction_Sign,Validation
34,0,4,0,0.47297296,Accuracy Mandatory_Direction_Sign,Training
35,0,4,0,0.0,Accuracy Mandatory_Direction_Sign,Validation
36,0,4,0,2.5597486,Loss No_Entry_Sign,Training
37,0,4,0,2.7322378,Loss No_Entry_Sign,Validation
38,0,4,0,0.9378882,Accuracy No_Entry_Sign,Training
39,0,4,0,0.29069766,Accuracy No_Entry_Sign,Validation
40,0,4,0,2.7868047,Loss No_Overtaking_Sign,Training
41,0,4,0,2.5562546,Loss No_Overtaking_Sign,Validation
42,0,4,0,0.5,Accuracy No_Overtaking_Sign,Training
43,0,4,0,0.84827584,Accuracy No_Overtaking_Sign,Validation
44,0,4,0,2.6746051,Loss No_Parking_Sign,Training
45,0,4,0,2.5158784,Loss No_Parking_Sign,Validation
46,0,4,0,0.6329114,Accuracy No_Parking_Sign,Training
47,0,4,0,0.6357616,Accuracy No_Parking_Sign,Validation
48,0,4,0,2.6503346,Loss Parking_Sign,Training
49,0,4,0,2.6861513,Loss Parking_Sign,Validation
50,0,4,0,0.5988024,Accuracy Parking_Sign,Training
51,0,4,0,0.21232876,Accuracy Parking_Sign,Validation
52,0,4,0,2.5679758,Loss Pedestrian_Zone_Sign,Training
53,0,4,0,2.4903488,Loss Pedestrian_Zone_Sign,Validation
54,0,4,0,0.70229006,Accuracy Pedestrian_Zone_Sign,Training
55,0,4,0,0.12765957,Accuracy Pedestrian_Zone_Sign,Validation
56,0,4,0,2.8051336,Loss Priority_Road_Sign,Training
57,0,4,0,2.685646,Loss Priority_Road_Sign,Validation
58,0,4,0,0.4047619,Accuracy Priority_Road_Sign,Training
59,0,4,0,0.60264903,Accuracy Priority_Road_Sign,Validation
60,0,4,0,2.6185567,Loss Slippery_Road_Sign,Training
61,0,4,0,2.5413098,Loss Slippery_Road_Sign,Validation
62,0,4,0,0.7051282,Accuracy Slippery_Road_Sign,Training
63,0,4,0,0.7852349,Accuracy Slippery_Road_Sign,Validation
64,0,4,0,2.645546,Loss Speed_Limit_30_Sign,Training
65,0,4,0,2.5064955,Loss Speed_Limit_30_Sign,Validation
66,0,4,0,0.5882353,Accuracy Speed_Limit_30_Sign,Training
67,0,4,0,0.5902778,Accuracy Speed_Limit_30_Sign,Validation
68,0,4,0,2.7344446,Loss Speed_Limit_80_Sign,Training
69,0,4,0,2.8526375,Loss Speed_Limit_80_Sign,Validation
70,0,4,0,0.53125,Accuracy Speed_Limit_80_Sign,Training
71,0,4,0,0.15068494,Accuracy Speed_Limit_80_Sign,Validation
72,0,4,0,2.8735757,Loss Speed_Limit_100_Sign,Training
73,0,4,0,2.996841,Loss Speed_Limit_100_Sign,Validation
74,0,4,0,0.34057972,Accuracy Speed_Limit_100_Sign,Training
75,0,4,0,0.12643678,Accuracy Speed_Limit_100_Sign,Validation
76,0,4,0,2.700692,Loss Speed_Limit_120_Sign,Training
77,0,4,0,2.6884656,Loss Speed_Limit_120_Sign,Validation
78,0,4,0,0.6091954,Accuracy Speed_Limit_120_Sign,Training
79,0,4,0,0.397351,Accuracy Speed_Limit_120_Sign,Validation
80,0,4,0,2.7465456,Loss Traffic_Banned_Sign,Training
81,0,4,0,2.9914296,Loss Traffic_Banned_Sign,Validation
82,0,4,0,0.44360903,Accuracy Traffic_Banned_Sign,Training
83,0,4,0,0.0,Accuracy Traffic_Banned_Sign,Validation
84,0,4,0,2.6683393,Loss Work_Zone_Sign,Training
85,0,4,0,2.5645614,Loss Work_Zone_Sign,Validation
86,0,4,0,0.6375839,Accuracy Work_Zone_Sign,Training
87,0,4,0,0.52666664,Accuracy Work_Zone_Sign,Validation
88,0,4,1,2.004545,Loss,Training
89,0,4,1,2.3605049,Loss,Validation
90,0,4,1,0.9246944,Accuracy,Training
91,0,4,1,0.46247506,Accuracy,Validation
92,0,4,1,2.1179938,Loss Attention_Zone_Sign,Training
93,0,4,1,2.6684067,Loss Attention_Zone_Sign,Validation
94,0,4,1,0.7852349,Accuracy Attention_Zone_Sign,Training
95,0,4,1,0.11875,Accuracy Attention_Zone_Sign,Validation
96,0,4,1,1.791527,Loss End_Of_Restriction_Sign,Training
97,0,4,1,2.4020665,Loss End_Of_Restriction_Sign,Validation
98,0,4,1,0.9930556,Accuracy End_Of_Restriction_Sign,Training
