,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9497733,Loss,Training
1,0,8,0,3.45519,Loss,Validation
2,0,8,0,0.26136863,Accuracy,Training
3,0,8,0,0.25759792,Accuracy,Validation
4,0,8,0,3.7748892,Loss Person,Training
5,0,8,0,3.7055683,Loss Person,Validation
6,0,8,0,0.34177214,Accuracy Person,Training
7,0,8,0,0.22385141,Accuracy Person,Validation
8,0,8,0,3.7648113,Loss Bicycle,Training
9,0,8,0,3.5126977,Loss Bicycle,Validation
10,0,8,0,0.51724136,Accuracy Bicycle,Training
11,0,8,0,0.5692308,Accuracy Bicycle,Validation
12,0,8,0,3.7646194,Loss Car,Training
13,0,8,0,3.6746032,Loss Car,Validation
14,0,8,0,0.39240506,Accuracy Car,Training
15,0,8,0,0.37724552,Accuracy Car,Validation
16,0,8,0,4.0414453,Loss Motorcycle,Training
17,0,8,0,3.9093857,Loss Motorcycle,Validation
18,0,8,0,0.08108108,Accuracy Motorcycle,Training
19,0,8,0,0.13793103,Accuracy Motorcycle,Validation
20,0,8,0,4.0928445,Loss Airplane,Training
21,0,8,0,3.988817,Loss Airplane,Validation
22,0,8,0,0.12162162,Accuracy Airplane,Training
23,0,8,0,0.17475729,Accuracy Airplane,Validation
24,0,8,0,4.066896,Loss Bus,Training
25,0,8,0,3.8331196,Loss Bus,Validation
26,0,8,0,0.14814815,Accuracy Bus,Training
27,0,8,0,0.48214287,Accuracy Bus,Validation
28,0,8,0,3.9460623,Loss Train,Training
29,0,8,0,3.8229432,Loss Train,Validation
30,0,8,0,0.45833334,Accuracy Train,Training
31,0,8,0,0.5967742,Accuracy Train,Validation
32,0,8,0,3.9519184,Loss Truck,Training
33,0,8,0,3.9064298,Loss Truck,Validation
34,0,8,0,0.25,Accuracy Truck,Training
35,0,8,0,0.053030305,Accuracy Truck,Validation
36,0,8,0,3.9454286,Loss Boat,Training
37,0,8,0,3.8093817,Loss Boat,Validation
38,0,8,0,0.15277778,Accuracy Boat,Training
39,0,8,0,0.28455284,Accuracy Boat,Validation
40,0,8,0,3.9936283,Loss Traffic Light,Training
41,0,8,0,3.8339818,Loss Traffic Light,Validation
42,0,8,0,0.21428572,Accuracy Traffic Light,Training
43,0,8,0,0.2173913,Accuracy Traffic Light,Validation
44,0,8,0,3.9099147,Loss Fire Hydrant,Training
45,0,8,0,3.6102204,Loss Fire Hydrant,Validation
46,0,8,0,0.15873016,Accuracy Fire Hydrant,Training
47,0,8,0,0.29032257,Accuracy Fire Hydrant,Validation
48,0,8,0,3.957781,Loss Stop Sign,Training
49,0,8,0,3.8167171,Loss Stop Sign,Validation
50,0,8,0,0.24444444,Accuracy Stop Sign,Training
51,0,8,0,0.0952381,Accuracy Stop Sign,Validation
52,0,8,0,3.9325306,Loss Parking Meter,Training
53,0,8,0,3.751696,Loss Parking Meter,Validation
54,0,8,0,0.15277778,Accuracy Parking Meter,Training
55,0,8,0,0.54545456,Accuracy Parking Meter,Validation
56,0,8,0,4.080866,Loss Bench,Training
57,0,8,0,3.9015377,Loss Bench,Validation
58,0,8,0,0.09090909,Accuracy Bench,Training
59,0,8,0,0.15384616,Accuracy Bench,Validation
60,0,8,0,4.1337214,Loss Bird,Training
61,0,8,0,4.0667677,Loss Bird,Validation
62,0,8,0,0.057471264,Accuracy Bird,Training
63,0,8,0,0.12987013,Accuracy Bird,Validation
64,0,8,0,3.8371098,Loss Cat,Training
65,0,8,0,3.4202414,Loss Cat,Validation
66,0,8,0,0.45,Accuracy Cat,Training
67,0,8,0,0.72897196,Accuracy Cat,Validation
68,0,8,0,4.1233916,Loss Dog,Training
69,0,8,0,3.9293327,Loss Dog,Validation
70,0,8,0,0.116883114,Accuracy Dog,Training
71,0,8,0,0.028985508,Accuracy Dog,Validation
