,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6842997,Loss,Training
1,0,8,0,2.4273036,Loss,Validation
2,0,8,0,0.53435194,Accuracy,Training
3,0,8,0,0.7932025,Accuracy,Validation
4,0,8,0,2.4699495,Loss Bench,Training
5,0,8,0,2.2383485,Loss Bench,Validation
6,0,8,0,0.7315436,Accuracy Bench,Training
7,0,8,0,0.9324324,Accuracy Bench,Validation
8,0,8,0,2.7151272,Loss Bicycle,Training
9,0,8,0,2.0495167,Loss Bicycle,Validation
10,0,8,0,0.41666666,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.6551216,Loss Book,Training
13,0,8,0,2.4596872,Loss Book,Validation
14,0,8,0,0.57857144,Accuracy Book,Training
15,0,8,0,0.8194444,Accuracy Book,Validation
16,0,8,0,2.6156247,Loss Bottle,Training
17,0,8,0,2.275251,Loss Bottle,Validation
18,0,8,0,0.7328767,Accuracy Bottle,Training
19,0,8,0,0.94482756,Accuracy Bottle,Validation
20,0,8,0,2.7627568,Loss Bowl,Training
21,0,8,0,2.5564792,Loss Bowl,Validation
22,0,8,0,0.128,Accuracy Bowl,Training
23,0,8,0,0.3006993,Accuracy Bowl,Validation
24,0,8,0,2.716742,Loss Car,Training
25,0,8,0,2.3553526,Loss Car,Validation
26,0,8,0,0.525,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.748126,Loss Cellphone,Training
29,0,8,0,2.4967487,Loss Cellphone,Validation
30,0,8,0,0.3467742,Accuracy Cellphone,Training
31,0,8,0,0.44155845,Accuracy Cellphone,Validation
32,0,8,0,2.7100751,Loss Chair,Training
33,0,8,0,2.6461182,Loss Chair,Validation
34,0,8,0,0.6074074,Accuracy Chair,Training
35,0,8,0,0.6978417,Accuracy Chair,Validation
36,0,8,0,2.7514374,Loss Clock,Training
37,0,8,0,2.613728,Loss Clock,Validation
38,0,8,0,0.5112782,Accuracy Clock,Training
39,0,8,0,0.7735849,Accuracy Clock,Validation
40,0,8,0,2.5964983,Loss Cup,Training
41,0,8,0,2.3499322,Loss Cup,Validation
42,0,8,0,0.6917808,Accuracy Cup,Training
43,0,8,0,0.96875,Accuracy Cup,Validation
44,0,8,0,2.7309387,Loss Fork,Training
45,0,8,0,2.3618386,Loss Fork,Validation
46,0,8,0,0.48251748,Accuracy Fork,Training
47,0,8,0,1.0,Accuracy Fork,Validation
48,0,8,0,2.7849174,Loss Keyboard,Training
49,0,8,0,2.5770059,Loss Keyboard,Validation
50,0,8,0,0.29801324,Accuracy Keyboard,Training
51,0,8,0,0.44067797,Accuracy Keyboard,Validation
52,0,8,0,2.6836054,Loss Knife,Training
53,0,8,0,2.4567134,Loss Knife,Validation
54,0,8,0,0.5177305,Accuracy Knife,Training
55,0,8,0,0.5078125,Accuracy Knife,Validation
56,0,8,0,2.7043746,Loss Laptop,Training
57,0,8,0,2.3407414,Loss Laptop,Validation
58,0,8,0,0.45255473,Accuracy Laptop,Training
59,0,8,0,0.94482756,Accuracy Laptop,Validation
60,0,8,0,2.5861163,Loss Motorcycle,Training
61,0,8,0,2.3264236,Loss Motorcycle,Validation
62,0,8,0,0.656,Accuracy Motorcycle,Training
63,0,8,0,1.0,Accuracy Motorcycle,Validation
64,0,8,0,2.4716218,Loss Mouse,Training
65,0,8,0,2.2240503,Loss Mouse,Validation
66,0,8,0,0.7398844,Accuracy Mouse,Training
67,0,8,0,1.0,Accuracy Mouse,Validation
68,0,8,0,2.5558302,Loss Potted_Plant,Training
69,0,8,0,2.2605777,Loss Potted_Plant,Validation
70,0,8,0,0.7777778,Accuracy Potted_Plant,Training
71,0,8,0,0.89542484,Accuracy Potted_Plant,Validation
72,0,8,0,2.7903733,Loss Remote,Training
73,0,8,0,2.506887,Loss Remote,Validation
74,0,8,0,0.41333333,Accuracy Remote,Training
75,0,8,0,0.7692308,Accuracy Remote,Validation
76,0,8,0,2.708206,Loss Spoon,Training
77,0,8,0,2.5763676,Loss Spoon,Validation
78,0,8,0,0.6283784,Accuracy Spoon,Training
79,0,8,0,0.6111111,Accuracy Spoon,Validation
80,0,8,0,2.746763,Loss Sportsball,Training
81,0,8,0,2.7202818,Loss Sportsball,Validation
82,0,8,0,0.61744964,Accuracy Sportsball,Training
83,0,8,0,0.5673759,Accuracy Sportsball,Validation
84,0,8,0,2.6542385,Loss Tie,Training
85,0,8,0,2.4058092,Loss Tie,Validation
