,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.6113377,Loss,Training
1,0,2,0,2.4139297,Loss,Validation
2,0,2,0,0.666365,Accuracy,Training
3,0,2,0,0.7185941,Accuracy,Validation
4,0,2,0,2.5689778,Loss Bench,Training
5,0,2,0,2.1365197,Loss Bench,Validation
6,0,2,0,0.65185183,Accuracy Bench,Training
7,0,2,0,1.0,Accuracy Bench,Validation
8,0,2,0,2.6503165,Loss Bicycle,Training
9,0,2,0,2.1043124,Loss Bicycle,Validation
10,0,2,0,0.53424656,Accuracy Bicycle,Training
11,0,2,0,0.85714287,Accuracy Bicycle,Validation
12,0,2,0,2.8090665,Loss Book,Training
13,0,2,0,2.7578135,Loss Book,Validation
14,0,2,0,0.36065573,Accuracy Book,Training
15,0,2,0,0.11764706,Accuracy Book,Validation
16,0,2,0,2.5865185,Loss Bottle,Training
17,0,2,0,2.371762,Loss Bottle,Validation
18,0,2,0,0.7714286,Accuracy Bottle,Training
19,0,2,0,0.85915494,Accuracy Bottle,Validation
20,0,2,0,2.362296,Loss Bowl,Training
21,0,2,0,2.3089514,Loss Bowl,Validation
22,0,2,0,0.78571427,Accuracy Bowl,Training
23,0,2,0,1.0,Accuracy Bowl,Validation
24,0,2,0,2.3756032,Loss Car,Training
25,0,2,0,2.1493616,Loss Car,Validation
26,0,2,0,0.93430656,Accuracy Car,Training
27,0,2,0,1.0,Accuracy Car,Validation
28,0,2,0,2.5048892,Loss Cellphone,Training
29,0,2,0,2.248582,Loss Cellphone,Validation
30,0,2,0,0.875969,Accuracy Cellphone,Training
31,0,2,0,0.7762238,Accuracy Cellphone,Validation
32,0,2,0,2.5403867,Loss Chair,Training
33,0,2,0,2.3488696,Loss Chair,Validation
34,0,2,0,0.6875,Accuracy Chair,Training
35,0,2,0,0.77205884,Accuracy Chair,Validation
36,0,2,0,2.6757689,Loss Clock,Training
37,0,2,0,2.642707,Loss Clock,Validation
38,0,2,0,0.683871,Accuracy Clock,Training
39,0,2,0,0.82733816,Accuracy Clock,Validation
40,0,2,0,2.7189083,Loss Cup,Training
41,0,2,0,2.557533,Loss Cup,Validation
42,0,2,0,0.5298507,Accuracy Cup,Training
43,0,2,0,0.42105263,Accuracy Cup,Validation
44,0,2,0,2.5256853,Loss Fork,Training
45,0,2,0,2.1877832,Loss Fork,Validation
46,0,2,0,0.85314685,Accuracy Fork,Training
47,0,2,0,0.8321168,Accuracy Fork,Validation
