,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.6643243,Loss,Training
1,0,4,0,2.4331207,Loss,Validation
2,0,4,0,0.5705158,Accuracy,Training
3,0,4,0,0.7116873,Accuracy,Validation
4,0,4,0,2.5527058,Loss Bench,Training
5,0,4,0,2.3299065,Loss Bench,Validation
6,0,4,0,0.7835821,Accuracy Bench,Training
7,0,4,0,0.6857143,Accuracy Bench,Validation
8,0,4,0,2.5510094,Loss Bicycle,Training
9,0,4,0,1.9271809,Loss Bicycle,Validation
10,0,4,0,0.6335878,Accuracy Bicycle,Training
11,0,4,0,0.8503401,Accuracy Bicycle,Validation
12,0,4,0,2.6360219,Loss Book,Training
13,0,4,0,2.356992,Loss Book,Validation
14,0,4,0,0.5954198,Accuracy Book,Training
15,0,4,0,0.71428573,Accuracy Book,Validation
16,0,4,0,2.4840903,Loss Bottle,Training
17,0,4,0,2.0999222,Loss Bottle,Validation
18,0,4,0,0.8684211,Accuracy Bottle,Training
19,0,4,0,1.0,Accuracy Bottle,Validation
20,0,4,0,2.5645628,Loss Bowl,Training
21,0,4,0,2.496498,Loss Bowl,Validation
22,0,4,0,0.71631205,Accuracy Bowl,Training
23,0,4,0,0.61870503,Accuracy Bowl,Validation
24,0,4,0,2.416939,Loss Car,Training
25,0,4,0,2.2599277,Loss Car,Validation
26,0,4,0,0.8509317,Accuracy Car,Training
27,0,4,0,1.0,Accuracy Car,Validation
28,0,4,0,2.6460702,Loss Cellphone,Training
29,0,4,0,2.2997594,Loss Cellphone,Validation
30,0,4,0,0.6769231,Accuracy Cellphone,Training
31,0,4,0,0.91549295,Accuracy Cellphone,Validation
32,0,4,0,2.616345,Loss Chair,Training
33,0,4,0,2.5656407,Loss Chair,Validation
34,0,4,0,0.6052632,Accuracy Chair,Training
35,0,4,0,0.7407407,Accuracy Chair,Validation
36,0,4,0,2.767184,Loss Clock,Training
37,0,4,0,2.7510636,Loss Clock,Validation
38,0,4,0,0.47014925,Accuracy Clock,Training
39,0,4,0,0.496,Accuracy Clock,Validation
40,0,4,0,2.7614596,Loss Cup,Training
41,0,4,0,2.4550498,Loss Cup,Validation
42,0,4,0,0.4827586,Accuracy Cup,Training
43,0,4,0,0.8014184,Accuracy Cup,Validation
