,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.6447277,Loss,Training
1,0,2,0,2.449571,Loss,Validation
2,0,2,0,0.6002916,Accuracy,Training
3,0,2,0,0.76104105,Accuracy,Validation
4,0,2,0,2.4980538,Loss Bench,Training
5,0,2,0,2.2745292,Loss Bench,Validation
6,0,2,0,0.7516779,Accuracy Bench,Training
7,0,2,0,0.9459459,Accuracy Bench,Validation
8,0,2,0,2.6784012,Loss Bicycle,Training
9,0,2,0,2.1683385,Loss Bicycle,Validation
10,0,2,0,0.5151515,Accuracy Bicycle,Training
11,0,2,0,1.0,Accuracy Bicycle,Validation
12,0,2,0,2.5497627,Loss Book,Training
13,0,2,0,2.630156,Loss Book,Validation
14,0,2,0,0.6357143,Accuracy Book,Training
15,0,2,0,0.4236111,Accuracy Book,Validation
16,0,2,0,2.571371,Loss Bottle,Training
17,0,2,0,2.3768227,Loss Bottle,Validation
18,0,2,0,0.69863015,Accuracy Bottle,Training
19,0,2,0,0.9517241,Accuracy Bottle,Validation
20,0,2,0,2.7044888,Loss Bowl,Training
21,0,2,0,2.5355113,Loss Bowl,Validation
22,0,2,0,0.512,Accuracy Bowl,Training
23,0,2,0,0.46853146,Accuracy Bowl,Validation
24,0,2,0,2.6723902,Loss Car,Training
25,0,2,0,2.5062602,Loss Car,Validation
26,0,2,0,0.6,Accuracy Car,Training
27,0,2,0,0.84444445,Accuracy Car,Validation
28,0,2,0,2.4295483,Loss Cellphone,Training
29,0,2,0,2.2910116,Loss Cellphone,Validation
30,0,2,0,0.83870965,Accuracy Cellphone,Training
31,0,2,0,0.7922078,Accuracy Cellphone,Validation
32,0,2,0,2.722233,Loss Chair,Training
33,0,2,0,2.8262634,Loss Chair,Validation
34,0,2,0,0.5407407,Accuracy Chair,Training
35,0,2,0,0.4028777,Accuracy Chair,Validation
36,0,2,0,2.6990438,Loss Clock,Training
37,0,2,0,2.6419084,Loss Clock,Validation
38,0,2,0,0.5714286,Accuracy Clock,Training
39,0,2,0,0.8207547,Accuracy Clock,Validation
40,0,2,0,2.6257095,Loss Cup,Training
41,0,2,0,2.4532373,Loss Cup,Validation
42,0,2,0,0.7191781,Accuracy Cup,Training
43,0,2,0,0.5703125,Accuracy Cup,Validation
44,0,2,0,2.774927,Loss Fork,Training
45,0,2,0,2.4555764,Loss Fork,Validation
46,0,2,0,0.4755245,Accuracy Fork,Training
47,0,2,0,0.84732825,Accuracy Fork,Validation
48,0,2,0,2.6486464,Loss Keyboard,Training
49,0,2,0,2.4601336,Loss Keyboard,Validation
50,0,2,0,0.54966885,Accuracy Keyboard,Training
51,0,2,0,0.69491524,Accuracy Keyboard,Validation
52,0,2,0,2.6259537,Loss Knife,Training
53,0,2,0,2.3575711,Loss Knife,Validation
54,0,2,0,0.61702126,Accuracy Knife,Training
55,0,2,0,0.7421875,Accuracy Knife,Validation
56,0,2,0,2.778966,Loss Laptop,Training
57,0,2,0,2.3392828,Loss Laptop,Validation
58,0,2,0,0.3941606,Accuracy Laptop,Training
59,0,2,0,1.0,Accuracy Laptop,Validation
60,0,2,0,2.5287967,Loss Motorcycle,Training
61,0,2,0,2.3638418,Loss Motorcycle,Validation
62,0,2,0,0.68,Accuracy Motorcycle,Training
63,0,2,0,0.9310345,Accuracy Motorcycle,Validation
64,0,2,0,2.4638352,Loss Mouse,Training
65,0,2,0,2.1391232,Loss Mouse,Validation
66,0,2,0,0.8034682,Accuracy Mouse,Training
67,0,2,0,1.0,Accuracy Mouse,Validation
68,0,2,0,2.5579638,Loss Potted_Plant,Training
69,0,2,0,2.3646135,Loss Potted_Plant,Validation
70,0,2,0,0.77037036,Accuracy Potted_Plant,Training
71,0,2,0,1.0,Accuracy Potted_Plant,Validation
