,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.7058198,Loss,Training
1,0,8,0,2.4213264,Loss,Validation
2,0,8,0,0.51341563,Accuracy,Training
3,0,8,0,0.75822335,Accuracy,Validation
4,0,8,0,2.6185331,Loss Bench,Training
5,0,8,0,2.2592301,Loss Bench,Validation
6,0,8,0,0.5703704,Accuracy Bench,Training
7,0,8,0,0.921875,Accuracy Bench,Validation
8,0,8,0,2.7312534,Loss Bicycle,Training
9,0,8,0,2.2763524,Loss Bicycle,Validation
10,0,8,0,0.3916084,Accuracy Bicycle,Training
11,0,8,0,0.76744187,Accuracy Bicycle,Validation
12,0,8,0,2.6695988,Loss Book,Training
13,0,8,0,2.5281837,Loss Book,Validation
14,0,8,0,0.64,Accuracy Book,Training
15,0,8,0,0.57931036,Accuracy Book,Validation
16,0,8,0,2.7877605,Loss Bottle,Training
17,0,8,0,2.426366,Loss Bottle,Validation
18,0,8,0,0.5153846,Accuracy Bottle,Training
19,0,8,0,0.8914729,Accuracy Bottle,Validation
20,0,8,0,2.7104719,Loss Bowl,Training
21,0,8,0,2.5019822,Loss Bowl,Validation
22,0,8,0,0.575,Accuracy Bowl,Training
23,0,8,0,1.0,Accuracy Bowl,Validation
24,0,8,0,2.6461,Loss Car,Training
25,0,8,0,2.3644214,Loss Car,Validation
26,0,8,0,0.53333336,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.6662426,Loss Cellphone,Training
29,0,8,0,2.2054076,Loss Cellphone,Validation
30,0,8,0,0.664557,Accuracy Cellphone,Training
31,0,8,0,0.8907563,Accuracy Cellphone,Validation
32,0,8,0,2.7750554,Loss Chair,Training
33,0,8,0,2.6009707,Loss Chair,Validation
34,0,8,0,0.32061067,Accuracy Chair,Training
35,0,8,0,0.75555557,Accuracy Chair,Validation
36,0,8,0,2.7342052,Loss Clock,Training
37,0,8,0,2.5274787,Loss Clock,Validation
38,0,8,0,0.6117647,Accuracy Clock,Training
39,0,8,0,0.83766234,Accuracy Clock,Validation
40,0,8,0,2.8373477,Loss Cup,Training
41,0,8,0,2.638261,Loss Cup,Validation
42,0,8,0,0.27272728,Accuracy Cup,Training
43,0,8,0,0.41269842,Accuracy Cup,Validation
44,0,8,0,2.7894459,Loss Fork,Training
45,0,8,0,2.4980817,Loss Fork,Validation
46,0,8,0,0.4032258,Accuracy Fork,Training
47,0,8,0,0.29710144,Accuracy Fork,Validation
48,0,8,0,2.8145132,Loss Keyboard,Training
49,0,8,0,2.5919023,Loss Keyboard,Validation
50,0,8,0,0.29787233,Accuracy Keyboard,Training
51,0,8,0,0.05882353,Accuracy Keyboard,Validation
52,0,8,0,2.7910056,Loss Knife,Training
