,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6429942,Loss,Training
1,0,8,0,2.421372,Loss,Validation
2,0,8,0,0.58526224,Accuracy,Training
3,0,8,0,0.7863597,Accuracy,Validation
4,0,8,0,2.4440627,Loss Bench,Training
5,0,8,0,2.331012,Loss Bench,Validation
6,0,8,0,0.76510066,Accuracy Bench,Training
7,0,8,0,0.8108108,Accuracy Bench,Validation
8,0,8,0,2.6756918,Loss Bicycle,Training
9,0,8,0,2.0136833,Loss Bicycle,Validation
10,0,8,0,0.5151515,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.6520746,Loss Book,Training
13,0,8,0,2.5090337,Loss Book,Validation
14,0,8,0,0.55714285,Accuracy Book,Training
15,0,8,0,0.7430556,Accuracy Book,Validation
16,0,8,0,2.5844219,Loss Bottle,Training
17,0,8,0,2.3317175,Loss Bottle,Validation
18,0,8,0,0.65753424,Accuracy Bottle,Training
19,0,8,0,1.0,Accuracy Bottle,Validation
20,0,8,0,2.7953348,Loss Bowl,Training
21,0,8,0,2.5985422,Loss Bowl,Validation
22,0,8,0,0.16,Accuracy Bowl,Training
23,0,8,0,0.17482518,Accuracy Bowl,Validation
24,0,8,0,2.7132423,Loss Car,Training
25,0,8,0,2.397442,Loss Car,Validation
26,0,8,0,0.46666667,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.6989045,Loss Cellphone,Training
29,0,8,0,2.4553502,Loss Cellphone,Validation
30,0,8,0,0.4032258,Accuracy Cellphone,Training
31,0,8,0,0.5,Accuracy Cellphone,Validation
32,0,8,0,2.6575675,Loss Chair,Training
33,0,8,0,2.6876156,Loss Chair,Validation
34,0,8,0,0.76296294,Accuracy Chair,Training
35,0,8,0,0.705036,Accuracy Chair,Validation
36,0,8,0,2.760111,Loss Clock,Training
37,0,8,0,2.6304135,Loss Clock,Validation
38,0,8,0,0.5263158,Accuracy Clock,Training
39,0,8,0,0.7735849,Accuracy Clock,Validation
40,0,8,0,2.5925674,Loss Cup,Training
41,0,8,0,2.351601,Loss Cup,Validation
42,0,8,0,0.69863015,Accuracy Cup,Training
43,0,8,0,0.96875,Accuracy Cup,Validation
44,0,8,0,2.6804209,Loss Fork,Training
45,0,8,0,2.338054,Loss Fork,Validation
46,0,8,0,0.56643355,Accuracy Fork,Training
