,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.679983,Loss,Training
1,0,8,0,2.4292307,Loss,Validation
2,0,8,0,0.5550087,Accuracy,Training
3,0,8,0,0.7770344,Accuracy,Validation
4,0,8,0,2.5893161,Loss Bench,Training
5,0,8,0,2.2519596,Loss Bench,Validation
6,0,8,0,0.4962963,Accuracy Bench,Training
7,0,8,0,0.9140625,Accuracy Bench,Validation
8,0,8,0,2.593693,Loss Bicycle,Training
9,0,8,0,2.3189692,Loss Bicycle,Validation
10,0,8,0,0.44055945,Accuracy Bicycle,Training
11,0,8,0,1.0,Accuracy Bicycle,Validation
12,0,8,0,2.7090368,Loss Book,Training
13,0,8,0,2.6182764,Loss Book,Validation
14,0,8,0,0.58666664,Accuracy Book,Training
15,0,8,0,0.44827586,Accuracy Book,Validation
16,0,8,0,2.7100654,Loss Bottle,Training
17,0,8,0,2.5212529,Loss Bottle,Validation
18,0,8,0,0.61538464,Accuracy Bottle,Training
19,0,8,0,0.8449612,Accuracy Bottle,Validation
20,0,8,0,2.627568,Loss Bowl,Training
21,0,8,0,2.418767,Loss Bowl,Validation
22,0,8,0,0.7583333,Accuracy Bowl,Training
23,0,8,0,0.9130435,Accuracy Bowl,Validation
24,0,8,0,2.5943773,Loss Car,Training
25,0,8,0,2.3502128,Loss Car,Validation
26,0,8,0,0.6296296,Accuracy Car,Training
27,0,8,0,1.0,Accuracy Car,Validation
28,0,8,0,2.668534,Loss Cellphone,Training
29,0,8,0,2.2370703,Loss Cellphone,Validation
30,0,8,0,0.7151899,Accuracy Cellphone,Training
31,0,8,0,0.8655462,Accuracy Cellphone,Validation
32,0,8,0,2.796959,Loss Chair,Training
33,0,8,0,2.6659887,Loss Chair,Validation
34,0,8,0,0.4351145,Accuracy Chair,Training
35,0,8,0,0.31111112,Accuracy Chair,Validation
36,0,8,0,2.757401,Loss Clock,Training
37,0,8,0,2.5589895,Loss Clock,Validation
38,0,8,0,0.5529412,Accuracy Clock,Training
39,0,8,0,0.8896104,Accuracy Clock,Validation
40,0,8,0,2.7671235,Loss Cup,Training
41,0,8,0,2.639193,Loss Cup,Validation
42,0,8,0,0.37121212,Accuracy Cup,Training
43,0,8,0,0.47619048,Accuracy Cup,Validation
44,0,8,0,2.795106,Loss Fork,Training
45,0,8,0,2.4755194,Loss Fork,Validation
46,0,8,0,0.3548387,Accuracy Fork,Training
47,0,8,0,0.9057971,Accuracy Fork,Validation
48,0,8,0,2.7722654,Loss Keyboard,Training
49,0,8,0,2.5866325,Loss Keyboard,Validation
50,0,8,0,0.36879432,Accuracy Keyboard,Training
51,0,8,0,0.11764706,Accuracy Keyboard,Validation
52,0,8,0,2.739801,Loss Knife,Training
53,0,8,0,2.5887668,Loss Knife,Validation
54,0,8,0,0.48507464,Accuracy Knife,Training
55,0,8,0,0.5949367,Accuracy Knife,Validation
56,0,8,0,2.5763805,Loss Laptop,Training
57,0,8,0,2.3165414,Loss Laptop,Validation
58,0,8,0,0.55921054,Accuracy Laptop,Training
59,0,8,0,0.92537314,Accuracy Laptop,Validation
60,0,8,0,2.371832,Loss Motorcycle,Training
61,0,8,0,2.2882953,Loss Motorcycle,Validation
62,0,8,0,0.9191176,Accuracy Motorcycle,Training
63,0,8,0,1.0,Accuracy Motorcycle,Validation
64,0,8,0,2.375721,Loss Mouse,Training
65,0,8,0,1.9641699,Loss Mouse,Validation
66,0,8,0,0.7972028,Accuracy Mouse,Training
67,0,8,0,1.0,Accuracy Mouse,Validation
68,0,8,0,2.4650204,Loss Potted_Plant,Training
69,0,8,0,2.100301,Loss Potted_Plant,Validation
70,0,8,0,0.82236844,Accuracy Potted_Plant,Training
71,0,8,0,1.0,Accuracy Potted_Plant,Validation
72,0,8,0,2.9226146,Loss Remote,Training
73,0,8,0,2.6249971,Loss Remote,Validation
74,0,8,0,0.232,Accuracy Remote,Training
75,0,8,0,0.3986014,Accuracy Remote,Validation
76,0,8,0,2.7856266,Loss Spoon,Training
77,0,8,0,2.5025325,Loss Spoon,Validation
78,0,8,0,0.5546875,Accuracy Spoon,Training
79,0,8,0,0.852349,Accuracy Spoon,Validation
80,0,8,0,3.0056558,Loss Sportsball,Training
81,0,8,0,2.8126128,Loss Sportsball,Validation
82,0,8,0,0.25735295,Accuracy Sportsball,Training
83,0,8,0,0.41428572,Accuracy Sportsball,Validation
84,0,8,0,2.6085467,Loss Tie,Training
85,0,8,0,2.1326623,Loss Tie,Validation
86,0,8,0,0.7567568,Accuracy Tie,Training
87,0,8,0,1.0,Accuracy Tie,Validation
88,0,8,0,2.627856,Loss Trafficlight,Training
89,0,8,0,2.5302796,Loss Trafficlight,Validation
90,0,8,0,0.5496183,Accuracy Trafficlight,Training
91,0,8,0,1.0,Accuracy Trafficlight,Validation
92,0,8,0,2.7791097,Loss Wineglas,Training
93,0,8,0,2.368314,Loss Wineglas,Validation
94,0,8,0,0.5068493,Accuracy Wineglas,Training
95,0,8,0,1.0,Accuracy Wineglas,Validation
96,0,8,1,1.9310329,Loss,Training
97,0,8,1,1.8431747,Loss,Validation
98,0,8,1,0.90547395,Accuracy,Training
99,0,8,1,0.865552,Accuracy,Validation
100,0,8,1,1.6917766,Loss Bench,Training
101,0,8,1,1.607458,Loss Bench,Validation
102,0,8,1,0.9863946,Accuracy Bench,Training
103,0,8,1,1.0,Accuracy Bench,Validation
104,0,8,1,1.6465293,Loss Bicycle,Training
105,0,8,1,1.3864651,Loss Bicycle,Validation
106,0,8,1,0.96503496,Accuracy Bicycle,Training
107,0,8,1,1.0,Accuracy Bicycle,Validation
108,0,8,1,2.052758,Loss Book,Training
109,0,8,1,2.2143364,Loss Book,Validation
110,0,8,1,0.8396947,Accuracy Book,Training
111,0,8,1,0.6335878,Accuracy Book,Validation
112,0,8,1,1.9012032,Loss Bottle,Training
113,0,8,1,1.8782783,Loss Bottle,Validation
114,0,8,1,0.97761196,Accuracy Bottle,Training
115,0,8,1,0.8015267,Accuracy Bottle,Validation
116,0,8,1,1.8449807,Loss Bowl,Training
117,0,8,1,1.6579832,Loss Bowl,Validation
118,0,8,1,0.96666664,Accuracy Bowl,Training
119,0,8,1,1.0,Accuracy Bowl,Validation
120,0,8,1,1.8311331,Loss Car,Training
121,0,8,1,1.7193118,Loss Car,Validation
122,0,8,1,0.94074076,Accuracy Car,Training
123,0,8,1,1.0,Accuracy Car,Validation
124,0,8,1,1.9944937,Loss Cellphone,Training
125,0,8,1,1.768752,Loss Cellphone,Validation
126,0,8,1,0.8888889,Accuracy Cellphone,Training
127,0,8,1,0.8787879,Accuracy Cellphone,Validation
128,0,8,1,2.1795936,Loss Chair,Training
129,0,8,1,2.232001,Loss Chair,Validation
130,0,8,1,0.7906977,Accuracy Chair,Training
131,0,8,1,0.65384614,Accuracy Chair,Validation
132,0,8,1,2.1862154,Loss Clock,Training
133,0,8,1,2.289634,Loss Clock,Validation
