,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.5885663,Loss,Training
1,0,2,0,2.4834821,Loss,Validation
2,0,2,0,0.66181445,Accuracy,Training
3,0,2,0,0.70732915,Accuracy,Validation
4,0,2,0,2.4540935,Loss Bench,Training
5,0,2,0,2.2913637,Loss Bench,Validation
6,0,2,0,0.75838923,Accuracy Bench,Training
7,0,2,0,0.8918919,Accuracy Bench,Validation
8,0,2,0,2.6490376,Loss Bicycle,Training
9,0,2,0,2.2806354,Loss Bicycle,Validation
10,0,2,0,0.5984849,Accuracy Bicycle,Training
11,0,2,0,1.0,Accuracy Bicycle,Validation
12,0,2,0,2.492775,Loss Book,Training
13,0,2,0,2.7392895,Loss Book,Validation
14,0,2,0,0.76428574,Accuracy Book,Training
15,0,2,0,0.21527778,Accuracy Book,Validation
16,0,2,0,2.3697531,Loss Bottle,Training
17,0,2,0,2.300674,Loss Bottle,Validation
18,0,2,0,0.7876712,Accuracy Bottle,Training
19,0,2,0,0.9517241,Accuracy Bottle,Validation
20,0,2,0,2.731648,Loss Bowl,Training
21,0,2,0,2.620046,Loss Bowl,Validation
22,0,2,0,0.464,Accuracy Bowl,Training
23,0,2,0,0.48251748,Accuracy Bowl,Validation
24,0,2,0,2.5910428,Loss Car,Training
25,0,2,0,2.513172,Loss Car,Validation
26,0,2,0,0.64166665,Accuracy Car,Training
27,0,2,0,0.84444445,Accuracy Car,Validation
28,0,2,0,2.368096,Loss Cellphone,Training
29,0,2,0,2.324793,Loss Cellphone,Validation
30,0,2,0,0.7822581,Accuracy Cellphone,Training
31,0,2,0,0.64285713,Accuracy Cellphone,Validation
32,0,2,0,2.731395,Loss Chair,Training
33,0,2,0,2.9714558,Loss Chair,Validation
34,0,2,0,0.5555556,Accuracy Chair,Training
35,0,2,0,0.0,Accuracy Chair,Validation
36,0,2,0,2.6050951,Loss Clock,Training
37,0,2,0,2.6423576,Loss Clock,Validation
38,0,2,0,0.7368421,Accuracy Clock,Training
39,0,2,0,0.7075472,Accuracy Clock,Validation
40,0,2,0,2.6263914,Loss Cup,Training
41,0,2,0,2.5440016,Loss Cup,Validation
42,0,2,0,0.7191781,Accuracy Cup,Training
43,0,2,0,0.5703125,Accuracy Cup,Validation
44,0,2,0,2.690127,Loss Fork,Training
45,0,2,0,2.4742603,Loss Fork,Validation
46,0,2,0,0.6573427,Accuracy Fork,Training
47,0,2,0,0.9389313,Accuracy Fork,Validation
48,0,2,0,2.5686095,Loss Keyboard,Training
49,0,2,0,2.454151,Loss Keyboard,Validation
50,0,2,0,0.615894,Accuracy Keyboard,Training
51,0,2,0,0.7711864,Accuracy Keyboard,Validation
52,0,2,0,2.6004038,Loss Knife,Training
53,0,2,0,2.3863828,Loss Knife,Validation
54,0,2,0,0.6524823,Accuracy Knife,Training
55,0,2,0,0.6015625,Accuracy Knife,Validation
56,0,2,0,2.6922975,Loss Laptop,Training
57,0,2,0,2.3433764,Loss Laptop,Validation
58,0,2,0,0.47445256,Accuracy Laptop,Training
59,0,2,0,1.0,Accuracy Laptop,Validation
60,0,2,0,2.4393866,Loss Motorcycle,Training
61,0,2,0,2.397266,Loss Motorcycle,Validation
62,0,2,0,0.808,Accuracy Motorcycle,Training
63,0,2,0,0.8827586,Accuracy Motorcycle,Validation
64,0,2,0,2.4201837,Loss Mouse,Training
65,0,2,0,2.1646724,Loss Mouse,Validation
