,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.8138878,Loss,Training
1,0,8,0,2.7009778,Loss,Validation
2,0,8,0,0.364439,Accuracy,Training
3,0,8,0,0.3360455,Accuracy,Validation
4,0,8,0,2.913481,Loss Attention_Zone_Sign,Training
5,0,8,0,2.8031373,Loss Attention_Zone_Sign,Validation
6,0,8,0,0.21481481,Accuracy Attention_Zone_Sign,Training
7,0,8,0,0.0,Accuracy Attention_Zone_Sign,Validation
8,0,8,0,2.6882617,Loss End_Of_Restriction_Sign,Training
9,0,8,0,2.508418,Loss End_Of_Restriction_Sign,Validation
10,0,8,0,0.6524064,Accuracy End_Of_Restriction_Sign,Training
11,0,8,0,0.8666667,Accuracy End_Of_Restriction_Sign,Validation
12,0,8,0,2.8473554,Loss Give_Way_Sign,Training
13,0,8,0,2.9270642,Loss Give_Way_Sign,Validation
14,0,8,0,0.36363637,Accuracy Give_Way_Sign,Training
15,0,8,0,0.0,Accuracy Give_Way_Sign,Validation
16,0,8,0,2.7273574,Loss Highway_Exit_In_100M_Sign,Training
17,0,8,0,2.6411383,Loss Highway_Exit_In_100M_Sign,Validation
18,0,8,0,0.5157233,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,8,0,0.17751479,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,8,0,2.7169585,Loss Highway_Exit_In_200M_Sign,Training
21,0,8,0,2.5156627,Loss Highway_Exit_In_200M_Sign,Validation
22,0,8,0,0.43506494,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,8,0,0.6818182,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,8,0,2.6884396,Loss Highway_Exit_In_300M_Sign,Training
25,0,8,0,2.6400871,Loss Highway_Exit_In_300M_Sign,Validation
26,0,8,0,0.5317919,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,8,0,0.15243903,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,8,0,2.9718652,Loss Highway_Exit_Sign,Training
29,0,8,0,2.7499528,Loss Highway_Exit_Sign,Validation
30,0,8,0,0.10948905,Accuracy Highway_Exit_Sign,Training
31,0,8,0,0.16556291,Accuracy Highway_Exit_Sign,Validation
32,0,8,0,2.9337294,Loss Mandatory_Direction_Sign,Training
33,0,8,0,2.9210687,Loss Mandatory_Direction_Sign,Validation
