,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.7868612,Loss,Training
1,0,4,0,2.6702569,Loss,Validation
2,0,4,0,0.39916447,Accuracy,Training
3,0,4,0,0.4350377,Accuracy,Validation
4,0,4,0,2.6805797,Loss Attention_Zone_Sign,Training
5,0,4,0,2.6570268,Loss Attention_Zone_Sign,Validation
6,0,4,0,0.63975155,Accuracy Attention_Zone_Sign,Training
7,0,4,0,0.5298013,Accuracy Attention_Zone_Sign,Validation
8,0,4,0,2.8381352,Loss End_Of_Restriction_Sign,Training
9,0,4,0,2.8953283,Loss End_Of_Restriction_Sign,Validation
10,0,4,0,0.29787233,Accuracy End_Of_Restriction_Sign,Training
11,0,4,0,0.19018404,Accuracy End_Of_Restriction_Sign,Validation
12,0,4,0,2.7374597,Loss Give_Way_Sign,Training
13,0,4,0,2.736671,Loss Give_Way_Sign,Validation
14,0,4,0,0.566879,Accuracy Give_Way_Sign,Training
15,0,4,0,0.33793104,Accuracy Give_Way_Sign,Validation
16,0,4,0,2.8061783,Loss Highway_Exit_In_100M_Sign,Training
17,0,4,0,2.5759804,Loss Highway_Exit_In_100M_Sign,Validation
18,0,4,0,0.25179857,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,4,0,0.17763157,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,4,0,2.7324336,Loss Highway_Exit_In_200M_Sign,Training
21,0,4,0,2.4395711,Loss Highway_Exit_In_200M_Sign,Validation
22,0,4,0,0.4785276,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,4,0,0.79141104,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,4,0,2.7405424,Loss Highway_Exit_In_300M_Sign,Training
25,0,4,0,2.5730963,Loss Highway_Exit_In_300M_Sign,Validation
26,0,4,0,0.4256757,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,4,0,0.48407644,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,4,0,2.8985193,Loss Highway_Exit_Sign,Training
29,0,4,0,2.5894046,Loss Highway_Exit_Sign,Validation
30,0,4,0,0.19354838,Accuracy Highway_Exit_Sign,Training
31,0,4,0,0.7591241,Accuracy Highway_Exit_Sign,Validation
32,0,4,0,2.7218847,Loss Mandatory_Direction_Sign,Training
33,0,4,0,2.7632833,Loss Mandatory_Direction_Sign,Validation
34,0,4,0,0.5644172,Accuracy Mandatory_Direction_Sign,Training
35,0,4,0,0.36363637,Accuracy Mandatory_Direction_Sign,Validation
36,0,4,0,2.8012352,Loss No_Entry_Sign,Training
37,0,4,0,2.7447357,Loss No_Entry_Sign,Validation
38,0,4,0,0.2993197,Accuracy No_Entry_Sign,Training
39,0,4,0,0.16969697,Accuracy No_Entry_Sign,Validation
40,0,4,0,2.810667,Loss No_Overtaking_Sign,Training
41,0,4,0,2.605457,Loss No_Overtaking_Sign,Validation
42,0,4,0,0.46583852,Accuracy No_Overtaking_Sign,Training
43,0,4,0,0.5652174,Accuracy No_Overtaking_Sign,Validation
