,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.7588964,Loss,Training
1,0,4,0,2.6871357,Loss,Validation
2,0,4,0,0.47808814,Accuracy,Training
3,0,4,0,0.33955282,Accuracy,Validation
4,0,4,0,2.6997235,Loss Attention_Zone_Sign,Training
5,0,4,0,2.8775735,Loss Attention_Zone_Sign,Validation
6,0,4,0,0.5197368,Accuracy Attention_Zone_Sign,Training
7,0,4,0,0.0,Accuracy Attention_Zone_Sign,Validation
8,0,4,0,2.8039045,Loss End_Of_Restriction_Sign,Training
9,0,4,0,2.705288,Loss End_Of_Restriction_Sign,Validation
10,0,4,0,0.30201343,Accuracy End_Of_Restriction_Sign,Training
11,0,4,0,0.099378884,Accuracy End_Of_Restriction_Sign,Validation
12,0,4,0,2.692094,Loss Give_Way_Sign,Training
13,0,4,0,2.8206444,Loss Give_Way_Sign,Validation
14,0,4,0,0.6818182,Accuracy Give_Way_Sign,Training
15,0,4,0,0.0,Accuracy Give_Way_Sign,Validation
16,0,4,0,2.9153297,Loss Highway_Exit_In_100M_Sign,Training
17,0,4,0,2.734811,Loss Highway_Exit_In_100M_Sign,Validation
18,0,4,0,0.1119403,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,4,0,0.0,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,4,0,2.7577727,Loss Highway_Exit_In_200M_Sign,Training
21,0,4,0,2.6502612,Loss Highway_Exit_In_200M_Sign,Validation
22,0,4,0,0.48407644,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,4,0,0.0,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,4,0,2.7937317,Loss Highway_Exit_In_300M_Sign,Training
25,0,4,0,2.6243534,Loss Highway_Exit_In_300M_Sign,Validation
26,0,4,0,0.34,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,4,0,0.50955415,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,4,0,2.6884584,Loss Highway_Exit_Sign,Training
29,0,4,0,2.4268994,Loss Highway_Exit_Sign,Validation
30,0,4,0,0.64634144,Accuracy Highway_Exit_Sign,Training
31,0,4,0,0.57931036,Accuracy Highway_Exit_Sign,Validation
32,0,4,0,2.7464492,Loss Mandatory_Direction_Sign,Training
33,0,4,0,2.6836617,Loss Mandatory_Direction_Sign,Validation
34,0,4,0,0.47560975,Accuracy Mandatory_Direction_Sign,Training
35,0,4,0,0.39568347,Accuracy Mandatory_Direction_Sign,Validation
36,0,4,0,2.7178767,Loss No_Entry_Sign,Training
37,0,4,0,2.8422399,Loss No_Entry_Sign,Validation
38,0,4,0,0.61728394,Accuracy No_Entry_Sign,Training
39,0,4,0,0.15697674,Accuracy No_Entry_Sign,Validation
40,0,4,0,2.7848644,Loss No_Overtaking_Sign,Training
41,0,4,0,2.7822063,Loss No_Overtaking_Sign,Validation
42,0,4,0,0.48366013,Accuracy No_Overtaking_Sign,Training
43,0,4,0,0.22972973,Accuracy No_Overtaking_Sign,Validation
44,0,4,0,2.7856328,Loss No_Parking_Sign,Training
45,0,4,0,2.6867979,Loss No_Parking_Sign,Validation
46,0,4,0,0.4437086,Accuracy No_Parking_Sign,Training
47,0,4,0,0.5743243,Accuracy No_Parking_Sign,Validation
48,0,4,0,2.924353,Loss Parking_Sign,Training
49,0,4,0,2.8868825,Loss Parking_Sign,Validation
50,0,4,0,0.15873016,Accuracy Parking_Sign,Training
51,0,4,0,0.06936416,Accuracy Parking_Sign,Validation
52,0,4,0,2.5761876,Loss Pedestrian_Zone_Sign,Training
53,0,4,0,2.3265994,Loss Pedestrian_Zone_Sign,Validation
54,0,4,0,0.79850745,Accuracy Pedestrian_Zone_Sign,Training
55,0,4,0,0.7232704,Accuracy Pedestrian_Zone_Sign,Validation
56,0,4,0,2.83868,Loss Priority_Road_Sign,Training
57,0,4,0,2.702574,Loss Priority_Road_Sign,Validation
58,0,4,0,0.3382353,Accuracy Priority_Road_Sign,Training
59,0,4,0,0.56643355,Accuracy Priority_Road_Sign,Validation
60,0,4,0,2.7244031,Loss Slippery_Road_Sign,Training
61,0,4,0,2.5452495,Loss Slippery_Road_Sign,Validation
62,0,4,0,0.5875,Accuracy Slippery_Road_Sign,Training
63,0,4,0,0.5273973,Accuracy Slippery_Road_Sign,Validation
64,0,4,0,2.737191,Loss Speed_Limit_30_Sign,Training
65,0,4,0,2.5336683,Loss Speed_Limit_30_Sign,Validation
66,0,4,0,0.5063291,Accuracy Speed_Limit_30_Sign,Training
67,0,4,0,0.91034484,Accuracy Speed_Limit_30_Sign,Validation
68,0,4,0,2.783463,Loss Speed_Limit_80_Sign,Training
69,0,4,0,2.8562958,Loss Speed_Limit_80_Sign,Validation
70,0,4,0,0.43975905,Accuracy Speed_Limit_80_Sign,Training
71,0,4,0,0.11594203,Accuracy Speed_Limit_80_Sign,Validation
72,0,4,0,2.7178016,Loss Speed_Limit_100_Sign,Training
73,0,4,0,2.62601,Loss Speed_Limit_100_Sign,Validation
74,0,4,0,0.70987654,Accuracy Speed_Limit_100_Sign,Training
75,0,4,0,0.71428573,Accuracy Speed_Limit_100_Sign,Validation
76,0,4,0,2.7760823,Loss Speed_Limit_120_Sign,Training
77,0,4,0,2.7795248,Loss Speed_Limit_120_Sign,Validation
78,0,4,0,0.30666667,Accuracy Speed_Limit_120_Sign,Training
79,0,4,0,0.34814814,Accuracy Speed_Limit_120_Sign,Validation
80,0,4,0,2.7937825,Loss Traffic_Banned_Sign,Training
81,0,4,0,2.8753765,Loss Traffic_Banned_Sign,Validation
82,0,4,0,0.34415585,Accuracy Traffic_Banned_Sign,Training
83,0,4,0,0.0,Accuracy Traffic_Banned_Sign,Validation
84,0,4,0,2.6790469,Loss Work_Zone_Sign,Training
85,0,4,0,2.4629266,Loss Work_Zone_Sign,Validation
86,0,4,0,0.74390244,Accuracy Work_Zone_Sign,Training
87,0,4,0,0.6104651,Accuracy Work_Zone_Sign,Validation
88,0,4,1,2.252787,Loss,Training
89,0,4,1,2.4079869,Loss,Validation
90,0,4,1,0.81715554,Accuracy,Training
91,0,4,1,0.44402775,Accuracy,Validation
92,0,4,1,2.2009106,Loss Attention_Zone_Sign,Training
93,0,4,1,2.657935,Loss Attention_Zone_Sign,Validation
94,0,4,1,0.8235294,Accuracy Attention_Zone_Sign,Training
95,0,4,1,0.0,Accuracy Attention_Zone_Sign,Validation
96,0,4,1,2.394074,Loss End_Of_Restriction_Sign,Training
97,0,4,1,2.4799697,Loss End_Of_Restriction_Sign,Validation
98,0,4,1,0.7291667,Accuracy End_Of_Restriction_Sign,Training
99,0,4,1,0.23636363,Accuracy End_Of_Restriction_Sign,Validation
100,0,4,1,2.185994,Loss Give_Way_Sign,Training
101,0,4,1,2.5068717,Loss Give_Way_Sign,Validation
102,0,4,1,0.9345238,Accuracy Give_Way_Sign,Training
103,0,4,1,0.46938777,Accuracy Give_Way_Sign,Validation
104,0,4,1,2.450407,Loss Highway_Exit_In_100M_Sign,Training
105,0,4,1,2.5846,Loss Highway_Exit_In_100M_Sign,Validation
106,0,4,1,0.4477612,Accuracy Highway_Exit_In_100M_Sign,Training
107,0,4,1,0.0,Accuracy Highway_Exit_In_100M_Sign,Validation
108,0,4,1,2.1618874,Loss Highway_Exit_In_200M_Sign,Training
109,0,4,1,2.4550686,Loss Highway_Exit_In_200M_Sign,Validation
110,0,4,1,0.8933333,Accuracy Highway_Exit_In_200M_Sign,Training
111,0,4,1,0.0,Accuracy Highway_Exit_In_200M_Sign,Validation
112,0,4,1,2.3325493,Loss Highway_Exit_In_300M_Sign,Training
113,0,4,1,2.3039737,Loss Highway_Exit_In_300M_Sign,Validation
114,0,4,1,0.760274,Accuracy Highway_Exit_In_300M_Sign,Training
115,0,4,1,0.33125,Accuracy Highway_Exit_In_300M_Sign,Validation
116,0,4,1,2.061887,Loss Highway_Exit_Sign,Training
117,0,4,1,1.8376999,Loss Highway_Exit_Sign,Validation
118,0,4,1,0.9819277,Accuracy Highway_Exit_Sign,Training
119,0,4,1,1.0,Accuracy Highway_Exit_Sign,Validation
120,0,4,1,2.2366338,Loss Mandatory_Direction_Sign,Training
121,0,4,1,2.5668664,Loss Mandatory_Direction_Sign,Validation
122,0,4,1,0.8780488,Accuracy Mandatory_Direction_Sign,Training
123,0,4,1,0.2125,Accuracy Mandatory_Direction_Sign,Validation
124,0,4,1,2.1889873,Loss No_Entry_Sign,Training
125,0,4,1,2.6936076,Loss No_Entry_Sign,Validation
126,0,4,1,0.9627329,Accuracy No_Entry_Sign,Training
127,0,4,1,0.2992126,Accuracy No_Entry_Sign,Validation
128,0,4,1,2.4246373,Loss No_Overtaking_Sign,Training
129,0,4,1,2.5267973,Loss No_Overtaking_Sign,Validation
130,0,4,1,0.6736111,Accuracy No_Overtaking_Sign,Training
131,0,4,1,0.6363636,Accuracy No_Overtaking_Sign,Validation
132,0,4,1,2.381464,Loss No_Parking_Sign,Training
133,0,4,1,2.3182132,Loss No_Parking_Sign,Validation
134,0,4,1,0.5925926,Accuracy No_Parking_Sign,Training
135,0,4,1,0.7407407,Accuracy No_Parking_Sign,Validation
136,0,4,1,2.3482785,Loss Parking_Sign,Training
137,0,4,1,2.4837875,Loss Parking_Sign,Validation
138,0,4,1,0.76428574,Accuracy Parking_Sign,Training
139,0,4,1,0.48951048,Accuracy Parking_Sign,Validation
140,0,4,1,1.7753288,Loss Pedestrian_Zone_Sign,Training
141,0,4,1,1.7202067,Loss Pedestrian_Zone_Sign,Validation
142,0,4,1,1.0,Accuracy Pedestrian_Zone_Sign,Training
143,0,4,1,0.8358209,Accuracy Pedestrian_Zone_Sign,Validation
144,0,4,1,2.2354734,Loss Priority_Road_Sign,Training
145,0,4,1,2.2916305,Loss Priority_Road_Sign,Validation
146,0,4,1,0.99310344,Accuracy Priority_Road_Sign,Training
147,0,4,1,0.6038961,Accuracy Priority_Road_Sign,Validation
148,0,4,1,2.236326,Loss Slippery_Road_Sign,Training
149,0,4,1,2.1519115,Loss Slippery_Road_Sign,Validation
150,0,4,1,0.902439,Accuracy Slippery_Road_Sign,Training
151,0,4,1,1.0,Accuracy Slippery_Road_Sign,Validation
152,0,4,1,2.271606,Loss Speed_Limit_30_Sign,Training
153,0,4,1,2.2044723,Loss Speed_Limit_30_Sign,Validation
154,0,4,1,0.84931505,Accuracy Speed_Limit_30_Sign,Training
155,0,4,1,0.8271605,Accuracy Speed_Limit_30_Sign,Validation
156,0,4,1,2.3802495,Loss Speed_Limit_80_Sign,Training
157,0,4,1,2.7786403,Loss Speed_Limit_80_Sign,Validation
158,0,4,1,0.716129,Accuracy Speed_Limit_80_Sign,Training
159,0,4,1,0.0,Accuracy Speed_Limit_80_Sign,Validation
160,0,4,1,2.2198994,Loss Speed_Limit_100_Sign,Training
161,0,4,1,2.3664231,Loss Speed_Limit_100_Sign,Validation
162,0,4,1,0.95454544,Accuracy Speed_Limit_100_Sign,Training
163,0,4,1,0.7258065,Accuracy Speed_Limit_100_Sign,Validation
164,0,4,1,2.1559093,Loss Speed_Limit_120_Sign,Training
165,0,4,1,2.5614383,Loss Speed_Limit_120_Sign,Validation
166,0,4,1,0.82822084,Accuracy Speed_Limit_120_Sign,Training
167,0,4,1,0.45604396,Accuracy Speed_Limit_120_Sign,Validation
168,0,4,1,2.360872,Loss Traffic_Banned_Sign,Training
169,0,4,1,2.8792682,Loss Traffic_Banned_Sign,Validation
170,0,4,1,0.73722625,Accuracy Traffic_Banned_Sign,Training
171,0,4,1,0.0,Accuracy Traffic_Banned_Sign,Validation
172,0,4,1,2.3051572,Loss Work_Zone_Sign,Training
173,0,4,1,2.1983397,Loss Work_Zone_Sign,Validation
174,0,4,1,0.7375,Accuracy Work_Zone_Sign,Training
175,0,4,1,0.46052632,Accuracy Work_Zone_Sign,Validation
176,0,4,2,1.85058,Loss,Training
177,0,4,2,2.1906388,Loss,Validation
178,0,4,2,0.8887803,Accuracy,Training
179,0,4,2,0.49684644,Accuracy,Validation
180,0,4,2,1.9002442,Loss Attention_Zone_Sign,Training
181,0,4,2,2.4640474,Loss Attention_Zone_Sign,Validation
182,0,4,2,0.8597561,Accuracy Attention_Zone_Sign,Training
183,0,4,2,0.19375,Accuracy Attention_Zone_Sign,Validation
184,0,4,2,1.9584442,Loss End_Of_Restriction_Sign,Training
185,0,4,2,2.2062528,Loss End_Of_Restriction_Sign,Validation
186,0,4,2,0.8805031,Accuracy End_Of_Restriction_Sign,Training
