,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.6682506,Loss,Training
1,0,2,0,2.7474341,Loss,Validation
2,0,2,0,0.5612682,Accuracy,Training
3,0,2,0,0.27727658,Accuracy,Validation
4,0,2,0,2.6795733,Loss Attention_Zone_Sign,Training
5,0,2,0,2.9100027,Loss Attention_Zone_Sign,Validation
6,0,2,0,0.62222224,Accuracy Attention_Zone_Sign,Training
7,0,2,0,0.25342464,Accuracy Attention_Zone_Sign,Validation
8,0,2,0,2.478297,Loss End_Of_Restriction_Sign,Training
9,0,2,0,2.7086196,Loss End_Of_Restriction_Sign,Validation
10,0,2,0,0.86096257,Accuracy End_Of_Restriction_Sign,Training
11,0,2,0,0.5133333,Accuracy End_Of_Restriction_Sign,Validation
12,0,2,0,2.8022342,Loss Give_Way_Sign,Training
13,0,2,0,2.9140768,Loss Give_Way_Sign,Validation
14,0,2,0,0.4055944,Accuracy Give_Way_Sign,Training
15,0,2,0,0.0,Accuracy Give_Way_Sign,Validation
16,0,2,0,2.5353568,Loss Highway_Exit_In_100M_Sign,Training
17,0,2,0,2.500609,Loss Highway_Exit_In_100M_Sign,Validation
18,0,2,0,0.8490566,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,2,0,0.33136094,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,2,0,2.5605912,Loss Highway_Exit_In_200M_Sign,Training
21,0,2,0,2.7127614,Loss Highway_Exit_In_200M_Sign,Validation
22,0,2,0,0.5714286,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,2,0,0.2012987,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,2,0,2.5718076,Loss Highway_Exit_In_300M_Sign,Training
25,0,2,0,2.4675026,Loss Highway_Exit_In_300M_Sign,Validation
26,0,2,0,0.5606936,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,2,0,0.55487806,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,2,0,2.6818452,Loss Highway_Exit_Sign,Training
29,0,2,0,2.5791328,Loss Highway_Exit_Sign,Validation
30,0,2,0,0.45255473,Accuracy Highway_Exit_Sign,Training
31,0,2,0,0.4370861,Accuracy Highway_Exit_Sign,Validation
32,0,2,0,2.7596138,Loss Mandatory_Direction_Sign,Training
33,0,2,0,2.840575,Loss Mandatory_Direction_Sign,Validation
34,0,2,0,0.4662162,Accuracy Mandatory_Direction_Sign,Training
35,0,2,0,0.17730497,Accuracy Mandatory_Direction_Sign,Validation
36,0,2,0,2.3345222,Loss No_Entry_Sign,Training
37,0,2,0,2.3954132,Loss No_Entry_Sign,Validation
38,0,2,0,0.9130435,Accuracy No_Entry_Sign,Training
39,0,2,0,0.8255814,Accuracy No_Entry_Sign,Validation
40,0,2,0,2.77834,Loss No_Overtaking_Sign,Training
41,0,2,0,2.5381758,Loss No_Overtaking_Sign,Validation
42,0,2,0,0.44936708,Accuracy No_Overtaking_Sign,Training
43,0,2,0,0.537931,Accuracy No_Overtaking_Sign,Validation
44,0,2,0,2.8652678,Loss No_Parking_Sign,Training
45,0,2,0,2.95488,Loss No_Parking_Sign,Validation
46,0,2,0,0.3607595,Accuracy No_Parking_Sign,Training
47,0,2,0,0.0,Accuracy No_Parking_Sign,Validation
48,0,2,0,2.6629958,Loss Parking_Sign,Training
49,0,2,0,2.799712,Loss Parking_Sign,Validation
50,0,2,0,0.4550898,Accuracy Parking_Sign,Training
51,0,2,0,0.10273973,Accuracy Parking_Sign,Validation
52,0,2,0,2.5244513,Loss Pedestrian_Zone_Sign,Training
53,0,2,0,2.3974018,Loss Pedestrian_Zone_Sign,Validation
54,0,2,0,0.5648855,Accuracy Pedestrian_Zone_Sign,Training
55,0,2,0,0.33333334,Accuracy Pedestrian_Zone_Sign,Validation
56,0,2,0,2.8299663,Loss Priority_Road_Sign,Training
57,0,2,0,2.9250536,Loss Priority_Road_Sign,Validation
58,0,2,0,0.34126985,Accuracy Priority_Road_Sign,Training
59,0,2,0,0.105960265,Accuracy Priority_Road_Sign,Validation
60,0,2,0,2.7347314,Loss Slippery_Road_Sign,Training
61,0,2,0,2.8306715,Loss Slippery_Road_Sign,Validation
62,0,2,0,0.5448718,Accuracy Slippery_Road_Sign,Training
63,0,2,0,0.0,Accuracy Slippery_Road_Sign,Validation
64,0,2,0,2.7512546,Loss Speed_Limit_30_Sign,Training
65,0,2,0,2.6282024,Loss Speed_Limit_30_Sign,Validation
66,0,2,0,0.41830066,Accuracy Speed_Limit_30_Sign,Training
67,0,2,0,0.6319444,Accuracy Speed_Limit_30_Sign,Validation
68,0,2,0,2.7145638,Loss Speed_Limit_80_Sign,Training
69,0,2,0,2.7368886,Loss Speed_Limit_80_Sign,Validation
70,0,2,0,0.6,Accuracy Speed_Limit_80_Sign,Training
71,0,2,0,0.1849315,Accuracy Speed_Limit_80_Sign,Validation
72,0,2,0,2.7724447,Loss Speed_Limit_100_Sign,Training
73,0,2,0,3.2154198,Loss Speed_Limit_100_Sign,Validation
74,0,2,0,0.48550725,Accuracy Speed_Limit_100_Sign,Training
75,0,2,0,0.0,Accuracy Speed_Limit_100_Sign,Validation
76,0,2,0,2.614424,Loss Speed_Limit_120_Sign,Training
77,0,2,0,2.821039,Loss Speed_Limit_120_Sign,Validation
78,0,2,0,0.6896552,Accuracy Speed_Limit_120_Sign,Training
79,0,2,0,0.24503312,Accuracy Speed_Limit_120_Sign,Validation
80,0,2,0,2.7648787,Loss Traffic_Banned_Sign,Training
81,0,2,0,3.130805,Loss Traffic_Banned_Sign,Validation
82,0,2,0,0.44360903,Accuracy Traffic_Banned_Sign,Training
83,0,2,0,0.0,Accuracy Traffic_Banned_Sign,Validation
84,0,2,0,2.616102,Loss Work_Zone_Sign,Training
85,0,2,0,2.6891763,Loss Work_Zone_Sign,Validation
86,0,2,0,0.7315436,Accuracy Work_Zone_Sign,Training
87,0,2,0,0.38666666,Accuracy Work_Zone_Sign,Validation
88,0,2,1,1.9815899,Loss,Training
89,0,2,1,2.4828773,Loss,Validation
90,0,2,1,0.96051925,Accuracy,Training
91,0,2,1,0.3516298,Accuracy,Validation
92,0,2,1,2.0153422,Loss Attention_Zone_Sign,Training
93,0,2,1,2.7047324,Loss Attention_Zone_Sign,Validation
94,0,2,1,0.96644294,Accuracy Attention_Zone_Sign,Training
95,0,2,1,0.48125,Accuracy Attention_Zone_Sign,Validation
96,0,2,1,1.7526349,Loss End_Of_Restriction_Sign,Training
97,0,2,1,2.5047362,Loss End_Of_Restriction_Sign,Validation
98,0,2,1,1.0,Accuracy End_Of_Restriction_Sign,Training
99,0,2,1,0.53333336,Accuracy End_Of_Restriction_Sign,Validation
100,0,2,1,2.156681,Loss Give_Way_Sign,Training
101,0,2,1,2.6211164,Loss Give_Way_Sign,Validation
102,0,2,1,0.98657715,Accuracy Give_Way_Sign,Training
103,0,2,1,0.16296296,Accuracy Give_Way_Sign,Validation
104,0,2,1,1.9257253,Loss Highway_Exit_In_100M_Sign,Training
105,0,2,1,2.0840588,Loss Highway_Exit_In_100M_Sign,Validation
106,0,2,1,0.975,Accuracy Highway_Exit_In_100M_Sign,Training
107,0,2,1,0.5,Accuracy Highway_Exit_In_100M_Sign,Validation
108,0,2,1,1.9876493,Loss Highway_Exit_In_200M_Sign,Training
109,0,2,1,2.5153377,Loss Highway_Exit_In_200M_Sign,Validation
110,0,2,1,0.82835823,Accuracy Highway_Exit_In_200M_Sign,Training
111,0,2,1,0.2616279,Accuracy Highway_Exit_In_200M_Sign,Validation
112,0,2,1,1.8719969,Loss Highway_Exit_In_300M_Sign,Training
113,0,2,1,2.2759829,Loss Highway_Exit_In_300M_Sign,Validation
114,0,2,1,0.97931033,Accuracy Highway_Exit_In_300M_Sign,Training
115,0,2,1,0.26506025,Accuracy Highway_Exit_In_300M_Sign,Validation
116,0,2,1,1.8164781,Loss Highway_Exit_Sign,Training
117,0,2,1,1.9990703,Loss Highway_Exit_Sign,Validation
118,0,2,1,1.0,Accuracy Highway_Exit_Sign,Training
119,0,2,1,1.0,Accuracy Highway_Exit_Sign,Validation
120,0,2,1,2.0991201,Loss Mandatory_Direction_Sign,Training
121,0,2,1,2.547362,Loss Mandatory_Direction_Sign,Validation
122,0,2,1,0.9727891,Accuracy Mandatory_Direction_Sign,Training
123,0,2,1,0.34591195,Accuracy Mandatory_Direction_Sign,Validation
124,0,2,1,1.478606,Loss No_Entry_Sign,Training
125,0,2,1,2.1922064,Loss No_Entry_Sign,Validation
126,0,2,1,1.0,Accuracy No_Entry_Sign,Training
127,0,2,1,0.81714284,Accuracy No_Entry_Sign,Validation
128,0,2,1,2.2295249,Loss No_Overtaking_Sign,Training
129,0,2,1,2.296459,Loss No_Overtaking_Sign,Validation
130,0,2,1,0.90604025,Accuracy No_Overtaking_Sign,Training
131,0,2,1,0.44578314,Accuracy No_Overtaking_Sign,Validation
132,0,2,1,2.2112281,Loss No_Parking_Sign,Training
133,0,2,1,2.7764459,Loss No_Parking_Sign,Validation
134,0,2,1,0.9754601,Accuracy No_Parking_Sign,Training
135,0,2,1,0.067567565,Accuracy No_Parking_Sign,Validation
136,0,2,1,1.8432869,Loss Parking_Sign,Training
137,0,2,1,2.5992548,Loss Parking_Sign,Validation
138,0,2,1,0.99378884,Accuracy Parking_Sign,Training
139,0,2,1,0.2631579,Accuracy Parking_Sign,Validation
140,0,2,1,1.7099925,Loss Pedestrian_Zone_Sign,Training
