,seed,examples_per_class,epoch,value,metric,split
0,0,4,0,2.817142,Loss,Training
1,0,4,0,2.7501864,Loss,Validation
2,0,4,0,0.34428424,Accuracy,Training
3,0,4,0,0.28541464,Accuracy,Validation
4,0,4,0,2.8906734,Loss Attention_Zone_Sign,Training
5,0,4,0,2.885234,Loss Attention_Zone_Sign,Validation
6,0,4,0,0.25185186,Accuracy Attention_Zone_Sign,Training
7,0,4,0,0.10273973,Accuracy Attention_Zone_Sign,Validation
8,0,4,0,2.696453,Loss End_Of_Restriction_Sign,Training
9,0,4,0,2.535802,Loss End_Of_Restriction_Sign,Validation
10,0,4,0,0.5989305,Accuracy End_Of_Restriction_Sign,Training
11,0,4,0,0.56,Accuracy End_Of_Restriction_Sign,Validation
12,0,4,0,2.9114487,Loss Give_Way_Sign,Training
13,0,4,0,2.892906,Loss Give_Way_Sign,Validation
14,0,4,0,0.15384616,Accuracy Give_Way_Sign,Training
15,0,4,0,0.055944055,Accuracy Give_Way_Sign,Validation
16,0,4,0,2.749211,Loss Highway_Exit_In_100M_Sign,Training
17,0,4,0,2.5891793,Loss Highway_Exit_In_100M_Sign,Validation
18,0,4,0,0.4779874,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,4,0,0.47928995,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,4,0,2.6779072,Loss Highway_Exit_In_200M_Sign,Training
21,0,4,0,2.7887237,Loss Highway_Exit_In_200M_Sign,Validation
22,0,4,0,0.46103895,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,4,0,0.2012987,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,4,0,2.677751,Loss Highway_Exit_In_300M_Sign,Training
25,0,4,0,2.4677687,Loss Highway_Exit_In_300M_Sign,Validation
26,0,4,0,0.5086705,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,4,0,0.847561,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,4,0,2.9636266,Loss Highway_Exit_Sign,Training
29,0,4,0,2.7313545,Loss Highway_Exit_Sign,Validation
30,0,4,0,0.0729927,Accuracy Highway_Exit_Sign,Training
31,0,4,0,0.1589404,Accuracy Highway_Exit_Sign,Validation
32,0,4,0,2.8657558,Loss Mandatory_Direction_Sign,Training
33,0,4,0,2.8802605,Loss Mandatory_Direction_Sign,Validation
34,0,4,0,0.2027027,Accuracy Mandatory_Direction_Sign,Training
35,0,4,0,0.07092199,Accuracy Mandatory_Direction_Sign,Validation
36,0,4,0,2.631918,Loss No_Entry_Sign,Training
37,0,4,0,2.551935,Loss No_Entry_Sign,Validation
38,0,4,0,0.8198758,Accuracy No_Entry_Sign,Training
39,0,4,0,0.8255814,Accuracy No_Entry_Sign,Validation
40,0,4,0,2.8270304,Loss No_Overtaking_Sign,Training
41,0,4,0,2.632579,Loss No_Overtaking_Sign,Validation
42,0,4,0,0.221519,Accuracy No_Overtaking_Sign,Training
43,0,4,0,0.4,Accuracy No_Overtaking_Sign,Validation
44,0,4,0,2.907475,Loss No_Parking_Sign,Training
45,0,4,0,2.880844,Loss No_Parking_Sign,Validation
46,0,4,0,0.16455697,Accuracy No_Parking_Sign,Training
47,0,4,0,0.15231788,Accuracy No_Parking_Sign,Validation
48,0,4,0,2.779464,Loss Parking_Sign,Training
49,0,4,0,2.687018,Loss Parking_Sign,Validation
50,0,4,0,0.4311377,Accuracy Parking_Sign,Training
51,0,4,0,0.5273973,Accuracy Parking_Sign,Validation
52,0,4,0,2.6878765,Loss Pedestrian_Zone_Sign,Training
53,0,4,0,2.5029895,Loss Pedestrian_Zone_Sign,Validation
54,0,4,0,0.49618322,Accuracy Pedestrian_Zone_Sign,Training
55,0,4,0,0.47517732,Accuracy Pedestrian_Zone_Sign,Validation
56,0,4,0,2.9792273,Loss Priority_Road_Sign,Training
57,0,4,0,2.9981349,Loss Priority_Road_Sign,Validation
58,0,4,0,0.15873016,Accuracy Priority_Road_Sign,Training
59,0,4,0,0.105960265,Accuracy Priority_Road_Sign,Validation
60,0,4,0,2.8107228,Loss Slippery_Road_Sign,Training
61,0,4,0,2.7899718,Loss Slippery_Road_Sign,Validation
62,0,4,0,0.3653846,Accuracy Slippery_Road_Sign,Training
63,0,4,0,0.0,Accuracy Slippery_Road_Sign,Validation
64,0,4,0,2.8560836,Loss Speed_Limit_30_Sign,Training
65,0,4,0,2.7578208,Loss Speed_Limit_30_Sign,Validation
