,seed,examples_per_class,epoch,value,metric,split
0,0,2,0,2.6504927,Loss,Training
1,0,2,0,2.7449756,Loss,Validation
2,0,2,0,0.5907067,Accuracy,Training
3,0,2,0,0.3011016,Accuracy,Validation
4,0,2,0,2.6689475,Loss Attention_Zone_Sign,Training
5,0,2,0,2.9442337,Loss Attention_Zone_Sign,Validation
6,0,2,0,0.6148148,Accuracy Attention_Zone_Sign,Training
7,0,2,0,0.23287672,Accuracy Attention_Zone_Sign,Validation
8,0,2,0,2.4562654,Loss End_Of_Restriction_Sign,Training
9,0,2,0,2.7031105,Loss End_Of_Restriction_Sign,Validation
10,0,2,0,0.87700534,Accuracy End_Of_Restriction_Sign,Training
11,0,2,0,0.5133333,Accuracy End_Of_Restriction_Sign,Validation
12,0,2,0,2.7940278,Loss Give_Way_Sign,Training
13,0,2,0,2.917919,Loss Give_Way_Sign,Validation
14,0,2,0,0.46853146,Accuracy Give_Way_Sign,Training
15,0,2,0,0.0,Accuracy Give_Way_Sign,Validation
16,0,2,0,2.5018532,Loss Highway_Exit_In_100M_Sign,Training
17,0,2,0,2.495425,Loss Highway_Exit_In_100M_Sign,Validation
18,0,2,0,0.9119497,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,2,0,0.52071005,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,2,0,2.5491486,Loss Highway_Exit_In_200M_Sign,Training
21,0,2,0,2.7153375,Loss Highway_Exit_In_200M_Sign,Validation
22,0,2,0,0.6233766,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,2,0,0.2012987,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,2,0,2.535851,Loss Highway_Exit_In_300M_Sign,Training
25,0,2,0,2.4641104,Loss Highway_Exit_In_300M_Sign,Validation
26,0,2,0,0.6300578,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,2,0,0.55487806,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,2,0,2.66378,Loss Highway_Exit_Sign,Training
29,0,2,0,2.5720882,Loss Highway_Exit_Sign,Validation
30,0,2,0,0.52554744,Accuracy Highway_Exit_Sign,Training
31,0,2,0,0.58278143,Accuracy Highway_Exit_Sign,Validation
32,0,2,0,2.703587,Loss Mandatory_Direction_Sign,Training
33,0,2,0,2.8438828,Loss Mandatory_Direction_Sign,Validation
34,0,2,0,0.5743243,Accuracy Mandatory_Direction_Sign,Training
35,0,2,0,0.17730497,Accuracy Mandatory_Direction_Sign,Validation
36,0,2,0,2.314974,Loss No_Entry_Sign,Training
37,0,2,0,2.4154537,Loss No_Entry_Sign,Validation
38,0,2,0,0.9068323,Accuracy No_Entry_Sign,Training
39,0,2,0,0.8255814,Accuracy No_Entry_Sign,Validation
40,0,2,0,2.7897735,Loss No_Overtaking_Sign,Training
41,0,2,0,2.5551808,Loss No_Overtaking_Sign,Validation
42,0,2,0,0.4050633,Accuracy No_Overtaking_Sign,Training
43,0,2,0,0.6689655,Accuracy No_Overtaking_Sign,Validation
44,0,2,0,2.8557892,Loss No_Parking_Sign,Training
45,0,2,0,3.0097768,Loss No_Parking_Sign,Validation
46,0,2,0,0.4177215,Accuracy No_Parking_Sign,Training
47,0,2,0,0.0,Accuracy No_Parking_Sign,Validation
48,0,2,0,2.6512318,Loss Parking_Sign,Training
49,0,2,0,2.7841341,Loss Parking_Sign,Validation
50,0,2,0,0.4311377,Accuracy Parking_Sign,Training
51,0,2,0,0.15753424,Accuracy Parking_Sign,Validation
52,0,2,0,2.5187602,Loss Pedestrian_Zone_Sign,Training
53,0,2,0,2.368874,Loss Pedestrian_Zone_Sign,Validation
54,0,2,0,0.5496183,Accuracy Pedestrian_Zone_Sign,Training
55,0,2,0,0.33333334,Accuracy Pedestrian_Zone_Sign,Validation
56,0,2,0,2.7951374,Loss Priority_Road_Sign,Training
