,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9434643,Loss,Training
1,0,8,0,3.3771122,Loss,Validation
2,0,8,0,0.29618043,Accuracy,Training
3,0,8,0,0.26114312,Accuracy,Validation
4,0,8,0,3.9349675,Loss Person,Training
5,0,8,0,4.002516,Loss Person,Validation
6,0,8,0,0.1641791,Accuracy Person,Training
7,0,8,0,0.03062201,Accuracy Person,Validation
8,0,8,0,3.9902112,Loss Bicycle,Training
9,0,8,0,3.8429508,Loss Bicycle,Validation
10,0,8,0,0.25675675,Accuracy Bicycle,Training
11,0,8,0,0.027027028,Accuracy Bicycle,Validation
12,0,8,0,4.019292,Loss Car,Training
13,0,8,0,3.7910771,Loss Car,Validation
14,0,8,0,0.10294118,Accuracy Car,Training
15,0,8,0,0.03448276,Accuracy Car,Validation
16,0,8,0,4.0992804,Loss Motorcycle,Training
17,0,8,0,3.7751884,Loss Motorcycle,Validation
18,0,8,0,0.17857143,Accuracy Motorcycle,Training
19,0,8,0,0.375,Accuracy Motorcycle,Validation
20,0,8,0,4.147673,Loss Airplane,Training
21,0,8,0,4.0311136,Loss Airplane,Validation
22,0,8,0,0.225,Accuracy Airplane,Training
23,0,8,0,0.3653846,Accuracy Airplane,Validation
24,0,8,0,3.9926538,Loss Bus,Training
25,0,8,0,3.7057436,Loss Bus,Validation
26,0,8,0,0.34736842,Accuracy Bus,Training
27,0,8,0,0.72159094,Accuracy Bus,Validation
28,0,8,0,4.1709104,Loss Train,Training
29,0,8,0,4.0417356,Loss Train,Validation
30,0,8,0,0.067567565,Accuracy Train,Training
31,0,8,0,0.12068965,Accuracy Train,Validation
32,0,8,0,3.81521,Loss Truck,Training
33,0,8,0,3.7513247,Loss Truck,Validation
34,0,8,0,0.54545456,Accuracy Truck,Training
35,0,8,0,0.31060606,Accuracy Truck,Validation
36,0,8,0,3.9242013,Loss Boat,Training
37,0,8,0,3.7443826,Loss Boat,Validation
38,0,8,0,0.19736843,Accuracy Boat,Training
39,0,8,0,0.5535714,Accuracy Boat,Validation
40,0,8,0,3.9804468,Loss Traffic Light,Training
41,0,8,0,3.7297115,Loss Traffic Light,Validation
42,0,8,0,0.18518518,Accuracy Traffic Light,Training
43,0,8,0,0.2881356,Accuracy Traffic Light,Validation
44,0,8,0,3.6360173,Loss Fire Hydrant,Training
45,0,8,0,3.3827856,Loss Fire Hydrant,Validation
46,0,8,0,0.66233766,Accuracy Fire Hydrant,Training
47,0,8,0,0.8888889,Accuracy Fire Hydrant,Validation
48,0,8,0,4.011251,Loss Stop Sign,Training
49,0,8,0,3.772797,Loss Stop Sign,Validation
50,0,8,0,0.30952382,Accuracy Stop Sign,Training
51,0,8,0,0.35849056,Accuracy Stop Sign,Validation
52,0,8,0,3.7900393,Loss Parking Meter,Training
53,0,8,0,3.7554553,Loss Parking Meter,Validation
54,0,8,0,0.47126436,Accuracy Parking Meter,Training
55,0,8,0,0.375,Accuracy Parking Meter,Validation
56,0,8,0,3.907443,Loss Bench,Training
57,0,8,0,3.8499773,Loss Bench,Validation
58,0,8,0,0.40697673,Accuracy Bench,Training
59,0,8,0,0.16666667,Accuracy Bench,Validation
60,0,8,0,4.169703,Loss Bird,Training
61,0,8,0,4.0351777,Loss Bird,Validation
62,0,8,0,0.037037037,Accuracy Bird,Training
63,0,8,0,0.09375,Accuracy Bird,Validation
64,0,8,0,3.6792634,Loss Cat,Training
65,0,8,0,3.4193456,Loss Cat,Validation
66,0,8,0,0.6363636,Accuracy Cat,Training
67,0,8,0,0.66386557,Accuracy Cat,Validation
68,0,8,0,3.8457265,Loss Dog,Training
69,0,8,0,3.7837067,Loss Dog,Validation
70,0,8,0,0.45454547,Accuracy Dog,Training
71,0,8,0,0.33846155,Accuracy Dog,Validation
72,0,8,0,4.1040673,Loss Horse,Training
73,0,8,0,3.9774144,Loss Horse,Validation
74,0,8,0,0.016949153,Accuracy Horse,Training
75,0,8,0,0.015625,Accuracy Horse,Validation
76,0,8,0,3.9715858,Loss Sheep,Training
77,0,8,0,3.8787792,Loss Sheep,Validation
78,0,8,0,0.35135135,Accuracy Sheep,Training
79,0,8,0,0.15277778,Accuracy Sheep,Validation
80,0,8,0,3.8424895,Loss Cow,Training
81,0,8,0,3.6198556,Loss Cow,Validation
82,0,8,0,0.4408602,Accuracy Cow,Training
83,0,8,0,0.24675325,Accuracy Cow,Validation
84,0,8,0,4.0783396,Loss Elephant,Training
85,0,8,0,3.924601,Loss Elephant,Validation
86,0,8,0,0.12048193,Accuracy Elephant,Training
87,0,8,0,0.34653464,Accuracy Elephant,Validation
88,0,8,0,4.049585,Loss Bear,Training
89,0,8,0,4.0450063,Loss Bear,Validation
90,0,8,0,0.23943663,Accuracy Bear,Training
91,0,8,0,0.2881356,Accuracy Bear,Validation
92,0,8,0,4.157393,Loss Zebra,Training
93,0,8,0,3.987928,Loss Zebra,Validation
94,0,8,0,0.19753087,Accuracy Zebra,Training
95,0,8,0,0.4329897,Accuracy Zebra,Validation
96,0,8,0,3.722251,Loss Giraffe,Training
97,0,8,0,3.227713,Loss Giraffe,Validation
98,0,8,0,0.72164947,Accuracy Giraffe,Training
99,0,8,0,0.99065423,Accuracy Giraffe,Validation
100,0,8,0,3.8637295,Loss Backpack,Training
101,0,8,0,3.7629604,Loss Backpack,Validation
102,0,8,0,0.25,Accuracy Backpack,Training
103,0,8,0,0.0,Accuracy Backpack,Validation
104,0,8,0,3.9236343,Loss Umbrella,Training
105,0,8,0,3.8163927,Loss Umbrella,Validation
106,0,8,0,0.3647059,Accuracy Umbrella,Training
107,0,8,0,0.22916667,Accuracy Umbrella,Validation
108,0,8,0,3.6215339,Loss Handbag,Training
109,0,8,0,0.0,Loss Handbag,Validation
110,0,8,0,0.69863015,Accuracy Handbag,Training
111,0,8,0,0.0,Accuracy Handbag,Validation
112,0,8,0,3.9444509,Loss Tie,Training
113,0,8,0,0.0,Loss Tie,Validation
114,0,8,0,0.29268292,Accuracy Tie,Training
115,0,8,0,0.0,Accuracy Tie,Validation
116,0,8,0,4.024439,Loss Suitcase,Training
117,0,8,0,3.6664748,Loss Suitcase,Validation
118,0,8,0,0.17910448,Accuracy Suitcase,Training
119,0,8,0,0.15151516,Accuracy Suitcase,Validation
120,0,8,0,3.966344,Loss Frisbee,Training
121,0,8,0,3.9840915,Loss Frisbee,Validation
122,0,8,0,0.31343284,Accuracy Frisbee,Training
123,0,8,0,0.6666667,Accuracy Frisbee,Validation
124,0,8,0,3.900297,Loss Skis,Training
125,0,8,0,0.0,Loss Skis,Validation
126,0,8,0,0.25,Accuracy Skis,Training
127,0,8,0,0.0,Accuracy Skis,Validation
128,0,8,0,3.7967346,Loss Snowboard,Training
129,0,8,0,3.6629596,Loss Snowboard,Validation
130,0,8,0,0.58064514,Accuracy Snowboard,Training
131,0,8,0,0.5,Accuracy Snowboard,Validation
132,0,8,0,3.8648245,Loss Sports Ball,Training
133,0,8,0,0.0,Loss Sports Ball,Validation
134,0,8,0,0.34408602,Accuracy Sports Ball,Training
135,0,8,0,0.0,Accuracy Sports Ball,Validation
136,0,8,0,3.9936626,Loss Kite,Training
137,0,8,0,3.6651497,Loss Kite,Validation
138,0,8,0,0.116883114,Accuracy Kite,Training
139,0,8,0,0.25714287,Accuracy Kite,Validation
140,0,8,0,4.0144024,Loss Baseball Bat,Training
141,0,8,0,0.0,Loss Baseball Bat,Validation
142,0,8,0,0.13580246,Accuracy Baseball Bat,Training
143,0,8,0,0.0,Accuracy Baseball Bat,Validation
144,0,8,0,3.9817913,Loss Baseball Glove,Training
145,0,8,0,3.9861722,Loss Baseball Glove,Validation
