,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9410903,Loss,Training
1,0,8,0,3.4505036,Loss,Validation
2,0,8,0,0.26872826,Accuracy,Training
3,0,8,0,0.26984924,Accuracy,Validation
4,0,8,0,3.8071277,Loss Person,Training
5,0,8,0,3.721702,Loss Person,Validation
6,0,8,0,0.30379745,Accuracy Person,Training
7,0,8,0,0.1994135,Accuracy Person,Validation
8,0,8,0,3.677474,Loss Bicycle,Training
9,0,8,0,3.4887094,Loss Bicycle,Validation
10,0,8,0,0.57471263,Accuracy Bicycle,Training
11,0,8,0,0.6615385,Accuracy Bicycle,Validation
12,0,8,0,3.754556,Loss Car,Training
13,0,8,0,3.6677852,Loss Car,Validation
14,0,8,0,0.36708862,Accuracy Car,Training
15,0,8,0,0.37724552,Accuracy Car,Validation
16,0,8,0,4.0956135,Loss Motorcycle,Training
17,0,8,0,3.9252279,Loss Motorcycle,Validation
18,0,8,0,0.10810811,Accuracy Motorcycle,Training
19,0,8,0,0.12068965,Accuracy Motorcycle,Validation
20,0,8,0,4.0914545,Loss Airplane,Training
21,0,8,0,3.9870808,Loss Airplane,Validation
22,0,8,0,0.16216215,Accuracy Airplane,Training
23,0,8,0,0.18446602,Accuracy Airplane,Validation
24,0,8,0,4.0662413,Loss Bus,Training
25,0,8,0,3.8092968,Loss Bus,Validation
26,0,8,0,0.12345679,Accuracy Bus,Training
27,0,8,0,0.47619048,Accuracy Bus,Validation
28,0,8,0,3.966957,Loss Train,Training
29,0,8,0,3.8146448,Loss Train,Validation
30,0,8,0,0.3888889,Accuracy Train,Training
31,0,8,0,0.5591398,Accuracy Train,Validation
32,0,8,0,3.8741584,Loss Truck,Training
33,0,8,0,3.8744566,Loss Truck,Validation
34,0,8,0,0.35526314,Accuracy Truck,Training
35,0,8,0,0.13636364,Accuracy Truck,Validation
36,0,8,0,3.9178963,Loss Boat,Training
37,0,8,0,3.769963,Loss Boat,Validation
38,0,8,0,0.22222222,Accuracy Boat,Training
39,0,8,0,0.3495935,Accuracy Boat,Validation
40,0,8,0,3.985614,Loss Traffic Light,Training
41,0,8,0,3.8377283,Loss Traffic Light,Validation
42,0,8,0,0.17142858,Accuracy Traffic Light,Training
43,0,8,0,0.2173913,Accuracy Traffic Light,Validation
44,0,8,0,3.9390998,Loss Fire Hydrant,Training
45,0,8,0,3.6404424,Loss Fire Hydrant,Validation
46,0,8,0,0.17460318,Accuracy Fire Hydrant,Training
47,0,8,0,0.29032257,Accuracy Fire Hydrant,Validation
48,0,8,0,3.9680326,Loss Stop Sign,Training
49,0,8,0,3.8440013,Loss Stop Sign,Validation
50,0,8,0,0.17777778,Accuracy Stop Sign,Training
51,0,8,0,0.0952381,Accuracy Stop Sign,Validation
52,0,8,0,3.8975737,Loss Parking Meter,Training
53,0,8,0,3.7370522,Loss Parking Meter,Validation
54,0,8,0,0.25,Accuracy Parking Meter,Training
55,0,8,0,0.59090906,Accuracy Parking Meter,Validation
56,0,8,0,3.982278,Loss Bench,Training
57,0,8,0,3.8306608,Loss Bench,Validation
58,0,8,0,0.15584415,Accuracy Bench,Training
59,0,8,0,0.1923077,Accuracy Bench,Validation
60,0,8,0,4.1150603,Loss Bird,Training
61,0,8,0,4.0040507,Loss Bird,Validation
62,0,8,0,0.11494253,Accuracy Bird,Training
63,0,8,0,0.20779221,Accuracy Bird,Validation
64,0,8,0,3.7683835,Loss Cat,Training
65,0,8,0,3.3607488,Loss Cat,Validation
66,0,8,0,0.4875,Accuracy Cat,Training
67,0,8,0,0.74766356,Accuracy Cat,Validation
68,0,8,0,4.121972,Loss Dog,Training
69,0,8,0,3.8743234,Loss Dog,Validation
70,0,8,0,0.09090909,Accuracy Dog,Training
71,0,8,0,0.014492754,Accuracy Dog,Validation
72,0,8,0,3.9061406,Loss Horse,Training
73,0,8,0,3.7871923,Loss Horse,Validation
74,0,8,0,0.38961038,Accuracy Horse,Training
75,0,8,0,0.17518248,Accuracy Horse,Validation
76,0,8,0,3.9169247,Loss Sheep,Training
77,0,8,0,3.770451,Loss Sheep,Validation
78,0,8,0,0.36619717,Accuracy Sheep,Training
79,0,8,0,0.19444445,Accuracy Sheep,Validation
80,0,8,0,3.676821,Loss Cow,Training
81,0,8,0,3.4500935,Loss Cow,Validation
82,0,8,0,0.742268,Accuracy Cow,Training
83,0,8,0,0.71428573,Accuracy Cow,Validation
84,0,8,0,4.0136895,Loss Elephant,Training
85,0,8,0,3.9181652,Loss Elephant,Validation
86,0,8,0,0.36144578,Accuracy Elephant,Training
87,0,8,0,0.53846157,Accuracy Elephant,Validation
88,0,8,0,4.04306,Loss Bear,Training
89,0,8,0,3.9771216,Loss Bear,Validation
90,0,8,0,0.34444445,Accuracy Bear,Training
91,0,8,0,0.35714287,Accuracy Bear,Validation
92,0,8,0,4.3383822,Loss Zebra,Training
93,0,8,0,4.177542,Loss Zebra,Validation
94,0,8,0,0.0,Accuracy Zebra,Training
95,0,8,0,0.02020202,Accuracy Zebra,Validation
96,0,8,0,3.9320872,Loss Giraffe,Training
97,0,8,0,3.6509979,Loss Giraffe,Validation
98,0,8,0,0.30985916,Accuracy Giraffe,Training
99,0,8,0,0.26041666,Accuracy Giraffe,Validation
100,0,8,0,3.8988097,Loss Backpack,Training
101,0,8,0,3.9871993,Loss Backpack,Validation
102,0,8,0,0.24657534,Accuracy Backpack,Training
103,0,8,0,0.0,Accuracy Backpack,Validation
104,0,8,0,3.8643928,Loss Umbrella,Training
105,0,8,0,3.7364025,Loss Umbrella,Validation
106,0,8,0,0.32608697,Accuracy Umbrella,Training
107,0,8,0,0.18,Accuracy Umbrella,Validation
108,0,8,0,3.8846776,Loss Handbag,Training
109,0,8,0,0.0,Loss Handbag,Validation
110,0,8,0,0.25714287,Accuracy Handbag,Training
111,0,8,0,0.0,Accuracy Handbag,Validation
112,0,8,0,4.0900207,Loss Tie,Training
113,0,8,0,3.4678855,Loss Tie,Validation
114,0,8,0,0.16883117,Accuracy Tie,Training
115,0,8,0,0.0,Accuracy Tie,Validation
116,0,8,0,3.819406,Loss Suitcase,Training
117,0,8,0,3.5719097,Loss Suitcase,Validation
118,0,8,0,0.22077923,Accuracy Suitcase,Training
119,0,8,0,0.34375,Accuracy Suitcase,Validation
120,0,8,0,4.031216,Loss Frisbee,Training
121,0,8,0,3.6433473,Loss Frisbee,Validation
122,0,8,0,0.19117647,Accuracy Frisbee,Training
123,0,8,0,0.2,Accuracy Frisbee,Validation
124,0,8,0,4.0604286,Loss Skis,Training
125,0,8,0,0.0,Loss Skis,Validation
126,0,8,0,0.07608695,Accuracy Skis,Training
127,0,8,0,0.0,Accuracy Skis,Validation
128,0,8,0,3.6824312,Loss Snowboard,Training
129,0,8,0,3.5298512,Loss Snowboard,Validation
130,0,8,0,0.75757575,Accuracy Snowboard,Training
131,0,8,0,0.5,Accuracy Snowboard,Validation
132,0,8,0,4.0845265,Loss Sports Ball,Training
133,0,8,0,0.0,Loss Sports Ball,Validation
134,0,8,0,0.03076923,Accuracy Sports Ball,Training
135,0,8,0,0.0,Accuracy Sports Ball,Validation
136,0,8,0,3.8694265,Loss Kite,Training
137,0,8,0,3.5765364,Loss Kite,Validation
138,0,8,0,0.1904762,Accuracy Kite,Training
139,0,8,0,0.537037,Accuracy Kite,Validation
140,0,8,0,3.913574,Loss Baseball Bat,Training
141,0,8,0,0.0,Loss Baseball Bat,Validation
142,0,8,0,0.29213482,Accuracy Baseball Bat,Training
143,0,8,0,0.0,Accuracy Baseball Bat,Validation
144,0,8,0,3.8536236,Loss Baseball Glove,Training
145,0,8,0,3.7629008,Loss Baseball Glove,Validation
146,0,8,0,0.675,Accuracy Baseball Glove,Training
147,0,8,0,0.0,Accuracy Baseball Glove,Validation
148,0,8,0,3.7549765,Loss Skateboard,Training
149,0,8,0,3.5005155,Loss Skateboard,Validation
150,0,8,0,0.44827586,Accuracy Skateboard,Training
151,0,8,0,0.75,Accuracy Skateboard,Validation
152,0,8,0,3.6786323,Loss Surfboard,Training
153,0,8,0,3.4933221,Loss Surfboard,Validation
154,0,8,0,0.5180723,Accuracy Surfboard,Training
155,0,8,0,0.64,Accuracy Surfboard,Validation
156,0,8,0,4.0871696,Loss Tennis Racket,Training
157,0,8,0,0.0,Loss Tennis Racket,Validation
158,0,8,0,0.2413793,Accuracy Tennis Racket,Training
159,0,8,0,0.0,Accuracy Tennis Racket,Validation
160,0,8,0,3.7362332,Loss Bottle,Training
161,0,8,0,3.845398,Loss Bottle,Validation
162,0,8,0,0.6,Accuracy Bottle,Training
163,0,8,0,0.15,Accuracy Bottle,Validation
164,0,8,0,4.085058,Loss Wine Glass,Training
165,0,8,0,0.0,Loss Wine Glass,Validation
166,0,8,0,0.15584415,Accuracy Wine Glass,Training
167,0,8,0,0.0,Accuracy Wine Glass,Validation
168,0,8,0,3.770045,Loss Cup,Training
169,0,8,0,3.7726114,Loss Cup,Validation
170,0,8,0,0.51724136,Accuracy Cup,Training
171,0,8,0,0.30769232,Accuracy Cup,Validation
172,0,8,0,3.9231422,Loss Fork,Training
173,0,8,0,3.7346566,Loss Fork,Validation
174,0,8,0,0.0875,Accuracy Fork,Training
175,0,8,0,0.125,Accuracy Fork,Validation
176,0,8,0,4.037508,Loss Knife,Training
177,0,8,0,4.0197043,Loss Knife,Validation
178,0,8,0,0.21176471,Accuracy Knife,Training
179,0,8,0,0.0,Accuracy Knife,Validation
180,0,8,0,4.0893617,Loss Spoon,Training
181,0,8,0,3.677452,Loss Spoon,Validation
182,0,8,0,0.034883723,Accuracy Spoon,Training
183,0,8,0,0.0,Accuracy Spoon,Validation
184,0,8,0,3.7765832,Loss Bowl,Training
185,0,8,0,3.691659,Loss Bowl,Validation
186,0,8,0,0.22988506,Accuracy Bowl,Training
187,0,8,0,0.35211268,Accuracy Bowl,Validation
188,0,8,0,4.1212397,Loss Banana,Training
189,0,8,0,4.036873,Loss Banana,Validation
190,0,8,0,0.11627907,Accuracy Banana,Training
191,0,8,0,0.32786885,Accuracy Banana,Validation
192,0,8,0,4.0506806,Loss Apple,Training
193,0,8,0,3.9663248,Loss Apple,Validation
194,0,8,0,0.1744186,Accuracy Apple,Training
195,0,8,0,0.3529412,Accuracy Apple,Validation
196,0,8,0,3.7145731,Loss Sandwich,Training
197,0,8,0,3.4409769,Loss Sandwich,Validation
198,0,8,0,0.6846847,Accuracy Sandwich,Training
199,0,8,0,0.71428573,Accuracy Sandwich,Validation
200,0,8,0,4.4084783,Loss Orange,Training
201,0,8,0,4.2382636,Loss Orange,Validation
202,0,8,0,0.0,Accuracy Orange,Training
203,0,8,0,0.0,Accuracy Orange,Validation
204,0,8,0,4.0462093,Loss Broccoli,Training
205,0,8,0,3.7772489,Loss Broccoli,Validation
206,0,8,0,0.08219178,Accuracy Broccoli,Training
207,0,8,0,0.31034482,Accuracy Broccoli,Validation
208,0,8,0,3.978194,Loss Carrot,Training
209,0,8,0,3.71929,Loss Carrot,Validation
210,0,8,0,0.07368421,Accuracy Carrot,Training
211,0,8,0,0.0,Accuracy Carrot,Validation
212,0,8,0,4.0539002,Loss Hot Dog,Training
213,0,8,0,3.94053,Loss Hot Dog,Validation
214,0,8,0,0.04819277,Accuracy Hot Dog,Training
215,0,8,0,0.26666668,Accuracy Hot Dog,Validation
216,0,8,0,3.89774,Loss Pizza,Training
217,0,8,0,3.7556324,Loss Pizza,Validation
218,0,8,0,0.371134,Accuracy Pizza,Training
219,0,8,0,0.55,Accuracy Pizza,Validation
220,0,8,0,3.8954031,Loss Donut,Training
221,0,8,0,3.8902004,Loss Donut,Validation
222,0,8,0,0.3139535,Accuracy Donut,Training
223,0,8,0,0.5882353,Accuracy Donut,Validation
224,0,8,0,3.9276674,Loss Cake,Training
225,0,8,0,4.000131,Loss Cake,Validation
226,0,8,0,0.2238806,Accuracy Cake,Training
227,0,8,0,0.0,Accuracy Cake,Validation
228,0,8,0,3.953515,Loss Chair,Training
229,0,8,0,3.9371083,Loss Chair,Validation
230,0,8,0,0.10144927,Accuracy Chair,Training
231,0,8,0,0.011764706,Accuracy Chair,Validation
232,0,8,0,3.8863566,Loss Couch,Training
233,0,8,0,3.3969572,Loss Couch,Validation
234,0,8,0,0.20779221,Accuracy Couch,Training
235,0,8,0,0.6938776,Accuracy Couch,Validation
236,0,8,0,3.8111832,Loss Potted Plant,Training
237,0,8,0,3.6643195,Loss Potted Plant,Validation
238,0,8,0,0.5232558,Accuracy Potted Plant,Training
239,0,8,0,0.5,Accuracy Potted Plant,Validation
240,0,8,0,3.906645,Loss Bed,Training
241,0,8,0,3.665316,Loss Bed,Validation
242,0,8,0,0.18421052,Accuracy Bed,Training
243,0,8,0,0.15503876,Accuracy Bed,Validation
244,0,8,0,3.6734855,Loss Dining Table,Training
245,0,8,0,3.63026,Loss Dining Table,Validation
246,0,8,0,0.46835443,Accuracy Dining Table,Training
247,0,8,0,0.35576922,Accuracy Dining Table,Validation
248,0,8,0,3.7873266,Loss Toilet,Training
249,0,8,0,3.7158103,Loss Toilet,Validation
250,0,8,0,0.5113636,Accuracy Toilet,Training
251,0,8,0,0.63235295,Accuracy Toilet,Validation
252,0,8,0,4.0586057,Loss Tv,Training
253,0,8,0,3.847333,Loss Tv,Validation
254,0,8,0,0.07692308,Accuracy Tv,Training
255,0,8,0,0.060606062,Accuracy Tv,Validation
256,0,8,0,3.7182581,Loss Laptop,Training
257,0,8,0,3.6189096,Loss Laptop,Validation
258,0,8,0,0.6395349,Accuracy Laptop,Training
259,0,8,0,0.5925926,Accuracy Laptop,Validation
260,0,8,0,3.7903035,Loss Mouse,Training
261,0,8,0,0.0,Loss Mouse,Validation
262,0,8,0,0.6385542,Accuracy Mouse,Training
263,0,8,0,0.0,Accuracy Mouse,Validation
264,0,8,0,3.9876888,Loss Remote,Training
265,0,8,0,3.6385384,Loss Remote,Validation
266,0,8,0,0.30952382,Accuracy Remote,Training
267,0,8,0,1.0,Accuracy Remote,Validation
268,0,8,0,4.050207,Loss Keyboard,Training
269,0,8,0,3.754717,Loss Keyboard,Validation
270,0,8,0,0.1,Accuracy Keyboard,Training
271,0,8,0,0.25,Accuracy Keyboard,Validation
272,0,8,0,4.012554,Loss Cell Phone,Training
273,0,8,0,3.8813634,Loss Cell Phone,Validation
274,0,8,0,0.31578946,Accuracy Cell Phone,Training
275,0,8,0,0.1904762,Accuracy Cell Phone,Validation
276,0,8,0,3.9624028,Loss Microwave,Training
277,0,8,0,3.8626218,Loss Microwave,Validation
278,0,8,0,0.0882353,Accuracy Microwave,Training
279,0,8,0,0.30769232,Accuracy Microwave,Validation
280,0,8,0,3.7803195,Loss Oven,Training
281,0,8,0,3.695417,Loss Oven,Validation
282,0,8,0,0.33766234,Accuracy Oven,Training
283,0,8,0,0.34545454,Accuracy Oven,Validation
284,0,8,0,3.9473834,Loss Toaster,Training
285,0,8,0,4.0102806,Loss Toaster,Validation
286,0,8,0,0.26190478,Accuracy Toaster,Training
287,0,8,0,0.0,Accuracy Toaster,Validation
288,0,8,0,3.974404,Loss Sink,Training
289,0,8,0,3.750037,Loss Sink,Validation
290,0,8,0,0.18181819,Accuracy Sink,Training
291,0,8,0,0.275,Accuracy Sink,Validation
292,0,8,0,3.86922,Loss Refrigerator,Training
293,0,8,0,3.7622397,Loss Refrigerator,Validation
294,0,8,0,0.2413793,Accuracy Refrigerator,Training
295,0,8,0,0.23728813,Accuracy Refrigerator,Validation
296,0,8,0,4.069774,Loss Book,Training
297,0,8,0,4.035918,Loss Book,Validation
298,0,8,0,0.0,Accuracy Book,Training
299,0,8,0,0.0,Accuracy Book,Validation
300,0,8,0,3.9840117,Loss Clock,Training
301,0,8,0,3.806812,Loss Clock,Validation
302,0,8,0,0.3068182,Accuracy Clock,Training
303,0,8,0,0.63114756,Accuracy Clock,Validation
304,0,8,0,4.0454736,Loss Vase,Training
305,0,8,0,3.9909813,Loss Vase,Validation
306,0,8,0,0.072463766,Accuracy Vase,Training
307,0,8,0,0.04347826,Accuracy Vase,Validation
308,0,8,0,4.1202445,Loss Scissors,Training
309,0,8,0,4.119583,Loss Scissors,Validation
310,0,8,0,0.0625,Accuracy Scissors,Training
311,0,8,0,0.0,Accuracy Scissors,Validation
312,0,8,0,3.9900281,Loss Teddy Bear,Training
313,0,8,0,3.674359,Loss Teddy Bear,Validation
314,0,8,0,0.32608697,Accuracy Teddy Bear,Training
315,0,8,0,0.42857143,Accuracy Teddy Bear,Validation
316,0,8,0,3.9510288,Loss Hair Drier,Training
317,0,8,0,3.9107904,Loss Hair Drier,Validation
318,0,8,0,0.1369863,Accuracy Hair Drier,Training
319,0,8,0,0.0,Accuracy Hair Drier,Validation
320,0,8,0,4.014906,Loss Toothbrush,Training
321,0,8,0,3.9743748,Loss Toothbrush,Validation
322,0,8,0,0.097222224,Accuracy Toothbrush,Training
323,0,8,0,0.0,Accuracy Toothbrush,Validation
324,0,8,1,3.2042065,Loss,Training
325,0,8,1,3.0819542,Loss,Validation
326,0,8,1,0.6935508,Accuracy,Training
327,0,8,1,0.40264773,Accuracy,Validation
328,0,8,1,3.082148,Loss Person,Training
329,0,8,1,3.3692677,Loss Person,Validation
330,0,8,1,0.5125,Accuracy Person,Training
331,0,8,1,0.29649207,Accuracy Person,Validation
332,0,8,1,2.811482,Loss Bicycle,Training
333,0,8,1,3.0396745,Loss Bicycle,Validation
334,0,8,1,0.89873415,Accuracy Bicycle,Training
335,0,8,1,0.75,Accuracy Bicycle,Validation
336,0,8,1,3.0390513,Loss Car,Training
337,0,8,1,3.274023,Loss Car,Validation
338,0,8,1,0.82191783,Accuracy Car,Training
339,0,8,1,0.2137931,Accuracy Car,Validation
340,0,8,1,3.2783034,Loss Motorcycle,Training
341,0,8,1,3.2827373,Loss Motorcycle,Validation
342,0,8,1,0.7920792,Accuracy Motorcycle,Training
343,0,8,1,0.7307692,Accuracy Motorcycle,Validation
344,0,8,1,3.5433056,Loss Airplane,Training
345,0,8,1,3.4976997,Loss Airplane,Validation
346,0,8,1,0.73493975,Accuracy Airplane,Training
347,0,8,1,0.6666667,Accuracy Airplane,Validation
348,0,8,1,3.2682247,Loss Bus,Training
349,0,8,1,3.3149047,Loss Bus,Validation
350,0,8,1,0.75,Accuracy Bus,Training
351,0,8,1,0.725,Accuracy Bus,Validation
352,0,8,1,3.3145213,Loss Train,Training
353,0,8,1,3.486704,Loss Train,Validation
354,0,8,1,0.9,Accuracy Train,Training
355,0,8,1,0.66467065,Accuracy Train,Validation
356,0,8,1,3.1707072,Loss Truck,Training
357,0,8,1,3.5790489,Loss Truck,Validation
358,0,8,1,0.69014084,Accuracy Truck,Training
359,0,8,1,0.15652174,Accuracy Truck,Validation
360,0,8,1,3.1885784,Loss Boat,Training
361,0,8,1,3.339795,Loss Boat,Validation
362,0,8,1,0.6111111,Accuracy Boat,Training
363,0,8,1,0.5714286,Accuracy Boat,Validation
364,0,8,1,3.323665,Loss Traffic Light,Training
365,0,8,1,3.3056202,Loss Traffic Light,Validation
366,0,8,1,0.8045977,Accuracy Traffic Light,Training
367,0,8,1,0.3970588,Accuracy Traffic Light,Validation
368,0,8,1,2.9372597,Loss Fire Hydrant,Training
369,0,8,1,2.9117248,Loss Fire Hydrant,Validation
370,0,8,1,0.93939394,Accuracy Fire Hydrant,Training
371,0,8,1,0.8,Accuracy Fire Hydrant,Validation
372,0,8,1,3.0809312,Loss Stop Sign,Training
373,0,8,1,3.1900334,Loss Stop Sign,Validation
374,0,8,1,0.8901099,Accuracy Stop Sign,Training
375,0,8,1,0.46969697,Accuracy Stop Sign,Validation
376,0,8,1,3.213154,Loss Parking Meter,Training
377,0,8,1,3.366214,Loss Parking Meter,Validation
378,0,8,1,0.73333335,Accuracy Parking Meter,Training
379,0,8,1,0.5555556,Accuracy Parking Meter,Validation
380,0,8,1,3.202367,Loss Bench,Training
381,0,8,1,3.5659413,Loss Bench,Validation
382,0,8,1,0.8378378,Accuracy Bench,Training
383,0,8,1,0.26271185,Accuracy Bench,Validation
384,0,8,1,3.3931174,Loss Bird,Training
385,0,8,1,3.574161,Loss Bird,Validation
386,0,8,1,0.686747,Accuracy Bird,Training
387,0,8,1,0.6216216,Accuracy Bird,Validation
388,0,8,1,2.840509,Loss Cat,Training
389,0,8,1,3.0268462,Loss Cat,Validation
390,0,8,1,0.98630136,Accuracy Cat,Training
391,0,8,1,0.75,Accuracy Cat,Validation
392,0,8,1,3.3252618,Loss Dog,Training
393,0,8,1,3.47648,Loss Dog,Validation
394,0,8,1,0.61764705,Accuracy Dog,Training
395,0,8,1,0.25974026,Accuracy Dog,Validation
396,0,8,1,3.049545,Loss Horse,Training
397,0,8,1,3.1259825,Loss Horse,Validation
398,0,8,1,0.75268817,Accuracy Horse,Training
399,0,8,1,0.56349206,Accuracy Horse,Validation
400,0,8,1,3.176769,Loss Sheep,Training
401,0,8,1,3.154214,Loss Sheep,Validation
402,0,8,1,0.84705883,Accuracy Sheep,Training
403,0,8,1,0.5,Accuracy Sheep,Validation
404,0,8,1,2.7575357,Loss Cow,Training
405,0,8,1,2.88509,Loss Cow,Validation
406,0,8,1,0.95454544,Accuracy Cow,Training
407,0,8,1,0.65217394,Accuracy Cow,Validation
408,0,8,1,3.2752047,Loss Elephant,Training
409,0,8,1,3.4583323,Loss Elephant,Validation
410,0,8,1,0.8780488,Accuracy Elephant,Training
411,0,8,1,0.8118812,Accuracy Elephant,Validation
412,0,8,1,3.334127,Loss Bear,Training
413,0,8,1,3.5738246,Loss Bear,Validation
414,0,8,1,0.95,Accuracy Bear,Training
415,0,8,1,0.64705884,Accuracy Bear,Validation
416,0,8,1,3.8045313,Loss Zebra,Training
417,0,8,1,3.6795278,Loss Zebra,Validation
418,0,8,1,0.3116883,Accuracy Zebra,Training
419,0,8,1,0.68686867,Accuracy Zebra,Validation
420,0,8,1,2.9719367,Loss Giraffe,Training
421,0,8,1,2.8552465,Loss Giraffe,Validation
422,0,8,1,0.8947368,Accuracy Giraffe,Training
423,0,8,1,0.8363636,Accuracy Giraffe,Validation
424,0,8,1,3.2618427,Loss Backpack,Training
425,0,8,1,3.4098756,Loss Backpack,Validation
426,0,8,1,0.49295774,Accuracy Backpack,Training
427,0,8,1,0.0,Accuracy Backpack,Validation
428,0,8,1,3.1870108,Loss Umbrella,Training
429,0,8,1,3.5393705,Loss Umbrella,Validation
430,0,8,1,0.82894737,Accuracy Umbrella,Training
431,0,8,1,0.24615385,Accuracy Umbrella,Validation
432,0,8,1,2.7424707,Loss Handbag,Training
433,0,8,1,0.0,Loss Handbag,Validation
434,0,8,1,0.91,Accuracy Handbag,Training
435,0,8,1,0.0,Accuracy Handbag,Validation
436,0,8,1,3.427486,Loss Tie,Training
437,0,8,1,3.0948262,Loss Tie,Validation
438,0,8,1,0.5915493,Accuracy Tie,Training
439,0,8,1,1.0,Accuracy Tie,Validation
440,0,8,1,3.0050583,Loss Suitcase,Training
441,0,8,1,3.55147,Loss Suitcase,Validation
442,0,8,1,0.6760563,Accuracy Suitcase,Training
443,0,8,1,0.12903225,Accuracy Suitcase,Validation
444,0,8,1,3.148883,Loss Frisbee,Training
445,0,8,1,3.4277103,Loss Frisbee,Validation
446,0,8,1,0.8918919,Accuracy Frisbee,Training
447,0,8,1,0.5,Accuracy Frisbee,Validation
448,0,8,1,3.0841014,Loss Skis,Training
449,0,8,1,0.0,Loss Skis,Validation
450,0,8,1,0.6979167,Accuracy Skis,Training
451,0,8,1,0.0,Accuracy Skis,Validation
452,0,8,1,2.9202778,Loss Snowboard,Training
453,0,8,1,3.0894687,Loss Snowboard,Validation
454,0,8,1,1.0,Accuracy Snowboard,Training
455,0,8,1,0.4,Accuracy Snowboard,Validation
456,0,8,1,3.3097978,Loss Sports Ball,Training
457,0,8,1,0.0,Loss Sports Ball,Validation
458,0,8,1,0.627907,Accuracy Sports Ball,Training
459,0,8,1,0.0,Accuracy Sports Ball,Validation
460,0,8,1,2.9789317,Loss Kite,Training
461,0,8,1,3.042334,Loss Kite,Validation
462,0,8,1,0.89041096,Accuracy Kite,Training
463,0,8,1,0.7368421,Accuracy Kite,Validation
