,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9444358,Loss,Training
1,0,8,0,3.4585197,Loss,Validation
2,0,8,0,0.27122533,Accuracy,Training
3,0,8,0,0.25847477,Accuracy,Validation
4,0,8,0,3.8179085,Loss Person,Training
5,0,8,0,3.7465332,Loss Person,Validation
6,0,8,0,0.37974682,Accuracy Person,Training
7,0,8,0,0.21163246,Accuracy Person,Validation
8,0,8,0,3.7067263,Loss Bicycle,Training
9,0,8,0,3.503863,Loss Bicycle,Validation
10,0,8,0,0.55172414,Accuracy Bicycle,Training
11,0,8,0,0.5692308,Accuracy Bicycle,Validation
12,0,8,0,3.77666,Loss Car,Training
13,0,8,0,3.6841178,Loss Car,Validation
14,0,8,0,0.34177214,Accuracy Car,Training
15,0,8,0,0.3473054,Accuracy Car,Validation
16,0,8,0,4.070977,Loss Motorcycle,Training
17,0,8,0,3.9117486,Loss Motorcycle,Validation
18,0,8,0,0.0945946,Accuracy Motorcycle,Training
19,0,8,0,0.14655173,Accuracy Motorcycle,Validation
20,0,8,0,4.089412,Loss Airplane,Training
21,0,8,0,3.997205,Loss Airplane,Validation
22,0,8,0,0.12162162,Accuracy Airplane,Training
23,0,8,0,0.16504854,Accuracy Airplane,Validation
24,0,8,0,4.0595016,Loss Bus,Training
25,0,8,0,3.8187575,Loss Bus,Validation
26,0,8,0,0.11111111,Accuracy Bus,Training
27,0,8,0,0.48809522,Accuracy Bus,Validation
28,0,8,0,3.951749,Loss Train,Training
29,0,8,0,3.8036807,Loss Train,Validation
30,0,8,0,0.41666666,Accuracy Train,Training
31,0,8,0,0.61290324,Accuracy Train,Validation
32,0,8,0,3.8878193,Loss Truck,Training
33,0,8,0,3.891671,Loss Truck,Validation
34,0,8,0,0.35526314,Accuracy Truck,Training
35,0,8,0,0.053030305,Accuracy Truck,Validation
36,0,8,0,3.9207098,Loss Boat,Training
37,0,8,0,3.7931714,Loss Boat,Validation
38,0,8,0,0.22222222,Accuracy Boat,Training
39,0,8,0,0.28455284,Accuracy Boat,Validation
40,0,8,0,3.9992096,Loss Traffic Light,Training
41,0,8,0,3.850374,Loss Traffic Light,Validation
42,0,8,0,0.17142858,Accuracy Traffic Light,Training
43,0,8,0,0.2173913,Accuracy Traffic Light,Validation
44,0,8,0,3.9300473,Loss Fire Hydrant,Training
45,0,8,0,3.6310453,Loss Fire Hydrant,Validation
46,0,8,0,0.12698413,Accuracy Fire Hydrant,Training
47,0,8,0,0.29032257,Accuracy Fire Hydrant,Validation
48,0,8,0,3.9831522,Loss Stop Sign,Training
49,0,8,0,3.8243122,Loss Stop Sign,Validation
50,0,8,0,0.17777778,Accuracy Stop Sign,Training
51,0,8,0,0.0952381,Accuracy Stop Sign,Validation
52,0,8,0,3.903086,Loss Parking Meter,Training
53,0,8,0,3.7361717,Loss Parking Meter,Validation
54,0,8,0,0.19444445,Accuracy Parking Meter,Training
55,0,8,0,0.6363636,Accuracy Parking Meter,Validation
56,0,8,0,4.0213394,Loss Bench,Training
57,0,8,0,3.863265,Loss Bench,Validation
58,0,8,0,0.09090909,Accuracy Bench,Training
59,0,8,0,0.16346154,Accuracy Bench,Validation
60,0,8,0,4.1195965,Loss Bird,Training
61,0,8,0,4.0268354,Loss Bird,Validation
62,0,8,0,0.10344828,Accuracy Bird,Training
63,0,8,0,0.16883117,Accuracy Bird,Validation
64,0,8,0,3.7488103,Loss Cat,Training
65,0,8,0,3.3912597,Loss Cat,Validation
