class_name;class_idx;prompt
bench;1;a photo of a {name} in the setting of a Park
bench;2;a photo of a {name} in the setting of a Sidewalk
bench;3;a photo of a {name} in the setting of a Beach
bench;4;a photo of a {name} in the setting of a Garden
bench;5;a photo of a {name} in the setting of a Court
bicycle;1;a photo of a {name} in the setting of a City streets
bicycle;2;a photo of a {name} in the setting of a Mountain trails
bicycle;3;a photo of a {name} in the setting of a Beach paths
bicycle;4;a photo of a {name} in the setting of a Rural countryside
bicycle;5;a photo of a {name} in the setting of a Park trails
book;1;a photo of a {name} in the setting of a Libraries
book;2;a photo of a {name} in the setting of a Bookstores
book;3;a photo of a {name} in the setting of a Classrooms
book;4;a photo of a {name} in the setting of a Homes
book;5;a photo of a {name} in the setting of a Beaches
bottle;1;a photo of a {name} in the setting of a Beach
bottle;2;a photo of a {name} in the setting of a Kitchen
bottle;3;a photo of a {name} in the setting of a Desk
bottle;4;a photo of a {name} in the setting of a Camping
bottle;5;a photo of a {name} in the setting of a Outdoor
bowl;1;a photo of a {name} in the setting of a Bowling alley
bowl;2;a photo of a {name} in the setting of a Kitchen
bowl;3;a photo of a {name} in the setting of a Living room
bowl;4;a photo of a {name} in the setting of a Outdoor space
bowl;5;a photo of a {name} in the setting of a Sports arena
car;1;a photo of a {name} in the setting of a Cities
car;2;a photo of a {name} in the setting of a Highways
car;3;a photo of a {name} in the setting of a Parking
car;4;a photo of a {name} in the setting of a Garages
car;5;a photo of a {name} in the setting of a Driving
cellphone;1;a photo of a {name} in the setting of a Home
cellphone;2;a photo of a {name} in the setting of a Office
cellphone;3;a photo of a {name} in the setting of a School
cellphone;4;a photo of a {name} in the setting of a Public Place
cellphone;5;a photo of a {name} in the setting of a Outdoor
chair;1;a photo of a {name} in the setting of a Office
chair;2;a photo of a {name} in the setting of a Home
chair;3;a photo of a {name} in the setting of a Restaurant
chair;4;a photo of a {name} in the setting of a Theater
chair;5;a photo of a {name} in the setting of a Park
clock;1;a photo of a {name} in the setting of a wall
clock;2;a photo of a {name} in the setting of a table
clock;3;a photo of a {name} in the setting of a pocket
clock;4;a photo of a {name} in the setting of a wrist
clock;5;a photo of a {name} in the setting of a digital
cup;1;a photo of a {name}
cup;2;a photo of a {name}
cup;3;a photo of a {name}
cup;4;a photo of a {name}
cup;5;a photo of a {name}
fork;1;a photo of a {name} in the setting of a Kitchen
fork;2;a photo of a {name} in the setting of a Restaurant
fork;3;a photo of a {name}
fork;4;a photo of a {name}
fork;5;a photo of a {name}
keyboard;1;a photo of a {name} in the setting of a Office
keyboard;2;a photo of a {name} in the setting of a Computer
keyboard;3;a photo of a {name} in the setting of a Laptop
keyboard;4;a photo of a {name} in the setting of a Tablet
keyboard;5;a photo of a {name} in the setting of a Smartphone
knife;1;a photo of a {name} in the setting of a Kitchen
knife;2;a photo of a {name} in the setting of a Camping
knife;3;a photo of a {name} in the setting of a Outdoor
knife;4;a photo of a {name} in the setting of a Hunting
knife;5;a photo of a {name} in the setting of a Tactical
laptop;1;a photo of a {name} in the setting of a Home
laptop;2;a photo of a {name} in the setting of a Office
laptop;3;a photo of a {name} in the setting of a School
laptop;4;a photo of a {name} in the setting of a Travel
laptop;5;a photo of a {name} in the setting of a Gaming
motorcycle;1;a photo of a {name} in the setting of a racetrack
motorcycle;2;a photo of a {name} in the setting of a citystreet
motorcycle;3;a photo of a {name} in the setting of a highway
motorcycle;4;a photo of a {name} in the setting of a beach
motorcycle;5;a photo of a {name} in the setting of a mountain
mouse;1;a photo of a {name} in the setting of a Desk
mouse;2;a photo of a {name} in the setting of a Computer
mouse;3;a photo of a {name} in the setting of a Home
mouse;4;a photo of a {name} in the setting of a Office
mouse;5;a photo of a {name} in the setting of a Wild
potted_plant;1;a photo of a {name} in the setting of a Indoor
potted_plant;2;a photo of a {name} in the setting of a Outdoor
potted_plant;3;a photo of a {name} in the setting of a Garden
potted_plant;4;a photo of a {name} in the setting of a Living room
potted_plant;5;a photo of a {name} in the setting of a Kitchen
remote;1;a photo of a {name} in the setting of a House
remote;2;a photo of a {name} in the setting of a Office
remote;3;a photo of a {name} in the setting of a Car
remote;4;a photo of a {name} in the setting of a Hotel
remote;5;a photo of a {name} in the setting of a Airport
spoon;1;a photo of a {name}
spoon;2;a photo of a {name}
spoon;3;a photo of a {name}
spoon;4;a photo of a {name}
spoon;5;a photo of a {name}
sportsball;1;a photo of a {name} in the setting of a Court
sportsball;2;a photo of a {name} in the setting of a Field
sportsball;3;a photo of a {name} in the setting of a Pool
sportsball;4;a photo of a {name} in the setting of a Beach
sportsball;5;a photo of a {name} in the setting of a Indoor
tie;1;a photo of a {name}
tie;2;a photo of a {name}
tie;3;a photo of a {name}
tie;4;a photo of a {name}
tie;5;a photo of a {name}
trafficlight;1;a photo of a {name}
trafficlight;2;a photo of a {name}
trafficlight;3;a photo of a {name}
trafficlight;4;a photo of a {name}
trafficlight;5;a photo of a {name}
wineglas;1;a photo of a {name}
wineglas;2;a photo of a {name}
wineglas;3;a photo of a {name}
wineglas;4;a photo of a {name}
wineglas;5;a photo of a {name}
